,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,1.FD-MEME,226,497,4905,27655,3.2046217799661963e-47,1.3582922213495878,63.15274173740114,4.770010466469944e-44,True,.,.,1.FD-MEME,.,.
1,1.FDP-MEME,243,497,5624,27655,8.921465959731816e-47,1.265582304574247,58.27951304984839,4.770010466469944e-44,True,.,.,1.FDP-MEME,.,.
2,M01133_2.00,266,497,6640,27655,2.1382834763814674e-46,1.1564655893079039,52.81570796967607,8.574516740289685e-44,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
3,M06770_2.00,247,497,5831,27655,3.179208620022384e-46,1.2369903042025274,56.280190226927324,1.0198901253031807e-43,True,A. thaliana,OMalley2016,GBF3,bZIP,.
4,GBF2-MEME,246,497,5902,27655,1.1111615530603003e-44,1.213676979948234,53.346228376463486,2.9705052185145364e-42,True,.,.,GBF2-MEME,.,.
5,M01771_2.00,258,497,6443,27655,2.197684567721143e-44,1.1558610560428244,50.462622025423435,4.406357558280892e-42,True,A. thaliana,Zoo_01,ABF2,bZIP,.
6,M01058_2.00,262,497,6619,27655,2.1571146182782252e-44,1.1391761261099662,49.743409145243916,4.406357558280892e-42,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
7,M06772_2.00,227,497,5151,27655,3.587151612993474e-44,1.2940623426086262,56.22086233603488,6.393101319157258e-42,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
8,M06752_2.00,218,497,4823,27655,1.042985482204731e-43,1.3306199100560323,57.192334711309634,1.6729487134563885e-41,True,A. thaliana,OMalley2016,BZIP68,bZIP,.
9,M01827_2.00,236,497,5629,27655,1.1091420778438806e-42,1.2221307965350254,51.27451323443641,1.6173308116923496e-40,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
10,M06781_2.00,225,497,5191,27655,1.8525661028013366e-42,1.2701350988662101,53.0055653605455,2.47626335741112e-40,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
11,1.ABF4-MEME,242,497,5904,27655,2.128541884922429e-42,1.1895369112552,49.57028438525382,2.6262932180119816e-40,True,.,.,1.ABF4-MEME,.,.
12,M01776_2.00,255,497,6478,27655,2.8426402130983833e-42,1.1311713641046728,46.99596007700323,3.2568535012927195e-40,True,A. thaliana,Zoo_01,ABI5,bZIP,.
13,M06755_2.00,187,497,3772,27655,1.0028089845692067e-41,1.4639311792535414,60.019394964537426,1.0053160070306296e-39,True,A. thaliana,OMalley2016,ABF2,bZIP,.
14,M01783_2.00,273,497,7365,27655,2.0822790610343058e-41,1.0444380110376423,42.4892642839997,1.9646915375876624e-39,True,A. thaliana,Zoo_01,GBF1,bZIP,.
15,M01059_2.00,279,497,7649,27655,2.2847581157069445e-41,1.021216559316917,41.50342534833466,2.035973343107744e-39,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
16,M06777_2.00,186,497,3759,27655,2.432870133825109e-41,1.4611762911060162,59.34404011368543,2.0538545761344605e-39,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
17,1.GBF3-MEME1,235,497,5692,27655,2.739238670657089e-41,1.1999476800795188,48.67272193109292,2.196869413866985e-39,True,.,.,1.GBF3-MEME1,.,.
18,M01156_2.00,256,497,6607,27655,3.128343031176957e-41,1.1083710506637268,44.894220970134256,2.389458200956114e-39,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
19,ACGTGKV-ZAT6-DREME,248,497,6259,27655,3.5803050617349955e-41,1.1406305294839973,46.13403360887565,2.4968736169664924e-39,True,.,.,ACGTGKV-ZAT6-DREME,.,.
20,M01779_2.00,271,497,7308,27655,5.387351326444835e-41,1.0450388027673843,42.08227534745357,3.600546469840631e-39,True,A. thaliana,Zoo_01,GBF3,bZIP,.
21,M01161_2.00,248,497,6278,27655,6.170920613105014e-41,1.1362576768457615,45.68852354192178,3.959262665368177e-39,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
22,M06778_2.00,192,497,4016,27655,8.899815514657833e-41,1.4115696268113855,56.53423730947223,5.490501571350448e-39,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
23,M01056_2.00,239,497,5906,27655,1.0174067760659574e-40,1.1710518468877955,46.83329728016843,6.044149884480725e-39,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
24,M01158_2.00,251,497,6447,27655,1.766419231466514e-40,1.1152819658428337,44.33569939215365,1.0119058740258174e-38,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
25,M01826_2.00,253,497,6538,27655,1.889533946163219e-40,1.1065105929680454,43.95463431732531,1.0451077412571734e-38,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
26,M01832_2.00,259,497,6809,27655,2.0255878891990175e-40,1.081731749875993,42.93766394614667,1.0657991973635203e-38,True,P. patens,Zoo_01,estExt_Genewise1.C_2060077,bZIP,.
27,M06766_2.00,193,497,4077,27655,2.0598363540068035e-40,1.3973154758205344,55.454095718119916,1.0657991973635203e-38,True,A. thaliana,OMalley2016,ABI5,bZIP,.
28,M01846_2.00,242,497,6067,27655,2.580135540940743e-40,1.1502463212826795,45.536362555691106,1.2932929398965476e-38,True,O. tauri,Zoo_01,1500010105,bZIP,.
29,M08407_2.00,164,497,3053,27655,4.1559753675318394e-40,1.579690810452305,62.21032042087631,2.020055905915476e-38,True,A. thaliana,JASPAR,HY5,bZIP,.
30,M01845_2.00,259,497,6837,27655,4.338934576525272e-40,1.0758112577411016,42.3467463932505,2.0469561943372167e-38,True,O. tauri,Zoo_01,300010311,bZIP,.
31,M01057_2.00,203,497,4490,27655,5.7832750293449714e-40,1.3309868675976684,52.22503132392534,2.6503923277340955e-38,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
32,M06764_2.00,197,497,4264,27655,7.027839341829192e-40,1.362210776738202,53.334881253732256,3.1312928623038955e-38,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
33,M06767_2.00,176,497,3495,27655,9.917220003953444e-40,1.4865055584155,57.97908314094897,4.2992488882003576e-38,True,A. thaliana,OMalley2016,ABI5,bZIP,.
34,ACGTGB-ANAC102-DREME,266,497,7196,27655,1.2513914583006004e-39,1.0404536442907086,40.47635903176314,5.282189208195166e-38,True,.,.,ACGTGB-ANAC102-DREME,.,.
35,M01825_2.00,176,497,3505,27655,1.4532077168805691e-39,1.4823835697803132,57.57232731284446,5.610630207090936e-38,True,Oryza sativa,Zoo_01,LOC_Os05g36160,bZIP,.
36,M01126_2.00,228,497,5528,27655,1.3652667137757771e-39,1.1984987938174847,46.57939494591502,5.610630207090936e-38,True,C. sativa,TF_Evolution,PK18401.1,bHLH,.
37,2.ABF1-MEME,239,497,5998,27655,1.4691176352731879e-39,1.1487516811530096,44.609409046993676,5.610630207090936e-38,True,.,.,2.ABF1-MEME,.,.
38,M01160_2.00,261,497,6972,27655,1.4282981811855942e-39,1.0586998224852004,41.12538635280608,5.610630207090936e-38,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
39,M08431_2.00,206,497,4640,27655,1.6886344642387372e-39,1.3047421172092852,50.58806722703927,6.298999257299848e-38,True,A. thaliana,JASPAR,BZR2,BES1,.
40,BACGTG-RD26-DREME,264,497,7129,27655,2.4151127143216464e-39,1.0430607937794403,40.279943964536805,8.804183622208912e-38,True,.,.,BACGTG-RD26-DREME,.,.
41,M01773_2.00,260,497,6979,27655,5.766573792760534e-39,1.0517138766136558,40.21657332201321,2.0554631919084213e-37,True,A. thaliana,Zoo_01,ABF1,bZIP,.
42,M01132_2.00,266,497,7262,27655,7.01340097276125e-39,1.0272819007419836,39.194986917694216,2.44554242615414e-37,True,A. thaliana,TF_Evolution,HYH,bZIP,.
43,M01162_2.00,240,497,6100,27655,7.791315007754076e-39,1.1304477483119089,43.07954280419259,2.658993462220753e-37,True,C. sativa,TF_Evolution,PK24978.1,bZIP,.
44,1.ABF3-MEME,243,497,6244,27655,1.1254585716635503e-38,1.1147083616688733,42.30170030588483,3.760907393642364e-37,True,.,.,1.ABF3-MEME,.,.
45,M01770_2.00,268,497,7408,27655,2.744857326292966e-38,1.0093714872385373,37.91348715721083,8.985206431375343e-37,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
46,M06765_2.00,190,497,4129,27655,6.500691422928515e-38,1.3564295851957722,50.44160185050496,2.0854218084754677e-36,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
47,M01782_2.00,183,497,3898,27655,2.0648188268366387e-37,1.385332143067154,50.82107320492084,6.494057643619546e-36,True,A. thaliana,Zoo_01,ABF3,bZIP,.
48,M06771_2.00,191,497,4208,27655,2.5568513083625615e-37,1.3366605187844478,48.91147538635628,7.886902881949132e-36,True,A. thaliana,OMalley2016,GBF3,bZIP,.
49,2.FBH3-MEME,222,497,5455,27655,2.627314359667147e-37,1.1792030651801377,43.13582352883216,7.951343835671894e-36,True,.,.,2.FBH3-MEME,.,.
50,M08046_2.00,205,497,4764,27655,3.137824235037629e-37,1.2596730816823332,45.98231432690347,9.320500135185846e-36,True,A. thaliana,JASPAR,PIF4,bHLH,.
51,M01787_2.00,252,497,6802,27655,7.603844944148775e-37,1.043687312833076,37.69690734726553,2.2175576891662973e-35,True,A. thaliana,Zoo_01,BZIP63,bZIP,.
52,M01708_2.00,231,497,5882,27655,9.327380173020286e-37,1.127808652569995,40.635216788815086,2.671628178129382e-35,True,A. thaliana,Zoo_01,BEE2,bHLH,.
53,M01772_2.00,250,497,6729,27655,1.1948317316277103e-36,1.0477585588956597,37.63830931355623,3.362298416720785e-35,True,A. thaliana,Zoo_01,ABF1,bZIP,.
54,M01756_2.00,222,497,5514,27655,1.4400102472647702e-36,1.1636829943809166,41.70830046235595,3.9823731665736057e-35,True,P. patens,Zoo_01,e_gw1.209.40.1,bHLH,.
55,M01120_2.00,199,497,4579,27655,1.7046549626465113e-36,1.273958450911103,45.56740897245452,4.6343501018389904e-35,True,C. sativa,TF_Evolution,PK05451.1,bHLH,.
56,M01705_2.00,199,497,4581,27655,1.8152084348878554e-36,1.2733284530666424,45.5101258294792,4.852657215933533e-35,True,A. thaliana,Zoo_01,UNE10,bHLH,.
57,M01123_2.00,199,497,4582,27655,1.8731160319612173e-36,1.2730135572799752,45.481509527936886,4.925373959452119e-35,True,C. sativa,TF_Evolution,PK07858.1,bHLH,.
58,M01127_2.00,197,497,4527,27655,4.004054301860106e-36,1.275862908249538,45.16235734754925,1.035887596803808e-34,True,C. sativa,TF_Evolution,PK18474.1,bHLH,.
59,M07343_2.00,176,497,3735,27655,6.292290409410173e-36,1.390689771001699,48.953936586630185,1.6020371137609392e-34,True,A. thaliana,OMalley2016,BEH3,BES1,.
60,M01698_2.00,198,497,4582,27655,6.476411111873284e-36,1.265745556815936,44.539897121770736,1.6231505349132418e-34,True,A. thaliana,Zoo_01,BHLH13,bHLH,.
61,M01781_2.00,253,497,6932,27655,6.636754673684149e-36,1.022088315575142,35.95506797806414,1.6377468456291345e-34,True,A. thaliana,Zoo_01,GBF2,bZIP,.
62,M01125_2.00,196,497,4527,27655,1.381272512368974e-35,1.2685209329083702,44.220285335328946,3.3569107724845977e-34,True,C. sativa,TF_Evolution,PK15505.1,bHLH,.
63,M01128_2.00,243,497,6511,27655,1.4579558460387695e-35,1.0542997604714857,36.7278559647016,3.490389816486845e-34,True,C. sativa,TF_Evolution,PK20225.1,bHLH,.
64,M01164_2.00,242,497,6468,27655,1.5213933471542426e-35,1.057909953841934,36.83405327406006,3.5886984247579484e-34,True,C. sativa,TF_Evolution,PK27149.1,bZIP,.
65,M06791_2.00,183,497,4027,27655,1.6456846390792037e-35,1.3383607613792898,46.55307682733053,3.8256205233087577e-34,True,A. thaliana,OMalley2016,AtbZIP3,bZIP,.
66,M07357_2.00,162,497,3253,27655,1.7048971340945703e-35,1.4704455758844943,51.124895591173015,3.906650004410987e-34,True,A. thaliana,OMalley2016,BMY2,BES1,.
67,M01052_2.00,195,497,4501,27655,2.10879599775065e-35,1.2694511444050607,44.019444000146706,4.76409687379161e-34,True,A. thaliana,Stam_Arabidopsis,BHLH49,bHLH,.
68,M01714_2.00,228,497,5870,27655,2.3437973494903625e-35,1.1118959062083287,38.50504411829257,5.221459650809085e-34,True,A. thaliana,Zoo_01,ILR3,bHLH,.
69,M06727_2.00,203,497,4833,27655,3.021278855836631e-35,1.2247833177984526,42.27928642787495,6.638536006523227e-34,True,A. thaliana,OMalley2016,BIM2,bHLH,.
