,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M08407_2.00,112,497,2180,27655,8.434139568543664e-25,1.5153931824343168,36.48151367094029,6.67562146850231e-22,True,A. thaliana,JASPAR,HY5,bZIP,.
1,1.FDP-MEME,143,497,3275,27655,5.148983641839523e-25,1.2807428255072157,31.107038417312747,6.67562146850231e-22,True,.,.,1.FDP-MEME,.,.
2,1.ABF4-MEME,152,497,3709,27655,6.232560347457831e-24,1.189263640981577,27.597259417558227,3.2887143433419155e-21,True,.,.,1.ABF4-MEME,.,.
3,M01776_2.00,132,497,2986,27655,2.1140177647026062e-23,1.2985463492649134,29.444397405260087,8.366225303810565e-21,True,A. thaliana,Zoo_01,ABI5,bZIP,.
4,M01772_2.00,128,497,2871,27655,5.81622401749593e-23,1.3108130648338197,29.146398914034883,1.8414165239392113e-20,True,A. thaliana,Zoo_01,ABF1,bZIP,.
5,1.FD-MEME,141,497,3373,27655,8.021921756194774e-23,1.2178854294216686,26.910057362809415,2.1164503566760546e-20,True,.,.,1.FD-MEME,.,.
6,M01161_2.00,137,497,3241,27655,1.4763438651886754e-22,1.2339594576836874,26.93833752402392,3.3386461979909615e-20,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
7,M01056_2.00,118,497,2576,27655,5.171669371482281e-22,1.3498768512882258,28.73397709539071,1.0233440768820564e-19,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
8,M01158_2.00,131,497,3062,27655,6.021685991711155e-22,1.2513151140786638,26.5532594602953,1.059147658319862e-19,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
9,M01771_2.00,126,497,2900,27655,1.2841566487625594e-21,1.273593418638621,26.607126615497595,2.0328199749911315e-19,True,A. thaliana,Zoo_01,ABF2,bZIP,.
10,ACGTGKV-ZAT6-DREME,135,497,3253,27655,1.7568390199778306e-21,1.2074111700507004,25.060142458385744,2.1392893604806968e-19,True,.,.,ACGTGKV-ZAT6-DREME,.,.
11,M06737_2.00,110,497,2344,27655,2.959344536735217e-21,1.3847535391434131,28.427334644059943,3.0008018481509563e-19,True,A. thaliana,OMalley2016,BHLH104,bHLH,.
12,M01057_2.00,140,497,3468,27655,3.0330277681879532e-21,1.167545513764133,23.9558431759025,3.0008018481509563e-19,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
13,M01714_2.00,98,497,1960,27655,8.907952926226134e-21,1.4762225851536388,29.59859068165364,7.834049712342206e-19,True,A. thaliana,Zoo_01,ILR3,bHLH,.
14,M01825_2.00,123,497,2854,27655,8.836445132436391e-21,1.261895565904478,25.305703395161306,7.834049712342206e-19,True,Oryza sativa,Zoo_01,LOC_Os05g36160,bZIP,.
15,M01127_2.00,105,497,2247,27655,3.993819061537134e-20,1.3786117885272169,26.74315465290301,3.3274818812701492e-18,True,C. sativa,TF_Evolution,PK18474.1,bHLH,.
16,M01125_2.00,104,497,2237,27655,9.05385375117808e-20,1.3712408571229748,26.11276798812465,7.16612524405745e-18,True,C. sativa,TF_Evolution,PK15505.1,bHLH,.
17,M01770_2.00,131,497,3264,27655,1.4802345122928069e-19,1.159148339606956,21.826380106423873,1.1158148728378633e-17,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
18,M06735_2.00,120,497,2852,27655,2.038881795011695e-19,1.227283009205632,22.938665571076402,1.4670681279561423e-17,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
19,GBF2-MEME,139,497,3601,27655,2.413223891201934e-19,1.1029098685742287,20.533316816274674,1.6609275738142007e-17,True,.,.,GBF2-MEME,.,.
20,M08431_2.00,116,497,2717,27655,3.172414661818497e-19,1.2483328249465984,23.092422143335295,2.0924718373577837e-17,True,A. thaliana,JASPAR,BZR2,BES1,.
21,M06726_2.00,124,497,3029,27655,3.9097507912279295e-19,1.187721127632504,21.86339345649703,2.443717869636838e-17,True,A. thaliana,OMalley2016,BPE,bHLH,.
22,2.ABF1-MEME,131,497,3303,27655,4.01368696213252e-19,1.1420124272929266,21.0089819437598,2.443717869636838e-17,True,.,.,2.ABF1-MEME,.,.
23,M06734_2.00,118,497,2821,27655,7.005732489493752e-19,1.2188027788172713,22.126811661459445,4.107435011432818e-17,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
24,M01133_2.00,134,497,3450,27655,8.05510011378981e-19,1.11185922394588,20.117901920036577,4.5540083857604535e-17,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
25,M07357_2.00,111,497,2570,27655,9.788692434266035e-19,1.265013902309867,22.781983646573096,5.343275904635564e-17,True,A. thaliana,OMalley2016,BMY2,BES1,.
26,M08404_2.00,124,497,3074,27655,1.2712258715798049e-18,1.166445540737105,20.874449602885125,6.707835182369436e-17,True,A. thaliana,JASPAR,PIF1,bHLH,.
27,M06778_2.00,143,497,3836,27655,1.3428608508965777e-18,1.05263501180126,18.8126602857491,6.857253957965428e-17,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
28,M01058_2.00,138,497,3655,27655,2.3016859617333314e-18,1.0710194459793707,18.890591647488716,1.1386152741949575e-16,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
29,M01832_2.00,131,497,3379,27655,2.6486004356721858e-18,1.1091930464146502,19.49626793487224,1.2705256029300212e-16,True,P. patens,Zoo_01,estExt_Genewise1.C_2060077,bZIP,.
30,M06781_2.00,143,497,3881,27655,3.741897314064195e-18,1.0358092990339427,18.050953499304878,1.7421833671069472e-16,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
31,M06777_2.00,140,497,3760,27655,3.9536110390059465e-18,1.0509167504209682,18.28911057543019,1.7881617927846895e-16,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
32,M01059_2.00,132,497,3464,27655,7.779351031197627e-18,1.08432158467273,18.551719398599612,3.4207535228849567e-16,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
33,M01126_2.00,106,497,2465,27655,9.72856762098597e-18,1.2586992033389266,21.4129292943896,4.1622493362218357e-16,True,C. sativa,TF_Evolution,PK18401.1,bHLH,.
34,M06770_2.00,141,497,3845,27655,1.0641474748398894e-17,1.028934149590606,17.46409744956028,4.4330143491356442e-16,True,A. thaliana,OMalley2016,GBF3,bZIP,.
35,M01712_2.00,108,497,2547,27655,1.1976742924609113e-17,1.2384549379302752,20.956714960638653,4.861329243501597e-16,True,A. thaliana,Zoo_01,MYC3,bHLH,.
36,M01773_2.00,128,497,3325,27655,1.2976257834025109e-17,1.0990120547650872,18.558852303615193,5.135354037815437e-16,True,A. thaliana,Zoo_01,ABF1,bZIP,.
37,M01156_2.00,122,497,3102,27655,1.868570561942046e-17,1.129905046567797,18.901605834528578,7.214505364766484e-16,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
38,M06755_2.00,142,497,3931,27655,2.831610024141033e-17,1.0072171511215895,16.66739573431155,1.067247301956013e-15,True,A. thaliana,OMalley2016,ABF2,bZIP,.
39,M01846_2.00,119,497,3005,27655,3.128424664580364e-17,1.139819167750397,18.81234412322873,1.1516968009373757e-15,True,O. tauri,Zoo_01,1500010105,bZIP,.
40,M07343_2.00,103,497,2401,27655,3.6969061737473215e-17,1.2552315189938033,20.626167129791924,1.3300460166004569e-15,True,A. thaliana,OMalley2016,BEH3,BES1,.
41,M01783_2.00,128,497,3372,27655,3.9479021973022993e-17,1.0787618590989192,17.695614294269646,1.3887842618510087e-15,True,A. thaliana,Zoo_01,GBF1,bZIP,.
42,M08046_2.00,118,497,2995,27655,6.455447017251693e-17,1.1324534417266945,18.334504659562903,2.2215157887629196e-15,True,A. thaliana,JASPAR,PIF4,bHLH,.
43,1.GBF3-MEME1,134,497,3666,27655,1.213491988530019e-16,1.024248799958888,16.301906091571666,4.087144293283021e-15,True,.,.,1.GBF3-MEME1,.,.
44,M06743_2.00,114,497,2870,27655,1.4059950607834221e-16,1.1442056726426928,18.137966864557907,4.636854544208661e-15,True,A. thaliana,OMalley2016,BHLH72,bHLH,.
45,M06772_2.00,139,497,3882,27655,1.45746351888772e-16,0.9945073500508452,15.749418492735607,4.708499490610736e-15,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
46,M01826_2.00,123,497,3242,27655,2.0658292015604037e-16,1.0779968098626997,16.908278186745182,6.540415252140239e-15,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
