,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M01826_2.00,12,500,182,27655,9.775494302717971e-05,1.8666362974636603,7.484952600089461,0.04066605629930676,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
1,1.ABF4-MEME,14,500,236,27655,8.218932170452864e-05,1.7141803096369634,7.0027430088970215,0.04066605629930676,True,.,.,1.ABF4-MEME,.,.
2,M07351_2.00,8,500,101,27655,0.00040989309913624185,2.1312569541894058,7.219269325604314,0.11367701949378439,True,A. thaliana,OMalley2016,GT-3A,Trihelix,.
3,1.PIF1.MEME1,8,500,109,27655,0.000667094450441659,2.021284112164274,6.419219697584279,0.1140427416306537,True,.,.,1.PIF1.MEME1,.,.
4,M01160_2.00,7,500,84,27655,0.0006853530146072939,2.2045059362200443,6.975245647929334,0.1140427416306537,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
5,M01161_2.00,9,500,142,27655,0.0008805935841318004,1.8096463188788305,5.528875739130974,0.12210897699960964,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
6,M06846_2.00,16,500,446,27655,0.004334345738014595,0.9885685370208956,2.336063028294378,0.1681073544125607,True,A. thaliana,OMalley2016,GATA24,Dof,.
7,M01056_2.00,9,500,183,27655,0.004374661394909498,1.4436936000994702,3.405753408994578,0.1681073544125607,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
8,M01057_2.00,10,500,186,27655,0.0015504376143237253,1.5722377207205314,4.417273733890826,0.1681073544125607,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
9,M02697_2.00,14,500,352,27655,0.0031607112103414717,1.1373917403615075,2.843724098512706,0.1681073544125607,True,Antirrhinum majus,JASPAR,squamosa,MADS box,.
10,M09780_2.00,5,500,51,27655,0.001937041948708761,2.438971189857067,6.616589757841819,0.1681073544125607,True,A. thaliana,Transfac,PIF3,bHLH,.
11,M07289_2.00,5,500,61,27655,0.004093562958814318,2.180659194265677,5.207192875244932,0.1681073544125607,True,A. thaliana,OMalley2016,TCP14,TCP,.
12,M07363_2.00,12,500,286,27655,0.00392611431425037,1.2145596008839674,2.9222754106585116,0.1681073544125607,True,A. thaliana,OMalley2016,AT5G59990,Unknown,.
13,M06803_2.00,21,500,619,27655,0.002490262583086855,0.9079902605056962,2.3641840506919993,0.1681073544125607,True,A. thaliana,OMalley2016,IDD7,C2H2 ZF,.
14,M06842_2.00,34,500,1215,27655,0.003445727442517407,0.6301906796983967,1.5519826098466138,0.1681073544125607,True,A. thaliana,OMalley2016,DOF2.4,Dof,.
15,M06830_2.00,24,500,740,27655,0.002308456819700915,0.8430494771460446,2.2228502155382728,0.1681073544125607,True,A. thaliana,OMalley2016,DOF1.5,Dof,.
16,M08404_2.00,6,500,88,27655,0.004181201853907638,1.9149993190250596,4.555206708007687,0.1681073544125607,True,A. thaliana,JASPAR,PIF1,bHLH,.
17,M07300_2.00,7,500,947,27655,0.0026968749010706718,-1.2903972564695803,-3.3152101732791803,0.1681073544125607,True,A. thaliana,OMalley2016,TCX2,TCR/CxC,.
18,1.PIF3.MEME,6,500,76,27655,0.002095365529358998,2.1265034242187713,5.696350218312181,0.1681073544125607,True,.,.,1.PIF3.MEME,.,.
19,M06892_2.00,13,500,329,27655,0.004445146390716749,1.1279643813470512,2.6531007361256087,0.1681073544125607,True,A. thaliana,OMalley2016,ZIM,GATA,.
20,M01133_2.00,7,500,111,27655,0.0031566054408181565,1.8024074926486988,4.507424067402387,0.1681073544125607,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
21,M01769_2.00,3,500,15,27655,0.0021502925206445607,3.467540342053838,9.249672377612887,0.1681073544125607,True,O. tauri,Zoo_01,fgenesh1_pg.C_Chr_14.0001000151,bHLH,.
22,M06924_2.00,12,500,311,27655,0.0069749468456146635,1.0936601675317543,2.3584334180606104,0.1706810522221,True,A. thaliana,OMalley2016,HB-5,Homeodomain,HD-ZIP
23,M06991_2.00,13,500,335,27655,0.00506933412201563,1.1018908697371577,2.528893630481546,0.1706810522221,True,A. thaliana,OMalley2016,FLC,MADS box,.
24,1.PIF5,4,500,42,27655,0.005938560233321044,2.39715101416244,5.336822451323879,0.1706810522221,True,.,.,1.PIF5,.,.
25,M07335_2.00,19,500,590,27655,0.005927597172007079,0.8328248061355824,1.8548018797668149,0.1706810522221,True,A. thaliana,OMalley2016,AtIDD11,C2H2 ZF,.
26,M08144_2.00,25,500,864,27655,0.0066433665092786795,0.6784371245524569,1.4773726793091757,0.1706810522221,True,A. thaliana,JASPAR,AP1,MADS box,.
27,M06816_2.00,21,500,673,27655,0.005642823753165866,0.7873231651096438,1.7702989035487198,0.1706810522221,True,A. thaliana,OMalley2016,IDD2,C2H2 ZF,.
28,M06868_2.00,149,500,7185,27655,0.006034173910091744,0.19786451605866312,0.4391369804487068,0.1706810522221,True,A. thaliana,OMalley2016,DOF5.8,Dof,.
29,M06857_2.00,5,500,67,27655,0.005961361566388729,2.0453073413707905,4.550102255919607,0.1706810522221,True,A. thaliana,OMalley2016,DOF4.3,Dof,.
