,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,1.FDP-MEME,217,500,4773,27655,2.3253952318610405e-43,1.3303390483334758,56.71701410397601,3.7276085566732475e-40,True,.,.,1.FDP-MEME,.,.
1,M01133_2.00,237,500,5628,27655,1.043516668504043e-42,1.2198050726029268,51.20924739881163,8.363786098059904e-40,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
2,M06770_2.00,219,500,4939,27655,4.278598912011054e-42,1.2942522431639298,53.54153073152112,2.28619801865124e-39,True,A. thaliana,OMalley2016,GBF3,bZIP,.
3,GBF2-MEME,219,500,4990,27655,2.2619206875202398e-41,1.279431396317751,52.00315776916225,9.064647155237361e-39,True,.,.,GBF2-MEME,.,.
4,M06772_2.00,202,500,4350,27655,5.244776278738782e-41,1.3608802340695423,54.81662739264645,1.6814752749636534e-38,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
5,M01846_2.00,222,500,5175,27655,1.7424440326836542e-40,1.2465411560172566,49.56103182466929,3.990196834845568e-38,True,O. tauri,Zoo_01,1500010105,bZIP,.
6,M01058_2.00,232,500,5605,27655,3.0146775350599743e-40,1.1949507743759835,47.22536173270443,6.040660110876424e-38,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
7,M01160_2.00,238,500,5906,27655,1.2325584735548874e-39,1.1563205591151897,44.991499189649176,2.1953235923427603e-37,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
8,1.FD-MEME,195,500,4181,27655,1.5319310843894146e-39,1.3671664226466738,53.066237629831534,2.4556855282762316e-37,True,.,.,1.FD-MEME,.,.
9,1.GBF3-MEME1,211,500,4814,27655,2.2802267502956913e-39,1.2775471991738887,49.36700693019534,3.3229122552036303e-37,True,.,.,1.GBF3-MEME1,.,.
10,2.ABF1-MEME,216,500,5062,27655,1.0148710346144803e-38,1.2388641469939847,47.06889540425507,1.3556985570725099e-36,True,.,.,2.ABF1-MEME,.,.
11,1.ABF4-MEME,214,500,5011,27655,2.560016460180432e-38,1.24005260091277,46.61575634118157,2.931218846906595e-36,True,.,.,1.ABF4-MEME,.,.
12,M06781_2.00,198,500,4384,27655,3.0482415369526554e-38,1.3207929740602833,49.55080399843035,3.257554122490071e-36,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
13,M06767_2.00,159,500,2971,27655,3.7298564829964775e-38,1.5656185023901414,58.59845132789816,3.736849963902096e-36,True,A. thaliana,OMalley2016,ABI5,bZIP,.
14,M01776_2.00,225,500,5485,27655,5.036533203260023e-38,1.1819737228676825,44.085100247953896,4.7491545440151856e-36,True,A. thaliana,Zoo_01,ABI5,bZIP,.
15,1.ABF3-MEME,220,500,5281,27655,5.528204689385885e-38,1.2042327243944217,44.8665994350719,4.923173398380874e-36,True,.,.,1.ABF3-MEME,.,.
16,M08404_2.00,198,500,4442,27655,2.0455169912906257e-37,1.3018313794738297,47.76314782336211,1.7257703879151963e-35,True,A. thaliana,JASPAR,PIF1,bHLH,.
17,M06766_2.00,171,500,3445,27655,3.1797628004346856e-37,1.4570326842354449,53.178203783031734,2.5485798845484003e-35,True,A. thaliana,OMalley2016,ABI5,bZIP,.
18,M06778_2.00,169,500,3385,27655,4.885687421643233e-37,1.4654077547610258,53.210529895060645,3.390620436841366e-35,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
19,M08407_2.00,146,500,2599,27655,5.076412382045713e-37,1.635552077349017,59.36145181703193,3.390620436841366e-35,True,A. thaliana,JASPAR,HY5,bZIP,.
20,M06735_2.00,182,500,3858,27655,4.757029636591651e-37,1.3836256490907934,50.256969751412974,3.390620436841366e-35,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
21,M06765_2.00,172,500,3492,27655,4.790703378565144e-37,1.445895348013858,52.5143417200342,3.390620436841366e-35,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
22,ACGTGKV-ZAT6-DREME,218,500,5282,27655,6.5931135753653265e-37,1.190784175551034,43.08365442162365,4.064908100504084e-35,True,.,.,ACGTGKV-ZAT6-DREME,.,.
23,M01056_2.00,211,500,4998,27655,7.068168260933602e-37,1.2234324395616818,44.227930676217646,4.196397674917246e-35,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
24,M06771_2.00,173,500,3549,27655,1.0272185374851202e-36,1.4308998055169804,51.495704631389714,5.880826127102314e-35,True,A. thaliana,OMalley2016,GBF3,bZIP,.
25,M01161_2.00,218,500,5309,27655,1.4559897332728132e-36,1.1834283355943955,42.41033391106154,8.048108767021791e-35,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
