,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06622_2.00,36,500,406,27655,4.066787400778901e-15,2.2940575211983365,33.013204902275554,6.441791242833779e-12,True,A. thaliana,OMalley2016,PLT1,AP2,ANT
1,1.AIL6-MEME,45,500,653,27655,1.5313966990479978e-14,1.9303823517244445,26.668062881743136,1.2128661856460141e-11,True,.,.,1.AIL6-MEME,.,.
2,M06715_2.00,75,500,1720,27655,8.140202907194694e-13,1.270094277847621,15.354633016569426,4.2980271349987984e-10,True,A. thaliana,OMalley2016,BPC1,BBR,.
3,M07349_2.00,85,500,2110,27655,1.3724644905576093e-12,1.1558320894843548,13.71105687059257,5.161359311116329e-10,True,A. thaliana,OMalley2016,FRS9,FAR1,.
4,M08101_2.00,86,500,2155,27655,1.629216954266518e-12,1.1422610376668378,13.464997189879771,5.161359311116329e-10,True,Zea mays,JASPAR,RAMOSA1,C2H2 ZF,.
5,M06719_2.00,74,500,1754,27655,5.553213309602976e-12,1.2224887701254172,13.759668127582373,1.256612840344445e-09,True,A. thaliana,OMalley2016,BPC6,BBR,.
6,M06659_2.00,41,500,656,27655,5.1524718649709586e-12,1.7894684369412006,20.19949174859655,1.256612840344445e-09,True,A. thaliana,OMalley2016,AIL6,AP2,ANT
7,M06716_2.00,90,500,2372,27655,6.945410760112182e-12,1.0694332387248717,11.933059115464193,1.3751913305022118e-09,True,A. thaliana,OMalley2016,BPC1,BBR,.
8,M06623_2.00,49,500,909,27655,8.463856994901841e-12,1.576041796862302,17.450615125428108,1.489638831102724e-09,True,A. thaliana,OMalley2016,PLT1,AP2,ANT
9,2.ANT-MEME,35,500,528,27655,3.90171745751688e-11,1.8743573345277136,19.509706002993724,6.180320452706739e-09,True,.,.,2.ANT-MEME,.,.
10,M01710_2.00,87,500,2375,27655,9.623926270200935e-11,1.0187001346842561,10.203960374140697,1.3858453829089348e-08,True,A. thaliana,Zoo_01,BIM1,bHLH,.
11,M01772_2.00,83,500,2260,27655,2.436310892663718e-10,1.0224008109855753,9.82861227665574,3.215930378316108e-08,True,A. thaliana,Zoo_01,ABF1,bZIP,.
12,M01699_2.00,73,500,1907,27655,5.769221851376544e-10,1.0822038675084615,9.998354654579565,7.029574932754188e-08,True,A. thaliana,Zoo_01,MYC2,bHLH,.
13,M07198_2.00,105,500,3234,27655,7.69521056632812e-10,0.8446099911336614,7.697589215882642,8.706581097902673e-08,True,A. thaliana,OMalley2016,NAC047,NAC/NAM,.
14,M01700_2.00,85,500,2401,27655,8.245927926904731e-10,0.969439684848486,8.806157882861042,8.707699890811396e-08,True,A. thaliana,Zoo_01,BPE,bHLH,.
15,M01687_2.00,57,500,1341,27655,1.3583648095049746e-09,1.2332649292014684,10.935339874564894,1.1432998207372427e-07,True,Medicago truncatula,Zoo_01,MTR_4g101990,AT hook,.
16,M01059_2.00,89,500,2592,27655,1.3713823607328037e-09,0.9253518650229734,8.201246856743097,1.1432998207372427e-07,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
17,M01315_2.00,57,500,1341,27655,1.3583648095049746e-09,1.2332649292014684,10.935339874564894,1.1432998207372427e-07,True,C. sativa,TF_Evolution,PK12736.1,TCP,.
18,M01707_2.00,72,500,1903,27655,1.2446443785940231e-09,1.0653335921094906,9.486747397328093,1.1432998207372427e-07,True,A. thaliana,Zoo_01,MYC4,bHLH,.
19,BCTTCTY-SPL7-1DREME,94,500,2826,27655,2.1436119721215376e-09,0.8795115382848985,7.624356963740006,1.697740681920258e-07,True,.,.,BCTTCTY-SPL7-1DREME,.,.
20,M01156_2.00,78,500,2183,27655,2.9670061095854753e-09,0.9827742408126577,8.380785770425343,2.1948258744912698e-07,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
21,M06833_2.00,92,500,2762,27655,3.0483692701267635e-09,0.8815327887401624,7.507073659369106,2.1948258744912698e-07,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
22,M01118_2.00,75,500,2072,27655,3.5829184347779426e-09,1.0014788397505274,8.458253008609347,2.467540348125331e-07,True,C. sativa,TF_Evolution,PK01630.1,bHLH,.
23,M01714_2.00,71,500,1918,27655,3.960084486973618e-09,1.0338285514277514,8.686533035531815,2.6136557614025877e-07,True,A. thaliana,Zoo_01,ILR3,bHLH,.
24,1-MYC2-1MEME,81,500,2327,27655,4.532789825176531e-09,0.9450629444204767,7.885259709950224,2.87197563323185e-07,True,.,.,1-MYC2-1MEME,.,.
25,M00722_2.00,89,500,2663,27655,4.886652945366756e-09,0.886365154696984,7.366570610921382,2.9770993328695926e-07,True,A. thaliana,Chang2013,PIF3,bHLH,.
26,1.HSF1b-NS,120,500,4039,27655,6.833973708848468e-09,0.7165766018466324,5.851082057016022,4.009264575857768e-07,True,.,.,1.HSF1b-NS,.,.
27,M02516_2.00,46,500,1016,27655,8.62291298986647e-09,1.3243457062260475,10.679981993532346,4.878105062838745e-07,True,Manihot esculenta,Zoo_01,cassava45561.m1,TCP,.
28,M01128_2.00,75,500,2122,27655,9.568151555886844e-09,0.9670781865223165,7.755166270918516,5.226190367077503e-07,True,C. sativa,TF_Evolution,PK20225.1,bHLH,.
29,M07160_2.00,96,500,3020,27655,1.290676982008618e-08,0.8140981034499156,6.422568458187989,6.594943030650487e-07,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
30,M06834_2.00,84,500,2509,27655,1.2850750729200065e-08,0.8888891043107882,7.014287478133536,6.594943030650487e-07,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
