,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,1.AIL6-MEME,123,500,2973,27655,4.0977765589783746e-19,1.194279194372796,21.95975103417026,6.486780292862767e-16,True,.,.,1.AIL6-MEME,.,.
1,M06622_2.00,100,500,2168,27655,1.4239647852132008e-18,1.3511755853620537,24.113756098506112,1.1270681274962485e-15,True,A. thaliana,OMalley2016,PLT1,AP2,ANT
2,M06659_2.00,89,500,1963,27655,4.3458458970168043e-16,1.3263574104414273,20.37540396133894,2.293158018325867e-13,True,A. thaliana,OMalley2016,AIL6,AP2,ANT
3,2.ANT-MEME,112,500,3131,27655,4.894819625294307e-13,0.9844155658601347,12.118414819612969,1.9371248667102222e-10,True,.,.,2.ANT-MEME,.,.
4,M08101_2.00,188,500,6655,27655,3.4285958891215787e-12,0.6438343378195837,7.381485805113184,1.0854934584958918e-09,True,Zea mays,JASPAR,RAMOSA1,C2H2 ZF,.
5,M06716_2.00,156,500,5329,27655,4.4670586637674544e-11,0.6952215380434144,7.195527863105963,1.1785589774573133e-08,True,A. thaliana,OMalley2016,BPC1,BBR,.
6,M06806_2.00,381,500,17443,27655,7.85185261746438e-11,0.272755056094183,2.756197441028527,1.7756403847780162e-08,True,A. thaliana,OMalley2016,SGR5,C2H2 ZF,.
7,M06719_2.00,136,500,4513,27655,1.906287970584046e-10,0.7370602149790526,7.164086348354803,3.772067321793181e-08,True,A. thaliana,OMalley2016,BPC6,BBR,.
8,M06796_2.00,361,500,16376,27655,3.292985097557504e-10,0.28602807680496073,2.7122355629035972,5.7919948993705876e-08,True,A. thaliana,OMalley2016,MGP,C2H2 ZF,.
9,M07349_2.00,150,500,5295,27655,1.2557776592819455e-09,0.6478721585573824,5.766766608518007,1.9878960346433196e-07,True,A. thaliana,OMalley2016,FRS9,FAR1,.
10,M06715_2.00,160,500,5787,27655,1.596315545732826e-09,0.6127966030583031,5.390698951768932,2.2972431899046034e-07,True,A. thaliana,OMalley2016,BPC1,BBR,.
11,M06823_2.00,339,500,15286,27655,2.298951038598228e-09,0.29468658506148604,2.545641306356274,3.032699578417496e-07,True,A. thaliana,OMalley2016,NUC,C2H2 ZF,.
12,M06805_2.00,340,500,15353,27655,2.4999147215758227e-09,0.29262640554065306,2.51719423065996,3.044126926349636e-07,True,A. thaliana,OMalley2016,SGR5,C2H2 ZF,.
13,2.URI.MEME2,84,500,2437,27655,3.542920281245386e-09,0.9308953239966201,7.866659975730296,4.006030575151033e-07,True,.,.,2.URI.MEME2,.,.
14,M06900_2.00,277,500,11895,27655,5.297780232502773e-09,0.36514295167789185,3.021888767096621,5.319987169742472e-07,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
15,1.ABF3-MEME,101,500,3181,27655,5.37711905975234e-09,0.8124152631534821,6.718227680037807,5.319987169742472e-07,True,.,.,1.ABF3-MEME,.,.
16,M06734_2.00,92,500,2821,27655,8.292758808162758e-09,0.851039442412642,6.8775058678428636,6.541444733389606e-07,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
17,ACGTGKV-ZAT6-DREME,102,500,3253,27655,8.391387805101152e-09,0.7943386718715643,6.4152111392184965,6.541444733389606e-07,True,.,.,ACGTGKV-ZAT6-DREME,.,.
18,M02647_2.00,83,500,2445,27655,8.677848351306491e-09,0.9088891184485293,7.327089559355164,6.541444733389606e-07,True,A. thaliana,JASPAR,ANT,AP2,ANT
19,M01770_2.00,102,500,3264,27655,9.934943871942984e-09,0.7894684369412004,6.317985308645081,7.148643704220793e-07,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
20,M09705_2.00,85,500,2539,27655,1.0456149752586693e-08,0.8888146934313967,7.093299611802425,7.196558721019451e-07,True,A. thaliana,Transfac,ANT,AP2,ANT
21,1.FD-MEME,104,500,3373,27655,1.3681558823415036e-08,0.770091552064166,6.055895554863257,9.024128173944168e-07,True,.,.,1.FD-MEME,.,.
22,M06808_2.00,316,500,14187,27655,1.6530121849490033e-08,0.30096725793934304,2.3420441177902975,1.0064301110670277e-06,True,A. thaliana,OMalley2016,IDD5,C2H2 ZF,.
23,M06822_2.00,339,500,15501,27655,1.6092615013967775e-08,0.274536230931528,2.1395633535161815,1.0064301110670277e-06,True,A. thaliana,OMalley2016,NUC,C2H2 ZF,.
24,M06824_2.00,334,500,15232,27655,1.9157072895355132e-08,0.27835496610730925,2.148252007379967,1.123172088642488e-06,True,A. thaliana,OMalley2016,IDD1,C2H2 ZF,.
25,M06795_2.00,266,500,11453,27655,2.1758923177577415e-08,0.3613129453808844,2.768510799995433,1.2301562639323232e-06,True,A. thaliana,OMalley2016,MGP,C2H2 ZF,.
26,M06797_2.00,306,500,13664,27655,2.3526183567232035e-08,0.3087640200133618,2.355390431081182,1.2842051236871832e-06,True,A. thaliana,OMalley2016,AT1G14580,C2H2 ZF,.
27,M06735_2.00,91,500,2852,27655,2.739486339696656e-08,0.8195048106960088,6.197366520508908,1.4455356252466021e-06,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
28,M06901_2.00,258,500,11096,27655,4.2004376422046604e-08,0.3629436200408521,2.677328182991164,2.1449331572935413e-06,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
29,M07285_2.00,68,500,1925,27655,4.970847358688918e-08,0.966288547721914,7.057355635559385,2.459016052751424e-06,True,A. thaliana,OMalley2016,TCP20,TCP,.
30,M06914_2.00,279,500,12260,27655,5.20522206980632e-08,0.33191839019224434,2.417547754858883,2.49692925348588e-06,True,A. thaliana,OMalley2016,HAT5,Homeodomain,HD-ZIP
