,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06716_2.00,116,500,3403,27655,3.878554046972764e-12,0.9148579961037643,10.439746636066468,3.2230784130343666e-09,True,A. thaliana,OMalley2016,BPC1,BBR,.
1,M06719_2.00,114,500,3512,27655,1.2280574467835734e-10,0.844281321570584,8.367487548147992,4.595712044385395e-08,True,A. thaliana,OMalley2016,BPC6,BBR,.
2,M07349_2.00,121,500,3835,27655,1.65910182107776e-10,0.8033208118254994,7.856579529249286,4.595712044385395e-08,True,A. thaliana,OMalley2016,FRS9,FAR1,.
3,M06715_2.00,121,500,3963,27655,1.1975313610511346e-09,0.7559544222478112,6.744408475315851,2.487871402583732e-07,True,A. thaliana,OMalley2016,BPC1,BBR,.
4,M08101_2.00,93,500,2906,27655,1.64685247691102e-08,0.8238082604163905,6.41198415401412,2.7370688166261153e-06,True,Zea mays,JASPAR,RAMOSA1,C2H2 ZF,.
5,M06622_2.00,7,500,22,27655,7.888275348625838e-08,4.137391740361507,29.387967749530137,1.0925261357846785e-05,True,A. thaliana,OMalley2016,PLT1,AP2,ANT
6,2.ANT-MEME,6,500,21,27655,1.4040230096753345e-06,3.9821135148835967,23.30582019523168,0.000166677588720029,True,.,.,2.ANT-MEME,.,.
7,M06861_2.00,146,500,6357,27655,0.00020738721519239026,0.34516262272789167,1.2713091918930206,0.021542346978109538,True,A. thaliana,OMalley2016,DOF4.7,Dof,.
8,M06846_2.00,19,500,446,27655,0.00034738169537825006,1.236496050464481,4.277278568370276,0.03207490987325842,True,A. thaliana,OMalley2016,GATA24,Dof,.
9,1.FDP-MEME,12,500,218,27655,0.0004758023406555824,1.6062466128854302,5.336872311304364,0.039539174508478894,True,.,.,1.FDP-MEME,.,.
10,1.AIL6-MEME,4,500,23,27655,0.0006628811632978614,3.265906480884188,10.380893818789609,0.050077658790956624,True,.,.,1.AIL6-MEME,.,.
11,1.HSF1b-NS,100,500,4232,27655,0.0008046735484638558,0.3862007146018995,1.195051873351692,0.055723643231122014,True,.,.,1.HSF1b-NS,.,.
12,M07263_2.00,5,500,44,27655,0.0010164348485554716,2.6519649131912657,7.937120030768687,0.06497364301150745,True,A. thaliana,OMalley2016,SPL15,SBP,.
13,M06713_2.00,48,500,1778,27655,0.001457414860885156,0.5783913288325869,1.640558885776384,0.06728398607753137,True,A. thaliana,OMalley2016,AT5G60130,B3,REM
14,M06836_2.00,15,500,356,27655,0.0014282002607961656,1.2206256015833212,3.472937256626435,0.06728398607753137,True,A. thaliana,OMalley2016,DOF1.8,Dof,.
15,M06705_2.00,159,500,7376,27655,0.0014248957054638707,0.25372845179621795,0.7221662132124518,0.06728398607753137,True,A. thaliana,OMalley2016,VRN1,B3,REM
16,M06743_2.00,7,500,96,27655,0.0014523577976079307,2.0118608582776485,5.7095130010642015,0.06728398607753137,True,A. thaliana,OMalley2016,BHLH72,bHLH,.
17,M06869_2.00,86,500,3599,27655,0.0012576696892707645,0.4023528047185709,1.1669975157075423,0.06728398607753137,True,A. thaliana,OMalley2016,DOF5.8,Dof,.
18,M06806_2.00,26,500,814,27655,0.001956698144201306,0.8210231708160457,2.2237216906207955,0.083965152831631,True,A. thaliana,OMalley2016,SGR5,C2H2 ZF,.
19,M06832_2.00,88,500,3772,27655,0.0020208219694736705,0.3677860949034011,0.9909893145914118,0.083965152831631,True,A. thaliana,OMalley2016,DOF1.6,Dof,.
20,M02647_2.00,3,500,16,27655,0.0025989264116751424,3.374430937662357,8.723599165098943,0.10284323086200207,True,A. thaliana,JASPAR,ANT,AP2,ANT
21,M06696_2.00,25,500,800,27655,0.002958689607612932,0.7894684369412006,1.9964871989154955,0.10929746338832867,True,A. thaliana,OMalley2016,HMGB15,HMGBox,.
22,M01133_2.00,7,500,111,27655,0.0031566054408181565,1.8024074926486988,4.507424067402387,0.10929746338832867,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
23,M06839_2.00,100,500,4454,27655,0.0030418697076930452,0.3124387839281355,0.7863644877565105,0.10929746338832867,True,A. thaliana,OMalley2016,DOF2.2,Dof,.
24,M07258_2.00,3,500,18,27655,0.003652034463476864,3.2045059362200443,7.810871487301175,0.11438267150843508,True,A. thaliana,OMalley2016,SPL9,SBP,.
25,M08407_2.00,9,500,176,27655,0.003465827953220456,1.4999618197462155,3.690195568983472,0.11438267150843508,True,A. thaliana,JASPAR,HY5,bZIP,.
26,M06833_2.00,105,500,4751,27655,0.0037164044894437386,0.2896984631964793,0.7039316395989123,0.11438267150843508,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
27,M06864_2.00,56,500,2283,27655,0.004033719370434137,0.44010821477410306,1.0537485985279544,0.11971502845824172,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
28,M06854_2.00,146,500,6962,27655,0.004751020879834685,0.21400689709753512,0.49718361846712594,0.12521613028869563,True,A. thaliana,OMalley2016,OBP3,Dof,.
29,M07092_2.00,2,500,496,27655,0.0046583054514398895,-2.1647278734456745,-5.047651924284336,0.12521613028869563,True,A. thaliana,OMalley2016,TRP2,Myb/SANT,MYB-related
30,M06837_2.00,147,500,7019,27655,0.0048218004443300365,0.21209099333873366,0.49137045520641903,0.12521613028869563,True,A. thaliana,OMalley2016,CDF5,Dof,.
31,M06892_2.00,13,500,329,27655,0.004445146390716749,1.1279643813470512,2.6531007361256087,0.12521613028869563,True,A. thaliana,OMalley2016,ZIM,GATA,.
32,M07259_2.00,3,500,24,27655,0.008123899989080998,2.7894684369412004,5.830645762516289,0.1298261709793521,True,A. thaliana,OMalley2016,SPL1,SBP,.
33,M06830_2.00,22,500,740,27655,0.007588301545147137,0.7175185950621855,1.5210356822459863,0.1298261709793521,True,A. thaliana,OMalley2016,DOF1.5,Dof,.
34,M02290_2.00,3,500,24,27655,0.008123899989080998,2.7894684369412004,5.830645762516289,0.1298261709793521,True,A. thaliana,Zoo_01,HHO2,Myb/SANT,G2-like
35,M07215_2.00,74,500,3231,27655,0.00542047074713867,0.3411567673047864,0.7730486102099366,0.1298261709793521,True,A. thaliana,OMalley2016,NAC68,NAC/NAM,.
36,M06742_2.00,3,500,24,27655,0.008123899989080998,2.7894684369412004,5.830645762516289,0.1298261709793521,True,A. thaliana,OMalley2016,BHLH28,bHLH,.
37,M07009_2.00,13,500,344,27655,0.0061238841860349995,1.0636434003801947,2.353814159862901,0.1298261709793521,True,A. thaliana,OMalley2016,RVE7,Myb/SANT,MYB-related
38,M06704_2.00,72,500,3178,27655,0.007072462741420911,0.32549002903499363,0.699943305638835,0.1298261709793521,True,A. thaliana,OMalley2016,VRN1,B3,REM
39,1.FD-MEME,9,500,195,27655,0.0063184587404665465,1.352063124633902,2.973712555552694,0.1298261709793521,True,.,.,1.FD-MEME,.,.
40,M06782_2.00,11,500,269,27655,0.006439344624134584,1.1774376930218735,2.5799524108775853,0.1298261709793521,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
41,M02302_2.00,3,500,24,27655,0.008123899989080998,2.7894684369412004,5.830645762516289,0.1298261709793521,True,A. thaliana,Zoo_01,PHR1,Myb/SANT,G2-like
42,M06851_2.00,101,500,4681,27655,0.007044326489422292,0.2550788699810413,0.5489706743829585,0.1298261709793521,True,A. thaliana,OMalley2016,DOF3.4,Dof,.
43,M01832_2.00,8,500,166,27655,0.007566035324934736,1.4144290055942759,3.0001901097486274,0.1298261709793521,True,P. patens,Zoo_01,estExt_Genewise1.C_2060077,bZIP,.
44,M02697_2.00,13,500,352,27655,0.0071877735297128115,1.0304765364449953,2.208729194313397,0.1298261709793521,True,Antirrhinum majus,JASPAR,squamosa,MADS box,.
45,M06868_2.00,149,500,7185,27655,0.006034173910091744,0.19786451605866312,0.4391369804487068,0.1298261709793521,True,A. thaliana,OMalley2016,DOF5.8,Dof,.
46,M02289_2.00,3,500,24,27655,0.008123899989080998,2.7894684369412004,5.830645762516289,0.1298261709793521,True,A. thaliana,Zoo_01,HHO3,Myb/SANT,G2-like
47,M07253_2.00,3,500,24,27655,0.008123899989080998,2.7894684369412004,5.830645762516289,0.1298261709793521,True,A. thaliana,OMalley2016,SPL14,SBP,.
48,M07261_2.00,3,500,21,27655,0.005637055626270155,2.9821135148835967,6.70661726946923,0.1298261709793521,True,A. thaliana,OMalley2016,SPL5,SBP,.
49,M02329_2.00,3,500,24,27655,0.008123899989080998,2.7894684369412004,5.830645762516289,0.1298261709793521,True,Oryza sativa,Zoo_01,PHR1,Myb/SANT,G2-like
50,M06780_2.00,11,500,263,27655,0.005571108543264521,1.2099810662861952,2.7273679620952276,0.1298261709793521,True,A. thaliana,OMalley2016,BZIP53,bZIP,.
51,M06900_2.00,9,500,201,27655,0.007490483590055433,1.3083417472045842,2.780867487471949,0.1298261709793521,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
52,M06867_2.00,95,500,4425,27655,0.009024432189462589,0.2478623054144262,0.5067743406722616,0.1345278219072836,True,A. thaliana,OMalley2016,DOF5.6,Dof,.
53,M02301_2.00,3,500,25,27655,0.009065653461862673,2.730574747887632,5.5774743994225435,0.1345278219072836,True,A. thaliana,Zoo_01,MYB98,Myb/SANT,R2R3-MYB
54,M06803_2.00,19,500,619,27655,0.008889385096500264,0.7636003511705212,1.566242274406261,0.1345278219072836,True,A. thaliana,OMalley2016,IDD7,C2H2 ZF,.
55,M06834_2.00,53,500,2254,27655,0.00892029452373543,0.37911709133217875,0.7770462783693891,0.1345278219072836,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
56,M06828_2.00,5,500,76,27655,0.009688941589916915,1.8634690183849774,3.752511656180038,0.14125456949510448,True,A. thaliana,OMalley2016,EICBP.B,CG-1,.
57,M07335_2.00,18,500,590,27655,0.010859492866512872,0.7548222941343091,1.4826147458374448,0.1432312039772933,True,A. thaliana,OMalley2016,AtIDD11,C2H2 ZF,.
58,M07265_2.00,3,500,27,27655,0.011118103694380483,2.6195434354988882,5.1185074000061475,0.1432312039772933,True,A. thaliana,OMalley2016,SPL13A,SBP,.
59,M07362_2.00,14,500,412,27655,0.010115233967669836,0.9103228318155864,1.8161159586181768,0.1432312039772933,True,A. thaliana,OMalley2016,AT5G59990,Unknown,.
60,M06863_2.00,116,500,5571,27655,0.010242952993149708,0.20372883141219558,0.4053337531545831,0.1432312039772933,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
61,M06881_2.00,6,500,110,27655,0.011099698693226853,1.5930712241376972,3.1139584956582302,0.1432312039772933,True,A. thaliana,OMalley2016,FAR1,FAR1,.
62,M06899_2.00,9,500,215,27655,0.010793167922819322,1.2112005887940525,2.3822511692386072,0.1432312039772933,True,A. thaliana,OMalley2016,ATHB-15,Homeodomain,HD-ZIP
63,M02656_2.00,5,500,78,27655,0.010677623464329449,1.8259943129663145,3.5999941649214664,0.1432312039772933,True,A. thaliana,JASPAR,ABF1,bZIP,.
64,M06829_2.00,74,500,3376,27655,0.011203403439860486,0.27782261386296525,0.5419346885651949,0.1432312039772933,True,A. thaliana,OMalley2016,DOF1.5,Dof,.
65,M07071_2.00,16,500,506,27655,0.011479819581681502,0.8064748622468902,1.5646136030689186,0.1445413647329898,True,A. thaliana,OMalley2016,RVE7L,Myb/SANT,MYB-related
66,M06841_2.00,32,500,1264,27655,0.012800637672541604,0.48568768876409757,0.9192943071992747,0.15446097557320554,True,A. thaliana,OMalley2016,DOF2.4,Dof,.
67,M06697_2.00,16,500,514,27655,0.012825279560230064,0.7838438877473225,1.482980243130659,0.15446097557320554,True,A. thaliana,OMalley2016,HMGB15,HMGBox,.
68,M07282_2.00,4,500,53,27655,0.012727277629302253,2.0615479823780016,3.9071786693673327,0.15446097557320554,True,A. thaliana,OMalley2016,TCP9,TCP,.
69,M06898_2.00,9,500,223,27655,0.013058255698781504,1.158493538463208,2.182734858084032,0.15502014979553472,True,A. thaliana,OMalley2016,ATHB-9,Homeodomain,HD-ZIP
70,M06733_2.00,3,500,29,27655,0.01339386178312071,2.5164499425347846,4.713547759348327,0.15676477664469451,True,A. thaliana,OMalley2016,AT2G42280,bHLH,.
71,M06880_2.00,5,500,86,27655,0.015238175190207572,1.685131777126465,3.061997406462684,0.17587393865364573,True,A. thaliana,OMalley2016,FAR1,FAR1,.
72,M06871_2.00,4,500,57,27655,0.01596736519552278,1.9565784227764587,3.515515037544349,0.1769184063663924,True,A. thaliana,OMalley2016,E2FA,E2F,.
73,M07336_2.00,57,500,2568,27655,0.015919441657240883,0.2959289639836392,0.5321016339466147,0.1769184063663924,True,A. thaliana,OMalley2016,MIP1B,Unknown,.
74,M06823_2.00,15,500,484,27655,0.015544333096477231,0.7774957952751246,1.4060450928930768,0.1769184063663924,True,A. thaliana,OMalley2016,NUC,C2H2 ZF,.
75,M07190_2.00,10,500,282,27655,0.0191815878742354,0.9718451794297694,1.6687703670411689,0.18752822968811314,True,A. thaliana,OMalley2016,NTL8,NAC/NAM,.
76,M06865_2.00,25,500,964,27655,0.017743644322949552,0.5204352904859638,0.9112599068739735,0.18752822968811314,True,A. thaliana,OMalley2016,DOF5.4,Dof,.
77,M06866_2.00,57,500,2602,27655,0.018529162676572983,0.27695320438814697,0.47972288825429404,0.18752822968811314,True,A. thaliana,OMalley2016,DOF5.4,Dof,.
78,M02480_2.00,1,500,1,27655,0.018079913216815204,5.789468436941201,10.089906772437448,0.18752822968811314,True,P. patens,Zoo_01,fgenesh1_pg.scaffold_194000034,SBP,.
79,M06835_2.00,62,500,2871,27655,0.01897192484170419,0.25632713212089386,0.44136676782251677,0.18752822968811314,True,A. thaliana,OMalley2016,DOF1.8,Dof,.
80,1.ABF4-MEME,9,500,236,27655,0.01735074797888658,1.0767503890216716,1.8958148112965616,0.18752822968811314,True,.,.,1.ABF4-MEME,.,.
81,M07227_2.00,2,500,395,27655,0.019075286130456875,-1.8362404061232647,-3.1574685170705847,0.18752822968811314,True,A. thaliana,OMalley2016,NAC078,NAC/NAM,.
82,M06872_2.00,4,500,60,27655,0.01866768076640209,1.8825778413326821,3.254806967646369,0.18752822968811314,True,A. thaliana,OMalley2016,E2FA,E2F,.
83,M06850_2.00,57,500,2604,27655,0.018689041848125327,0.2758447179403068,0.47677358640328965,0.18752822968811314,True,A. thaliana,OMalley2016,CDF3,Dof,.
84,M02473_2.00,1,500,1,27655,0.018079913216815204,5.789468436941201,10.089906772437448,0.18752822968811314,True,A. thaliana,Zoo_01,AT1G76580,SBP,.
85,M07289_2.00,4,500,61,27655,0.019618608980358724,1.8587310993783142,3.1734706925717107,0.1895705123567221,True,A. thaliana,OMalley2016,TCP14,TCP,.
86,M07365_2.00,9,500,243,27655,0.019979414845874875,1.034580934777732,1.7581846720559973,0.1908378590450807,True,A. thaliana,OMalley2016,AT5G63260,C3H,.
87,M07363_2.00,10,500,286,27655,0.02059040276906347,0.9515251950501735,1.6045903901933953,0.19443891705786073,True,A. thaliana,OMalley2016,AT5G59990,Unknown,.
88,M06702_2.00,126,500,6378,27655,0.02181596171085378,0.1278599781888561,0.2124042737513129,0.1949361739969838,True,A. thaliana,OMalley2016,REM19,B3,REM
89,M07076_2.00,3,500,35,27655,0.0215147977973711,2.24514792071739,3.743251454230232,0.1949361739969838,True,A. thaliana,OMalley2016,ATMYB65,Myb/SANT,R2R3-MYB
90,M07204_2.00,4,500,63,27655,0.021595601949686193,1.812188513441284,3.0184440456428576,0.1949361739969838,True,A. thaliana,OMalley2016,AT3G12910,NAC/NAM,.
91,M07093_2.00,7,500,744,27655,0.0214316700397315,-0.9423354521092268,-1.5727050853202291,0.1949361739969838,True,A. thaliana,OMalley2016,TRP2,Myb/SANT,MYB-related
92,M06797_2.00,23,500,888,27655,0.021164640246035024,0.5186145266481076,0.8683625152985672,0.1949361739969838,True,A. thaliana,OMalley2016,AT1G14580,C2H2 ZF,.
93,M06838_2.00,88,500,4313,27655,0.02228807485870644,0.17442405484399734,0.28813588278665586,0.19557209738466855,True,A. thaliana,OMalley2016,CDF5,Dof,.
94,M07354_2.00,38,500,1654,27655,0.02261625573803094,0.3456524312135111,0.5687984835927392,0.19557209738466855,True,A. thaliana,OMalley2016,ZHD10,Homeodomain,HD-ZF
95,M06781_2.00,9,500,250,27655,0.022828511969088867,0.9936091537214257,1.631031678907711,0.19557209738466855,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
96,M07148_2.00,4,500,532,27655,0.02244515002783537,-1.265813998559989,-2.087172205388122,0.19557209738466855,True,A. thaliana,OMalley2016,TRP1,Myb/SANT,MYB-related
97,M06843_2.00,9,500,251,27655,0.023253289629608972,0.9878498844327408,1.6136681957260968,0.19717840492045974,True,A. thaliana,OMalley2016,DOF2.5,Dof,.
98,M06855_2.00,95,500,4720,27655,0.023882347604111256,0.15475290102294464,0.25099728714198977,0.19846230859016453,True,A. thaliana,OMalley2016,OBP3,Dof,.
99,M06761_2.00,9,500,252,27655,0.023682460449152846,0.9821135148835963,1.5964973888373846,0.19846230859016453,True,A. thaliana,OMalley2016,AtbZIP48,bZIP,.
100,M06822_2.00,19,500,713,27655,0.024972217250173526,0.559637683940898,0.8968433944555062,0.20384843228441954,True,A. thaliana,OMalley2016,NUC,C2H2 ZF,.
101,M06847_2.00,55,500,2571,27655,0.025021107211806008,0.24271425563220403,0.38875383982776707,0.20384843228441954,True,A. thaliana,OMalley2016,DOF3.2,Dof,.
102,M06805_2.00,24,500,962,27655,0.025617317980748084,0.46453785389231483,0.7392963585490757,0.20667952662137531,True,A. thaliana,OMalley2016,SGR5,C2H2 ZF,.
103,M08144_2.00,22,500,864,27655,0.025878364155809942,0.49401255341502925,0.7840291340378522,0.20677808282190444,True,A. thaliana,JASPAR,AP1,MADS box,.
104,M06977_2.00,1,500,286,27655,0.028052956227862927,-2.3704028998371887,-3.6789159464101324,0.2100180777058927,True,A. thaliana,OMalley2016,AT3G58630,Trihelix,MADF
105,M07281_2.00,3,500,39,27655,0.027937064162012328,2.0890287188001087,3.2459730052640756,0.2100180777058927,True,A. thaliana,OMalley2016,TCP9,TCP,.
106,M07285_2.00,4,500,68,27655,0.026964981523025972,1.7020055956908613,2.6707869645411892,0.2100180777058927,True,A. thaliana,OMalley2016,TCP20,TCP,.
107,M07276_2.00,3,500,39,27655,0.027937064162012328,2.0890287188001087,3.2459730052640756,0.2100180777058927,True,A. thaliana,OMalley2016,TCP1,TCP,.
108,M06831_2.00,5,500,102,27655,0.027270630208247725,1.4389711898570672,2.2509895762675987,0.2100180777058927,True,A. thaliana,OMalley2016,DOF1.6,Dof,.
109,M07346_2.00,12,500,393,27655,0.027576145652940986,0.7560454354037501,1.1790274803897178,0.2100180777058927,True,A. thaliana,OMalley2016,AT4G27900,Unknown,.
110,M01095_2.00,2,500,15,27655,0.027046056482441398,2.882577841332682,4.519582409308392,0.2100180777058927,True,C. sativa,TF_Evolution,PK02330.1,AP2,ERF
111,M06856_2.00,44,500,2020,27655,0.028721075592539717,0.2687604779393406,0.4143747167476551,0.21310012336964737,True,A. thaliana,OMalley2016,DOF4.2,Dof,.
112,M07226_2.00,2,500,362,27655,0.02942169897064628,-1.7103774501420048,-2.6191561530662595,0.21446870039128998,True,A. thaliana,OMalley2016,NAC078,NAC/NAM,.
113,M06972_2.00,4,500,70,27655,0.02927728498459948,1.660185419996234,2.5458432075927497,0.21446870039128998,True,A. thaliana,OMalley2016,AT3G10030,Trihelix,MADF
114,M07077_2.00,5,500,105,27655,0.02994148269756258,1.3971510141624404,2.1288763003906195,0.21635975757977832,True,A. thaliana,OMalley2016,ATMYB65,Myb/SANT,R2R3-MYB
115,M06757_2.00,9,500,268,27655,0.0311281307625565,0.8933042479257401,1.3460727883973818,0.2229954884800384,True,A. thaliana,OMalley2016,BZIP44,bZIP,.
116,M07286_2.00,3,500,41,27655,0.03142424111960177,2.016878933044273,3.0308349698886317,0.22319268692640232,True,A. thaliana,OMalley2016,TCP20,TCP,.
117,M06620_2.00,2,500,355,27655,0.03218532566722267,-1.6822067774508438,-2.510427981612517,0.22475634982741208,True,A. thaliana,OMalley2016,ERF7,AP2,ERF
118,M07229_2.00,1,500,277,27655,0.032062728726561684,-2.3242737291079876,-3.472463834235304,0.22475634982741208,True,A. thaliana,OMalley2016,NAC079,NAC/NAM,.
119,M07307_2.00,2,500,354,27655,0.03259863451691711,-1.678137113141797,-2.4950552518748523,0.22574554402965097,True,A. thaliana,OMalley2016,SRS7,SRS,.
120,M07234_2.00,1,500,274,27655,0.033514700533251646,-2.3085636460193264,-3.40458807321791,0.22578882205888495,True,A. thaliana,OMalley2016,NAC92,NAC/NAM,.
121,M06848_2.00,30,500,1314,27655,0.033589356891253745,0.33660947222738924,0.49609447169266846,0.22578882205888495,True,A. thaliana,OMalley2016,DOF3.2,Dof,.
122,1.PIF1.MEME1,5,500,109,27655,0.03369171352021869,1.3432122070516364,1.9778489477020034,0.22578882205888495,True,.,.,1.PIF1.MEME1,.,.
123,M06779_2.00,9,500,272,27655,0.03315183607139441,0.8719305971331734,1.2900147037812726,0.22578882205888495,True,A. thaliana,OMalley2016,BZIP53,bZIP,.
124,M07011_2.00,7,500,690,27655,0.03421305942471377,-0.8336291926667267,-1.2219404132422973,0.22744841905549712,True,A. thaliana,OMalley2016,AT1G18960,Myb/SANT,MYB-related
125,M07412_2.00,1,500,271,27655,0.03502801203918146,-2.292680604412671,-3.337190373465049,0.22919903940598263,True,A. thaliana,OMalley2016,WRKY7,WRKY,.
126,M06976_2.00,1,500,271,27655,0.03502801203918146,-2.292680604412671,-3.337190373465049,0.22919903940598263,True,A. thaliana,OMalley2016,AT3G58630,Trihelix,MADF
127,M06815_2.00,13,500,462,27655,0.03578909481924468,0.6381591136662351,0.9229371622919896,0.23074490233459713,True,A. thaliana,OMalley2016,IDD2,C2H2 ZF,.
128,M06703_2.00,90,500,4667,27655,0.03738431066133996,0.09304178130673167,0.13279952284269542,0.23074490233459713,True,A. thaliana,OMalley2016,REM19,B3,REM
129,M08145_2.00,14,500,513,27655,0.03683744732126135,0.5940083433917508,0.8516359824929671,0.23074490233459713,True,A. thaliana,JASPAR,AGL27,MADS box,.
130,M06756_2.00,8,500,236,27655,0.0374856339532739,0.9068253875793593,1.293255551081139,0.23074490233459713,True,A. thaliana,OMalley2016,BZIP44,bZIP,.
131,1.PIF3.MEME,4,500,76,27655,0.03674049255466912,1.541540923497615,2.2118877414057514,0.23074490233459713,True,.,.,1.PIF3.MEME,.,.
132,M06904_2.00,3,500,44,27655,0.036971141759534275,1.9149993190250596,2.742541642375557,0.23074490233459713,True,A. thaliana,OMalley2016,HDG11,Homeodomain,HD-GL2
133,M06762_2.00,8,500,235,27655,0.03687661556489836,0.9129514903762008,1.3084867596431176,0.23074490233459713,True,A. thaliana,OMalley2016,BZIP2,bZIP,.
134,M06818_2.00,26,500,1119,27655,0.03625213825901122,0.3619138341058985,0.5213970904869326,0.23074490233459713,True,A. thaliana,OMalley2016,JKD,C2H2 ZF,.
135,M07341_2.00,12,500,420,27655,0.03799192652880139,0.660185419996234,0.9376670846030686,0.23214184518701433,True,A. thaliana,OMalley2016,AT4G12670,Unknown,.
136,M06853_2.00,55,500,2710,27655,0.038502859560176565,0.16675101422462624,0.23587047934157046,0.23354654229566954,True,A. thaliana,OMalley2016,AT3G52440,Dof,.
137,M06840_2.00,34,500,1562,27655,0.03931295290914928,0.26775254004956084,0.37631664533606984,0.23673234686596414,True,A. thaliana,OMalley2016,DOF2.2,Dof,.
138,M07268_2.00,3,500,406,27655,0.04124730249731437,-1.2909049795228196,-1.7873927769773394,0.2430958040799166,True,A. thaliana,OMalley2016,HMGB13,HMGBox,.
139,M07293_2.00,3,500,46,27655,0.04086373747696156,1.8508689816053439,2.570231263426239,0.2430958040799166,True,A. thaliana,OMalley2016,TCP21,TCP,.
140,M06795_2.00,20,500,828,27655,0.04099496661447609,0.4179095743292377,0.579753190734159,0.2430958040799166,True,A. thaliana,OMalley2016,MGP,C2H2 ZF,.
141,M01846_2.00,3,500,47,27655,0.0428641430886752,1.8198420859847193,2.4893726427299074,0.24797208411707145,True,O. tauri,Zoo_01,1500010105,bZIP,.
142,M06978_2.00,1,500,257,27655,0.04296989183256111,-2.2161561122526776,-3.029121378665652,0.24797208411707145,True,A. thaliana,OMalley2016,AT5G05550,Trihelix,MADF
143,M06826_2.00,5,500,118,27655,0.04285831542017054,1.2287534824667217,1.6808916387548465,0.24797208411707145,True,A. thaliana,OMalley2016,AZF1,C2H2 ZF,.
144,M06722_2.00,4,500,82,27655,0.04491968387003136,1.4319164323231166,1.9295980454973927,0.2556729951780552,True,A. thaliana,OMalley2016,BHLH80,bHLH,.
145,M06723_2.00,4,500,82,27655,0.04491968387003136,1.4319164323231166,1.9295980454973927,0.2556729951780552,True,A. thaliana,OMalley2016,BHLH80,bHLH,.
146,M06712_2.00,28,500,1281,27655,0.04705785101348664,0.27376859865715797,0.36339165251174116,0.261256549644075,True,A. thaliana,OMalley2016,AT5G60130,B3,REM
147,M01160_2.00,4,500,84,27655,0.04778699825017979,1.3971510141624404,1.8452037206686642,0.261256549644075,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
148,M06695_2.00,18,500,1292,27655,0.04720516191120368,-0.3759969163104122,-0.4985758621616808,0.261256549644075,True,A. thaliana,OMalley2016,ARID3,ARID/BRIGHT,.
149,M10624_2.00,4,500,84,27655,0.04778699825017979,1.3971510141624404,1.8452037206686642,0.261256549644075,True,A. thaliana,Transfac,HAT5,Homeodomain,HD-ZIP
