,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M07160_2.00,101,500,3020,27655,3.632915566558792e-10,0.8873470854805541,8.376329943285441,5.794500328661273e-07,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
1,M01058_2.00,75,500,2240,27655,8.165123629639815e-08,0.8890041104921149,6.301294237364928,2.1705620315459175e-05,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
2,M01132_2.00,80,500,2440,27655,6.907489610940383e-08,0.8587310993783142,6.149098402259185,2.1705620315459175e-05,True,A. thaliana,TF_Evolution,HYH,bZIP,.
3,M00722_2.00,85,500,2663,27655,8.112933654548185e-08,0.8200226598682879,5.81463477904892,2.1705620315459175e-05,True,A. thaliana,Chang2013,PIF3,bHLH,.
4,M01162_2.00,69,500,1969,27655,5.3093879923168964e-08,0.9547454978178161,6.945731045499588,2.1705620315459175e-05,True,C. sativa,TF_Evolution,PK24978.1,bZIP,.
5,M01158_2.00,74,500,2142,27655,2.9890436450874266e-08,0.9341790378198942,7.02920003671211,2.1705620315459175e-05,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
6,M01056_2.00,67,500,1947,27655,1.5874379108647536e-07,0.9285204586786782,6.313292174405235,3.164954334786602e-05,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
7,ACGTGB-ANAC102-DREME,79,500,2443,27655,1.4464521511575396e-07,0.8388110368510472,5.737212433364452,3.164954334786602e-05,True,.,.,ACGTGB-ANAC102-DREME,.,.
8,M07159_2.00,45,500,1103,27655,2.2870245740879702e-07,1.1741044576794926,7.796909719415174,4.053115772967014e-05,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
9,M01848_2.00,76,500,2354,27655,2.6804231489748677e-07,0.8364973453463417,5.497290443529886,4.275274922614914e-05,True,O. tauri,Zoo_01,fgenesh1_pg.C_Chr_07.0001000033,bZIP,.
10,BACGTG-RD26-DREME,76,500,2381,27655,4.096800270496312e-07,0.8200440451144521,5.238076611569267,4.289862474114563e-05,True,.,.,BACGTG-RD26-DREME,.,.
11,M08404_2.00,60,500,1697,27655,2.997210015104196e-07,0.9675881830070556,6.311851375773631,4.289862474114563e-05,True,A. thaliana,JASPAR,PIF1,bHLH,.
12,M01160_2.00,75,500,2336,27655,3.9537393011396753e-07,0.8284625685570641,5.304639174148498,4.289862474114563e-05,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
13,M01776_2.00,71,500,2160,27655,3.5578760139839217e-07,0.8623999593950515,5.561452783967412,4.289862474114563e-05,True,A. thaliana,Zoo_01,ABI5,bZIP,.
14,GBF2-MEME,66,500,1966,27655,4.572267213789817e-07,0.8928149499590734,5.660329285051108,4.289862474114563e-05,True,.,.,GBF2-MEME,.,.
15,M01712_2.00,68,500,2040,27655,3.9091321097584717e-07,0.882577841332682,5.655487894130862,4.289862474114563e-05,True,A. thaliana,Zoo_01,MYC3,bHLH,.
16,M01772_2.00,73,500,2260,27655,4.5667497550694e-07,0.8371859385186676,5.308087684995886,4.289862474114563e-05,True,A. thaliana,Zoo_01,ABF1,bZIP,.
17,M01700_2.00,76,500,2401,27655,5.571228574605523e-07,0.8079762621543696,5.053123152996958,4.403166790580452e-05,True,A. thaliana,Zoo_01,BPE,bHLH,.
18,M01156_2.00,71,500,2183,27655,5.1711522031491e-07,0.8471191414550914,5.325340511803801,4.403166790580452e-05,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
19,M01787_2.00,73,500,2278,27655,6.061570342331569e-07,0.8257409641131058,5.133974133060295,4.403166790580452e-05,True,A. thaliana,Zoo_01,BZIP63,bZIP,.
