,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M07312_2.00,46,353,1276,27655,1.6652668032460523e-10,1.4978776906242506,14.647021226591063,2.3230471905282428e-07,True,A. thaliana,OMalley2016,BHLH157,bHLH,.
1,M07199_2.00,38,353,1022,27655,3.0743176409114943e-09,1.5424763808380713,13.129946520738034,1.8262502419152058e-06,True,A. thaliana,OMalley2016,NAC047,NAC/NAM,.
2,1.ANAC55.1MEME,36,353,941,27655,3.927419875086464e-09,1.5836024370458828,13.311592112086528,1.8262502419152058e-06,True,.,.,1.ANAC55.1MEME,.,.
3,M07176_2.00,29,353,668,27655,9.088801652190444e-09,1.7660050509856273,14.201317916340273,3.1697195762014174e-06,True,A. thaliana,OMalley2016,NAC018,NAC/NAM,.
4,M07159_2.00,33,353,940,27655,1.2477046017837317e-07,1.459605521125561,10.076953367740085,2.900913199147176e-05,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
5,M00976_2.00,23,353,502,27655,1.2134195853094858e-07,1.8437467504383482,12.75133224401663,2.900913199147176e-05,True,A. thaliana,Lindemose2014,NAC055,NAC/NAM,.
6,M01058_2.00,32,353,922,27655,2.4702611677541975e-07,1.4431054079027692,9.534968493738305,4.9228776128815795e-05,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
7,M07181_2.00,27,353,706,27655,3.4864788209185827e-07,1.5830914772243954,10.222992053853313,6.079547443976778e-05,True,A. thaliana,OMalley2016,NAC029,NAC/NAM,.
8,M00974_2.00,20,353,433,27655,6.982963544800306e-07,1.8554332284927448,11.421973155166079,0.00010823593494440474,True,A. thaliana,Lindemose2014,NAC030,NAC/NAM,.
9,M06770_2.00,51,353,2009,27655,1.136425284048518e-06,0.9918918415703109,5.8962604960682015,0.00015853132712476825,True,A. thaliana,OMalley2016,GBF3,bZIP,.
10,M00973_2.00,18,353,388,27655,2.3161882071663565e-06,1.8617405075872917,10.491328800168317,0.00027885198926547324,True,A. thaliana,Lindemose2014,NAC029,NAC/NAM,.
11,M00972_2.00,18,353,389,27655,2.398726789380415e-06,1.8580270047882277,10.44214746809452,0.00027885198926547324,True,A. thaliana,Lindemose2014,NAC019,NAC/NAM,.
12,M06767_2.00,50,353,2017,27655,2.751544348426834e-06,0.9575891694938706,5.324601305110861,0.0002952618743119564,True,A. thaliana,OMalley2016,ABI5,bZIP,.
13,1.FDP-MEME,48,353,1947,27655,4.998640483520718e-06,0.9496536803329688,5.034254801086678,0.0004980788196079572,True,.,.,1.FDP-MEME,.,.
14,M06778_2.00,50,353,2084,27655,6.477402086898065e-06,0.9104449758283238,4.723934021453775,0.00060239839408152,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
15,M00980_2.00,19,353,466,27655,7.506107689161633e-06,1.6754697171214123,8.586087330674054,0.0006544387641487799,True,A. thaliana,Lindemose2014,NAC105,NAC/NAM,.
16,M01133_2.00,46,353,1869,27655,8.148675725799162e-06,0.947239450643962,4.820419120844968,0.0006686707433817547,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
17,M07207_2.00,31,353,1072,27655,1.3520172120834606e-05,1.1798354682612098,5.7446398718484675,0.0010353360815181889,True,A. thaliana,OMalley2016,NAC055,NAC/NAM,.
18,M06755_2.00,50,353,2149,27655,1.4101351647917986e-05,0.8661347706790484,4.201393934155161,0.0010353360815181889,True,A. thaliana,OMalley2016,ABF2,bZIP,.
19,M08407_2.00,39,353,1532,27655,1.900467762276887e-05,0.9959299852693984,4.701924385674351,0.0013255762641881288,True,A. thaliana,JASPAR,HY5,bZIP,.
20,M06777_2.00,48,353,2068,27655,2.1979405482086426e-05,0.8626703787383289,4.018304872270204,0.0014600605070243125,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
21,M07356_2.00,30,353,1084,27655,3.961708863638547e-05,1.1164699025867544,4.9148316326181085,0.0025120835748980784,True,A. thaliana,OMalley2016,BMY2,BES1,.
22,M01132_2.00,35,353,1364,27655,4.2133664239896754e-05,1.0073834362529015,4.407676041089416,0.0025554983310719986,True,A. thaliana,TF_Evolution,HYH,bZIP,.
23,M07323_2.00,23,353,728,27655,4.585261825189296e-05,1.3074956641904238,5.672747576016841,0.002665183435891278,True,A. thaliana,OMalley2016,BEH4,BES1,.
24,M06925_2.00,72,353,3724,27655,7.744247876287038e-05,0.5990159922156256,2.4625671763771315,0.004321290314968167,True,A. thaliana,OMalley2016,HB-5,Homeodomain,HD-ZIP
25,M06765_2.00,44,353,1960,27655,9.553070229174321e-05,0.8145220279668338,3.2742620998349614,0.004935752951740066,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
