,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M07199_2.00,84,500,2130,27655,5.62072315442268e-12,1.1251481446067606,12.658150438362535,8.97629487761302e-09,True,A. thaliana,OMalley2016,NAC047,NAC/NAM,.
1,1.ANAC55.1MEME,78,500,1998,27655,5.664530044338734e-11,1.1105297880110305,11.379416739006388,4.52312724040448e-08,True,.,.,1.ANAC55.1MEME,.,.
2,M07181_2.00,88,500,2450,27655,1.9624838944787494e-10,0.9903340216885648,9.613364373003975,1.0446955931608543e-07,True,A. thaliana,OMalley2016,NAC029,NAC/NAM,.
3,M07176_2.00,87,500,2438,27655,3.462763960423537e-10,0.9809295221697165,9.280159385098932,1.3825085111990972e-07,True,A. thaliana,OMalley2016,NAC018,NAC/NAM,.
4,M01773_2.00,112,500,3631,27655,3.300507652800622e-09,0.7706721441985973,6.536393563810215,1.0541821443045187e-06,True,A. thaliana,Zoo_01,ABF1,bZIP,.
5,M07207_2.00,64,500,1698,27655,1.2523394324440375e-08,1.059847693388162,8.375211052055668,2.49998259201641e-06,True,A. thaliana,OMalley2016,NAC055,NAC/NAM,.
6,M08404_2.00,87,500,2625,27655,1.0819482283074013e-08,0.8743102253490813,6.964574727478371,2.49998259201641e-06,True,A. thaliana,JASPAR,PIF1,bHLH,.
7,1-MYC3-1MEME,102,500,3277,27655,1.2109184576595767e-08,0.7837338213699362,6.204730613503986,2.49998259201641e-06,True,.,.,1-MYC3-1MEME,.,.
8,M00722_2.00,121,500,4157,27655,1.8337408371171063e-08,0.6870046415914227,5.315122734127973,3.2538712409733545e-06,True,A. thaliana,Chang2013,PIF3,bHLH,.
9,M01056_2.00,95,500,3015,27655,2.3464887087511618e-08,0.8013817584847013,6.114207464024626,3.435327703709233e-06,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
10,M01712_2.00,99,500,3190,27655,2.3662244671760528e-08,0.7794843483685784,5.9443040357368195,3.435327703709233e-06,True,A. thaliana,Zoo_01,MYC3,bHLH,.
11,1.ABF3-MEME,99,500,3203,27655,2.872915101330952e-08,0.7736169742461266,5.834369502261835,3.823371180687942e-06,True,.,.,1.ABF3-MEME,.,.
12,M01132_2.00,112,500,3797,27655,3.533723558199449e-08,0.7061790753797155,5.262282232381409,4.341043478803478e-06,True,A. thaliana,TF_Evolution,HYH,bZIP,.
13,M01826_2.00,102,500,3361,27655,4.170453111109197e-08,0.7472189516046941,5.514338940398382,4.757295441743849e-06,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
14,M01161_2.00,99,500,3249,27655,5.626903868098048e-08,0.7530450286913268,5.459373515701108,5.990776984901722e-06,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
15,1.ABF4-MEME,93,500,2998,27655,6.78865638245133e-08,0.7788425801013723,5.582911979063688,6.3773436722204555e-06,True,.,.,1.ABF4-MEME,.,.
16,BACGTG-RD26-DREME,109,500,3709,27655,6.706027841222117e-08,0.7008382092151171,5.027487176345713,6.3773436722204555e-06,True,.,.,BACGTG-RD26-DREME,.,.
17,M01772_2.00,103,500,3456,27655,8.447599987565589e-08,0.7210814619609502,5.100401463399375,6.745408590071123e-06,True,A. thaliana,Zoo_01,ABF1,bZIP,.
18,ACGTGB-ANAC102-DREME,111,500,3811,27655,7.789543271754516e-08,0.6879304104791384,4.890145071709003,6.745408590071123e-06,True,.,.,ACGTGB-ANAC102-DREME,.,.
19,M07159_2.00,63,500,1749,27655,8.034910869187387e-08,0.9944337865194642,7.055526546429203,6.745408590071123e-06,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
20,M01162_2.00,93,500,3033,27655,1.1342383206273515e-07,0.762097465425061,5.292992237415753,8.625612371628001e-06,True,C. sativa,TF_Evolution,PK24978.1,bZIP,.
21,M07312_2.00,71,500,2107,27655,1.4537738924462145e-07,0.8982409576285761,6.141725363477004,1.0280185094075365e-05,True,A. thaliana,OMalley2016,BHLH157,bHLH,.
22,M01158_2.00,99,500,3318,27655,1.4805526434798585e-07,0.722726886064947,4.935918301103614,1.0280185094075365e-05,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
23,M01714_2.00,90,500,2936,27655,1.8762324265928978e-07,0.7616852804276624,5.123638553852444,1.2484763271953573e-05,True,A. thaliana,Zoo_01,ILR3,bHLH,.
24,M01164_2.00,98,500,3297,27655,2.0445349436381855e-07,0.7172401093860217,4.797909905589862,1.2558162711500702e-05,True,C. sativa,TF_Evolution,PK27149.1,bZIP,.
25,M01776_2.00,99,500,3339,27655,1.968674524508882e-07,0.7136246789576945,4.785442982506804,1.2558162711500702e-05,True,A. thaliana,Zoo_01,ABI5,bZIP,.
26,M01757_2.00,92,500,3038,27655,2.283754710539632e-07,0.74412423849613,4.941989916028174,1.3507986195302933e-05,True,P. patens,Zoo_01,fgenesh1_pg.scaffold_37000071,bHLH,.
27,M07160_2.00,128,500,4695,27655,2.48479835012194e-07,0.5925589944000638,3.913679634450568,1.4172224875516922e-05,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
28,M01058_2.00,101,500,3452,27655,2.670540278944566e-07,0.6944631705140404,4.564984807374779,1.4482648350323666e-05,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
29,M01845_2.00,103,500,3546,27655,2.7929142276635907e-07,0.6839921432257303,4.482845109834337,1.4482648350323666e-05,True,O. tauri,Zoo_01,300010311,bZIP,.
30,M00974_2.00,76,500,2357,27655,2.811284275892509e-07,0.8346599071346186,5.467936541723219,1.4482648350323666e-05,True,A. thaliana,Lindemose2014,NAC030,NAC/NAM,.
31,M01700_2.00,107,500,3732,27655,2.930165302494766e-07,0.6652021524905886,4.345837423327038,1.462335621276294e-05,True,A. thaliana,Zoo_01,BPE,bHLH,.
