,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M01311_2.00,178,500,4693,27655,2.190469452738286e-24,1.068907122879335,25.289768309254768,1.7512803274642596e-21,True,A. thaliana,TF_Evolution,TCP8,TCP,.
1,M01133_2.00,223,500,6640,27655,1.3750823164164296e-24,0.8934008106272181,21.3180364849561,1.7512803274642596e-21,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
2,M01059_2.00,241,500,7649,27655,3.734333517075997e-23,0.8013023406178901,17.97143813574866,1.5466008679027724e-20,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
3,M01058_2.00,219,500,6619,27655,3.8689202449099996e-23,0.8718579410738884,19.540437831409616,1.5466008679027724e-20,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
4,M02502_2.00,155,500,3892,27655,6.751200883318952e-23,1.1392968474343266,25.25891629739188,1.8114274596530726e-20,True,A. thaliana,Zoo_01,TCP20,TCP,.
5,M00891_2.00,142,500,3386,27655,7.30677455407471e-23,1.2138492985502405,26.870101022261316,1.8114274596530726e-20,True,A. thaliana,Franco_Zorrilla2014,TCP23,TCP,.
6,M02504_2.00,160,500,4099,27655,7.92995135557943e-23,1.1103402571937842,24.539329651386538,1.8114274596530726e-20,True,A. thaliana,Zoo_01,TCP19,TCP,.
7,M02511_2.00,143,500,3444,27655,1.2541928132773752e-22,1.1994703463227456,26.270362548673074,2.5068178855381535e-20,True,G. max,Zoo_01,GLYMA19G26560,TCP,.
8,M01704_2.00,204,500,6012,27655,1.748872104099537e-22,0.9082644849963314,19.76133015423491,3.107162771616844e-20,True,A. thaliana,Zoo_01,BHLH34,bHLH,.
9,M01846_2.00,205,500,6067,27655,2.155402851347905e-22,0.9021809404137301,19.547077675681276,3.4464891593053003e-20,True,O. tauri,Zoo_01,1500010105,bZIP,.
10,M06770_2.00,199,500,5831,27655,4.2220751375969355e-22,0.9165654500616978,19.591104420225594,5.940758804738669e-20,True,A. thaliana,OMalley2016,GBF3,bZIP,.
11,M01779_2.00,231,500,7308,27655,4.79337648901374e-22,0.8059565597297693,17.182476798954617,5.940758804738669e-20,True,A. thaliana,Zoo_01,GBF3,bZIP,.
