,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M07274_2.00,166,500,5087,27655,5.752780693980382e-16,0.8519084894254966,12.983189466489934,3.4683287113676184e-13,True,A. thaliana,OMalley2016,TCP3,TCP,.
1,M06927_2.00,403,500,17795,27655,4.433386807634213e-16,0.3249201530720201,4.988585011003518,3.4683287113676184e-13,True,A. thaliana,OMalley2016,ATHB-51,Homeodomain,HD-ZIP
2,M07290_2.00,139,500,3941,27655,8.5160410096565945e-16,0.9640634755268742,14.528207375738349,3.4683287113676184e-13,True,A. thaliana,OMalley2016,TCP17,TCP,.
3,M02500_2.00,149,500,4367,27655,8.763938626323735e-16,0.9162101416231071,13.795651581572367,3.4683287113676184e-13,True,A. thaliana,Zoo_01,TCP3,TCP,.
4,M07291_2.00,158,500,4788,27655,1.5542739301330643e-15,0.8680417481748015,12.854372302326022,4.0172288351380575e-13,True,A. thaliana,OMalley2016,TCP17,TCP,.
5,M01058_2.00,208,500,7094,27655,1.7388240202719093e-15,0.6975245401471039,10.295283903715013,4.0172288351380575e-13,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
6,1.PIF1.MEME1,202,500,6809,27655,1.7764119927963617e-15,0.7144527018414334,10.538503359435284,4.0172288351380575e-13,True,.,.,1.PIF1.MEME1,.,.
7,M08144_2.00,432,500,19919,27655,4.734356854379871e-15,0.2624983384170132,3.760220188388104,9.368108625604171e-13,True,A. thaliana,JASPAR,AP1,MADS box,.
8,M08047_2.00,208,500,7172,27655,5.717949200688849e-15,0.6817483822139178,9.70997838872211,1.005723731632272e-12,True,A. thaliana,JASPAR,PIF5,bHLH,.
9,M06848_2.00,408,500,18360,27655,9.510010545422272e-15,0.2976153406115257,4.173108438119705,1.5054346693403455e-12,True,A. thaliana,OMalley2016,DOF3.2,Dof,.
10,M06843_2.00,429,500,19794,27655,1.3765204390395456e-14,0.26152671115465914,3.6250785823982175,1.8158598791663339e-12,True,A. thaliana,OMalley2016,DOF2.5,Dof,.
11,M01779_2.00,192,500,6462,27655,1.274746397864451e-14,0.716665902396993,9.957768995507795,1.8158598791663339e-12,True,A. thaliana,Zoo_01,GBF3,bZIP,.
