,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M07349_2.00,117,500,3835,27655,2.526706613709809e-09,0.7548222941343096,6.48954329662787,2.2614024192702794e-06,True,A. thaliana,OMalley2016,FRS9,FAR1,.
1,M06715_2.00,116,500,3963,27655,2.876665420696545e-08,0.6950721801007889,5.241616217868287,1.287307775761704e-05,True,A. thaliana,OMalley2016,BPC1,BBR,.
2,M06719_2.00,104,500,3512,27655,9.828818506572314e-08,0.7118310255469344,4.988154974960877,2.9322641877940737e-05,True,A. thaliana,OMalley2016,BPC6,BBR,.
3,M06716_2.00,96,500,3403,27655,2.466405683239643e-06,0.6418395016973483,3.5993945188819243,0.0005518582716248702,True,A. thaliana,OMalley2016,BPC1,BBR,.
4,M08101_2.00,84,500,2906,27655,4.493835783890567e-06,0.6769668720871195,3.6200010092169084,0.0008043966053164114,True,Zea mays,JASPAR,RAMOSA1,C2H2 ZF,.
5,M06855_2.00,119,500,4720,27655,2.441719698994701e-05,0.47971505599994024,2.2125917642526196,0.003642231884333762,True,A. thaliana,OMalley2016,OBP3,Dof,.
6,M06863_2.00,134,500,5571,27655,5.945328146005605e-05,0.411837026742396,1.7403508616949408,0.007601526700964308,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
7,M02656_2.00,8,500,78,27655,7.195975599912161e-05,2.504066218078952,10.374121771654577,0.00805049770240173,True,A. thaliana,JASPAR,ABF1,bZIP,.
8,M06839_2.00,109,500,4454,27655,0.00015730895963178576,0.43676691893033703,1.6611322737122967,0.015643502096716472,True,A. thaliana,OMalley2016,DOF2.2,Dof,.
9,M06861_2.00,146,500,6357,27655,0.00020738721519239026,0.34516262272789167,1.2713091918930206,0.018561155759718926,True,A. thaliana,OMalley2016,DOF4.7,Dof,.
10,M06851_2.00,112,500,4681,27655,0.00028192690869825883,0.4042223092868506,1.4349340097507346,0.022938598480449244,True,A. thaliana,OMalley2016,DOF3.4,Dof,.
11,M06838_2.00,104,500,4313,27655,0.0003512872697086191,0.4154321543477923,1.4350429061564574,0.025499302457772186,True,A. thaliana,OMalley2016,CDF5,Dof,.
12,M06837_2.00,157,500,7019,27655,0.00037038092955423286,0.30703939739399644,1.0535600607876456,0.025499302457772186,True,A. thaliana,OMalley2016,CDF5,Dof,.
13,M06561_2.00,5,500,38,27655,0.000523640337766932,2.8634690183849774,9.394947084749266,0.029505191749463935,True,A. thaliana,OMalley2016,ERF023,AP2,DREB
14,M06854_2.00,155,500,6962,27655,0.0004859777571713845,0.3003067434917555,0.9950314411396167,0.029505191749463935,True,A. thaliana,OMalley2016,OBP3,Dof,.
15,M06868_2.00,159,500,7185,27655,0.0005274671150742156,0.2915789508808569,0.9557388297454562,0.029505191749463935,True,A. thaliana,OMalley2016,DOF5.8,Dof,.
16,M06892_2.00,15,500,329,27655,0.0006922268436643297,1.3344152588144775,4.216420700177631,0.03644370735762206,True,A. thaliana,OMalley2016,ZIM,GATA,.
17,M06705_2.00,161,500,7376,27655,0.00084003081445836,0.2717623746264797,0.8358608353759468,0.0417681988300129,True,A. thaliana,OMalley2016,VRN1,B3,REM
18,M06608_2.00,5,500,48,27655,0.0014907321827741609,2.526434031107407,7.141219373771838,0.07022133176751968,True,A. thaliana,OMalley2016,ERF038,AP2,DREB
19,M06702_2.00,139,500,6378,27655,0.0018403100071191795,0.26952112741244727,0.7371696645895343,0.07843225982722218,True,A. thaliana,OMalley2016,REM19,B3,REM
20,M06869_2.00,85,500,3599,27655,0.0017534742985134946,0.38547898615417486,1.062418863250466,0.07843225982722218,True,A. thaliana,OMalley2016,DOF5.8,Dof,.
21,M02684_2.00,5,500,53,27655,0.002282242634780658,2.383476077265364,6.296281420636721,0.09284577991494042,True,A. thaliana,JASPAR,ATHB-5,Homeodomain,HD-ZIP
22,M06757_2.00,12,500,268,27655,0.002448263559448883,1.3083417472045842,3.4162658660513525,0.0952693863350761,True,A. thaliana,OMalley2016,BZIP44,bZIP,.
23,M06929_2.00,7,500,109,27655,0.0028711885235389316,1.8286390342218781,4.648287580765026,0.0988351434064363,True,A. thaliana,OMalley2016,HAT2,Homeodomain,HD-ZIP
24,M06779_2.00,12,500,272,27655,0.0027318159252920633,1.2869680964120174,3.2992052200445965,0.0988351434064363,True,A. thaliana,OMalley2016,BZIP53,bZIP,.
25,M06864_2.00,57,500,2283,27655,0.0028069143093925743,0.4656433068812407,1.1882150148922437,0.0988351434064363,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
26,M01133_2.00,7,500,111,27655,0.0031566054408181565,1.8024074926486988,4.507424067402387,0.10463562479749075,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
27,M07346_2.00,15,500,393,27655,0.003334775902221062,1.0779735302911124,2.670068582706924,0.10659372973170894,True,A. thaliana,OMalley2016,AT4G27900,Unknown,.
28,M06808_2.00,16,500,437,27655,0.003655486719705876,1.017978967440602,2.4808705182500588,0.11281588324609514,True,A. thaliana,OMalley2016,IDD5,C2H2 ZF,.
29,1.FDP-MEME,10,500,218,27655,0.004421107539807061,1.3432122070516364,3.1625513959577525,0.12061951878335359,True,.,.,1.FDP-MEME,.,.
30,M06867_2.00,98,500,4425,27655,0.004447423597598512,0.2927165411986865,0.6884375463066489,0.12061951878335359,True,A. thaliana,OMalley2016,DOF5.6,Dof,.
31,M06846_2.00,16,500,446,27655,0.004334345738014595,0.9885685370208956,2.336063028294378,0.12061951878335359,True,A. thaliana,OMalley2016,GATA24,Dof,.
32,M06761_2.00,11,500,252,27655,0.004205261312551536,1.2716201320785814,3.0216326747187776,0.12061951878335359,True,A. thaliana,OMalley2016,AtbZIP48,bZIP,.
33,M06992_2.00,15,500,412,27655,0.004874727747028496,1.0098585053665008,2.334842988314054,0.12768969282734396,True,A. thaliana,OMalley2016,AGL15,MADS box,.
34,M06988_2.00,12,500,296,27655,0.004993451674812334,1.1649775720334068,2.6813113880982598,0.12768969282734396,True,A. thaliana,OMalley2016,AGL16,MADS box,.
35,M06638_2.00,9,500,191,27655,0.005613189959286566,1.381964610347764,3.110512485070489,0.1322053950937231,True,A. thaliana,OMalley2016,ERF091,AP2,ERF
36,M07020_2.00,8,500,156,27655,0.005452201640478348,1.5040662180789521,3.4043457285611542,0.1322053950937231,True,A. thaliana,OMalley2016,AtMYB93,Myb/SANT,R2R3-MYB
37,M06780_2.00,11,500,263,27655,0.005571108543264521,1.2099810662861952,2.7273679620952276,0.1322053950937231,True,A. thaliana,OMalley2016,BZIP53,bZIP,.
38,M06866_2.00,61,500,2602,27655,0.006410853468052495,0.37480052778629136,0.8219690967531211,0.1387807308979092,True,A. thaliana,OMalley2016,DOF5.4,Dof,.
39,M06782_2.00,11,500,269,27655,0.006439344624134584,1.1774376930218735,2.5799524108775853,0.1387807308979092,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
40,M06833_2.00,103,500,4751,27655,0.006055001255432647,0.26195347271357494,0.5809828775623509,0.1387807308979092,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
41,M06834_2.00,54,500,2254,27655,0.006512615304706353,0.406084138932448,0.8877992455385039,0.1387807308979092,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
42,M06798_2.00,18,500,565,27655,0.007713749924228978,0.8172863810809627,1.7267090886112961,0.1448683019009239,True,A. thaliana,OMalley2016,AT1G14580,C2H2 ZF,.
43,M06776_2.00,10,500,237,27655,0.007363705788423919,1.2226532829303038,2.607801554168406,0.1448683019009239,True,A. thaliana,OMalley2016,ATBZIP42,bZIP,.
44,M06756_2.00,10,500,236,27655,0.007181337285196204,1.2287534824667217,2.634195172999853,0.1448683019009239,True,A. thaliana,OMalley2016,BZIP44,bZIP,.
45,M06677_2.00,7,500,133,27655,0.00776947317457469,1.5415409234976152,3.252047725009658,0.1448683019009239,True,A. thaliana,OMalley2016,ERF105,AP2,ERF
46,M06993_2.00,15,500,435,27655,0.007384442653444262,0.9314874418136284,1.9856352717344563,0.1448683019009239,True,A. thaliana,OMalley2016,AGL15,MADS box,.
47,1.HSF1b-NS,92,500,4232,27655,0.007749421448268957,0.26590648088418756,0.561256977738848,0.1448683019009239,True,.,.,1.HSF1b-NS,.,.
48,M06797_2.00,25,500,888,27655,0.008659326067289912,0.6389087603658193,1.31775948116634,0.15816524143315247,True,A. thaliana,OMalley2016,AT1G14580,C2H2 ZF,.
49,M07363_2.00,11,500,286,27655,0.009417769448138708,1.0890287188001082,2.2064287544482304,0.16857807312168288,True,A. thaliana,OMalley2016,AT5G59990,Unknown,.
50,M06856_2.00,48,500,2020,27655,0.009920268877827931,0.39429136002319964,0.7899534962837272,0.1740909930520784,True,A. thaliana,OMalley2016,DOF4.2,Dof,.
51,M06832_2.00,82,500,3772,27655,0.010184053467174442,0.26590648088418783,0.529706804086796,0.17528322794463702,True,A. thaliana,OMalley2016,DOF1.6,Dof,.
52,M07217_2.00,5,500,78,27655,0.010677623464329449,1.8259943129663145,3.5999941649214664,0.18031081133160107,True,A. thaliana,OMalley2016,BRN2,NAC/NAM,.
53,M06990_2.00,11,500,293,27655,0.01088169905962045,1.0541432011562497,2.069602813861714,0.18035408626593155,True,A. thaliana,OMalley2016,FLC,MADS box,.
54,M02693_2.00,7,500,148,27655,0.012724898214479287,1.387369993369855,2.629545727472475,0.182195186362438,True,A. thaliana,JASPAR,AGL3,MADS box,.
55,M07334_2.00,40,500,1658,27655,0.012683719382421183,0.41616824033281247,0.7893685144072179,0.182195186362438,True,A. thaliana,OMalley2016,AtIDD11,C2H2 ZF,.
56,M06604_2.00,7,500,148,27655,0.012724898214479287,1.387369993369855,2.629545727472475,0.182195186362438,True,A. thaliana,OMalley2016,ERF15,AP2,ERF
57,M06862_2.00,11,500,307,27655,0.014249902843989564,0.9868052102083185,1.8218280328189513,0.182195186362438,True,A. thaliana,OMalley2016,DOF4.7,Dof,.
58,M01160_2.00,5,500,84,27655,0.01400641225215999,1.7190791090498025,3.186610692907795,0.182195186362438,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
59,M06829_2.00,73,500,3376,27655,0.014021299128744483,0.25819380711403267,0.4784877959348164,0.182195186362438,True,A. thaliana,OMalley2016,DOF1.5,Dof,.
60,M06991_2.00,12,500,335,27655,0.011218664369459784,0.986413652317222,1.9235646671745328,0.182195186362438,True,A. thaliana,OMalley2016,FLC,MADS box,.
61,M10908_2.00,7,500,148,27655,0.012724898214479287,1.387369993369855,2.629545727472475,0.182195186362438,True,A. thaliana,Transfac,AGL3,MADS box,.
62,M06809_2.00,20,500,701,27655,0.013852355508011322,0.6581258978179397,1.2231114303757535,0.182195186362438,True,A. thaliana,OMalley2016,IDD4,C2H2 ZF,.
63,M07358_2.00,18,500,602,27655,0.012642483242919776,0.7257737616238108,1.3776402489219959,0.182195186362438,True,A. thaliana,OMalley2016,EMB1789,Unknown,.
64,M06672_2.00,10,500,259,27655,0.012230272220835964,1.094588244142009,2.0934699352228914,0.182195186362438,True,A. thaliana,OMalley2016,ERF2,AP2,ERF
65,M01845_2.00,7,500,150,27655,0.013508231995843521,1.3680046685029237,2.557349964563888,0.182195186362438,True,O. tauri,Zoo_01,300010311,bZIP,.
66,M07282_2.00,4,500,53,27655,0.012727277629302253,2.0615479823780016,3.9071786693673327,0.182195186362438,True,A. thaliana,OMalley2016,TCP9,TCP,.
67,M07364_2.00,11,500,307,27655,0.014249902843989564,0.9868052102083185,1.8218280328189513,0.182195186362438,True,A. thaliana,OMalley2016,AT5G63260,C3H,.
68,M02696_2.00,8,500,188,27655,0.014043254837760982,1.2348795852635632,2.2876542233488184,0.182195186362438,True,A. thaliana,JASPAR,SEP1,MADS box,.
69,M10909_2.00,8,500,188,27655,0.014043254837760982,1.2348795852635632,2.2876542233488184,0.182195186362438,True,A. thaliana,Transfac,AGL3,MADS box,.
70,M06775_2.00,9,500,230,27655,0.015274544816895221,1.1139033874391373,2.0228838878526156,0.18627015415622286,True,A. thaliana,OMalley2016,ATBZIP42,bZIP,.
71,1-MYC3-1MEME,7,500,155,27655,0.015596353576640595,1.3206989537245672,2.3864725378351612,0.18627015415622286,True,.,.,1-MYC3-1MEME,.,.
72,M06625_2.00,9,500,231,27655,0.015609230795214205,1.1076443969674554,2.0010908566993786,0.18627015415622286,True,A. thaliana,OMalley2016,ERF095,AP2,ERF
73,M02697_2.00,12,500,352,27655,0.015101948860033928,0.9149993190250596,1.6661835692893,0.18627015415622286,True,Antirrhinum majus,JASPAR,squamosa,MADS box,.
74,M06703_2.00,97,500,4667,27655,0.014939737380048286,0.20110152716418467,0.36714241816861826,0.18627015415622286,True,A. thaliana,OMalley2016,REM19,B3,REM
75,M06840_2.00,37,500,1562,27655,0.017932555739854,0.3897430644281708,0.68063084467989,0.18760987602750062,True,A. thaliana,OMalley2016,DOF2.2,Dof,.
76,M08147_2.00,22,500,811,27655,0.01638080797476025,0.5853419513612248,1.0452244486776328,0.18760987602750062,True,A. thaliana,JASPAR,FLC,MADS box,.
77,M06985_2.00,9,500,234,27655,0.016640516123178,1.0890287188001082,1.9372004491781627,0.18760987602750062,True,A. thaliana,OMalley2016,SVP,MADS box,.
78,M01619_2.00,5,500,89,27655,0.017200736081017933,1.6356631008621652,2.886050612441867,0.18760987602750062,True,A. thaliana,Zoo_01,ERF1B,AP2,ERF
79,M06762_2.00,9,500,235,27655,0.016993360865848326,1.0828764918185132,1.9163889647127943,0.18760987602750062,True,A. thaliana,OMalley2016,BZIP2,bZIP,.
80,M06848_2.00,32,500,1314,27655,0.018368580942818805,0.4297188766188709,0.7459594803303633,0.18760987602750062,True,A. thaliana,OMalley2016,DOF3.2,Dof,.
81,M08146_2.00,14,500,447,27655,0.017163553276052596,0.7926923378154868,1.3994133438770062,0.18760987602750062,True,A. thaliana,JASPAR,AP3,MADS box,.
82,M09540_2.00,4,500,60,27655,0.01866768076640209,1.8825778413326821,3.254806967646369,0.18760987602750062,True,A. thaliana,HOMER,FHY3,FAR1,.
83,M07136_2.00,8,500,197,27655,0.01747071045246522,1.1674166174848244,2.0519558535393196,0.18760987602750062,True,A. thaliana,OMalley2016,KUA1,Myb/SANT,MYB-related
84,M07294_2.00,4,500,57,27655,0.01596736519552278,1.9565784227764587,3.515515037544349,0.18760987602750062,True,A. thaliana,OMalley2016,TCP7,TCP,.
85,M06586_2.00,8,500,197,27655,0.01747071045246522,1.1674166174848244,2.0519558535393196,0.18760987602750062,True,A. thaliana,OMalley2016,ERF8,AP2,ERF
86,M06872_2.00,4,500,60,27655,0.01866768076640209,1.8825778413326821,3.254806967646369,0.18760987602750062,True,A. thaliana,OMalley2016,E2FA,E2F,.
87,M06760_2.00,9,500,237,27655,0.017712676374428228,1.0706501894852538,1.875474866282515,0.18760987602750062,True,A. thaliana,OMalley2016,AtbZIP48,bZIP,.
88,M07057_2.00,14,500,454,27655,0.018865797589357605,0.7702748717078898,1.3282040867536578,0.18760987602750062,True,A. thaliana,OMalley2016,AT2G40260,Myb/SANT,G2-like
89,M07335_2.00,17,500,590,27655,0.018775187725649213,0.6723601339423365,1.160773099336239,0.18760987602750062,True,A. thaliana,OMalley2016,AtIDD11,C2H2 ZF,.
90,M06591_2.00,8,500,203,27655,0.020012525289014736,1.1241325197560244,1.9095617825083455,0.19468706667030639,True,A. thaliana,OMalley2016,ERF118,AP2,ERF
91,M06605_2.00,7,500,164,27655,0.019824861945087313,1.239271354380721,2.1102186567526453,0.19468706667030639,True,A. thaliana,OMalley2016,ERF15,AP2,ERF
92,M01832_2.00,7,500,166,27655,0.02084633989533637,1.22178392765188,2.0537823554186287,0.19513028404251279,True,P. patens,Zoo_01,estExt_Genewise1.C_2060077,bZIP,.
93,M06624_2.00,7,500,166,27655,0.02084633989533637,1.22178392765188,2.0537823554186287,0.19513028404251279,True,A. thaliana,OMalley2016,ERF095,AP2,ERF
94,M06791_2.00,9,500,244,27655,0.0203730097708531,1.0286561008206265,1.7394006913847593,0.19513028404251279,True,A. thaliana,OMalley2016,AtbZIP3,bZIP,.
95,M06815_2.00,14,500,462,27655,0.02093017571852651,0.7450743175827472,1.2511490046300404,0.19513028404251279,True,A. thaliana,OMalley2016,IDD2,C2H2 ZF,.
96,M02714_2.00,8,500,209,27655,0.022758180967229934,1.0821093048603176,1.7777567475393818,0.19783634960904742,True,A. thaliana,JASPAR,SPL8,SBP,.
97,M07300_2.00,24,500,947,27655,0.02290368015291014,0.4872103221939717,0.7990710817410174,0.19783634960904742,True,A. thaliana,OMalley2016,TCX2,TCR/CxC,.
98,M02654_2.00,4,500,64,27655,0.022621220853371083,1.7894684369412006,2.944541610220951,0.19783634960904742,True,A. thaliana,JASPAR,DYT1,bHLH,.
99,M07100_2.00,9,500,248,27655,0.02199220533216845,1.0051971279966374,1.6663466596424659,0.19783634960904742,True,A. thaliana,OMalley2016,RVE5,Myb/SANT,MYB-related
100,M06781_2.00,9,500,250,27655,0.022828511969088867,0.9936091537214257,1.631031678907711,0.19783634960904742,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
101,M06730_2.00,4,500,64,27655,0.022621220853371083,1.7894684369412006,2.944541610220951,0.19783634960904742,True,A. thaliana,OMalley2016,AT2G22750,bHLH,.
102,M06835_2.00,61,500,2871,27655,0.02321452824377164,0.23286815929690483,0.38056249266047126,0.19783634960904742,True,A. thaliana,OMalley2016,DOF1.8,Dof,.
103,M08145_2.00,15,500,513,27655,0.022342090757828382,0.693544016942665,1.1449553031315707,0.19783634960904742,True,A. thaliana,JASPAR,AGL27,MADS box,.
104,M06612_2.00,6,500,133,27655,0.02343089727213299,1.319148502161167,2.150490504439121,0.19783634960904742,True,A. thaliana,OMalley2016,ERF13,AP2,ERF
105,M07094_2.00,5,500,97,27655,0.023102097232167353,1.5114836896414352,2.4733142083099415,0.19783634960904742,True,A. thaliana,OMalley2016,MYB94,Myb/SANT,R2R3-MYB
106,M06565_2.00,3,500,37,27655,0.024630682613852553,2.164977572033407,3.4824174141078683,0.2060229994336265,True,A. thaliana,OMalley2016,DREB1F,AP2,DREB
107,M06803_2.00,17,500,619,27655,0.02545124028540514,0.6031356789772753,0.9615738142346546,0.20708054595852365,True,A. thaliana,OMalley2016,IDD7,C2H2 ZF,.
108,M06841_2.00,30,500,1264,27655,0.025441815931313394,0.39257828437261616,0.6259471889741235,0.20708054595852365,True,A. thaliana,OMalley2016,DOF2.4,Dof,.
109,M07315_2.00,9,500,255,27655,0.024996139736804705,0.9650400015246547,1.5461166967058544,0.20708054595852365,True,A. thaliana,OMalley2016,AT1G74370,Unknown,.
110,M06865_2.00,24,500,964,27655,0.025990489204457432,0.4615416014323951,0.7316290754404768,0.20956295349540002,True,A. thaliana,OMalley2016,DOF5.4,Dof,.
111,M06895_2.00,5,500,101,27655,0.026408251555578136,1.4531850490767682,2.293504346675703,0.21103022448430742,True,A. thaliana,OMalley2016,GATA12,GATA,.
112,M06807_2.00,22,500,868,27655,0.02668926090260112,0.4873488231340185,0.7669230317447139,0.2113883938745841,True,A. thaliana,OMalley2016,IDD5,C2H2 ZF,.
113,M06823_2.00,14,500,484,27655,0.02724035152360181,0.6779601217242103,1.06086338320238,0.21386065450547034,True,A. thaliana,OMalley2016,NUC,C2H2 ZF,.
114,M06646_2.00,7,500,180,27655,0.02880743939725138,1.1049702626691298,1.7022015438787954,0.2241970283525216,True,A. thaliana,OMalley2016,CRF4,AP2,ERF
115,M01056_2.00,7,500,183,27655,0.03069122257888888,1.0811235207147623,1.6357245469822757,0.22701358849674005,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
116,M00856_2.00,4,500,71,27655,0.030467325407104662,1.6397213174365184,2.486089168080672,0.22701358849674005,True,A. thaliana,Franco_Zorrilla2014,TGA2,bZIP,.
117,M07336_2.00,54,500,2568,27655,0.029907416399260114,0.21792645198236604,0.33216809692244587,0.22701358849674005,True,A. thaliana,OMalley2016,MIP1B,Unknown,.
118,M01780_2.00,4,500,71,27655,0.030467325407104662,1.6397213174365184,2.486089168080672,0.22701358849674005,True,A. thaliana,Zoo_01,TGA6,bZIP,.
119,M06682_2.00,8,500,224,27655,0.030484018294721856,0.9821135148835963,1.488813166618081,0.22701358849674005,True,A. thaliana,OMalley2016,ERF104,AP2,ERF
120,M02647_2.00,2,500,16,27655,0.030352866033828817,2.7894684369412004,4.233856016216703,0.22701358849674005,True,A. thaliana,JASPAR,ANT,AP2,ANT
121,M06704_2.00,50,500,3178,27655,0.03354526884862213,-0.20057878263259377,-0.29572708363502104,0.2457982635545682,True,A. thaliana,OMalley2016,VRN1,B3,REM
122,M01094_2.00,2,500,17,27655,0.03378009655554401,2.7020055956908613,3.975566517552034,0.2457982635545682,True,A. thaliana,TF_Evolution,TINY,AP2,DREB
123,M07362_2.00,12,500,412,27655,0.03474755541589718,0.6879304104791384,1.0037425753425517,0.2487924967778238,True,A. thaliana,OMalley2016,AT5G59990,Unknown,.
124,M06896_2.00,5,500,110,27655,0.03466181233429033,1.3300368183039033,1.942051575651498,0.2487924967778238,True,A. thaliana,OMalley2016,GATA12,GATA,.
125,M06771_2.00,7,500,201,27655,0.04317095027725576,0.945771667819876,1.2907971087454662,0.25334982322124966,True,A. thaliana,OMalley2016,GBF3,bZIP,.
