,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06837_2.00,154,500,4608,27655,1.4116551190551736e-15,0.8863299761937893,13.162240689919795,7.524121784564076e-13,True,A. thaliana,OMalley2016,CDF5,Dof,.
1,M07251_2.00,107,500,2672,27655,1.3566221320532463e-15,1.1472311308682952,17.05650599178694,7.524121784564076e-13,True,A. thaliana,OMalley2016,NLP7,RWP-RK,.
2,M01118_2.00,142,500,4055,27655,6.629451688493915e-16,0.9537293573412472,14.476202404330373,7.524121784564076e-13,True,C. sativa,TF_Evolution,PK01630.1,bHLH,.
3,M01900_2.00,115,500,3062,27655,8.180201896662556e-15,1.0546999203857879,14.8578066637309,3.0346452311335518e-12,True,A. thaliana,Zoo_01,CMTA3,CG-1,.
4,M06866_2.00,162,500,5066,27655,9.489197095477022e-15,0.8226870781133243,11.536352116643712,3.0346452311335518e-12,True,A. thaliana,OMalley2016,DOF5.4,Dof,.
5,M06835_2.00,158,500,4999,27655,6.485496555330096e-14,0.8058253734347806,10.627270769146438,1.1695944939004707e-11,True,A. thaliana,OMalley2016,DOF1.8,Dof,.
6,M07333_2.00,164,500,5269,27655,6.445144314512459e-14,0.7837069771858068,10.337696409629217,1.1695944939004707e-11,True,A. thaliana,OMalley2016,AT3G12130,C3H,.
7,M02676_2.00,155,500,4854,27655,5.375387883448258e-14,0.8206344490643043,10.889482836487149,1.1695944939004707e-11,True,Zea mays,JASPAR,Dof3,Dof,.
8,M06831_2.00,131,500,3822,27655,6.583083455349741e-14,0.9227793755011942,12.163681522580866,1.1695944939004707e-11,True,A. thaliana,OMalley2016,DOF1.6,Dof,.
9,M06850_2.00,157,500,4985,27655,1.0897025590868725e-13,0.8007113965472692,10.379375237707153,1.3403341476768531e-11,True,A. thaliana,OMalley2016,CDF3,Dof,.
10,M01707_2.00,128,500,3718,27655,1.023445293509767e-13,0.929157382021719,12.069694338082654,1.3403341476768531e-11,True,A. thaliana,Zoo_01,MYC4,bHLH,.
11,M01059_2.00,156,500,4935,27655,9.986370407908413e-14,0.8060362864596888,10.478949162978603,1.3403341476768531e-11,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
12,M01062_2.00,155,500,4890,27655,9.937831205491271e-14,0.809974092375842,10.531856921789815,1.3403341476768531e-11,True,A. thaliana,Stam_Arabidopsis,DOF1.8,Dof,.
13,M01846_2.00,132,500,3906,27655,1.4481949106718127e-13,0.9023863224128622,11.585894091019556,1.654045472974449e-11,True,O. tauri,Zoo_01,1500010105,bZIP,.
14,M01773_2.00,145,500,4487,27655,1.984598044449539e-13,0.8378420582797896,10.642544168042809,1.983357670671758e-11,True,A. thaliana,Zoo_01,ABF1,bZIP,.
15,M06869_2.00,153,500,4841,27655,1.962086813320675e-13,0.8057669007729965,10.239107057922979,1.983357670671758e-11,True,A. thaliana,OMalley2016,DOF5.8,Dof,.
16,M01712_2.00,133,500,3981,27655,2.6305802948727293e-13,0.8858357163510407,11.14376763571956,2.3368321619452745e-11,True,A. thaliana,Zoo_01,MYC3,bHLH,.
17,M02516_2.00,86,500,2081,27655,2.542506523774545e-13,1.1926719419079637,15.021390537704448,2.3368321619452745e-11,True,Manihot esculenta,Zoo_01,cassava45561.m1,TCP,.
18,M01901_2.00,102,500,2704,27655,2.948467257999952e-13,1.0610143426305114,13.294938034668684,2.3572995727709616e-11,True,A. thaliana,Zoo_01,CMTA2,CG-1,.
19,M06833_2.00,158,500,5088,27655,2.838112140792993e-13,0.7803662298339479,9.791232024730851,2.3572995727709616e-11,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
20,M01770_2.00,151,500,4780,27655,3.1526549622639064e-13,0.8050782733981684,10.064543984766622,2.400521564123803e-11,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
21,M07198_2.00,178,500,6025,27655,3.6871483188582943e-13,0.7084563419029118,8.808456889714135,2.6614142120790237e-11,True,A. thaliana,OMalley2016,NAC047,NAC/NAM,.
22,M06843_2.00,150,500,4747,27655,3.8281755395758317e-13,0.8054867930076492,10.001736078346797,2.6614142120790237e-11,True,A. thaliana,OMalley2016,DOF2.5,Dof,.
23,M06854_2.00,174,500,5853,27655,4.602939078654639e-13,0.7174513694597462,8.851172271431466,2.7490646021387008e-11,True,A. thaliana,OMalley2016,OBP3,Dof,.
24,M07365_2.00,141,500,4354,27655,4.1673665415132574e-13,0.8408940971517874,10.410385217896096,2.7490646021387008e-11,True,A. thaliana,OMalley2016,AT5G63260,C3H,.
25,M06590_2.00,125,500,3670,27655,4.622440251159576e-13,0.9136883738727124,11.27046367769917,2.7490646021387008e-11,True,A. thaliana,OMalley2016,AT1G63040,AP2,.
26,M06868_2.00,147,500,4625,27655,4.641947733442459e-13,0.813903131486528,10.038111291214413,2.7490646021387008e-11,True,A. thaliana,OMalley2016,DOF5.8,Dof,.
27,M06730_2.00,84,500,2032,27655,4.946156990745118e-13,1.1931011729477952,14.681983406396942,2.8246089386433728e-11,True,A. thaliana,OMalley2016,AT2G22750,bHLH,.
28,M01058_2.00,139,500,4294,27655,6.732187397974573e-13,0.8403030338059347,10.228037275054994,3.7119888446073595e-11,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
29,M01699_2.00,126,500,3737,27655,7.31445704536174e-13,0.8990835120603725,10.911113784804083,3.898605605177807e-11,True,A. thaliana,Zoo_01,MYC2,bHLH,.
30,M06840_2.00,160,500,5249,27655,8.701538414415609e-13,0.7535696496177855,9.088354385034187,4.488309653113084e-11,True,A. thaliana,OMalley2016,DOF2.2,Dof,.
31,M06864_2.00,153,500,4936,27655,9.351550082034397e-13,0.7777296004844343,9.355399888797258,4.53125108520394e-11,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
32,M01160_2.00,143,500,4489,27655,9.30218932322433e-13,0.8171613928040449,9.831607696402223,4.53125108520394e-11,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
33,M08431_2.00,106,500,2920,27655,9.81452785819775e-13,1.00563623773702,12.075811266685013,4.615714719193589e-11,True,A. thaliana,JASPAR,BZR2,BES1,.
34,M01781_2.00,142,500,4453,27655,1.0683093896664904e-12,0.818653660002979,9.800350978669123,4.8806477545049086e-11,True,A. thaliana,Zoo_01,GBF2,bZIP,.
35,M01128_2.00,135,500,4162,27655,1.4148635218692645e-12,0.8432227842566967,9.99158746884291,6.11450478775393e-11,True,C. sativa,TF_Evolution,PK20225.1,bHLH,.
36,M01711_2.00,121,500,3564,27655,1.5195579270235278e-12,0.9090500526938728,10.74341054713098,6.230187500796464e-11,True,A. thaliana,Zoo_01,BIM3,bHLH,.
37,M07215_2.00,146,500,4651,27655,1.498082413698826e-12,0.7959677712966062,9.411892491051843,6.230187500796464e-11,True,A. thaliana,OMalley2016,NAC68,NAC/NAM,.
38,M06836_2.00,153,500,4971,27655,1.6353299569267101e-12,0.7675358916912441,9.046480894908104,6.537231502814524e-11,True,A. thaliana,OMalley2016,DOF1.8,Dof,.
39,2.FBH3-MEME,119,500,3486,27655,1.7161500449072668e-12,0.9169293461234589,10.788081555947148,6.692985175138341e-11,True,.,.,2.FBH3-MEME,.,.
40,M01704_2.00,127,500,3838,27655,2.108653681436262e-12,0.8720141275179861,10.181632367453995,7.841249387480426e-11,True,A. thaliana,Zoo_01,BHLH34,bHLH,.
41,M01787_2.00,140,500,4405,27655,2.103768654166928e-12,0.813825150078391,9.503037921473148,7.841249387480426e-11,True,A. thaliana,Zoo_01,BZIP63,bZIP,.
42,M01223_2.00,117,500,3416,27655,2.2438797876475437e-12,0.9217408969041148,10.737360089121262,7.973252845440939e-11,True,C. sativa,TF_Evolution,PK23009.1,Dof,.
43,M08404_2.00,115,500,3332,27655,2.2384868806789733e-12,0.9327858025200283,10.866996991288167,7.973252845440939e-11,True,A. thaliana,JASPAR,PIF1,bHLH,.
44,1.FDP-MEME,121,500,3591,27655,2.506597158742196e-12,0.898161736551137,10.419498372392177,8.527763525167598e-11,True,.,.,1.FDP-MEME,.,.
45,M01133_2.00,137,500,4283,27655,2.5010703536302192e-12,0.823094558010685,9.549439427562838,8.527763525167598e-11,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
46,ACGTGKV-ZAT6-DREME,131,500,4030,27655,2.941940558939598e-12,0.8463273150633213,9.759310115769404,9.600332558662077e-11,True,.,.,ACGTGKV-ZAT6-DREME,.,.
47,M01700_2.00,144,500,4605,27655,3.032948771781335e-12,0.7904079974048148,9.104025959991969,9.69937017215671e-11,True,A. thaliana,Zoo_01,BPE,bHLH,.
48,M06844_2.00,135,500,4214,27655,3.4402495792054034e-12,0.8253094351747252,9.460860473209253,1.0786194268920471e-10,True,A. thaliana,OMalley2016,DOF2.5,Dof,.
49,M06862_2.00,146,500,4705,27655,3.5887187577302255e-12,0.7793139882053187,8.919295802197635,1.1035310180020443e-10,True,A. thaliana,OMalley2016,DOF4.7,Dof,.
50,M06867_2.00,156,500,5167,27655,4.12530311182742e-12,0.7397594873785885,8.421824533797142,1.204292245424698e-10,True,A. thaliana,OMalley2016,DOF5.6,Dof,.
51,M00722_2.00,154,500,5074,27655,4.018591040092285e-12,0.7473471735721627,8.516713227138272,1.204292245424698e-10,True,A. thaliana,Chang2013,PIF3,bHLH,.
52,M01779_2.00,146,500,4714,27655,4.1423435583713816e-12,0.7765569525710502,8.839356668306136,1.204292245424698e-10,True,A. thaliana,Zoo_01,GBF3,bZIP,.
53,M01156_2.00,135,500,4230,27655,4.5008615583522934e-12,0.8198420859847193,9.302505759491146,1.285156719965235e-10,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
54,M01708_2.00,124,500,3754,27655,4.697576091750209e-12,0.8694518124972013,9.849259836294308,1.3177937141594008e-10,True,A. thaliana,Zoo_01,BEE2,bHLH,.
55,M01768_2.00,132,500,4102,27655,4.783129435532789e-12,0.831750779819802,9.415658260823026,1.318659304727057e-10,True,C. sativa,Zoo_01,PK18474.1,bHLH,.
56,M06728_2.00,95,500,2555,27655,5.033233006784323e-12,1.0402164694471647,11.752524787544148,1.3534912666690517e-10,True,A. thaliana,OMalley2016,BIM2,bHLH,.
57,M01702_2.00,109,500,3125,27655,5.1219620502778e-12,0.948012287281315,10.703593064499769,1.3534912666690517e-10,True,A. thaliana,Zoo_01,AT2G18300,bHLH,.
58,M01756_2.00,118,500,3503,27655,5.163412587042661e-12,0.8977362135009788,10.132805352574065,1.3534912666690517e-10,True,P. patens,Zoo_01,e_gw1.209.40.1,bHLH,.
59,M07160_2.00,166,500,5646,27655,5.355240658660424e-12,0.7014944548384323,7.906699036142018,1.3811338408383899e-10,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
60,M06849_2.00,140,500,4465,27655,5.644064864152927e-12,0.7943069938775821,8.934689147390928,1.432517415520719e-10,True,A. thaliana,OMalley2016,CDF3,Dof,.
61,M01311_2.00,104,500,2925,27655,5.770855168603484e-12,0.9756872457241634,10.965514619069701,1.4418120960307767e-10,True,A. thaliana,TF_Evolution,TCP8,TCP,.
62,ACGTGB-ANAC102-DREME,144,500,4649,27655,6.141044909909219e-12,0.7766887278645486,8.708045845782172,1.4849591150121327e-10,True,.,.,ACGTGB-ANAC102-DREME,.,.
63,M01946_2.00,143,500,4605,27655,6.222155141076478e-12,0.7803543327408919,8.744696822001956,1.4849591150121327e-10,True,A. thaliana,Zoo_01,CDF2,Dof,.
64,M08147_2.00,107,500,3052,27655,6.19860891974925e-12,0.9553961765078169,10.707799233513843,1.4849591150121327e-10,True,A. thaliana,JASPAR,FLC,MADS box,.
65,M06852_2.00,136,500,4296,27655,6.4735914696844495e-12,0.8081530002061273,9.042306503713045,1.5178555811634076e-10,True,A. thaliana,OMalley2016,AT3G52440,Dof,.
66,M01783_2.00,146,500,4743,27655,6.549845847421835e-12,0.7677088427416906,8.58587829593755,1.5178555811634076e-10,True,A. thaliana,Zoo_01,GBF1,bZIP,.
67,M01845_2.00,138,500,4400,27655,8.317197903486217e-12,0.7947050853073477,8.805350595272138,1.8998856353820658e-10,True,O. tauri,Zoo_01,300010311,bZIP,.
68,M06863_2.00,149,500,4898,27655,8.844147547163024e-12,0.750659898839384,8.297302104404908,1.9918016799878417e-10,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
69,M06861_2.00,149,500,4900,27655,9.11967169222719e-12,0.7500709235134292,8.280798594042242,2.025327088315455e-10,True,A. thaliana,OMalley2016,DOF4.7,Dof,.
70,M06834_2.00,144,500,4676,27655,9.399257851742292e-12,0.7683342238518566,8.472349598103909,2.0588237404021815e-10,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
71,M07364_2.00,138,500,4409,27655,9.617299804893801e-12,0.791757132103622,8.722746238744204,2.0781165389223226e-10,True,A. thaliana,OMalley2016,AT5G63260,C3H,.
72,M02310_2.00,110,500,3203,27655,1.027264455419505e-11,0.9256200676911764,10.171007409140145,2.1901278189543847e-10,True,A. thaliana,Zoo_01,PHL1,Myb/SANT,G2-like
73,M01224_2.00,117,500,3502,27655,1.0968595137614043e-11,0.8858697880910472,9.708999105370681,2.2971115233955337e-10,True,C. sativa,TF_Evolution,PK23763.1,Dof,.
74,M01687_2.00,97,500,2673,27655,1.1205422065344068e-11,1.00513715688525,11.006826585830789,2.2971115233955337e-10,True,Medicago truncatula,Zoo_01,MTR_4g101990,AT hook,.
75,M06829_2.00,149,500,4913,27655,1.1124498825436896e-11,0.7462484336523437,8.17419605349129,2.2971115233955337e-10,True,A. thaliana,OMalley2016,DOF1.5,Dof,.
76,M06847_2.00,148,500,4875,27655,1.2457157053149716e-11,0.7477352990458149,8.153740179992043,2.5206422636654736e-10,True,A. thaliana,OMalley2016,DOF3.2,Dof,.
77,2.URI.MEME2,90,500,2399,27655,1.2611093251609624e-11,1.0531040909774407,11.478041881183392,2.5206422636654736e-10,True,.,.,2.URI.MEME2,.,.
78,M00854_2.00,129,500,4033,27655,1.364037482338588e-11,0.8230580019585785,8.942668152794418,2.692711029949879e-10,True,A. thaliana,Franco_Zorrilla2014,PIF3,bHLH,.
79,M01776_2.00,132,500,4167,27655,1.4139147095269126e-11,0.8090691715971051,8.778058103525261,2.7571336835774797e-10,True,A. thaliana,Zoo_01,ABI5,bZIP,.
80,M01703_2.00,120,500,3646,27655,1.4485835300597431e-11,0.8642601865105846,9.36776495503849,2.790704897066903e-10,True,A. thaliana,Zoo_01,PIF1,bHLH,.
81,M01161_2.00,129,500,4038,27655,1.4824735927516687e-11,0.8212704970329816,8.893548916782429,2.8125558576384944e-10,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
82,M06740_2.00,79,500,1980,27655,1.4951047398328457e-11,1.1419644701513316,12.362140389616911,2.8125558576384944e-10,True,A. thaliana,OMalley2016,BIM1,bHLH,.
83,M10436_2.00,131,500,4130,27655,1.5874711423983273e-11,0.810965372171843,8.75785360824161,2.9515887868545643e-10,True,Zea mays,Transfac,Dof2,Dof,.
84,M01771_2.00,131,500,4132,27655,1.6404399144525267e-11,0.8102668996135912,8.738760657400087,3.0150154289765404e-10,True,A. thaliana,Zoo_01,ABF2,bZIP,.
85,1.ABF3-MEME,128,500,4006,27655,1.804156590319768e-11,0.8215217311284929,8.826204194094363,3.27823453172876e-10,True,.,.,1.ABF3-MEME,.,.
86,M06838_2.00,152,500,5083,27655,1.8292839621425875e-11,0.7259314349363416,7.794847669557788,3.2865450061415703e-10,True,A. thaliana,OMalley2016,CDF5,Dof,.
87,M01158_2.00,131,500,4140,27655,1.86994583403323e-11,0.8074763860919631,8.66274472690861,3.322270431799039e-10,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
88,M01162_2.00,125,500,3879,27655,1.9296819544970285e-11,0.8337836610718771,8.93358693002669,3.3907268629019213e-10,True,C. sativa,TF_Evolution,PK24978.1,bZIP,.
89,M07115_2.00,104,500,2987,27655,1.951262799850167e-11,0.945426632771502,10.125220704384569,3.391379583652627e-10,True,A. thaliana,OMalley2016,MYB4,Myb/SANT,R2R3-MYB
90,M01164_2.00,131,500,4145,27655,2.0288547852200396e-11,0.8057350520955381,8.61552270186773,3.4148829490177295e-10,True,C. sativa,TF_Evolution,PK27149.1,bZIP,.
91,M00891_2.00,81,500,2069,27655,2.016933751717798e-11,1.1146005099658158,11.920996159437703,3.4148829490177295e-10,True,A. thaliana,Franco_Zorrilla2014,TCP23,TCP,.
92,M07285_2.00,50,500,964,27655,2.0042098227097037e-11,1.5204352904859637,16.265703119181754,3.4148829490177295e-10,True,A. thaliana,OMalley2016,TCP20,TCP,.
93,M01757_2.00,124,500,3843,27655,2.1906085302908936e-11,0.8356474862652729,8.90753025120366,3.6111165360156074e-10,True,P. patens,Zoo_01,fgenesh1_pg.scaffold_37000071,bHLH,.
94,M06842_2.00,141,500,4595,27655,2.1775552560241017e-11,0.763170643163597,8.136948915159596,3.6111165360156074e-10,True,A. thaliana,OMalley2016,DOF2.4,Dof,.
95,M01714_2.00,122,500,3761,27655,2.377370371979662e-11,0.8433051834637805,8.95919259838443,3.8789951273423266e-10,True,A. thaliana,Zoo_01,ILR3,bHLH,.
96,M01701_2.00,117,500,3552,27655,2.6617161163958284e-11,0.8654172901744993,9.151647876011353,4.2990748182999293e-10,True,A. thaliana,Zoo_01,BIM2,bHLH,.
97,M07336_2.00,147,500,4882,27655,2.7512975466441275e-11,0.7358842019964109,7.771277474709121,4.3993247770839603e-10,True,A. thaliana,OMalley2016,MIP1B,Unknown,.
