,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06863_2.00,412,500,18733,27655,3.783304876017639e-14,0.28267462580857927,3.7940951964806917,5.3041934361767296e-11,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
1,M06803_2.00,196,500,6827,27655,1.7435508291877725e-13,0.6671422445161796,8.511777949258612,1.2222291312606286e-10,True,A. thaliana,OMalley2016,IDD7,C2H2 ZF,.
2,M06818_2.00,266,500,10456,27655,6.284445774448094e-13,0.49270744664695704,6.0118847193453,2.2026982439440567e-10,True,A. thaliana,OMalley2016,JKD,C2H2 ZF,.
3,M07334_2.00,298,500,12170,27655,5.58071197500055e-13,0.43759540980227113,5.361992382067131,2.2026982439440567e-10,True,A. thaliana,OMalley2016,AtIDD11,C2H2 ZF,.
4,M06795_2.00,221,500,8229,27655,1.883420497821172e-12,0.5708695887631987,6.6934760172634835,5.281111075890566e-10,True,A. thaliana,OMalley2016,MGP,C2H2 ZF,.
5,M06796_2.00,183,500,6449,27655,5.4282472308113086e-12,0.6503085210178494,7.325946841616252,1.0872003739424935e-09,True,A. thaliana,OMalley2016,MGP,C2H2 ZF,.
6,M06832_2.00,382,500,17254,27655,5.4206506096633096e-12,0.29225402433721426,3.2925188117823976,1.0872003739424935e-09,True,A. thaliana,OMalley2016,DOF1.6,Dof,.
7,M06839_2.00,383,500,17332,27655,6.482665087883921e-12,0.2895184975942889,3.239204292684759,1.1360870566516571e-09,True,A. thaliana,OMalley2016,DOF2.2,Dof,.
8,M07336_2.00,346,500,15186,27655,1.455225621925473e-11,0.33364237174608463,3.615705626583387,2.040226321939513e-09,True,A. thaliana,OMalley2016,MIP1B,Unknown,.
9,M06855_2.00,384,500,17468,27655,1.4521550171780217e-11,0.28200412188210167,3.0563570126394626,2.040226321939513e-09,True,A. thaliana,OMalley2016,OBP3,Dof,.
10,M06822_2.00,184,500,6610,27655,2.4705114317908255e-11,0.6225958366031592,6.6040067340453215,3.1487791157915794e-09,True,A. thaliana,OMalley2016,NUC,C2H2 ZF,.
11,M06868_2.00,352,500,15606,27655,2.9690134000029594e-11,0.31908687091435023,3.359151245502831,3.468797322336791e-09,True,A. thaliana,OMalley2016,DOF5.8,Dof,.
12,M06816_2.00,184,500,6693,27655,7.20267797010278e-11,0.6045930940329167,6.132089084987483,7.767811164680074e-09,True,A. thaliana,OMalley2016,IDD2,C2H2 ZF,.
13,M07335_2.00,175,500,6270,27655,8.245943034998459e-11,0.626429821084128,6.3167677657689065,8.257722953619885e-09,True,A. thaliana,OMalley2016,AtIDD11,C2H2 ZF,.
14,M06809_2.00,221,500,8574,27655,1.2085496529359025e-10,0.5116182945156593,5.074094923000038,1.1295910756107569e-08,True,A. thaliana,OMalley2016,IDD4,C2H2 ZF,.
15,M06797_2.00,239,500,9510,27655,1.3690431521699574e-10,0.4751056191740233,4.686243643262341,1.1996240620889251e-08,True,A. thaliana,OMalley2016,AT1G14580,C2H2 ZF,.
16,M06856_2.00,310,500,13392,27655,2.2731874834838989e-10,0.35650902966509423,3.437946607558722,1.8747110893202507e-08,True,A. thaliana,OMalley2016,DOF4.2,Dof,.
17,M06825_2.00,190,500,7240,27655,1.489174891195264e-09,0.5375500633015806,4.744983595033358,1.1599017763643112e-07,True,A. thaliana,OMalley2016,IDD1,C2H2 ZF,.
18,M06798_2.00,181,500,6812,27655,1.779980899148673e-09,0.5554516043458635,4.8599708356738285,1.3134385371612838e-07,True,A. thaliana,OMalley2016,AT1G14580,C2H2 ZF,.
19,M06735_2.00,59,500,1436,27655,2.3694503727778674e-09,1.1842714524799902,10.214758594766407,1.660984711317285e-07,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
20,M06808_2.00,152,500,5453,27655,2.824679230167979e-09,0.6245615102655127,5.339395627358981,1.880385096628309e-07,True,A. thaliana,OMalley2016,IDD5,C2H2 ZF,.
21,M06824_2.00,161,500,5888,27655,3.053733122901357e-09,0.5968233589988047,5.082051717414913,1.880385096628309e-07,True,A. thaliana,OMalley2016,IDD1,C2H2 ZF,.
22,M06807_2.00,228,500,9235,27655,3.084797234126327e-09,0.4494622052361418,3.825270970368675,1.880385096628309e-07,True,A. thaliana,OMalley2016,IDD5,C2H2 ZF,.
23,M06703_2.00,219,500,8818,27655,4.992555692925309e-09,0.4580197349266262,3.8023319364484593,2.916484617283868e-07,True,A. thaliana,OMalley2016,REM19,B3,REM
24,M06835_2.00,338,500,15325,27655,5.6085337015824695e-09,0.28674841975787857,2.3660044146924117,3.145265699847449e-07,True,A. thaliana,OMalley2016,DOF1.8,Dof,.
25,M06702_2.00,265,500,11262,27655,6.199880219456447e-09,0.38014155083973156,3.120056141382036,3.34316617987613e-07,True,A. thaliana,OMalley2016,REM19,B3,REM
26,M06851_2.00,368,500,17114,27655,6.8912869810303456e-09,0.2501410177524665,2.041575860525905,3.5783645731127947e-07,True,A. thaliana,OMalley2016,DOF3.4,Dof,.
27,M06838_2.00,370,500,17256,27655,8.42422654276497e-09,0.24603943629705852,1.986638038019617,4.218130576055889e-07,True,A. thaliana,OMalley2016,CDF5,Dof,.
28,M06713_2.00,339,500,15435,27655,8.966891001141794e-09,0.28069203757505745,2.2588293448133845,4.3350279943451017e-07,True,A. thaliana,OMalley2016,AT5G60130,B3,REM
29,M06805_2.00,246,500,10291,27655,9.32612351520881e-09,0.4028873837115846,3.2353060888796317,4.3584083894409174e-07,True,A. thaliana,OMalley2016,SGR5,C2H2 ZF,.
30,M07215_2.00,342,500,15708,27655,2.145749146622003e-08,0.2681090691607013,2.055973230056604,9.704323559884025e-07,True,A. thaliana,OMalley2016,NAC68,NAC/NAM,.
31,M06833_2.00,370,500,17436,27655,4.158898490227574e-08,0.2310684091035151,1.7055209370869433,1.8221174010309557e-06,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
32,M06815_2.00,207,500,8424,27655,4.419713537552686e-08,0.4426656734148087,3.2556315638665367,1.8777085998935954e-06,True,A. thaliana,OMalley2016,IDD2,C2H2 ZF,.
33,M06823_2.00,152,500,5694,27655,4.8152040731470865e-08,0.5621691726425204,4.113608441309794,1.9288331744434903e-06,True,A. thaliana,OMalley2016,NUC,C2H2 ZF,.
34,M06850_2.00,323,500,14706,27655,4.6957180119550825e-08,0.2807415220471295,2.057357532093153,1.9288331744434903e-06,True,A. thaliana,OMalley2016,CDF3,Dof,.
35,M06837_2.00,328,500,15021,27655,6.006173763334027e-08,0.2723272007543732,1.9665842214501583,2.3390710044984184e-06,True,A. thaliana,OMalley2016,CDF5,Dof,.
