,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M00892_2.00,58,500,1229,27655,1.9353628098701042e-11,1.3841802316961112,14.829051715360785,3.063679328024375e-08,True,A. thaliana,Franco_Zorrilla2014,TCP15,TCP,.
1,M07280_2.00,66,500,1661,27655,9.601417624828096e-10,1.136026198337278,10.244303278579588,7.599522050051439e-07,True,A. thaliana,OMalley2016,TCP22,TCP,.
2,M07279_2.00,73,500,1976,27655,2.5562680774025268e-09,1.03092576423654,8.858119942202586,1.01164309163205e-06,True,A. thaliana,OMalley2016,TCP22,TCP,.
3,M07278_2.00,74,500,2002,27655,1.9273252883275286e-09,1.0316955437341566,8.991273069520526,1.01164309163205e-06,True,A. thaliana,OMalley2016,TCP15,TCP,.
4,M01316_2.00,59,500,1449,27655,3.270020969076752e-09,1.1712696067461124,9.938749054899194,1.015727083801821e-06,True,C. sativa,TF_Evolution,PK13314.1,TCP,.
5,M02516_2.00,55,500,1308,27655,3.8498815557870664e-09,1.2176813249677778,10.2462435975184,1.015727083801821e-06,True,Manihot esculenta,Zoo_01,cassava45561.m1,TCP,.
6,M02504_2.00,61,500,1547,27655,5.64490605146054e-09,1.1249482930550512,9.27895969524704,1.1169857849327543e-06,True,A. thaliana,Zoo_01,TCP19,TCP,.
7,M02515_2.00,57,500,1395,27655,5.398841734028559e-09,1.1763090443893924,9.725369584745698,1.1169857849327543e-06,True,V. vinifera,Zoo_01,VIT_15s0048g01150,TCP,.
8,M02502_2.00,58,500,1444,27655,7.174386152886802e-09,1.1515944051816018,9.378832718385425,1.2618948088910896e-06,True,A. thaliana,Zoo_01,TCP20,TCP,.
9,M06781_2.00,116,500,3881,27655,9.347830438618963e-09,0.7252367142833246,5.823135298529028,1.4797615584333818e-06,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
10,M07293_2.00,66,500,1825,27655,3.388215574417844e-08,1.000181807644912,7.4713870739517985,4.287645244341959e-06,True,A. thaliana,OMalley2016,TCP21,TCP,.
11,M02509_2.00,49,500,1175,27655,3.521123700343996e-08,1.2057332396040465,8.98671412304496,4.287645244341959e-06,True,A. lyrata,Zoo_01,fgenesh2_kg.8__1074__AT5G51910.2,TCP,.
12,M02507_2.00,49,500,1175,27655,3.521123700343996e-08,1.2057332396040465,8.98671412304496,4.287645244341959e-06,True,A. lyrata,Zoo_01,AT-TCP20,TCP,.
13,M07283_2.00,63,500,1727,27655,5.185420334766316e-08,1.0126959929121926,7.3777090846783295,5.863228849953627e-06,True,A. thaliana,OMalley2016,TCP13,TCP,.
14,M07292_2.00,66,500,1862,27655,6.969354166371464e-08,0.9712251987408602,6.950871752625987,7.354991763577351e-06,True,A. thaliana,OMalley2016,TCP21,TCP,.
15,M07281_2.00,61,500,1666,27655,7.48463100608645e-08,1.0180330891385392,7.254330326068155,7.405106801646782e-06,True,A. thaliana,OMalley2016,TCP9,TCP,.
16,M02508_2.00,49,500,1209,27655,8.17455276993237e-08,1.1645797518072851,8.254000913806797,7.6119511969429075e-06,True,A. lyrata,Zoo_01,TCP2,TCP,.
17,M01317_2.00,54,500,1402,27655,8.986433893496266e-08,1.0910853050940459,7.688237259081505,7.903069363002548e-06,True,C. sativa,TF_Evolution,PK14653.1,TCP,.
18,M01318_2.00,34,500,690,27655,1.0970153903256157e-07,1.4464787265260086,10.067184241012217,9.13987033097605e-06,True,C. sativa,TF_Evolution,PK19717.1,TCP,.
