,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M00722_2.00,87,500,2663,27655,2.0487795970042978e-08,0.8535752195793144,6.562717138315882,3.253462000042825e-05,True,A. thaliana,Chang2013,PIF3,bHLH,.
1,M01756_2.00,64,500,1778,27655,6.481484317071424e-08,0.9934288281114307,7.1410898028539265,3.5599391015912834e-05,True,P. patens,Zoo_01,e_gw1.209.40.1,bHLH,.
2,M01704_2.00,68,500,1956,27655,8.88108080839055e-08,0.9432406232393062,6.651293493135616,3.5599391015912834e-05,True,A. thaliana,Zoo_01,BHLH34,bHLH,.
3,M01312_2.00,22,500,321,27655,8.967101011564945e-08,1.9224705684561947,13.548318996519912,3.5599391015912834e-05,True,Oryza sativa,TF_Evolution,TB1,TCP,.
4,M02552_2.00,57,500,1549,27655,1.7137635916610074e-07,1.0252370223163738,6.9368040196731595,4.232601752747294e-05,True,A. thaliana,Zoo_01,WRKY25,WRKY,.
5,1.PIF4.MEME,66,500,1915,27655,1.8657564401279006e-07,0.9307338794873344,6.263043278604253,4.232601752747294e-05,True,.,.,1.PIF4.MEME,.,.
6,M01700_2.00,78,500,2401,27655,1.4578909648586783e-07,0.8454509675730325,5.77973527574958,4.232601752747294e-05,True,A. thaliana,Zoo_01,BPE,bHLH,.
7,1.PIF1.MEME1,73,500,2216,27655,2.2375933762018536e-07,0.8655508297720294,5.756102428417451,4.44162285176068e-05,True,.,.,1.PIF1.MEME1,.,.
8,M01709_2.00,76,500,2358,27655,2.856224669798144e-07,0.8340479474050233,5.458182944592663,5.0396497507105035e-05,True,A. thaliana,Zoo_01,SPT,bHLH,.
9,1-MYC3-1MEME,70,500,2121,27655,3.738991504320927e-07,0.8682225483556121,5.580279485707135,5.082443550093214e-05,True,.,.,1-MYC3-1MEME,.,.
10,M02519_2.00,35,500,764,27655,3.8406374433953754e-07,1.3413226258504183,8.605384996411619,5.082443550093214e-05,True,Lotus japonicus,Zoo_01,LjT20A21.20.nc,TCP,.
11,M02514_2.00,36,500,793,27655,3.257522717297962e-07,1.3282163826795343,8.616289161110178,5.082443550093214e-05,True,A. lyrata,Zoo_01,TCP4,TCP,.
12,M08045_2.00,57,500,1604,27655,5.060018549501018e-07,0.9749000246510219,6.137822264211945,6.181007274313551e-05,True,A. thaliana,JASPAR,PIF3,bHLH,.
