,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M00722_2.00,204,500,6402,27655,3.5534120926871217e-19,0.8175868173671148,15.083948966022845,5.681905936206708e-16,True,A. thaliana,Chang2013,PIF3,bHLH,.
1,M01704_2.00,166,500,4809,27655,2.6807030343585682e-18,0.932986657412421,16.39420950473431,2.1432220759696755e-15,True,A. thaliana,Zoo_01,BHLH34,bHLH,.
2,1.PIF4.MEME,163,500,4760,27655,1.3684834979618553e-17,0.9214507329769723,15.539124413780963,7.29401704413669e-15,True,.,.,1.PIF4.MEME,.,.
3,M01703_2.00,157,500,4586,27655,7.460183391190655e-17,0.921068546252034,14.854303169651251,2.982208310628464e-14,True,A. thaliana,Zoo_01,PIF1,bHLH,.
4,M01756_2.00,151,500,4402,27655,3.2281709377496106e-16,0.923929746374722,14.312635870440541,1.0323690658923255e-13,True,P. patens,Zoo_01,e_gw1.209.40.1,bHLH,.
5,M01709_2.00,180,500,5721,27655,6.211916857618791e-16,0.7992699042369626,12.154317090984387,1.2685441816829231e-13,True,A. thaliana,Zoo_01,SPT,bHLH,.
6,M09452_2.00,154,500,4566,27655,6.346687588157214e-16,0.8995398334114002,13.670714231091107,1.2685441816829231e-13,True,A. thaliana,HOMER,PIF5,bHLH,.
7,M00854_2.00,165,500,5037,27655,5.183971229143801e-16,0.8574416355288302,13.106284714828119,1.2685441816829231e-13,True,A. thaliana,Franco_Zorrilla2014,PIF3,bHLH,.
8,M01128_2.00,168,500,5203,27655,9.37101643439624e-16,0.8366578677432683,12.573472895968425,1.4984255278599588e-13,True,C. sativa,TF_Evolution,PK20225.1,bHLH,.
9,M01710_2.00,180,500,5743,27655,9.069011464313913e-16,0.7937326868848453,11.939676357477987,1.4984255278599588e-13,True,A. thaliana,Zoo_01,BIM1,bHLH,.
10,1.PIF1.MEME1,171,500,5367,27655,1.57950220697248e-15,0.817420779054034,12.099037118972369,2.2960218444990867e-13,True,.,.,1.PIF1.MEME1,.,.
11,M01707_2.00,154,500,4651,27655,3.1528124048824495e-15,0.8729297531114903,12.65861786063996,4.201122529505864e-13,True,A. thaliana,Zoo_01,MYC4,bHLH,.
12,M01700_2.00,179,500,5798,27655,4.9534350316873005e-15,0.7719445961440601,11.042739646860088,5.946703004123351e-13,True,A. thaliana,Zoo_01,BPE,bHLH,.
13,M01708_2.00,155,500,4723,27655,5.288723882959684e-15,0.8601050220648727,12.279417594595248,5.946703004123351e-13,True,A. thaliana,Zoo_01,BEE2,bHLH,.
14,M01757_2.00,157,500,4814,27655,5.578520641766746e-15,0.8510687593583307,12.130692353416874,5.946703004123351e-13,True,P. patens,Zoo_01,fgenesh1_pg.scaffold_37000071,bHLH,.
15,M01118_2.00,163,500,5088,27655,6.385739829129647e-15,0.8253136358879227,11.715152738410458,6.381748741736441e-13,True,C. sativa,TF_Evolution,PK01630.1,bHLH,.
16,M01712_2.00,161,500,5024,27655,9.937316659050939e-15,0.8257645661641904,11.56295898270911,8.363036493590764e-13,True,A. thaliana,Zoo_01,MYC3,bHLH,.
17,M01769_2.00,161,500,5021,27655,9.429460311665495e-15,0.8266263053879535,11.593858127168286,8.363036493590764e-13,True,O. tauri,Zoo_01,fgenesh1_pg.C_Chr_14.0001000151,bHLH,.
18,1.PIF3.MEME,164,500,5156,27655,9.566187180382797e-15,0.8149838931976334,11.425472011891934,8.363036493590764e-13,True,.,.,1.PIF3.MEME,.,.
19,M01699_2.00,152,500,4672,27655,2.272570591526544e-14,0.8475713915047688,11.56382554722279,1.816920187925472e-12,True,A. thaliana,Zoo_01,MYC2,bHLH,.
20,1.PIF5,163,500,5189,27655,3.6110405080927845e-14,0.7969557706335295,10.712972461434465,2.7495494154477916e-12,True,.,.,1.PIF5,.,.
21,M01714_2.00,151,500,4687,27655,6.44203410887006e-14,0.833424096787255,10.993678075327646,4.478614147862272e-12,True,A. thaliana,Zoo_01,ILR3,bHLH,.
22,M01701_2.00,146,500,4466,27655,6.324422093821424e-14,0.8545254599987441,11.278863732085023,4.478614147862272e-12,True,A. thaliana,Zoo_01,BIM2,bHLH,.
23,M01772_2.00,167,500,5418,27655,7.924568013278221e-14,0.7696280512132384,10.082915880079533,5.279743438846615e-12,True,A. thaliana,Zoo_01,ABF1,bZIP,.
24,M02514_2.00,90,500,2188,27655,8.394369187998473e-14,1.1859245104783185,15.507163052127888,5.369038532643824e-12,True,A. lyrata,Zoo_01,TCP4,TCP,.
25,M07160_2.00,203,500,7132,27655,1.0992282177896096e-13,0.6547133665013819,8.48437298785221,6.760253539406098e-12,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
26,M06735_2.00,123,500,3515,27655,1.1696921513112317e-13,0.9526739683205429,12.319911569937709,6.927176851654294e-12,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
27,1-MYC2-1MEME,172,500,5677,27655,1.2738336931573586e-13,0.7448201653684213,9.604372067449818,7.274500269137916e-12,True,.,.,1-MYC2-1MEME,.,.
28,M07285_2.00,61,500,1193,27655,1.9953546118502951e-13,1.4998274468088586,19.04777844423253,1.0635240081162072e-11,True,A. thaliana,OMalley2016,TCP20,TCP,.
29,M01900_2.00,130,500,3836,27655,1.9296011478484977e-13,0.9064492449515242,11.525078340296554,1.0635240081162072e-11,True,A. thaliana,Zoo_01,CMTA3,CG-1,.
30,M02519_2.00,85,500,2038,27655,2.1907365467739693e-13,1.2059210369130884,15.26624864893375,1.129996044610186e-11,True,Lotus japonicus,Zoo_01,LjT20A21.20.nc,TCP,.
31,1-MYC3-1MEME,160,500,5170,27655,2.472229619159798e-13,0.7754479666262659,9.7760036513732,1.2353422378239117e-11,True,.,.,1-MYC3-1MEME,.,.
32,M06734_2.00,129,500,3810,27655,2.6348487123866505e-13,0.9051204099837701,11.385730772615336,1.2767039670018952e-11,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
33,M08431_2.00,125,500,3650,27655,3.1615022331530103e-13,0.9215719729485454,11.519747815799604,1.4759497275366148e-11,True,A. thaliana,JASPAR,BZR2,BES1,.
34,M02516_2.00,100,500,2629,27655,3.230659190980708e-13,1.0730262000978796,13.402857858353823,1.4759497275366148e-11,True,Manihot esculenta,Zoo_01,cassava45561.m1,TCP,.
35,M01311_2.00,126,500,3701,27655,3.7289193481192756e-13,0.9130489401408964,11.34775297841401,1.6562616771229783e-11,True,A. thaliana,TF_Evolution,TCP8,TCP,.
36,M01768_2.00,159,500,5156,27655,4.0975191617066157e-13,0.770314843863905,9.542258956998856,1.7416731678393668e-11,True,C. sativa,Zoo_01,PK18474.1,bHLH,.
37,M08045_2.00,134,500,4049,27655,4.1390606865475887e-13,0.8722076997225156,10.800633601662444,1.7416731678393668e-11,True,A. thaliana,JASPAR,PIF3,bHLH,.
38,M01126_2.00,142,500,4408,27655,4.962822143013491e-13,0.8333070478747248,10.253235983847997,1.983888151669643e-11,True,C. sativa,TF_Evolution,PK18401.1,bHLH,.
39,M07198_2.00,210,500,7581,27655,4.920823743032105e-13,0.6155415049413918,7.576061569504151,1.983888151669643e-11,True,A. thaliana,OMalley2016,NAC047,NAC/NAM,.
40,M01711_2.00,143,500,4458,27655,5.497753919769247e-13,0.8271588724598373,10.140814506414975,2.1441240287100064e-11,True,A. thaliana,Zoo_01,BIM3,bHLH,.
41,M02504_2.00,114,500,3232,27655,7.138936848749179e-13,0.9641469683541474,11.710882398740942,2.7178952431309374e-11,True,A. thaliana,Zoo_01,TCP19,TCP,.
42,M01901_2.00,117,500,3394,27655,1.475959382088645e-12,0.9310623069819417,11.015328877270392,5.4885094231621935e-11,True,A. thaliana,Zoo_01,CMTA2,CG-1,.
43,M06737_2.00,104,500,2867,27655,1.7630929978968996e-12,1.0045819658417687,11.80757994481051,6.40724023553896e-11,True,A. thaliana,OMalley2016,BHLH104,bHLH,.
44,M01317_2.00,94,500,2469,27655,1.8040703857937312e-12,1.074346167476056,12.616849068223003,6.410463437520392e-11,True,C. sativa,TF_Evolution,PK14653.1,TCP,.
45,M01164_2.00,158,500,5219,27655,2.255156580237859e-12,0.7436914984977846,8.661643471797433,7.839120373478992e-11,True,C. sativa,TF_Evolution,PK27149.1,bZIP,.
46,M01846_2.00,150,500,4858,27655,2.336566728713934e-12,0.7721403528012163,8.98109014125592,7.949298296199107e-11,True,O. tauri,Zoo_01,1500010105,bZIP,.
47,M07291_2.00,57,500,1133,27655,2.4568916002793275e-12,1.4764263052854265,17.140739510400397,8.18452014343051e-11,True,A. thaliana,OMalley2016,TCP17,TCP,.
48,M02511_2.00,99,500,2694,27655,3.2193069150507796e-12,1.023290921558507,11.759902422430974,1.05054525656453e-10,True,G. max,Zoo_01,GLYMA19G26560,TCP,.
49,M01313_2.00,60,500,1246,27655,3.781689333305003e-12,1.4132706795257173,16.14282168253712,1.20938424879094e-10,True,C. sativa,TF_Evolution,PK10344.1,TCP,.
50,1.FDP-MEME,141,500,4490,27655,4.1116903316040145e-12,0.7965200597114847,9.069161151896344,1.2891358510264352e-10,True,.,.,1.FDP-MEME,.,.
51,M06828_2.00,70,500,1606,27655,5.185581699468215e-12,1.2694952763688525,14.326511290718358,1.594566372586476e-10,True,A. thaliana,OMalley2016,EICBP.B,CG-1,.
52,M01787_2.00,163,500,5526,27655,7.1098353804084345e-12,0.7061767443597863,7.872557531975829,2.145023919485488e-10,True,A. thaliana,Zoo_01,BZIP63,bZIP,.
53,M06727_2.00,125,500,3828,27655,8.070949389369679e-12,0.852877607117262,9.461035582271188,2.389897791407799e-10,True,A. thaliana,OMalley2016,BIM2,bHLH,.
