,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M01704_2.00,195,455,6012,27655,1.506593717629633e-24,0.9792310063504749,23.327244801236084,8.720061105275768e-22,True,A. thaliana,Zoo_01,BHLH34,bHLH,.
1,M01156_2.00,207,455,6607,27655,1.6222206911984654e-24,0.9292373146392795,22.106453558202286,8.720061105275768e-22,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
2,M00722_2.00,231,455,7839,27655,1.6289030707239918e-24,0.8408251178921095,20.0016359875657,8.720061105275768e-22,True,A. thaliana,Chang2013,PIF3,bHLH,.
3,M01779_2.00,218,455,7308,27655,2.4943507281996216e-23,0.8584533926666666,19.403658502269703,1.0014818173721481e-20,True,A. thaliana,Zoo_01,GBF3,bZIP,.
4,M06735_2.00,159,455,4490,27655,5.418881827650255e-23,1.105913212173075,24.624363468070452,1.0152874912455588e-20,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
5,M01776_2.00,201,455,6478,27655,4.683418168027534e-23,0.915248924900971,20.43699326616413,1.0152874912455588e-20,True,A. thaliana,Zoo_01,ABI5,bZIP,.
6,M01826_2.00,202,455,6538,27655,5.689655928524302e-23,0.9091078075017576,20.223024990942108,1.0152874912455588e-20,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
7,M01059_2.00,224,455,7649,27655,4.2305471727385885e-23,0.8318294760215612,18.61102284116873,1.0152874912455588e-20,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
8,M01845_2.00,208,455,6837,27655,5.354556938138563e-23,0.8868219946718677,19.75065781322806,1.0152874912455588e-20,True,O. tauri,Zoo_01,300010311,bZIP,.
9,M07160_2.00,242,455,8648,27655,8.139952868266954e-23,0.7662424160571731,16.925818452010354,1.1884331187669754e-20,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
10,M07292_2.00,94,455,1871,27655,7.76289218492091e-23,1.610524994954082,35.608669703327074,1.1884331187669754e-20,True,A. thaliana,OMalley2016,TCP21,TCP,.
11,M01709_2.00,211,455,7050,27655,1.6502554653688718e-22,0.8632216330508958,18.80308104247553,2.038700213371083e-20,True,A. thaliana,Zoo_01,SPT,bHLH,.
12,1.ABF3-MEME,195,455,6244,27655,1.6297404095692357e-22,0.9246054782889307,20.14519465618375,2.038700213371083e-20,True,.,.,1.ABF3-MEME,.,.
