,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M01156_2.00,187,455,5596,27655,7.695463169192682e-25,1.0222441992401121,24.650156634370763,1.1059146001562462e-21,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
1,M01704_2.00,176,455,5106,27655,1.3772286427848644e-24,1.0669837827474073,25.459293588804382,1.1059146001562462e-21,True,A. thaliana,Zoo_01,BHLH34,bHLH,.
2,M01779_2.00,198,455,6174,27655,2.082899896445115e-24,0.962896838981714,22.802679342073304,1.1150457445636182e-21,True,A. thaliana,Zoo_01,GBF3,bZIP,.
3,M00722_2.00,206,455,6623,27655,6.00881957441301e-24,0.9187613708072412,21.334751499727933,2.4125410591268236e-21,True,A. thaliana,Chang2013,PIF3,bHLH,.
4,M01059_2.00,202,455,6458,27655,1.1910340316445046e-23,0.9268697436550427,21.247632287302437,3.825601309642149e-21,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
5,M01773_2.00,190,455,5895,27655,2.0314375840618264e-23,0.9701094969810519,22.013915348341467,5.4374812666721556e-21,True,A. thaliana,Zoo_01,ABF1,bZIP,.
6,M01783_2.00,196,455,6216,27655,3.5512052462275236e-23,0.938469042224727,21.068277346050003,8.14747946491629e-21,True,A. thaliana,Zoo_01,GBF1,bZIP,.
7,M01776_2.00,180,455,5485,27655,8.759713491436441e-23,0.9961071775563484,21.97164412793629,1.7585124834058657e-20,True,A. thaliana,Zoo_01,ABI5,bZIP,.
8,M01700_2.00,191,455,6048,27655,1.6594262825635022e-22,0.940716390331905,20.488842525086767,2.961154010885539e-20,True,A. thaliana,Zoo_01,BPE,bHLH,.
9,M01118_2.00,177,455,5392,27655,2.4679227531824263e-22,0.996530755418368,21.532706151340154,3.963483941610977e-20,True,C. sativa,TF_Evolution,PK01630.1,bHLH,.
10,2.FBH3-MEME,160,455,4622,27655,3.8987905014208632e-22,1.0731565369369604,22.97528352827868,5.692234132074461e-20,True,.,.,2.FBH3-MEME,.,.
11,1.ABF3-MEME,174,455,5281,27655,4.724068327808643e-22,1.0018780562945189,21.365734664231148,5.912923083434195e-20,True,.,.,1.ABF3-MEME,.,.
12,M01160_2.00,187,455,5906,27655,4.786301375133533e-22,0.9444588052709113,20.135861689648593,5.912923083434195e-20,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
13,M01770_2.00,194,455,6267,27655,6.624792967900921e-22,0.9118835509160921,19.31262459761496,6.336819314052132e-20,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
14,M01826_2.00,179,455,5530,27655,5.929708878016158e-22,0.976281998659416,20.7235054050745,6.336819314052132e-20,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
15,M01769_2.00,174,455,5294,27655,6.19213141798082e-22,0.9983310028705585,21.172763477143537,6.336819314052132e-20,True,O. tauri,Zoo_01,fgenesh1_pg.C_Chr_14.0001000151,bHLH,.
16,M01709_2.00,188,455,5972,27655,6.707716583990426e-22,0.9361203880603248,19.820875104274293,6.336819314052132e-20,True,A. thaliana,Zoo_01,SPT,bHLH,.
17,M01712_2.00,174,455,5302,27655,7.309835002897478e-22,0.9961525274986982,21.054771891404023,6.521997230362972e-20,True,A. thaliana,Zoo_01,MYC3,bHLH,.
18,M07198_2.00,223,455,7762,27655,8.009717869191874e-22,0.8042171686520855,16.966073228973208,6.770319419959026e-20,True,A. thaliana,OMalley2016,NAC047,NAC/NAM,.
19,M06735_2.00,142,455,3858,27655,9.4055067106798e-22,1.1616396779728075,24.425353532809098,7.192973227310362e-20,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
20,M01771_2.00,177,455,5456,27655,9.218230647802928e-22,0.979507607576054,20.604287732901437,7.192973227310362e-20,True,A. thaliana,Zoo_01,ABF2,bZIP,.
21,M01058_2.00,180,455,5605,27655,1.0232180268030344e-21,0.9648844251541144,20.252954783875538,7.469491595662152e-20,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
22,M08404_2.00,155,455,4442,27655,1.1166308606700577e-21,1.084660714244486,22.725909309532867,7.796996357548317e-20,True,A. thaliana,JASPAR,PIF1,bHLH,.
23,M01056_2.00,167,455,4998,27655,1.2379517728793536e-21,1.0220990929045772,21.369328556618335,8.283960613517674e-20,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
24,M01768_2.00,176,455,5427,27655,1.3501251323464658e-21,0.9790224118121291,20.43183155893411,8.673203850193696e-20,True,C. sativa,Zoo_01,PK18474.1,bHLH,.
25,M01757_2.00,169,455,5098,27655,1.4166138259686558e-21,1.0106937647772116,21.071700136472067,8.750314632714082e-20,True,P. patens,Zoo_01,fgenesh1_pg.scaffold_37000071,bHLH,.
