,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06828_2.00,122,455,3423,27655,2.4587740437688872e-17,1.1152217470702774,18.523031798396193,3.892239311286149e-14,True,A. thaliana,OMalley2016,EICBP.B,CG-1,.
1,M06827_2.00,121,455,3487,27655,2.6146667065749115e-16,1.076622575015119,16.77656134875006,2.0695086982540425e-13,True,A. thaliana,OMalley2016,CAMTA5,CG-1,.
2,M01901_2.00,87,455,2296,27655,9.378605824784113e-14,1.2035665556902693,15.679898654501326,4.948777673544417e-11,True,A. thaliana,Zoo_01,CMTA2,CG-1,.
3,2.URI.MEME2,144,455,5037,27655,1.237017344478047e-12,0.797105972301355,9.491638374504108,4.895496140771871e-10,True,.,.,2.URI.MEME2,.,.
4,M07351_2.00,245,455,10554,27655,2.843695936909437e-12,0.4966656573266824,5.734559711168379,9.003141336255276e-10,True,A. thaliana,OMalley2016,GT-3A,Trihelix,.
5,M06854_2.00,300,455,14141,27655,4.1736445005644524e-11,0.3667521515717504,3.806698289338206,1.1011465407322546e-08,True,A. thaliana,OMalley2016,OBP3,Dof,.
6,M06734_2.00,154,455,5818,27655,5.914302786413938e-11,0.686008946111824,7.016565663145861,1.337477330127609e-08,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
7,M08404_2.00,161,455,6217,27655,9.30364853147276e-11,0.6544440010944006,6.564954673675735,1.8409594531651724e-08,True,A. thaliana,JASPAR,PIF1,bHLH,.
8,M07285_2.00,120,455,4215,27655,2.4104679496034124e-10,0.7911036662963029,7.608754875117112,3.738553166592628e-08,True,A. thaliana,OMalley2016,TCP20,TCP,.
9,M06696_2.00,328,455,16117,27655,2.353678986563405e-10,0.3067863843397157,2.953816854812521,3.738553166592628e-08,True,A. thaliana,OMalley2016,HMGB15,HMGBox,.
10,M02500_2.00,123,455,4367,27655,2.5978575383776947e-10,0.7756176760762136,7.434593780880656,3.738553166592628e-08,True,A. thaliana,Zoo_01,TCP3,TCP,.
11,M02516_2.00,92,455,2929,27655,4.347844765706818e-10,0.9328994646948751,8.733549146260382,5.735531886761577e-08,True,Manihot esculenta,Zoo_01,cassava45561.m1,TCP,.
12,M01313_2.00,150,455,5782,27655,5.077921187212256e-10,0.6569957835360605,6.1063251377387475,6.183345568736155e-08,True,C. sativa,TF_Evolution,PK10344.1,TCP,.
13,2.FBH3-MEME,135,455,5068,27655,1.0174918236362153e-09,0.6951447744272504,6.251067884595012,8.94827531564516e-08,True,.,.,2.FBH3-MEME,.,.
14,M06741_2.00,127,455,4654,27655,8.813658080516466e-10,0.7299591778840463,6.609666337313053,8.94827531564516e-08,True,A. thaliana,OMalley2016,BIM3,bHLH,.
15,M01317_2.00,90,455,2887,27655,1.0061244309403194e-09,0.9220276906109217,8.295804279498265,8.94827531564516e-08,True,C. sativa,TF_Evolution,PK14653.1,TCP,.
16,M06735_2.00,151,455,5888,27655,9.747739491681036e-10,0.6403727697852949,5.770460559298096,8.94827531564516e-08,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
17,M01311_2.00,90,455,2880,27655,8.941211306432363e-10,0.9255299865172287,8.374754006202405,8.94827531564516e-08,True,A. thaliana,TF_Evolution,TCP8,TCP,.
18,M07283_2.00,110,455,3833,27655,1.0768521022563557e-09,0.8026314172413708,7.197873290977312,8.971878304588479e-08,True,A. thaliana,OMalley2016,TCP13,TCP,.
19,M06863_2.00,364,455,18733,27655,1.4267830767588179e-09,0.2400302884000856,2.123222012470444,1.1031954760163556e-07,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
20,M07357_2.00,138,455,5261,27655,1.6794143763808058e-09,0.6729331085606085,5.9048817939709055,1.1031954760163556e-07,True,A. thaliana,OMalley2016,BMY2,BES1,.
21,M02514_2.00,119,455,4307,27655,1.7374877695456681e-09,0.7478801415833141,6.551488557250625,1.1031954760163556e-07,True,A. lyrata,Zoo_01,TCP4,TCP,.
22,M01127_2.00,126,455,4651,27655,1.6382037938083763e-09,0.7194846854925341,6.321127728642422,1.1031954760163556e-07,True,C. sativa,TF_Evolution,PK18474.1,bHLH,.
23,M02504_2.00,98,455,3286,27655,1.5700980647579344e-09,0.8581230656823629,7.5549783034946305,1.1031954760163556e-07,True,A. thaliana,Zoo_01,TCP19,TCP,.
24,M07344_2.00,130,455,4857,27655,1.742254384106689e-09,0.7020480285219614,6.149160357114935,1.1031954760163556e-07,True,A. thaliana,OMalley2016,BEH3,BES1,.
25,M07292_2.00,114,455,4089,27655,2.5543024552355993e-09,0.7608876531556048,6.538100398009038,1.347820262212651e-07,True,A. thaliana,OMalley2016,TCP21,TCP,.
26,M06730_2.00,152,455,6019,27655,2.44522419436525e-09,0.6181493985594858,5.323305625896716,1.347820262212651e-07,True,A. thaliana,OMalley2016,AT2G22750,bHLH,.
27,M07284_2.00,143,455,5547,27655,2.371820421317157e-09,0.6479093131702662,5.588164824515022,1.347820262212651e-07,True,A. thaliana,OMalley2016,TCP13,TCP,.
