,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M02287_2.00,137,500,3082,27655,2.5175273070390834e-24,1.297849373386942,30.62798086012415,4.030561218569573e-21,True,A. thaliana,Zoo_01,AT1G19000,Myb/SANT,MYB-related
1,M07137_2.00,117,500,2415,27655,1.4015151350942676e-23,1.4220256828014697,32.49812487901318,1.1219128656429613e-20,True,A. thaliana,OMalley2016,KUA1,Myb/SANT,MYB-related
2,M01078_2.00,132,500,2998,27655,5.463969370446867e-23,1.2840778883517943,28.586773387903186,2.186953740521359e-20,True,A. thaliana,Stam_Arabidopsis,AT3G16350,Myb/SANT,MYB-related
3,M02346_2.00,131,500,2957,27655,4.855744575692282e-23,1.2929729103583267,28.85106673570211,2.186953740521359e-20,True,C. sativa,Zoo_01,PK00738.1,Myb/SANT,MYB-related
4,M02353_2.00,131,500,3002,27655,1.8637680089409881e-22,1.2711831768579624,27.62231231628686,4.9731543038575364e-20,True,C. sativa,Zoo_01,PK17526.1,Myb/SANT,MYB-related
5,M07146_2.00,118,500,2524,27655,1.651991523685493e-22,1.3706152913204928,29.85473156467887,4.9731543038575364e-20,True,A. thaliana,OMalley2016,AT5G58900,Myb/SANT,MYB-related
6,M07136_2.00,109,500,2268,27655,1.2455451727192706e-21,1.4104478367758981,29.484904995918956,2.8487397450336463e-19,True,A. thaliana,OMalley2016,KUA1,Myb/SANT,MYB-related
7,M07037_2.00,111,500,2356,27655,2.2564368228367493e-21,1.3817604794608456,28.528623888278783,4.515694191702045e-19,True,A. thaliana,OMalley2016,AT1G74840,Myb/SANT,MYB-related
8,M01080_2.00,139,500,3412,27655,3.517565176281843e-21,1.1720075783464179,23.971959202183108,6.257357608030256e-19,True,A. thaliana,Stam_Arabidopsis,AT4G09450,Myb/SANT,MYB-related
9,M01709_2.00,199,500,5972,27655,7.459933839247064e-21,0.8820946073503081,17.754151938545373,1.194335407663455e-18,True,A. thaliana,Zoo_01,SPT,bHLH,.
10,M02355_2.00,119,500,2686,27655,8.396441894314373e-21,1.2930426108217015,25.95900024484574,1.2220639520724829e-18,True,C. sativa,Zoo_01,PK23829.1,Myb/SANT,MYB-related
11,M07122_2.00,107,500,2258,27655,9.174384215320613e-21,1.3901056525693467,27.854135080792926,1.2240157607273583e-18,True,A. thaliana,OMalley2016,SRM1,Myb/SANT,MYB-related
12,M07150_2.00,113,500,2480,27655,1.2150360735789818e-20,1.3335229940821507,26.557658275693395,1.4276425517909368e-18,True,A. thaliana,OMalley2016,AT5G61620,Myb/SANT,MYB-related
13,1.PIF5,187,500,5463,27655,1.2484069784555348e-20,0.9208851891308427,18.32897079652175,1.4276425517909368e-18,True,.,.,1.PIF5,.,.
14,M07271_2.00,101,500,2069,27655,1.7548036275036735e-20,1.4329619898329857,28.309269605649952,1.872960405088921e-18,True,A. thaliana,OMalley2016,STKL2,Storekeeper,.
15,M01703_2.00,172,500,4839,27655,2.2139941370286623e-20,0.9752399677664995,19.168169469295375,2.2153778833643053e-18,True,A. thaliana,Zoo_01,PIF1,bHLH,.
16,M02312_2.00,136,500,3375,27655,2.886791673281119e-20,1.1562594913659843,22.592830100292613,2.7186785111312185e-18,True,A. thaliana,Zoo_01,KUA1,Myb/SANT,MYB-related
17,M07075_2.00,104,500,2191,27655,3.2149686357987765e-20,1.3925343860920703,27.1444266709478,2.8595359921743564e-18,True,A. thaliana,OMalley2016,AT3G11280,Myb/SANT,MYB-related
18,M07012_2.00,98,500,1994,27655,4.567249454491642e-20,1.4427285866582127,27.90286899312558,3.8485086192848e-18,True,A. thaliana,OMalley2016,AT1G19000,Myb/SANT,MYB-related
19,2.FBH3-MEME,166,500,4622,27655,5.114737421798273e-20,0.9902063238204942,19.102245119703525,3.899378386809064e-18,True,.,.,2.FBH3-MEME,.,.
20,M07023_2.00,115,500,2599,27655,4.984111842604121e-20,1.2912175694133752,24.923613791487707,3.899378386809064e-18,True,A. thaliana,OMalley2016,AT1G49010,Myb/SANT,MYB
21,M07022_2.00,134,500,3323,27655,5.691575793079625e-20,1.1572870497069416,22.27172017505963,3.9618316716176e-18,True,A. thaliana,OMalley2016,AT1G49010,Myb/SANT,MYB
22,M01156_2.00,188,500,5596,27655,7.544536870367337e-20,0.8938770414540845,17.09304521025993,4.4750441036088755e-18,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
23,M01770_2.00,203,500,6267,27655,6.751511885981205e-20,0.8412450763381123,16.127171988440782,4.4750441036088755e-18,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
