,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M07144_2.00,111,498,2165,27655,2.0213380165963e-24,1.5095153462712254,35.767001633930455,3.2361621645706762e-21,True,A. thaliana,OMalley2016,AT5G56840,Myb/SANT,MYB-related
1,M07271_2.00,102,498,1925,27655,1.9484445110294637e-23,1.557033401037076,35.36071426625654,1.5597298310790856e-20,True,A. thaliana,OMalley2016,STKL2,Storekeeper,.
2,M07137_2.00,110,498,2229,27655,7.073516148613348e-23,1.4544296018001137,32.21614603857618,3.7748997846433233e-20,True,A. thaliana,OMalley2016,KUA1,Myb/SANT,MYB-related
3,M07145_2.00,109,498,2221,27655,1.7882320783608727e-22,1.4464414367651524,31.45659524737221,7.157398893639394e-20,True,A. thaliana,OMalley2016,AT5G56840,Myb/SANT,MYB-related
4,M07149_2.00,114,498,2414,27655,3.3281885017729286e-22,1.3909308429449267,29.874123448182736,1.0656859582676918e-19,True,A. thaliana,OMalley2016,AT5G61620,Myb/SANT,MYB-related
5,M07136_2.00,104,498,2104,27655,1.2206926336621433e-21,1.4567715183839962,30.466036260230588,2.791898437847274e-19,True,A. thaliana,OMalley2016,KUA1,Myb/SANT,MYB-related
6,M01080_2.00,132,498,3117,27655,1.1851892762539491e-21,1.233702469268292,25.816719770567477,2.791898437847274e-19,True,A. thaliana,Stam_Arabidopsis,AT4G09450,Myb/SANT,MYB-related
7,M07013_2.00,93,498,1745,27655,1.6743209022256287e-21,1.5653982795462231,32.52296715615493,3.3507347055790395e-19,True,A. thaliana,OMalley2016,AT1G19000,Myb/SANT,MYB-related
8,M07150_2.00,108,498,2300,27655,8.33806217528131e-21,1.3827201458669378,27.763547753335562,1.4832486158472643e-18,True,A. thaliana,OMalley2016,AT5G61620,Myb/SANT,MYB-related
9,M07037_2.00,105,498,2200,27655,9.98189723707449e-21,1.4062084987893075,28.12527652895682,1.598101747655626e-18,True,A. thaliana,OMalley2016,AT1G74840,Myb/SANT,MYB-related
10,M07012_2.00,95,498,1868,27655,1.4320730906133673e-20,1.4978276581564924,29.72294419652429,2.0843172891563646e-18,True,A. thaliana,OMalley2016,AT1G19000,Myb/SANT,MYB-related
11,M07146_2.00,104,498,2286,27655,4.919675739210818e-19,1.3370808194618204,24.479360575520165,6.563667382063766e-17,True,A. thaliana,OMalley2016,AT5G58900,Myb/SANT,MYB-related
