,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M02312_2.00,113,500,3665,27655,2.829806479334457e-09,0.7700499163352141,6.582574009760255,4.479583656786446e-06,True,A. thaliana,Zoo_01,KUA1,Myb/SANT,MYB-related
1,M02307_2.00,98,500,3203,27655,5.4802890772266873e-08,0.7589701982817252,5.511031772044137,2.5697394648319007e-05,True,A. thaliana,Zoo_01,SRM1,Myb/SANT,MYB-related
2,M02356_2.00,111,500,3771,27655,4.579701243039247e-08,0.7031528681496424,5.160553409402804,2.5697394648319007e-05,True,C. sativa,Zoo_01,PK27213.1,Myb/SANT,MYB-related
3,M01269_2.00,99,500,3259,27655,6.49334040387088e-08,0.7486114202822461,5.380668411039366,2.5697394648319007e-05,True,A. thaliana,TF_Evolution,AT1G49010,Myb/SANT,MYB-related
4,M01285_2.00,99,500,3310,27655,1.3267243318169258e-07,0.72620955532623,4.994302374039056,3.5003410287769894e-05,True,C. sativa,TF_Evolution,PK27693.1,Myb/SANT,MYB-related
5,M01280_2.00,96,500,3175,27655,1.299041469261862e-07,0.7418900611154662,5.1089346420699,3.5003410287769894e-05,True,C. sativa,TF_Evolution,PK19621.1,Myb/SANT,MYB-related
6,M01078_2.00,118,500,4188,27655,1.573293782197197e-07,0.6400657593722334,4.354489084686825,3.557891510311661e-05,True,A. thaliana,Stam_Arabidopsis,AT3G16350,Myb/SANT,MYB-related
7,M06762_2.00,106,500,3662,27655,2.151705322181942e-07,0.6789728157070625,4.526859239234553,4.191469999058482e-05,True,A. thaliana,OMalley2016,BZIP2,bZIP,.
8,M02659_2.00,87,500,2821,27655,2.383021477670647e-07,0.7704209822043573,5.102399584714055,4.191469999058482e-05,True,Triticum aestivum,JASPAR,EmBP-1,bZIP,.
9,M02365_2.00,96,500,3228,27655,2.696788886640002e-07,0.7180060743845763,4.716691793601062,4.269016807551123e-05,True,O. tauri,Zoo_01,estExt_fgenesh1_pg.C_Chr_03.00010215,Myb/SANT,MYB-related
10,M06771_2.00,104,500,3615,27655,3.7667329846456363e-07,0.6701282232438124,4.304927271096167,4.586721780533879e-05,True,A. thaliana,OMalley2016,GBF3,bZIP,.
11,M01284_2.00,107,500,3747,27655,3.5322212594419823e-07,0.659415161013234,4.254515032805571,4.586721780533879e-05,True,C. sativa,TF_Evolution,PK27213.1,Myb/SANT,MYB-related
12,M06763_2.00,102,500,3518,27655,3.4907636052950166e-07,0.681354011440735,4.399557060831612,4.586721780533879e-05,True,A. thaliana,OMalley2016,BZIP2,bZIP,.
13,M07285_2.00,65,500,1925,27655,4.607445570133865e-07,0.901193519500029,5.71044859173652,4.8623908916812716e-05,True,A. thaliana,OMalley2016,TCP20,TCP,.
14,M02358_2.00,103,500,3583,27655,4.468429410691355e-07,0.6690166359136827,4.248152006286924,4.8623908916812716e-05,True,C. sativa,Zoo_01,PK29550.1,Myb/SANT,MYB-related
15,M07145_2.00,214,500,9055,27655,4.934409971664708e-07,0.38643649750481723,2.437164088430618,4.881981865715771e-05,True,A. thaliana,OMalley2016,AT5G56840,Myb/SANT,MYB-related
16,M01080_2.00,104,500,3659,27655,6.495289819150924e-07,0.6526744547432054,4.038358878088647,6.0482610492446555e-05,True,A. thaliana,Stam_Arabidopsis,AT4G09450,Myb/SANT,MYB-related
17,M07121_2.00,175,500,7100,27655,7.230304867114522e-07,0.4470762394941225,2.7454251702191637,6.358651447023494e-05,True,A. thaliana,OMalley2016,SRM1,Myb/SANT,MYB
18,M07356_2.00,78,500,2519,27655,8.898612184854176e-07,0.7762352490692076,4.696749327049378,7.413948994012717e-05,True,A. thaliana,OMalley2016,BMY2,BES1,.
19,M07150_2.00,160,500,6391,27655,1.058644728113555e-06,0.4695705597867368,2.8058013750734916,7.980164783827417e-05,True,A. thaliana,OMalley2016,AT5G61620,Myb/SANT,MYB-related
20,M06781_2.00,108,500,3881,27655,1.012965994538165e-06,0.622143221319221,3.7293785197997704,7.980164783827417e-05,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
21,1.GBF3-MEME1,103,500,3666,27655,1.226808913418195e-06,0.6359778935845332,3.7594072012083064,8.827447772459104e-05,True,.,.,1.GBF3-MEME1,.,.
22,M06792_2.00,90,500,3089,27655,1.4926897876293013e-06,0.6883973776432375,4.010624075889312,0.00010273599712248626,True,A. thaliana,OMalley2016,BZIP43,bZIP,.
23,GBF2-MEME,101,500,3601,27655,1.6903804864523782e-06,0.6334980355027149,3.656560498746874,0.00011149467958558811,True,.,.,GBF2-MEME,.,.
24,M01161_2.00,93,500,3241,27655,1.826939332796242e-06,0.6664039427313915,3.8240096669352477,0.00011415823976615085,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
25,M01827_2.00,96,500,3380,27655,1.8749931989386749e-06,0.6516234064928101,3.7318474465736577,0.00011415823976615085,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
26,M01059_2.00,97,500,3464,27655,2.939494156538605e-06,0.6311580644016034,3.49139435783282,0.00017234145369631897,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
27,M06791_2.00,98,500,3515,27655,3.1083653711073703e-06,0.6248693070965112,3.441447674251379,0.00017573365651653454,True,A. thaliana,OMalley2016,AtbZIP3,bZIP,.
28,M02291_2.00,62,500,1929,27655,3.859526621643649e-06,0.8300273192789722,4.493324638051842,0.00020365435473539655,True,A. thaliana,Zoo_01,AT1G74840,Myb/SANT,MYB-related
29,M07137_2.00,188,500,7958,27655,3.792217002895139e-06,0.3858671049251005,2.0918267936952253,0.00020365435473539655,True,A. thaliana,OMalley2016,KUA1,Myb/SANT,MYB-related
30,M06772_2.00,105,500,3882,27655,4.871840070814259e-06,0.5811295518936594,3.0871385729733394,0.00023370069188178704,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
31,M06760_2.00,89,500,3138,27655,4.7638519563447086e-06,0.6495722309395008,3.4570505283580784,0.00023370069188178704,True,A. thaliana,OMalley2016,AtbZIP48,bZIP,.
32,1.ABF3-MEME,90,500,3181,27655,4.6127890069232145e-06,0.6460568767313619,3.4473830171395545,0.00023370069188178704,True,.,.,1.ABF3-MEME,.,.
33,M02304_2.00,90,500,3196,27655,5.500083429086442e-06,0.6392698403428982,3.36232329241122,0.00024209827894370619,True,A. thaliana,Zoo_01,AT5G04760,Myb/SANT,MYB-related
34,M01779_2.00,92,500,3287,27655,5.442771807103285e-06,0.6304746519179033,3.3189319733601885,0.00024209827894370619,True,A. thaliana,Zoo_01,GBF3,bZIP,.
35,M01826_2.00,91,500,3242,27655,5.5057094390230085e-06,0.6345947016223551,3.337452022281252,0.00024209827894370619,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
36,M07281_2.00,55,500,1666,27655,6.398816316023322e-06,0.8686554651003126,4.511709929842123,0.0002722059744636612,True,A. thaliana,OMalley2016,TCP9,TCP,.
37,2.ABF1-MEME,92,500,3303,27655,6.53431903324013e-06,0.623469138712688,3.232562581684788,0.0002722059744636612,True,.,.,2.ABF1-MEME,.,.
38,M01770_2.00,91,500,3264,27655,7.085404567023113e-06,0.6248377351684011,3.2176864872130335,0.0002875947546050664,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
39,M02516_2.00,46,500,1308,27655,7.798096167064196e-06,0.9598835675001309,4.903096218271046,0.00030264621971569535,True,Manihot esculenta,Zoo_01,cassava45561.m1,TCP,.
40,M07279_2.00,62,500,1976,27655,7.838594446205628e-06,0.7952975157433981,4.0605996791223316,0.00030264621971569535,True,A. thaliana,OMalley2016,TCP22,TCP,.
41,M01075_2.00,106,500,3981,27655,8.361984676673073e-06,0.5584737354130501,2.835756854876168,0.0003151671843612732,True,A. thaliana,Stam_Arabidopsis,AT3G11280,Myb/SANT,MYB-related
42,M01058_2.00,99,500,3655,27655,8.719451888204748e-06,0.5831693661810106,2.9505517147681046,0.00032099749625646783,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
43,M01832_2.00,93,500,3379,27655,9.105995891205607e-06,0.6062466128854305,3.0558906600957108,0.00032760889763132903,True,P. patens,Zoo_01,estExt_Genewise1.C_2060077,bZIP,.
44,M02355_2.00,96,500,3525,27655,9.745475016066121e-06,0.5910233954888383,2.961734659047723,0.00034282415445405933,True,C. sativa,Zoo_01,PK23829.1,Myb/SANT,MYB-related
45,ACGTGKV-ZAT6-DREME,90,500,3253,27655,1.0521619794192765e-05,0.6137664262297433,3.055278570073836,0.0003469942527959822,True,.,.,ACGTGKV-ZAT6-DREME,.,.
46,M08404_2.00,86,500,3074,27655,1.1191147448379188e-05,0.629831741952527,3.118375924095195,0.00036154257981192353,True,A. thaliana,JASPAR,PIF1,bHLH,.
47,M06752_2.00,101,500,3780,27655,1.2025459487268666e-05,0.5635094005845604,2.7724089534909226,0.00037598665284422565,True,A. thaliana,OMalley2016,BZIP68,bZIP,.
48,M07144_2.00,204,500,8944,27655,1.2113278139643403e-05,0.335189306069506,1.6480381024518111,0.00037598665284422565,True,A. thaliana,OMalley2016,AT5G56840,Myb/SANT,MYB-related
49,M07146_2.00,195,500,8485,27655,1.316095635193267e-05,0.3460998062607855,1.6892136683858001,0.0004006498827905657,True,A. thaliana,OMalley2016,AT5G58900,Myb/SANT,MYB-related
50,M06770_2.00,102,500,3845,27655,1.438194539616442e-05,0.5531258960635069,2.6783364592462404,0.0004295588596627976,True,A. thaliana,OMalley2016,GBF3,bZIP,.
51,M06756_2.00,87,500,3155,27655,1.651900805466655e-05,0.6089876429200173,2.9121886735978713,0.00047544708637340267,True,A. thaliana,OMalley2016,BZIP44,bZIP,.
52,M07075_2.00,168,500,7122,27655,1.6478620247637092e-05,0.38371913935689794,1.83535901665119,0.00047544708637340267,True,A. thaliana,OMalley2016,AT3G11280,Myb/SANT,MYB-related
53,M00890_2.00,271,500,12598,27655,1.748259283287444e-05,0.25071038240973476,1.1927281083678587,0.0004941954366864329,True,A. thaliana,Franco_Zorrilla2014,YAB1,YABBY,.
54,M06726_2.00,84,500,3029,27655,1.899772394004382e-05,0.6171599969245884,2.913796522959804,0.0005276034560892872,True,A. thaliana,OMalley2016,BPE,bHLH,.
55,M01781_2.00,80,500,2851,27655,2.030602758175304e-05,0.6341442078906103,2.975642445413796,0.0005448210451172044,True,A. thaliana,Zoo_01,GBF2,bZIP,.
56,M06851_2.00,238,500,10825,27655,2.0079663928624333e-05,0.2822067957476943,1.3255940539735118,0.0005448210451172044,True,A. thaliana,OMalley2016,DOF3.4,Dof,.
57,M02287_2.00,123,500,4904,27655,2.2051317138681953e-05,0.47223967858965893,2.1990149784033193,0.0005758457839114244,True,A. thaliana,Zoo_01,AT1G19000,Myb/SANT,MYB-related
58,M07280_2.00,53,500,1661,27655,2.2189888072392223e-05,0.8195525335420235,3.814070368982854,0.0005758457839114244,True,A. thaliana,OMalley2016,TCP22,TCP,.
59,M07023_2.00,186,500,8094,27655,2.284099805424713e-05,0.3459901143798082,1.6058387014451883,0.0005831822567721485,True,A. thaliana,OMalley2016,AT1G49010,Myb/SANT,MYB
60,M07271_2.00,150,500,6295,27655,3.204248919698358e-05,0.39829646483070247,1.790053347973734,0.0007803578522896155,True,A. thaliana,OMalley2016,STKL2,Storekeeper,.
61,M01133_2.00,92,500,3450,27655,3.139803485919056e-05,0.5606497464453197,2.5246604899310503,0.0007803578522896155,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
62,M07357_2.00,73,500,2570,27655,3.161337061654987e-05,0.6517403517399772,2.9329157858768347,0.0007803578522896155,True,A. thaliana,OMalley2016,BMY2,BES1,.
63,M07207_2.00,99,500,3794,27655,3.520940500611809e-05,0.5293210936093345,2.357247494483208,0.000844492244313408,True,A. thaliana,OMalley2016,NAC055,NAC/NAM,.
64,M07072_2.00,224,500,10175,27655,3.842612497194041e-05,0.28408218495783283,1.2543289254727668,0.0008448410532025232,True,A. thaliana,OMalley2016,AT3G10580,Myb/SANT,MYB-related
65,M07136_2.00,195,500,8636,27655,3.7531751361779974e-05,0.320651222668306,1.419074426018808,0.0008448410532025232,True,A. thaliana,OMalley2016,KUA1,Myb/SANT,MYB-related
66,M06765_2.00,93,500,3514,27655,3.707123022888067e-05,0.5497287720408559,2.4358278497364316,0.0008448410532025232,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
