,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M07144_2.00,26,498,357,27655,1.6793750520648518e-09,2.015910243647199,17.689314643622144,1.7180006782623433e-06,True,A. thaliana,OMalley2016,AT5G56840,Myb/SANT,MYB-related
1,M07136_2.00,28,498,434,27655,5.6727956376813045e-09,1.8410544791483314,15.181708714316615,2.901634968673987e-06,True,A. thaliana,OMalley2016,KUA1,Myb/SANT,MYB-related
2,M07149_2.00,30,498,544,27655,5.293000110823677e-08,1.6146785438933857,11.748882416061845,1.3536847783431555e-05,True,A. thaliana,OMalley2016,AT5G61620,Myb/SANT,MYB-related
3,M07137_2.00,24,498,364,27655,4.537597468296074e-08,1.8724186500576667,13.749496010276006,1.3536847783431555e-05,True,A. thaliana,OMalley2016,KUA1,Myb/SANT,MYB-related
4,M07271_2.00,17,498,227,27655,7.115908327198951e-07,2.0561651434946313,12.640829675831228,0.00014559148437449053,True,A. thaliana,OMalley2016,STKL2,Storekeeper,.
5,M07013_2.00,19,498,310,27655,3.091600071167262e-06,1.7670538977045545,9.736143060135099,0.0004980076022375332,True,A. thaliana,OMalley2016,AT1G19000,Myb/SANT,MYB-related
6,M06837_2.00,269,498,12300,27655,3.4076766526517427e-06,0.2803424569778663,1.532784051730031,0.0004980076022375332,True,A. thaliana,OMalley2016,CDF5,Dof,.
7,M07146_2.00,20,498,350,27655,4.823903205524201e-06,1.66596777259024,8.857286617358492,0.0005862168745113912,True,A. thaliana,OMalley2016,AT5G58900,Myb/SANT,MYB-related
8,M06863_2.00,228,498,10136,27655,5.157333206845085e-06,0.3209399945591389,1.6969942303134582,0.0005862168745113912,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
9,M07282_2.00,11,498,124,27655,1.3082758896736528e-05,2.3004860977856287,11.233965284658604,0.0012166965773964971,True,A. thaliana,OMalley2016,TCP9,TCP,.
10,M07023_2.00,18,498,313,27655,1.2760394030087546e-05,1.6751569440449003,8.198445762717286,0.0012166965773964971,True,A. thaliana,OMalley2016,AT1G49010,Myb/SANT,MYB
11,M07012_2.00,18,498,318,27655,1.565879630991467e-05,1.6522928356931634,7.939666311039381,0.0013349123854202256,True,A. thaliana,OMalley2016,AT1G19000,Myb/SANT,MYB-related
12,M07289_2.00,11,498,129,27655,1.882333667315744e-05,2.2434551527492497,10.601006238432799,0.0014812518012800046,True,A. thaliana,OMalley2016,TCP14,TCP,.
13,M06705_2.00,270,498,12630,27655,2.1503121988239098e-05,0.24749936791112298,1.155202923848241,0.0015712638424263284,True,A. thaliana,OMalley2016,VRN1,B3,REM
14,M06767_2.00,21,498,431,27655,2.8775324618203023e-05,1.4360241532248685,6.520956626638328,0.001962477138961446,True,A. thaliana,OMalley2016,ABI5,bZIP,.
15,M07145_2.00,19,498,368,27655,3.1550515001209695e-05,1.5196163469217792,6.83978337193266,0.002017261052889845,True,A. thaliana,OMalley2016,AT5G56840,Myb/SANT,MYB-related
16,M01056_2.00,20,498,405,27655,3.647817739587546e-05,1.4554007866505818,6.45902047225999,0.0021951279691753292,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
17,1.FDP-MEME,22,498,478,27655,4.2934191918287766e-05,1.3538156001917554,5.912379030663102,0.0024400932406893547,True,.,.,1.FDP-MEME,.,.
18,M06703_2.00,197,498,8818,27655,4.880367867800952e-05,0.3110668473758352,1.3411794697584958,0.002627692804610723,True,A. thaliana,OMalley2016,REM19,B3,REM
19,M07009_2.00,30,498,779,27655,5.308902985465681e-05,1.0966618670820558,4.6882242297023655,0.002715503877065696,True,A. thaliana,OMalley2016,RVE7,Myb/SANT,MYB-related
20,M06851_2.00,196,498,8794,27655,5.8758052925434884e-05,0.3076568164377678,1.3016752554865838,0.0028623565782247566,True,A. thaliana,OMalley2016,DOF3.4,Dof,.
21,M06854_2.00,257,498,12124,27655,7.636855073493732e-05,0.23529720194475565,0.9687386867957769,0.003551137609174585,True,A. thaliana,OMalley2016,OBP3,Dof,.
22,M07022_2.00,15,498,267,27655,8.127346767885023e-05,1.6414454534561713,6.713595962886263,0.0036149024971940773,True,A. thaliana,OMalley2016,AT1G49010,Myb/SANT,MYB
23,M06778_2.00,21,498,469,27655,9.023844367479383e-05,1.3141240997985901,5.315117377274292,0.003846413661638087,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
24,M06696_2.00,55,498,1863,27655,9.83371757206158e-05,0.7131985441182285,2.8579878800944316,0.0040239572304875985,True,A. thaliana,OMalley2016,HMGB15,HMGBox,.
25,M06838_2.00,181,498,8122,27655,0.00012357382402376584,0.3074773646940867,1.2016441450421569,0.004862154691396632,True,A. thaliana,OMalley2016,CDF5,Dof,.
26,M07072_2.00,17,498,354,27655,0.0001786410779295497,1.4151080807025487,5.303851505654078,0.00676851195266405,True,A. thaliana,OMalley2016,AT3G10580,Myb/SANT,MYB-related
27,M06828_2.00,10,498,144,27655,0.00023005890562072023,1.9472538829802564,7.08442303768642,0.008405366444642742,True,A. thaliana,OMalley2016,EICBP.B,CG-1,.
28,M01845_2.00,15,498,299,27655,0.000262338555578082,1.4781397109456202,5.293422106346936,0.009254218701944065,True,O. tauri,Zoo_01,300010311,bZIP,.
29,M07336_2.00,122,498,5202,27655,0.0002777076763848495,0.38113744315510173,1.3554818204436752,0.009469831764723368,True,A. thaliana,OMalley2016,MIP1B,Unknown,.
30,M07337_2.00,38,498,1202,27655,0.0002977482127608681,0.8119571222676069,2.8630832860468134,0.009815533261633565,True,A. thaliana,OMalley2016,ZHD9,Homeodomain,HD-ZF
31,M07346_2.00,28,498,788,27655,0.00030703525354083486,0.9805538921364343,3.4445012399990382,0.009815533261633565,True,A. thaliana,OMalley2016,AT4G27900,Unknown,.
32,M06868_2.00,258,498,12446,27655,0.0003240081671467205,0.2030835140710867,0.708648558318486,0.010044253181548335,True,A. thaliana,OMalley2016,DOF5.8,Dof,.
33,M07038_2.00,20,498,484,27655,0.0003436067328134504,1.1983156471479748,4.15089150753813,0.01033852022553411,True,A. thaliana,OMalley2016,AT1G74840,Myb/SANT,MYB-related
34,M06867_2.00,182,498,8356,27655,0.0003561503510179527,0.2744486526667947,0.946399573661228,0.01040976597403902,True,A. thaliana,OMalley2016,DOF5.6,Dof,.
35,M06777_2.00,19,498,450,27655,0.0003674768778493368,1.229397111761755,4.222696295592098,0.010442467945551986,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
36,M08407_2.00,17,498,385,27655,0.00044275284359555147,1.2939989952032824,4.339863831343549,0.01224151781076349,True,A. thaliana,JASPAR,HY5,bZIP,.
37,M06914_2.00,14,498,283,27655,0.0004639626687127233,1.4579474687609284,4.8600926170672425,0.012490363423503051,True,A. thaliana,OMalley2016,HAT5,Homeodomain,HD-ZIP
38,M06855_2.00,191,498,8889,27655,0.0004770423905175771,0.25487420588851684,0.8465501540008706,0.01251318885896106,True,A. thaliana,OMalley2016,OBP3,Dof,.
39,M06856_2.00,98,498,4082,27655,0.0005053878640724588,0.41490016661769574,1.3676666159995023,0.012925294623653135,True,A. thaliana,OMalley2016,DOF4.2,Dof,.
40,M06702_2.00,234,498,11262,27655,0.0006174834591293267,0.20644007356658056,0.6625435433075727,0.01479640024896069,True,A. thaliana,OMalley2016,REM19,B3,REM
41,M06849_2.00,93,498,3862,27655,0.0006219405774245451,0.41927715169258767,1.3443078319548643,0.01479640024896069,True,A. thaliana,OMalley2016,CDF3,Dof,.
42,M06846_2.00,29,498,868,27655,0.0006057467575284786,0.8916805522182996,2.8691684505216517,0.01479640024896069,True,A. thaliana,OMalley2016,GATA24,Dof,.
43,M02656_2.00,10,498,165,27655,0.0006423675638917943,1.7508566701767532,5.589113370830856,0.014935045860484216,True,A. thaliana,JASPAR,ABF1,bZIP,.
44,M06818_2.00,61,498,2318,27655,0.0006875105122088849,0.547323276091621,1.7310306313381596,0.015629405644215316,True,A. thaliana,OMalley2016,JKD,C2H2 ZF,.
45,M06839_2.00,182,498,8524,27655,0.0008556662912139823,0.24573055195119953,0.7538265272585427,0.019029274258954433,True,A. thaliana,OMalley2016,DOF2.2,Dof,.
46,M01773_2.00,13,498,272,27655,0.0009585880146463676,1.4082276664259594,4.2505493325916825,0.02086458593581349,True,A. thaliana,Zoo_01,ABF1,bZIP,.
47,M06988_2.00,23,498,654,27655,0.0010567876735317657,0.9656659200941369,2.873833618244104,0.022522787292145758,True,A. thaliana,OMalley2016,AGL16,MADS box,.
48,M01158_2.00,9,498,148,27655,0.0011295859085629714,1.7557224253485693,5.174255734041387,0.023582987437957545,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
49,M07285_2.00,9,498,149,27655,0.0011808302456940449,1.7460072705153573,5.111981966519016,0.02415978682690016,True,A. thaliana,OMalley2016,TCP20,TCP,.
50,M06765_2.00,16,498,389,27655,0.001249581133250501,1.1916244445490145,3.459566438456117,0.025065127437554166,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
51,M06850_2.00,117,498,5202,27655,0.0013647888331974028,0.32076482517562005,0.9189702267316319,0.026849595699248902,True,A. thaliana,OMalley2016,CDF3,Dof,.
52,M06755_2.00,18,498,474,27655,0.0015220357448298655,1.0764325420792598,3.0329295791589614,0.029378161640772685,True,A. thaliana,OMalley2016,ABF2,bZIP,.
53,M06907_2.00,12,498,259,27655,0.001836902185661037,1.3634050025698088,3.730158792062804,0.031182179554005193,True,A. thaliana,OMalley2016,ATHB-21,Homeodomain,HD-ZIP
54,M07075_2.00,19,498,525,27655,0.0019142993981668098,1.0070046904253074,2.737028816685086,0.031182179554005193,True,A. thaliana,OMalley2016,AT3G11280,Myb/SANT,MYB-related
