,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06642_2.00,50,499,526,27655,6.8233917456214925e-22,2.3972939167484495,50.74112230885889,4.7661391343166125e-19,True,A. thaliana,OMalley2016,DREB1A,AP2,DREB
1,1.CBF2-MEME1,50,499,519,27655,3.79524398881203e-22,2.416622177682871,51.76588440121889,4.7661391343166125e-19,True,.,.,1.CBF2-MEME1,.,.
2,M06640_2.00,48,499,509,27655,6.544863734926422e-21,2.385797370911488,48.15517126149604,2.285793659423053e-18,True,A. thaliana,OMalley2016,DREB1C,AP2,DREB
3,M06679_2.00,49,499,528,27655,4.9839952892991484e-21,2.3626724410227817,47.967973835737865,2.285793659423053e-18,True,A. thaliana,OMalley2016,DREB1D,AP2,DREB
4,1.CBF1-MEME1,48,499,516,27655,1.1577622815146894e-20,2.366091961563929,47.171309888204235,3.2347878145520423e-18,True,.,.,1.CBF1-MEME1,.,.
5,M06639_2.00,48,499,556,27655,2.5196018060308484e-19,2.2583781442636757,42.00282552466418,5.866472871708491e-17,True,A. thaliana,OMalley2016,DREB1C,AP2,DREB
6,M01625_2.00,42,499,454,27655,3.964806299671034e-18,2.3581256517538725,41.0355791474784,7.912620572343478e-16,True,A. thaliana,Zoo_01,DREB1A,AP2,DREB
7,1.CBF3-MEME1,43,499,511,27655,5.064244172302067e-17,2.221441990030504,36.19947543328951,8.843436385882485e-15,True,.,.,1.CBF3-MEME1,.,.
8,M06644_2.00,47,499,644,27655,4.2011918353162586e-16,2.016028689829047,30.999722167016117,6.521183326596459e-14,True,A. thaliana,OMalley2016,DREB1B,AP2,DREB
9,M06678_2.00,44,499,600,27655,3.188084626938755e-15,2.0229696444074436,29.32591908247354,4.0488674762122187e-13,True,A. thaliana,OMalley2016,DREB1D,AP2,DREB
10,M01624_2.00,38,499,449,27655,2.9065627003261683e-15,2.2297125949684657,32.41248538013125,4.0488674762122187e-13,True,A. thaliana,Zoo_01,DREB1A,AP2,DREB
11,M06641_2.00,44,499,720,27655,1.6637051013445582e-12,1.7599352385736498,20.73014280714558,1.9368300221486232e-10,True,A. thaliana,OMalley2016,DREB1A,AP2,DREB
12,M01614_2.00,34,499,454,27655,2.647850560452159e-12,2.0532710702254517,23.770937913485863,2.845420948424359e-10,True,A. thaliana,Zoo_01,ERF024,AP2,DREB
13,M06643_2.00,38,499,568,27655,4.055791303500629e-12,1.8905371102049306,21.536855835489746,4.0471003221359846e-10,True,A. thaliana,OMalley2016,DREB1B,AP2,DREB
14,M06567_2.00,41,499,768,27655,5.494776984836117e-10,1.5649462201629545,14.491480135669763,5.117468965210703e-08,True,A. thaliana,OMalley2016,ERF027,AP2,DREB
15,M00962_2.00,26,499,365,27655,2.764789282463201e-09,1.9810437806397394,16.954442193647495,1.931205313800546e-07,True,A. thaliana,LehtiShiu2015,DREB1F,AP2,DREB
16,M00964_2.00,26,499,365,27655,2.764789282463201e-09,1.9810437806397394,16.954442193647495,1.931205313800546e-07,True,A. lyrata,LehtiShiu2015,DDF1,AP2,DREB
17,M00840_2.00,26,499,365,27655,2.764789282463201e-09,1.9810437806397394,16.954442193647495,1.931205313800546e-07,True,A. thaliana,Franco_Zorrilla2014,DREB1F,AP2,DREB
18,M00963_2.00,26,499,365,27655,2.764789282463201e-09,1.9810437806397394,16.954442193647495,1.931205313800546e-07,True,A. thaliana,LehtiShiu2015,DREB1E,AP2,DREB
19,M00965_2.00,26,499,365,27655,2.764789282463201e-09,1.9810437806397394,16.954442193647495,1.931205313800546e-07,True,A. lyrata,LehtiShiu2015,DDF2,AP2,DREB
20,M07070_2.00,128,499,4368,27655,3.743436476841912e-09,0.6995995753461743,5.895336402219469,2.09183230325926e-07,True,A. thaliana,OMalley2016,RVE8,Myb/SANT,MYB-related
21,M07138_2.00,128,499,4368,27655,3.743436476841912e-09,0.6995995753461743,5.895336402219469,2.09183230325926e-07,True,A. thaliana,OMalley2016,RVE6,Myb/SANT,MYB-related
22,M07101_2.00,128,499,4368,27655,3.743436476841912e-09,0.6995995753461743,5.895336402219469,2.09183230325926e-07,True,A. thaliana,OMalley2016,RVE5,Myb/SANT,MYB-related
23,M07100_2.00,128,499,4368,27655,3.743436476841912e-09,0.6995995753461743,5.895336402219469,2.09183230325926e-07,True,A. thaliana,OMalley2016,RVE5,Myb/SANT,MYB-related
24,M07117_2.00,128,499,4368,27655,3.743436476841912e-09,0.6995995753461743,5.895336402219469,2.09183230325926e-07,True,A. thaliana,OMalley2016,RVE4,Myb/SANT,MYB-related
25,M06564_2.00,35,499,642,27655,5.939855371949326e-09,1.5952102460886906,13.122557017869022,3.191529982543542e-07,True,A. thaliana,OMalley2016,DREB1F,AP2,DREB
26,M07118_2.00,125,499,4306,27655,1.0355154318186575e-08,0.68600839676088,5.477669636115602,4.822050194168881e-07,True,A. thaliana,OMalley2016,RVE4,Myb/SANT,MYB-related
27,M06997_2.00,125,499,4306,27655,1.0355154318186575e-08,0.68600839676088,5.477669636115602,4.822050194168881e-07,True,A. thaliana,OMalley2016,LHY,Myb/SANT,MYB-related
28,M07328_2.00,125,499,4306,27655,1.0355154318186575e-08,0.68600839676088,5.477669636115602,4.822050194168881e-07,True,A. thaliana,OMalley2016,AT2G28920,Unknown,.
29,M07129_2.00,125,499,4306,27655,1.0355154318186575e-08,0.68600839676088,5.477669636115602,4.822050194168881e-07,True,A. thaliana,OMalley2016,RVE1,Myb/SANT,MYB-related
30,M07128_2.00,144,499,5198,27655,1.123899715104621e-08,0.6185407992361388,4.916949327686615,5.064799683874696e-07,True,A. thaliana,OMalley2016,RVE1,Myb/SANT,MYB-related
31,M07009_2.00,128,499,4458,27655,1.2437134565411424e-08,0.6701758150062743,5.297927243505454,5.429586558712425e-07,True,A. thaliana,OMalley2016,RVE7,Myb/SANT,MYB-related
32,M06998_2.00,127,499,4437,27655,1.7234911254723917e-08,0.6656725652179688,5.1680095019917,7.296112431166458e-07,True,A. thaliana,OMalley2016,LHY,Myb/SANT,MYB-related
33,M01635_2.00,24,499,354,27655,2.8113575461402106e-08,1.9097136669041856,14.420408157505305,1.1551372035170218e-06,True,Oryza sativa,Zoo_01,DREB1G,AP2,DREB
34,M07351_2.00,63,499,1706,27655,3.143572127989086e-08,1.0332347084476532,7.751922515414889,1.254734360800215e-06,True,A. thaliana,OMalley2016,GT-3A,Trihelix,.
35,M07008_2.00,126,499,4442,27655,3.311913357306742e-08,0.6526429622189627,4.881717820324311,1.2852063778215327e-06,True,A. thaliana,OMalley2016,RVE7,Myb/SANT,MYB-related
36,M06681_2.00,36,499,728,27655,4.1115594738632356e-08,1.4544870775096432,10.742831988722205,1.5523915094559298e-06,True,A. thaliana,OMalley2016,ERF025,AP2,DREB
