,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,1.CBF2-MEME1,136,500,1918,27655,2.6960828292109442e-45,1.9715442731734092,87.87028265896899,4.267899118640925e-42,True,.,.,1.CBF2-MEME1,.,.
1,1.CBF3-MEME1,132,500,1859,27655,6.499299745877325e-44,1.9735515013801725,85.23203202706539,5.144195748861903e-41,True,.,.,1.CBF3-MEME1,.,.
2,1.CBF1-MEME1,130,500,1904,27655,2.328545456571082e-41,1.9170184866617115,77.89404975793859,1.2286958192506742e-38,True,.,.,1.CBF1-MEME1,.,.
3,M01625_2.00,123,500,1867,27655,2.07983219418185e-37,1.8654767300542383,68.4293646254574,8.230935908474672e-35,True,A. thaliana,Zoo_01,DREB1A,AP2,DREB
4,M01624_2.00,118,500,1769,27655,2.6557876495185833e-36,1.8833931536125832,67.00323068464179,8.408223698375835e-34,True,A. thaliana,Zoo_01,DREB1A,AP2,DREB
5,M06679_2.00,129,500,2128,27655,1.2229908455239374e-35,1.7454132568632652,60.936874367127544,3.226657514107321e-33,True,A. thaliana,OMalley2016,DREB1D,AP2,DREB
6,M06642_2.00,127,500,2091,27655,3.9881900681697213e-35,1.7481757771237871,60.13589041502273,9.019006968446669e-33,True,A. thaliana,OMalley2016,DREB1A,AP2,DREB
7,M06643_2.00,127,500,2115,27655,1.2491338708928024e-34,1.7317111757060544,58.71088111564719,2.471723647029133e-32,True,A. thaliana,OMalley2016,DREB1B,AP2,DREB
8,M06678_2.00,127,500,2174,27655,1.919405417422635e-33,1.6920168986860573,55.35743478761092,3.376020861977812e-31,True,A. thaliana,OMalley2016,DREB1D,AP2,DREB
9,M06641_2.00,129,500,2276,27655,1.0582324926791333e-32,1.6484108500578727,52.70862746264881,1.675182035911068e-30,True,A. thaliana,OMalley2016,DREB1A,AP2,DREB
10,M06567_2.00,129,500,2332,27655,1.1670758510375903e-31,1.6133436191639583,49.905398317003986,1.6795282474477323e-29,True,A. thaliana,OMalley2016,ERF027,AP2,DREB
11,M06644_2.00,122,500,2165,27655,1.4588492411965317e-30,1.6400544648899995,48.93264793521504,1.9244652906784247e-28,True,A. thaliana,OMalley2016,DREB1B,AP2,DREB
12,M00840_2.00,110,500,1812,27655,3.960941052395285e-30,1.747460910419625,51.379198012650015,4.823207450724412e-28,True,A. thaliana,Franco_Zorrilla2014,DREB1F,AP2,DREB
13,M06639_2.00,122,500,2202,27655,7.038078915439913e-30,1.6156070209397178,47.099057782424055,7.958056373672415e-28,True,A. thaliana,OMalley2016,DREB1C,AP2,DREB
14,M00962_2.00,107,500,1758,27655,2.3042988753436032e-29,1.7512160681989435,50.150382192090376,2.4318034131126156e-27,True,A. thaliana,LehtiShiu2015,DREB1F,AP2,DREB
15,M00964_2.00,108,500,1791,27655,2.603727167699244e-29,1.7378063171187077,49.67415875530287,2.5760625665424396e-27,True,A. lyrata,LehtiShiu2015,DDF1,AP2,DREB
