,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06678_2.00,74,500,1026,27655,1.5425036487327568e-24,1.9961067869630962,47.530843291783476,1.23091791168874e-21,True,A. thaliana,OMalley2016,DREB1D,AP2,DREB
1,M06642_2.00,69,500,895,27655,1.5266897145700032e-24,2.092249021567751,49.82952412853124,1.23091791168874e-21,True,A. thaliana,OMalley2016,DREB1A,AP2,DREB
2,1.CBF2-MEME1,75,500,1078,27655,6.4416689665006275e-24,1.9441456646845758,45.08668521464737,3.426967890178334e-21,True,.,.,1.CBF2-MEME1,.,.
3,M01625_2.00,81,500,1255,27655,1.0155835900906047e-23,1.8358467909876908,42.21214724253691,4.0521785244615125e-21,True,A. thaliana,Zoo_01,DREB1A,AP2,DREB
4,M06564_2.00,67,500,897,27655,4.382799657339093e-23,2.046593452479712,45.75824474542368,1.3989896506226386e-20,True,A. thaliana,OMalley2016,DREB1F,AP2,DREB
5,M06639_2.00,65,500,851,27655,6.254275250933533e-23,2.0788209282836925,46.15777195974982,1.6636372167483198e-20,True,A. thaliana,OMalley2016,DREB1C,AP2,DREB
6,M06641_2.00,72,500,1045,27655,9.944764447113897e-23,1.9301062114152678,42.46697952002358,2.2674062939419686e-20,True,A. thaliana,OMalley2016,DREB1A,AP2,DREB
7,M01624_2.00,88,500,1531,27655,2.3084416765170833e-22,1.6686414880787097,36.103863737037024,4.6053411446515815e-20,True,A. thaliana,Zoo_01,DREB1A,AP2,DREB
8,M06644_2.00,68,500,955,27655,2.849501813959338e-22,1.977574355268429,42.607296426985585,5.053116550087893e-20,True,A. thaliana,OMalley2016,DREB1B,AP2,DREB
9,M06643_2.00,71,500,1046,27655,4.735676109197735e-22,1.908548420198941,40.699066011109394,7.558139070279586e-20,True,A. thaliana,OMalley2016,DREB1B,AP2,DREB
10,M00965_2.00,75,500,1177,27655,1.1880460936950615e-21,1.817388522398637,38.02915780678444,1.7237468777611985e-19,True,A. lyrata,LehtiShiu2015,DDF2,AP2,DREB
11,M01627_2.00,60,500,786,27655,3.3311889824877442e-21,2.0779735302911124,42.55149668307971,4.4304813467087e-19,True,A. thaliana,Zoo_01,ERF043,AP2,DREB
12,M06679_2.00,53,500,621,27655,5.661517487930762e-21,2.2389394332839183,45.33195704342947,6.950601469798074e-19,True,A. thaliana,OMalley2016,DREB1D,AP2,DREB
13,M00964_2.00,84,500,1493,27655,9.187604168083398e-21,1.6377874095854195,32.81601504060498,1.0473868751615075e-18,True,A. lyrata,LehtiShiu2015,DDF1,AP2,DREB
14,1.CBF1-MEME1,73,500,1188,27655,3.404406469108068e-20,1.764973875020452,34.36043831645259,3.622288483130984e-18,True,.,.,1.CBF1-MEME1,.,.
15,M00962_2.00,82,500,1470,27655,4.7878067583030633e-20,1.6254200018355576,31.402892381252816,4.775837241407306e-18,True,A. thaliana,LehtiShiu2015,DREB1F,AP2,DREB
16,M00963_2.00,80,500,1410,27655,5.310150660940918e-20,1.649917084542407,31.80197552218429,4.9852943852127676e-18,True,A. thaliana,LehtiShiu2015,DREB1E,AP2,DREB
17,M06565_2.00,73,500,1208,27655,8.641313351041203e-20,1.7408882564961388,33.18728443527065,7.661964504589866e-18,True,A. thaliana,OMalley2016,DREB1F,AP2,DREB
18,M01640_2.00,62,500,933,27655,7.000896164329915e-19,1.8779314764763169,34.09355743690014,5.880752778037129e-17,True,P. patens,Zoo_01,estExt_gwp_gw1.C_550163,AP2,DREB
19,M06600_2.00,56,500,781,27655,1.3213578700071583e-18,1.9876446208568253,35.53705751762234,1.0544435802657123e-16,True,A. thaliana,OMalley2016,ERF037,AP2,DREB
20,M06681_2.00,62,500,947,27655,1.4430806545920516e-18,1.856444131859691,33.12028026505287,1.0967412974899592e-16,True,A. thaliana,OMalley2016,ERF025,AP2,DREB
21,1.CBF3-MEME1,74,500,1307,27655,1.7617567233104964e-18,1.646878376774717,29.23876773553763,1.2780744229107058e-16,True,.,.,1.CBF3-MEME1,.,.
22,M06732_2.00,57,500,835,27655,5.9675601170021e-18,1.9167260637445278,33.014079195364495,4.140967802928414e-16,True,A. thaliana,OMalley2016,BHLH10,bHLH,.
23,M06618_2.00,68,500,1159,27655,8.166471396708613e-18,1.6982664271850683,29.019918210482647,5.430703478811228e-16,True,A. thaliana,OMalley2016,AT3G16280,AP2,DREB
24,M01635_2.00,57,500,871,27655,3.9448855533051287e-17,1.8558295425070777,30.442963959471484,2.5184149372299943e-15,True,Oryza sativa,Zoo_01,DREB1G,AP2,DREB
25,M06589_2.00,41,500,470,27655,8.495560266198071e-17,2.270503494994285,36.488825674500106,5.214966994173893e-15,True,A. thaliana,OMalley2016,DREB1E,AP2,DREB
26,M06567_2.00,54,500,806,27655,1.0389346803319217e-16,1.8897199105767017,30.204171435108755,6.141258332628693e-15,True,A. thaliana,OMalley2016,ERF027,AP2,DREB
27,M06599_2.00,56,500,886,27655,3.419195400620756e-16,1.8056604704437864,27.92648220940727,1.9489413783538308e-14,True,A. thaliana,OMalley2016,ERF037,AP2,DREB
28,M06640_2.00,31,500,273,27655,3.957809053252795e-16,2.6509076064082233,40.830724129074376,2.178159741031538e-14,True,A. thaliana,OMalley2016,DREB1C,AP2,DREB
29,M00843_2.00,82,500,1717,27655,4.1977831879214814e-16,1.4013461175571502,21.54847121733103,2.2332206559742284e-14,True,A. thaliana,Franco_Zorrilla2014,ERF037,AP2,DREB
30,M01092_2.00,81,500,1734,27655,2.199468450924996e-15,1.3694302566039904,20.072673582835204,1.0969848898988418e-13,True,A. thaliana,TF_Evolution,ERF019,AP2,.
31,M06615_2.00,51,500,781,27655,2.139863572590147e-15,1.8527150407707167,27.17861434131495,1.0969848898988418e-13,True,A. thaliana,OMalley2016,ERF034,AP2,DREB
32,M00840_2.00,86,500,1917,27655,2.696834744099727e-15,1.3110985699751476,19.101586047547546,1.3042873489645953e-13,True,A. thaliana,Franco_Zorrilla2014,DREB1F,AP2,DREB
33,M01642_2.00,55,500,920,27655,6.521497934500069e-15,1.7253380995214849,24.47504696453262,3.0612678539594443e-13,True,P. patens,Zoo_01,gw1.8.141.1,AP2,DREB
34,M01094_2.00,74,500,1534,27655,8.246764685180992e-15,1.4158390350672168,19.94027543440374,3.760524696442533e-13,True,A. thaliana,TF_Evolution,TINY,AP2,DREB
35,M06701_2.00,72,500,1501,27655,2.613514361702886e-14,1.4076851767628242,19.120271180296037,1.1586580336882796e-12,True,A. thaliana,OMalley2016,ARF5,B3,ARF
36,M06634_2.00,57,500,1015,27655,2.85351967001415e-14,1.6350944390334035,22.146731417316943,1.2225052265326698e-12,True,A. thaliana,OMalley2016,RAP2-9,AP2,DREB
37,M01697_2.00,74,500,1573,27655,2.91072672983969e-14,1.3796188471544635,18.6745187365365,1.2225052265326698e-12,True,A. thaliana,Zoo_01,ARF8,B3,ARF
38,M01614_2.00,87,500,2038,27655,3.0191259680812756e-14,1.2394735966241148,16.757830234142308,1.2355192423224914e-12,True,A. thaliana,Zoo_01,ERF024,AP2,DREB
39,M06680_2.00,64,500,1246,27655,3.96705205874466e-14,1.5063800839171988,20.18780104992657,1.5828537714391196e-12,True,A. thaliana,OMalley2016,ERF025,AP2,DREB
40,M06631_2.00,41,500,584,27655,1.2803141959757507e-13,1.957195882679267,25.23350694364601,4.983857211651947e-12,True,A. thaliana,OMalley2016,ERF035,AP2,DREB
41,M01623_2.00,35,500,434,27655,1.6010389422327739e-13,2.1572002214416877,27.602667064643104,6.083947980484541e-12,True,A. thaliana,Zoo_01,DREB1C,AP2,DREB
42,M01048_2.00,87,500,2104,27655,1.7512388725177919e-13,1.1934929434976262,15.224977261141753,6.499947071019526e-12,True,A. thaliana,Stam_Arabidopsis,ERF008,AP2,DREB
43,M06731_2.00,59,500,1149,27655,4.273165062425183e-13,1.5059484036569284,18.62745279051278,1.5499935090069528e-11,True,A. thaliana,OMalley2016,BHLH10,bHLH,.
44,M06651_2.00,40,500,584,27655,5.582403199786392e-13,1.9215719729485459,23.54536495961263,1.979892334857574e-11,True,A. thaliana,OMalley2016,ERF043,AP2,DREB
