,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M01635_2.00,144,500,3035,27655,1.4328191375921705e-28,1.3919126372404684,38.75614909602277,2.293943439285065e-25,True,Oryza sativa,Zoo_01,DREB1G,AP2,DREB
1,M06679_2.00,120,500,2243,27655,5.495075401700797e-28,1.5651451274634467,42.66589740675379,4.398807859061488e-25,True,A. thaliana,OMalley2016,DREB1D,AP2,DREB
2,M06639_2.00,139,500,2979,27655,9.271762373417181e-27,1.367797101415178,35.60763995787896,4.9480305199469685e-24,True,A. thaliana,OMalley2016,DREB1C,AP2,DREB
3,M06642_2.00,142,500,3126,27655,3.1308534143594684e-26,1.329113493446218,33.89815880090966,1.2531240790973773e-23,True,A. thaliana,OMalley2016,DREB1A,AP2,DREB
4,M06564_2.00,143,500,3188,27655,6.893076124744842e-26,1.310903859729118,32.98442141726125,2.2071629751432983e-23,True,A. thaliana,OMalley2016,DREB1F,AP2,DREB
5,M06644_2.00,147,500,3371,27655,1.9084942140027775e-25,1.2701798697933546,31.397968880535135,5.0924987276974107e-23,True,A. thaliana,OMalley2016,DREB1B,AP2,DREB
6,M06565_2.00,165,500,4081,27655,2.628136548054314e-25,1.1610836559289162,28.539845050360103,6.01092373347851e-23,True,A. thaliana,OMalley2016,DREB1F,AP2,DREB
7,M06643_2.00,153,500,3627,27655,4.186888440444613e-25,1.2222952496635724,29.797246350668182,8.379010491439783e-23,True,A. thaliana,OMalley2016,DREB1B,AP2,DREB
8,M01625_2.00,168,500,4227,27655,5.220080301139702e-25,1.1363674626891682,27.593641566777126,9.285942846805182e-23,True,A. thaliana,Zoo_01,DREB1A,AP2,DREB
9,M06640_2.00,73,500,990,27655,8.789329640226562e-25,2.028008280854246,48.78585693788685,1.4071716754002726e-22,True,A. thaliana,OMalley2016,DREB1C,AP2,DREB
10,1.CBF2-MEME1,154,500,3742,27655,3.5254650240016916e-24,1.1866611343953177,27.830506779143466,5.13115409402428e-22,True,.,.,1.CBF2-MEME1,.,.
11,M06678_2.00,149,500,3558,27655,4.717738528386989e-24,1.2117861621362023,28.266446513939417,6.294249486622975e-22,True,A. thaliana,OMalley2016,DREB1D,AP2,DREB
12,M00965_2.00,158,500,3948,27655,1.2802884362041718e-23,1.146342910661906,26.242875383204062,1.5767244510483685e-21,True,A. lyrata,LehtiShiu2015,DDF2,AP2,DREB
13,1.CBF1-MEME1,161,500,4111,27655,3.8585989844201036e-23,1.11511165849188,24.99363361055196,4.4125835528975615e-21,True,.,.,1.CBF1-MEME1,.,.
14,M06641_2.00,149,500,3647,27655,5.470821852711754e-23,1.1761424730672496,26.183221902080444,5.839190524127679e-21,True,A. thaliana,OMalley2016,DREB1A,AP2,DREB
15,M00842_2.00,215,500,6466,27655,7.129132758874765e-23,0.8790034944045753,19.46725812918957,7.133588466849062e-21,True,A. thaliana,Franco_Zorrilla2014,ERF018,AP2,DREB
16,M00964_2.00,179,500,4887,27655,8.185907078096229e-23,1.018550824958783,22.496664021009657,7.709198371783566e-21,True,A. lyrata,LehtiShiu2015,DDF1,AP2,DREB
17,M01620_2.00,226,500,6988,27655,9.42258502462019e-23,0.8389835064396286,18.479308031115874,8.380865902453848e-21,True,A. thaliana,Zoo_01,ERF039,AP2,DREB
18,M00962_2.00,178,500,4856,27655,1.0637262037997418e-22,1.019649161651916,22.404924514359347,8.963292906754666e-21,True,A. thaliana,LehtiShiu2015,DREB1F,AP2,DREB
19,M01642_2.00,138,500,3252,27655,1.247736743783183e-22,1.2308813516443418,26.961073771674435,9.988132633984381e-21,True,P. patens,Zoo_01,gw1.8.141.1,AP2,DREB
20,M06567_2.00,128,500,2888,27655,1.722070382429451e-22,1.2936134100540295,28.154136414789225,1.3128736582235957e-20,True,A. thaliana,OMalley2016,ERF027,AP2,DREB
21,M01623_2.00,87,500,1506,27655,2.985155198381502e-22,1.6759058781180005,36.07392947375862,2.1723788511858113e-20,True,A. thaliana,Zoo_01,DREB1C,AP2,DREB
22,M01627_2.00,124,500,2778,27655,5.315912386044724e-22,1.3038338633466833,27.738312068554976,3.7003372739380887e-20,True,A. thaliana,Zoo_01,ERF043,AP2,DREB
23,M01640_2.00,137,500,3299,27655,1.3470205483996605e-21,1.1996874573367968,25.038227974067542,8.985749574949401e-20,True,P. patens,Zoo_01,estExt_gwp_gw1.C_550163,AP2,DREB
24,M01094_2.00,182,500,5151,27655,1.711829979275083e-21,0.9666262524166065,20.073482128909387,1.096255918727763e-19,True,A. thaliana,TF_Evolution,TINY,AP2,DREB
25,M06681_2.00,136,500,3271,27655,1.7943042322694307e-21,1.2014152341087616,24.924685296072514,1.1048773368705224e-19,True,A. thaliana,OMalley2016,ERF025,AP2,DREB
26,M00963_2.00,171,500,4689,27655,2.033019783269856e-21,1.0122563881062778,20.94546584236365,1.2055054344500144e-19,True,A. thaliana,LehtiShiu2015,DREB1E,AP2,DREB
27,M06680_2.00,160,500,4266,27655,4.6779517491939774e-21,1.0527282814879915,21.40190728572502,2.674785982306985e-19,True,A. thaliana,OMalley2016,ERF025,AP2,DREB
28,M01610_2.00,216,500,6734,27655,5.5164216002352246e-21,0.8271079332770231,16.755835837871107,3.045445166198826e-19,True,A. thaliana,Zoo_01,ERF018,AP2,DREB
29,M01624_2.00,176,500,4976,27655,1.0484786780780653e-20,0.9681292854478952,19.342681355144222,5.595381212009941e-19,True,A. thaliana,Zoo_01,DREB1A,AP2,DREB
30,M01639_2.00,135,500,3302,27655,1.1770230701796672e-20,1.1771596290787734,23.459867366314814,6.078754630185958e-19,True,P. patens,Zoo_01,estExt_fgenesh1_pg.C_4800009,AP2,DREB
31,M01048_2.00,215,500,6748,27655,1.7193954141162798e-20,0.817417028243095,16.155940407270695,8.602350181250512e-19,True,A. thaliana,Stam_Arabidopsis,ERF008,AP2,DREB
32,M00850_2.00,226,500,7267,27655,1.7800633539607237e-20,0.7825032083721059,15.45409761689949,8.636004332397329e-19,True,A. thaliana,Franco_Zorrilla2014,RAP2-10,AP2,DREB
33,M06589_2.00,89,500,1678,27655,2.5553332697947442e-20,1.5526748674677748,30.420863779590935,1.2032613426298192e-18,True,A. thaliana,OMalley2016,DREB1E,AP2,DREB
34,M06618_2.00,153,500,4057,27655,2.997816535922661e-20,1.0606586924275794,20.707446426789378,1.3347322346682273e-18,True,A. thaliana,OMalley2016,AT3G16280,AP2,DREB
35,M01092_2.00,192,500,5728,27655,3.00127173317028e-20,0.8906151603981003,17.387207855664254,1.3347322346682273e-18,True,A. thaliana,TF_Evolution,ERF019,AP2,.
36,M00843_2.00,189,500,5612,27655,4.271871411776372e-20,0.8974115675423741,17.382307309080637,1.8484503054740465e-18,True,A. thaliana,Franco_Zorrilla2014,ERF037,AP2,DREB
37,M06631_2.00,102,500,2133,27655,4.744134747567425e-20,1.4032255285721247,27.115709785564007,1.998778876540907e-18,True,A. thaliana,OMalley2016,ERF035,AP2,DREB
38,M00840_2.00,200,500,6128,27655,6.482440259493081e-20,0.852124044790968,16.350778982191436,2.661124834730365e-18,True,A. thaliana,Franco_Zorrilla2014,DREB1F,AP2,DREB
39,M06600_2.00,119,500,2776,27655,1.1566567326874284e-19,1.245494347670883,23.58567177053407,4.629518572581433e-18,True,A. thaliana,OMalley2016,ERF037,AP2,DREB
40,M01614_2.00,208,500,6545,27655,1.6460921960456538e-19,0.8137306782496896,15.284747499592594,6.427789282607541e-18,True,A. thaliana,Zoo_01,ERF024,AP2,DREB
41,1.CBF3-MEME1,162,500,4527,27655,2.5932240349474544e-19,0.9849788485779858,18.306974438709872,9.885123047502082e-18,True,.,.,1.CBF3-MEME1,.,.
42,M01612_2.00,212,500,6760,27655,2.7799995174274037e-19,0.794581360334853,14.744216188273908,1.0350649366049473e-17,True,A. thaliana,Zoo_01,RAP2-4,AP2,DREB
43,M01097_2.00,217,500,7080,27655,1.2349486846086752e-18,0.7614860244153201,13.636959073923455,4.418243341968451e-17,True,C. sativa,TF_Evolution,PK07402.1,AP2,DREB
44,M06599_2.00,125,500,3092,27655,1.2418547806906952e-18,1.1609281176784403,20.78749666573425,4.418243341968451e-17,True,A. thaliana,OMalley2016,ERF037,AP2,DREB
45,M00846_2.00,199,500,6273,27655,2.2517080365872964e-18,0.811153210174114,14.31481647954705,7.83692297081796e-17,True,A. thaliana,Franco_Zorrilla2014,DREB2C,AP2,DREB
46,M06610_2.00,99,500,2176,27655,5.507864299818278e-18,1.3313622157704708,22.978002806566945,1.8761895200019281e-16,True,A. thaliana,OMalley2016,DREB2E,AP2,DREB
47,M06701_2.00,166,500,4855,27655,6.792800705773537e-18,0.9192522879815708,15.781678353454147,2.265682068738215e-16,True,A. thaliana,OMalley2016,ARF5,B3,ARF
48,2.DREB2A-MEME,171,500,5080,27655,7.77713059047862e-18,0.8967081701675703,15.341942036499916,2.5410583827257695e-16,True,.,.,2.DREB2A-MEME,.,.
49,M06732_2.00,120,500,2981,27655,1.038194487163598e-17,1.1547783725585503,19.61243402151324,3.324298747897841e-16,True,A. thaliana,OMalley2016,BHLH10,bHLH,.
50,M06615_2.00,114,500,2755,27655,1.1537035342620923e-17,1.1945218476474222,20.232698503957344,3.621724232065902e-16,True,A. thaliana,OMalley2016,ERF034,AP2,DREB
51,M01161_2.00,197,500,6278,27655,1.2747880239218988e-17,0.7954309428154618,13.438457400148467,3.9248762044210766e-16,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
52,BACGTG-RD26-DREME,214,500,7129,27655,3.126377762959234e-17,0.7314514177223327,12.07257532862526,9.444020374524025e-16,True,.,.,BACGTG-RD26-DREME,.,.
53,M06656_2.00,118,500,2949,27655,3.295361238900774e-17,1.1461013792413048,18.890154071154107,9.770135821259516e-16,True,A. thaliana,OMalley2016,DREB2A,AP2,DREB
54,M06632_2.00,83,500,1676,27655,3.366179287364774e-17,1.4537014345887735,23.946624221081564,9.798641889220004e-16,True,A. thaliana,OMalley2016,ERF035,AP2,DREB
55,M06619_2.00,81,500,1610,27655,3.492513419410019e-17,1.476473466823846,24.298119966903833,9.984846400849001e-16,True,A. thaliana,OMalley2016,AT3G16280,AP2,DREB
56,M01049_2.00,207,500,6807,27655,3.697733492520296e-17,0.750152000047032,12.326545969341538,1.0386090037763147e-15,True,A. thaliana,Stam_Arabidopsis,DREB2C,AP2,.
57,ACGTGB-ANAC102-DREME,215,500,7196,27655,4.283336133531068e-17,0.7246818152791785,11.861749819448555,1.1823484741005586e-15,True,.,.,ACGTGB-ANAC102-DREME,.,.
58,M06731_2.00,145,500,4056,27655,4.919306783616073e-17,0.9835355899527942,16.039592911453035,1.334883078062599e-15,True,A. thaliana,OMalley2016,BHLH10,bHLH,.
59,M06651_2.00,96,500,2142,27655,5.09731234973454e-17,1.3096881729121008,21.33830247434038,1.360132845320833e-15,True,A. thaliana,OMalley2016,ERF043,AP2,DREB
60,M06614_2.00,145,500,4063,27655,5.706617547510381e-17,0.9810478777250471,15.93577013672346,1.4977532284531346e-15,True,A. thaliana,OMalley2016,ERF034,AP2,DREB
61,M01776_2.00,199,500,6478,27655,8.080641421539076e-17,0.7647603046896628,12.306946626172817,2.0866301477232355e-15,True,A. thaliana,Zoo_01,ABI5,bZIP,.
62,M01158_2.00,198,500,6447,27655,1.0526955880862559e-16,0.7644127888718705,12.213556074274717,2.675183550041422e-15,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
63,M01697_2.00,167,500,5074,27655,2.0005176123104211e-16,0.8642649253513137,13.567972009735632,5.004419839545288e-15,True,A. thaliana,Zoo_01,ARF8,B3,ARF
64,ACGTGKV-ZAT6-DREME,193,500,6259,27655,2.2360928214747594e-16,0.7702090132654017,12.05416399714025,5.42421910178953e-15,True,.,.,ACGTGKV-ZAT6-DREME,.,.
65,M06650_2.00,152,500,4429,27655,2.3567118990086654e-16,0.9246306684994695,14.449844693034454,5.619438445520539e-15,True,A. thaliana,OMalley2016,ERF015,AP2,DREB
66,M06669_2.00,156,500,4602,27655,2.386769608341016e-16,0.9068253875793593,14.166598048930226,5.619438445520539e-15,True,A. thaliana,OMalley2016,TINY,AP2,DREB
67,M06569_2.00,175,500,5481,27655,4.922944442436029e-16,0.8204561294248846,12.559357880265866,1.1422658046869686e-14,True,A. thaliana,OMalley2016,ERF017,AP2,DREB
68,M07160_2.00,241,500,8648,27655,6.506227218701117e-16,0.6242069654365119,9.479625678801922,1.4880671110200698e-14,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
69,M01641_2.00,145,500,4201,27655,9.680686577202764e-16,0.9328604564696175,14.00605443343959,2.182926649310088e-14,True,P. patens,Zoo_01,fgenesh1_pg.scaffold_1000495,AP2,DREB
70,M01611_2.00,199,500,6643,27655,1.2156713361063577e-15,0.728473858406136,10.865321508567803,2.7031802904253872e-14,True,A. thaliana,Zoo_01,DREB2D,AP2,DREB
71,M01773_2.00,206,500,6979,27655,1.288091654255877e-15,0.7071643476686188,10.529714781704675,2.8249790937858343e-14,True,A. thaliana,Zoo_01,ABF1,bZIP,.
72,M01056_2.00,183,500,5906,27655,1.3988143209087557e-15,0.7772026340912886,11.544754401082486,3.0263536861823215e-14,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
73,M01058_2.00,197,500,6619,27655,3.713067952649114e-15,0.7191227009290914,10.377132654023326,7.821870779198989e-14,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
74,M06652_2.00,89,500,2045,27655,4.791323628291014e-15,1.267316740078487,18.147398447394274,9.962219647914174e-14,True,A. thaliana,OMalley2016,ERF043,AP2,DREB
75,M01845_2.00,201,500,6837,27655,5.750622850183553e-15,0.7013724181336758,9.987743205537061,1.1803522029671626e-13,True,O. tauri,Zoo_01,300010311,bZIP,.
76,M01164_2.00,193,500,6468,27655,6.710743576195799e-15,0.7228215107356193,10.244715054864944,1.35998740069487e-13,True,C. sativa,TF_Evolution,PK27149.1,bZIP,.
77,M01832_2.00,200,500,6809,27655,7.773397424684974e-15,0.7000974088643632,9.877946769085877,1.5556511596150806e-13,True,P. patens,Zoo_01,estExt_Genewise1.C_2060077,bZIP,.
78,1.ABF3-MEME,188,500,6244,27655,7.926118688126827e-15,0.7358024666409291,10.375506013587865,1.5666316073692654e-13,True,.,.,1.ABF3-MEME,.,.
79,M01826_2.00,194,500,6538,27655,9.585918061096553e-15,0.7147476173610621,10.019593903362845,1.8715920507092172e-13,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
80,M06634_2.00,129,500,3664,27655,1.5294075719135833e-14,0.9614919042675107,13.283469062183675,2.914978003135294e-13,True,A. thaliana,OMalley2016,RAP2-9,AP2,DREB
