,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M02514_2.00,74,368,1261,27655,1.3708650800170747e-27,2.140791570847005,57.50809528430115,2.167337691506995e-24,True,A. lyrata,Zoo_01,TCP4,TCP,.
1,M06998_2.00,79,368,1574,27655,4.339903703752124e-25,1.9152516882158912,46.660357380602264,3.430693877816054e-22,True,A. thaliana,OMalley2016,LHY,Myb/SANT,MYB-related
2,M07071_2.00,69,368,1283,27655,1.5436794196999895e-23,2.0149097672347613,45.96299907533238,3.486510232208119e-21,True,A. thaliana,OMalley2016,RVE7L,Myb/SANT,MYB-related
3,M02330_2.00,84,368,1867,27655,1.4236160556499475e-23,1.7575019760988329,40.152957165183686,3.486510232208119e-21,True,Oryza sativa,Zoo_01,OS08G0157600,Myb/SANT,MYB-related
4,M07292_2.00,57,368,868,27655,1.3457766242003517e-23,2.303029547266537,52.67265100236235,3.486510232208119e-21,True,A. thaliana,OMalley2016,TCP21,TCP,.
5,M07070_2.00,72,368,1394,27655,1.517746069968403e-23,1.956600921120164,44.647286826554875,3.486510232208119e-21,True,A. thaliana,OMalley2016,RVE8,Myb/SANT,MYB-related
6,M02504_2.00,87,368,1971,27655,6.882966575198713e-24,1.7299222003515173,40.068846094329096,3.486510232208119e-21,True,A. thaliana,Zoo_01,TCP19,TCP,.
7,M01311_2.00,93,368,2284,27655,3.965018652797466e-23,1.6135026412914633,36.14529048333079,7.835868112590992e-21,True,A. thaliana,TF_Evolution,TCP8,TCP,.
8,M01773_2.00,121,368,3631,27655,5.1333091347397895e-23,1.3244027880206621,29.520411802357284,9.017513046692897e-21,True,A. thaliana,Zoo_01,ABF1,bZIP,.
9,GATATTW-CCA1-DREME2,76,368,1592,27655,8.45690917729176e-23,1.8429936584462112,40.6800089228209,1.1818183831452355e-20,True,.,.,GATATTW-CCA1-DREME2,.,.
