,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M02350_2.00,173,368,7774,27655,4.268614011886724e-15,0.7418776008438022,10.660568290099569,6.1704257548433145e-12,True,C. sativa,Zoo_01,PK08316.1,Myb/SANT,MYB-related
1,GATATTW-CCA1-DREME2,187,368,8766,27655,8.379835290760518e-15,0.6808822619092568,9.584619265059283,6.1704257548433145e-12,True,.,.,GATATTW-CCA1-DREME2,.,.
2,M00879_2.00,170,368,7657,27655,1.1693794860726432e-14,0.7385181597124234,10.28906788664433,6.1704257548433145e-12,True,A. thaliana,Franco_Zorrilla2014,RVE1,Myb/SANT,MYB-related
3,M07069_2.00,212,368,10624,27655,2.847808235983794e-14,0.5845717887625491,7.918310885396495,7.513467395937244e-12,True,A. thaliana,OMalley2016,RVE8,Myb/SANT,MYB-related
4,M02286_2.00,184,368,8650,27655,2.374574369971722e-14,0.6767683041918381,9.220571710035244,7.513467395937244e-12,True,A. thaliana,Zoo_01,RVE7,Myb/SANT,MYB-related
5,M01069_2.00,190,368,9041,27655,1.9089233244188375e-14,0.6592797352415205,9.044798135681136,7.513467395937244e-12,True,A. thaliana,Stam_Arabidopsis,RVE7,Myb/SANT,MYB-related
6,M00875_2.00,186,368,8820,27655,3.5281102791685834e-14,0.6642866362094232,8.93628797290201,7.978569388462668e-12,True,A. thaliana,Franco_Zorrilla2014,CCA1,Myb/SANT,MYB-related
7,M08431_2.00,84,368,2717,27655,8.788174385749432e-14,1.21620933810306,15.878952361462215,1.3911680052641352e-11,True,A. thaliana,JASPAR,BZR2,BES1,.
8,M02330_2.00,163,368,7357,27655,8.240736572160612e-14,0.7355170437575698,9.623529984956832,1.3911680052641352e-11,True,Oryza sativa,Zoo_01,OS08G0157600,Myb/SANT,MYB-related
9,M07118_2.00,232,368,12181,27655,7.054807106789472e-14,0.5173268048735679,6.803631159840671,1.3911680052641352e-11,True,A. thaliana,OMalley2016,RVE4,Myb/SANT,MYB-related
10,M01074_2.00,167,368,7634,27655,9.895465400837277e-14,0.7171715868047689,9.326503638476806,1.4240474299568556e-11,True,A. thaliana,Stam_Arabidopsis,RVE8,Myb/SANT,MYB-related
11,M07117_2.00,220,368,11346,27655,1.2762589729145435e-13,0.5431543304000166,7.003465172620748,1.683598295103102e-11,True,A. thaliana,OMalley2016,RVE4,Myb/SANT,MYB-related
12,M06739_2.00,83,368,2696,27655,1.604621415277922e-13,1.210125415711341,15.48310382065939,1.9539351541422696e-11,True,A. thaliana,OMalley2016,BIM1,bHLH,.
13,1.GBF3-MEME1,101,368,3666,27655,1.8842613771358345e-13,1.0499111777581835,13.359971545985207,2.1305612571471613e-11,True,.,.,1.GBF3-MEME1,.,.
14,M07328_2.00,194,368,9568,27655,3.145751262370315e-13,0.6076019335352973,7.596406840573402,3.319816165554806e-11,True,A. thaliana,OMalley2016,AT2G28920,Unknown,.
15,M07138_2.00,217,368,11275,27655,5.942281018936971e-13,0.5324021849606483,6.509174037014059,5.618892661988671e-11,True,A. thaliana,OMalley2016,RVE6,Myb/SANT,MYB-related
