,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06997_2.00,141,368,4306,27655,1.0323064438814928e-26,1.2991095137778343,33.758908424823204,1.6277065006865829e-24,True,A. thaliana,OMalley2016,LHY,Myb/SANT,MYB-related
1,M07328_2.00,141,368,4306,27655,1.0323064438814928e-26,1.2991095137778343,33.758908424823204,1.6277065006865829e-24,True,A. thaliana,OMalley2016,AT2G28920,Unknown,.
2,M07008_2.00,144,368,4442,27655,6.061921267516822e-27,1.2846220894416067,33.67943794712343,1.6277065006865829e-24,True,A. thaliana,OMalley2016,RVE7,Myb/SANT,MYB-related
3,M07129_2.00,141,368,4306,27655,1.0323064438814928e-26,1.2991095137778343,33.758908424823204,1.6277065006865829e-24,True,A. thaliana,OMalley2016,RVE1,Myb/SANT,MYB-related
4,M07100_2.00,142,368,4368,27655,1.2798264122625025e-26,1.2886807441311041,33.36761582855821,1.6277065006865829e-24,True,A. thaliana,OMalley2016,RVE5,Myb/SANT,MYB-related
5,M07138_2.00,142,368,4368,27655,1.2798264122625025e-26,1.2886807441311041,33.36761582855821,1.6277065006865829e-24,True,A. thaliana,OMalley2016,RVE6,Myb/SANT,MYB-related
6,M07070_2.00,142,368,4368,27655,1.2798264122625025e-26,1.2886807441311041,33.36761582855821,1.6277065006865829e-24,True,A. thaliana,OMalley2016,RVE8,Myb/SANT,MYB-related
7,M07118_2.00,141,368,4306,27655,1.0323064438814928e-26,1.2991095137778343,33.758908424823204,1.6277065006865829e-24,True,A. thaliana,OMalley2016,RVE4,Myb/SANT,MYB-related
8,M06998_2.00,144,368,4437,27655,5.395976112085174e-27,1.2862469291683631,33.787044274457756,1.6277065006865829e-24,True,A. thaliana,OMalley2016,LHY,Myb/SANT,MYB-related
9,M07101_2.00,142,368,4368,27655,1.2798264122625025e-26,1.2886807441311041,33.36761582855821,1.6277065006865829e-24,True,A. thaliana,OMalley2016,RVE5,Myb/SANT,MYB-related
10,M07117_2.00,142,368,4368,27655,1.2798264122625025e-26,1.2886807441311041,33.36761582855821,1.6277065006865829e-24,True,A. thaliana,OMalley2016,RVE4,Myb/SANT,MYB-related
11,M02286_2.00,124,368,3630,27655,1.287718829623773e-24,1.360133243050037,32.49382657748212,1.3857835712643528e-22,True,A. thaliana,Zoo_01,RVE7,Myb/SANT,MYB-related
12,M00875_2.00,124,368,3630,27655,1.287718829623773e-24,1.360133243050037,32.49382657748212,1.3857835712643528e-22,True,A. thaliana,Franco_Zorrilla2014,CCA1,Myb/SANT,MYB-related
13,M07128_2.00,153,368,5198,27655,1.7925706340848383e-24,1.145337689766726,27.197788620287398,1.7912902264890633e-22,True,A. thaliana,OMalley2016,RVE1,Myb/SANT,MYB-related
14,M01069_2.00,127,368,3817,27655,2.9335324319422697e-24,1.3221519811028823,31.113685750067642,2.7360079148581567e-22,True,A. thaliana,Stam_Arabidopsis,RVE7,Myb/SANT,MYB-related
15,M07139_2.00,141,368,4599,27655,7.221986563101515e-24,1.2041376355651345,27.86536243388642,6.314724501111887e-22,True,A. thaliana,OMalley2016,RVE6,Myb/SANT,MYB-related
16,M07069_2.00,145,368,4864,27655,1.83384670909194e-23,1.1636723421176234,26.457995594460645,1.5091479682468376e-21,True,A. thaliana,OMalley2016,RVE8,Myb/SANT,MYB-related
17,M07009_2.00,137,368,4458,27655,3.6619214704175986e-23,1.2075419472470488,27.09276249094988,2.8461267428412335e-21,True,A. thaliana,OMalley2016,RVE7,Myb/SANT,MYB-related
18,M07071_2.00,158,368,5833,27655,1.2660574579326325e-21,1.025449154909613,21.429371484382006,9.322180966567121e-20,True,A. thaliana,OMalley2016,RVE7L,Myb/SANT,MYB-related
19,M01079_2.00,126,368,4194,27655,3.5117022796035345e-20,1.1748595429495987,22.856284195609682,2.4564357445826724e-18,True,A. thaliana,Stam_Arabidopsis,RVE5,Myb/SANT,MYB-related
20,M02350_2.00,109,368,3460,27655,1.1328323837522438e-18,1.243318767799114,22.31239264433396,7.546821451758996e-17,True,C. sativa,Zoo_01,PK08316.1,Myb/SANT,MYB-related
