,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M00965_2.00,107,500,2400,27655,7.922029389280372e-19,1.3021167328464667,23.569827943455508,4.1960348998555035e-16,True,A. lyrata,LehtiShiu2015,DDF2,AP2,DREB
1,M00962_2.00,123,500,2969,27655,3.679987818139434e-19,1.196221564293785,22.05133207851475,4.1960348998555035e-16,True,A. thaliana,LehtiShiu2015,DREB1F,AP2,DREB
2,2.DREB2A-MEME,127,500,3141,27655,5.933567944942785e-19,1.161144896061402,21.16382119183562,4.1960348998555035e-16,True,.,.,2.DREB2A-MEME,.,.
3,M06610_2.00,73,500,1285,27655,2.5669784927432566e-18,1.6517403517399771,29.055067113162977,1.0197322062422586e-15,True,A. thaliana,OMalley2016,DREB2E,AP2,DREB
4,M01625_2.00,109,500,2571,27655,1.2987538793553792e-17,1.229538866884471,20.762575052938985,4.127439828591395e-15,True,A. thaliana,Zoo_01,DREB1A,AP2,DREB
5,M01640_2.00,91,500,1943,27655,2.606548078076965e-17,1.3731928915545522,22.77294063991109,6.903008160107162e-15,True,P. patens,Zoo_01,estExt_gwp_gw1.C_550163,AP2,DREB
6,M01097_2.00,154,500,4450,27655,6.460834143812351e-17,0.9366653568949792,15.164341813624556,1.245297733223376e-14,True,C. sativa,TF_Evolution,PK07402.1,AP2,DREB
7,M06656_2.00,85,500,1762,27655,6.209270569505081e-17,1.4158611641584886,22.946804425247,1.245297733223376e-14,True,A. thaliana,OMalley2016,DREB2A,AP2,DREB
8,M00963_2.00,115,500,2863,27655,7.053291125871859e-17,1.1516465328862227,18.60094357278268,1.245297733223376e-14,True,A. thaliana,LehtiShiu2015,DREB1E,AP2,DREB
9,M00964_2.00,118,500,3005,27655,1.324293177658473e-16,1.1189622107044939,17.76689972639525,2.0076978582943766e-14,True,A. lyrata,LehtiShiu2015,DDF1,AP2,DREB
10,M06643_2.00,96,500,2176,27655,1.389847478995478e-16,1.2869680964120174,20.40749538986599,2.0076978582943766e-14,True,A. thaliana,OMalley2016,DREB1B,AP2,DREB
11,M06609_2.00,88,500,1900,27655,1.855621468753531e-16,1.3571163523601877,21.34949029822326,2.4571520948744672e-14,True,A. thaliana,OMalley2016,DREB2E,AP2,DREB
12,M00842_2.00,143,500,4080,27655,4.668692138408811e-16,0.9549863368607319,14.640709081983434,5.70657831379354e-14,True,A. thaliana,Franco_Zorrilla2014,ERF018,AP2,DREB
13,1.CBF2-MEME1,96,500,2225,27655,5.643954598249813e-16,1.254841316921234,19.134343027399538,6.405888469013537e-14,True,.,.,1.CBF2-MEME1,.,.
14,1.CBF1-MEME1,102,500,2475,27655,1.1555391794055937e-15,1.1886809690583615,17.75558358738974,1.1475948475471802e-13,True,.,.,1.CBF1-MEME1,.,.
15,M06641_2.00,94,500,2176,27655,1.1186460231420232e-15,1.2565944473684987,18.787729755406303,1.1475948475471802e-13,True,A. thaliana,OMalley2016,DREB1A,AP2,DREB
16,M00843_2.00,125,500,3428,27655,3.4930082058104274e-15,1.0121013274907877,14.631746870150238,3.030692819621707e-13,True,A. thaliana,Franco_Zorrilla2014,ERF037,AP2,DREB
17,M00840_2.00,134,500,3800,27655,3.467703849712428e-15,0.9637739241806629,13.936130464579188,3.030692819621707e-13,True,A. thaliana,Franco_Zorrilla2014,DREB1F,AP2,DREB
18,M01642_2.00,86,500,1927,27655,3.6238617729900835e-15,1.3035923353475773,18.824953187309458,3.030692819621707e-13,True,P. patens,Zoo_01,gw1.8.141.1,AP2,DREB
19,M06578_2.00,118,500,3156,27655,4.530095042583019e-15,1.048229996289583,15.035698577316793,3.599160511332208e-13,True,A. thaliana,OMalley2016,ERF055,AP2,DREB
20,M06599_2.00,83,500,1832,27655,5.1656640873722756e-15,1.3253040801911815,18.934452191382086,3.731018288561157e-13,True,A. thaliana,OMalley2016,ERF037,AP2,DREB
21,M01635_2.00,83,500,1832,27655,5.1656640873722756e-15,1.3253040801911815,18.934452191382086,3.731018288561157e-13,True,Oryza sativa,Zoo_01,DREB1G,AP2,DREB
22,M06565_2.00,101,500,2500,27655,5.827934172116042e-15,1.159967540143546,16.51154097095405,4.026342347605387e-13,True,A. thaliana,OMalley2016,DREB1F,AP2,DREB
23,M06639_2.00,81,500,1767,27655,6.129636834267129e-15,1.3422321152742085,19.076561526479217,4.058330387354362e-13,True,A. thaliana,OMalley2016,DREB1C,AP2,DREB
24,M01770_2.00,156,500,4780,27655,6.692395080607743e-15,0.8520757529353379,12.077678255053728,4.253686313234282e-13,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
25,M01623_2.00,54,500,897,27655,8.78677165365251e-15,1.7353917641854077,24.392962798803357,5.370069291405323e-13,True,A. thaliana,Zoo_01,DREB1C,AP2,DREB
26,M06681_2.00,86,500,1973,27655,1.3667583922148112e-14,1.2695579509197397,17.601542773753188,8.043626241590129e-13,True,A. thaliana,OMalley2016,ERF025,AP2,DREB
27,M01610_2.00,143,500,4258,27655,1.5253327414236546e-14,0.8933795392672959,12.34349937454427,8.656263307579239e-13,True,A. thaliana,Zoo_01,ERF018,AP2,DREB
28,M06615_2.00,76,500,1625,27655,1.6895786192149184e-14,1.3711719475816067,18.88408390679658,9.257725606663812e-13,True,A. thaliana,OMalley2016,ERF034,AP2,DREB
29,M06618_2.00,97,500,2398,27655,2.0819010241478917e-14,1.1617653357141047,15.894738819603365,1.1027135757903332e-12,True,A. thaliana,OMalley2016,AT3G16280,AP2,DREB
30,M06731_2.00,98,500,2440,27655,2.292754042852629e-14,1.1515128486061603,15.706223626088185,1.1752213464815573e-12,True,A. thaliana,OMalley2016,BHLH10,bHLH,.
31,M01049_2.00,142,500,4240,27655,2.4413396557079767e-14,0.8893670069953209,12.106394360883701,1.212277722787492e-12,True,A. thaliana,Stam_Arabidopsis,DREB2C,AP2,.
32,M01048_2.00,142,500,4243,27655,2.5817469820774884e-14,0.8883465931551462,12.070930191623198,1.243150289248827e-12,True,A. thaliana,Stam_Arabidopsis,ERF008,AP2,DREB
33,M06642_2.00,82,500,1854,27655,2.8292649259377114e-14,1.2905949129337535,17.485401110331676,1.3222652845044186e-12,True,A. thaliana,OMalley2016,DREB1A,AP2,DREB
34,M01700_2.00,150,500,4605,27655,3.302615623741816e-14,0.8493016864583836,11.449556609577408,1.4993874931787844e-12,True,A. thaliana,Zoo_01,BPE,bHLH,.
35,M06678_2.00,89,500,2117,27655,3.470724514677238e-14,1.2173963139000088,16.385642904134833,1.5319392371728143e-12,True,A. thaliana,OMalley2016,DREB1D,AP2,DREB
36,M01624_2.00,113,500,3052,27655,3.891223158098643e-14,1.0341081525218578,13.867301249402797,1.6711225941131738e-12,True,A. thaliana,Zoo_01,DREB1A,AP2,DREB
37,M06679_2.00,66,500,1314,27655,4.294819645415658e-14,1.4741129959773245,19.70454959516158,1.7959127412014423e-12,True,A. thaliana,OMalley2016,DREB1D,AP2,DREB
38,M01094_2.00,115,500,3151,27655,5.750079703307178e-14,1.013364448868036,13.41727579703585,2.342788884244899e-12,True,A. thaliana,TF_Evolution,TINY,AP2,DREB
39,M06680_2.00,101,500,2602,27655,7.00198977815951e-14,1.1022746729752,14.500179199543295,2.7815404393738655e-12,True,A. thaliana,OMalley2016,ERF025,AP2,DREB
40,M07198_2.00,180,500,6025,27655,8.903717284544024e-14,0.7245760072661889,9.456027475923031,3.385651707985151e-12,True,A. thaliana,OMalley2016,NAC047,NAC/NAM,.
41,M01704_2.00,131,500,3838,27655,8.948859140048858e-14,0.9167524422832707,11.961998854079853,3.385651707985151e-12,True,A. thaliana,Zoo_01,BHLH34,bHLH,.
42,M06644_2.00,85,500,2011,27655,1.0694634531405438e-13,1.2251620067735505,15.891373076697898,3.952040528000754e-12,True,A. thaliana,OMalley2016,DREB1B,AP2,DREB
43,M08046_2.00,111,500,3019,27655,1.094932268755471e-13,1.0240292617776814,13.272046701395135,3.954198579664644e-12,True,A. thaliana,JASPAR,PIF4,bHLH,.
44,M01611_2.00,138,500,4156,27655,1.2546172243459163e-13,0.877012954815158,11.314772774037687,4.4301928210792464e-12,True,A. thaliana,Zoo_01,DREB2D,AP2,DREB
45,M01158_2.00,137,500,4140,27655,2.0580785962553004e-13,0.8720854675150398,11.06374546118223,6.674054876427903e-12,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
46,M01160_2.00,145,500,4489,27655,2.0548625964543558e-13,0.8371991460405899,10.621727416361548,6.674054876427903e-12,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
47,M01162_2.00,131,500,3879,27655,1.9429456541281887e-13,0.9014223779472403,11.458466025383034,6.674054876427903e-12,True,C. sativa,TF_Evolution,PK24978.1,bZIP,.
48,M06840_2.00,162,500,5249,27655,2.044593847869077e-13,0.7714915576150478,9.789759532432223,6.674054876427903e-12,True,A. thaliana,OMalley2016,DOF2.2,Dof,.
49,M01781_2.00,144,500,4453,27655,2.3604984354358476e-13,0.8388315419406092,10.591922762220845,7.501664027815125e-12,True,A. thaliana,Zoo_01,GBF2,bZIP,.
50,M06655_2.00,91,500,2274,27655,2.818995527004055e-13,1.1462465382476488,14.385285864508399,8.754731924895375e-12,True,A. thaliana,OMalley2016,DREB2A,AP2,DREB
51,M01639_2.00,83,500,1974,27655,2.8649846450255475e-13,1.2176015938317277,15.272227880345598,8.754731924895375e-12,True,P. patens,Zoo_01,estExt_fgenesh1_pg.C_4800009,AP2,DREB
52,M01092_2.00,123,500,3562,27655,2.9412277983020133e-13,0.9335111411788213,11.698268109434439,8.818133908494148e-12,True,A. thaliana,TF_Evolution,ERF019,AP2,.
53,M00846_2.00,130,500,3877,27655,4.139713583054715e-13,0.8911112302184746,11.034656834827302,1.2181490524951743e-11,True,A. thaliana,Franco_Zorrilla2014,DREB2C,AP2,DREB
54,M01709_2.00,145,500,4548,27655,5.652600369100994e-13,0.8183609880638869,10.02308219706489,1.6216270866411345e-11,True,A. thaliana,Zoo_01,SPT,bHLH,.
55,M06634_2.00,88,500,2189,27655,5.797315711385367e-13,1.1528438163975516,14.107088141149557,1.6216270866411345e-11,True,A. thaliana,OMalley2016,RAP2-9,AP2,DREB
56,M07333_2.00,161,500,5269,27655,5.817038636786953e-13,0.7570718506823401,9.262999739580053,1.6216270866411345e-11,True,A. thaliana,OMalley2016,AT3G12130,C3H,.
57,1.PIF1.MEME1,139,500,4290,27655,6.280920442871959e-13,0.8416475772777999,10.269764133902633,1.7207556178833695e-11,True,.,.,1.PIF1.MEME1,.,.
58,M06600_2.00,73,500,1642,27655,6.808983054740936e-13,1.298054584043413,15.793323354695591,1.8338091650819232e-11,True,A. thaliana,OMalley2016,ERF037,AP2,DREB
59,1.CBF3-MEME1,102,500,2743,27655,6.973461465676268e-13,1.0403548720644187,12.647127678946788,1.8468050448265983e-11,True,.,.,1.CBF3-MEME1,.,.
60,M01627_2.00,73,500,1645,27655,7.424961072126999e-13,1.295421127198614,15.712559016108848,1.9341414989524262e-11,True,A. thaliana,Zoo_01,ERF043,AP2,DREB
61,M06650_2.00,100,500,2669,27655,7.898378370275151e-13,1.0512410365739588,12.722604766632125,2.024277940381809e-11,True,A. thaliana,OMalley2016,ERF015,AP2,DREB
62,M01779_2.00,148,500,4714,27655,9.728084970004378e-13,0.7961857593199828,9.56376156105735,2.4536392091011043e-11,True,A. thaliana,Zoo_01,GBF3,bZIP,.
63,M09452_2.00,123,500,3627,27655,1.0127269019980985e-12,0.9074219123101606,10.884079071978855,2.514411011367154e-11,True,A. thaliana,HOMER,PIF5,bHLH,.
64,M06834_2.00,147,500,4676,27655,1.0853089557742925e-12,0.7980815672459086,9.548604304336719,2.6531629703466935e-11,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
65,M01714_2.00,126,500,3761,27655,1.1379291039365461e-12,0.8898477694008109,10.628239242650766,2.7396505244775328e-11,True,A. thaliana,Zoo_01,ILR3,bHLH,.
66,M06833_2.00,156,500,5088,27655,1.2118242970486253e-12,0.7619877005190935,9.080272414742016,2.8740131462839784e-11,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
