,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06609_2.00,84,500,1420,27655,3.869267297125716e-22,1.7101106453279165,36.61752404586495,6.148265735132761e-19,True,A. thaliana,OMalley2016,DREB2E,AP2,DREB
1,2.DREB2A-MEME,113,500,2402,27655,1.0072176050966856e-21,1.379626963650754,28.96785723649375,8.002343872493166e-19,True,.,.,2.DREB2A-MEME,.,.
2,M06610_2.00,67,500,988,27655,8.147522426600862e-21,1.9071903958142955,38.31349910502348,4.3154710452895894e-18,True,A. thaliana,OMalley2016,DREB2E,AP2,DREB
3,M06656_2.00,75,500,1339,27655,1.829009368687652e-18,1.6313468821127708,28.936478738090155,7.265739717111697e-16,True,A. thaliana,OMalley2016,DREB2A,AP2,DREB
4,M01640_2.00,79,500,1517,27655,1.31147204105979e-17,1.52624381487127,25.766415851844066,4.167858146488013e-15,True,P. patens,Zoo_01,estExt_gwp_gw1.C_550163,AP2,DREB
5,M01048_2.00,126,500,3312,27655,1.0483272616062731e-16,1.0732614029417917,17.150183937193383,2.7763200311539465e-14,True,A. thaliana,Stam_Arabidopsis,ERF008,AP2,DREB
6,M06655_2.00,81,500,1658,27655,1.838046126942815e-16,1.434090148330075,22.566331455667378,4.1723647081601896e-14,True,A. thaliana,OMalley2016,DREB2A,AP2,DREB
7,M01097_2.00,128,500,3494,27655,1.0232677698714375e-15,1.0188045440244409,15.271891020966871,2.0324656079071427e-13,True,C. sativa,TF_Evolution,PK07402.1,AP2,DREB
8,M00962_2.00,98,500,2329,27655,1.289220472048701e-15,1.2186833568455426,18.145796438484755,2.0485713300853858e-13,True,A. thaliana,LehtiShiu2015,DREB1F,AP2,DREB
9,M01625_2.00,89,500,1998,27655,1.2345777384661653e-15,1.30086100011518,19.39386223021414,2.0485713300853858e-13,True,A. thaliana,Zoo_01,DREB1A,AP2,DREB
10,M00963_2.00,94,500,2241,27655,6.642207321787148e-15,1.2141303551084446,17.213560847605965,8.518718718258378e-13,True,A. thaliana,LehtiShiu2015,DREB1E,AP2,DREB
