,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M01709_2.00,89,160,5972,27655,4.421489501057388e-21,1.3650596075477817,27.785012141323904,7.052275754186534e-18,True,A. thaliana,Zoo_01,SPT,bHLH,.
1,GBF2-MEME,80,160,4990,27655,2.628686929151253e-20,1.4704286213786648,28.79137638599332,2.096377825998124e-17,True,.,.,GBF2-MEME,.,.
2,1.GBF3-MEME1,78,160,4814,27655,5.933160886033957e-20,1.4857064191036766,28.565252222349578,3.1544638710747206e-17,True,.,.,1.GBF3-MEME1,.,.
3,M00722_2.00,91,160,6623,27655,3.1769981926373707e-19,1.2478501240214153,23.082710420924954,1.0134624234513213e-16,True,A. thaliana,Chang2013,PIF3,bHLH,.
4,2.ABF1-MEME,79,160,5062,27655,2.885548788094901e-19,1.431613582782344,26.541788813258123,1.0134624234513213e-16,True,.,.,2.ABF1-MEME,.,.
5,M01132_2.00,87,160,6136,27655,5.47743362240712e-19,1.2931853550617198,23.615404626709854,1.4560844379565594e-16,True,A. thaliana,TF_Evolution,HYH,bZIP,.
6,M01845_2.00,84,160,5778,27655,7.988236555789285e-19,1.32928756093007,24.05684687914167,1.7956258097976515e-16,True,O. tauri,Zoo_01,300010311,bZIP,.
7,1.ABF3-MEME,80,160,5281,27655,9.0062736541575e-19,1.3886572955318492,25.05895254420374,1.7956258097976515e-16,True,.,.,1.ABF3-MEME,.,.
8,M01161_2.00,80,160,5309,27655,1.2475846555428005e-18,1.3810282954795563,24.725833896331093,2.2109972506564078e-16,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
9,M01701_2.00,75,160,4729,27655,1.8075607603600123e-18,1.4548238907540014,25.812805133482076,2.5053387245003083e-16,True,A. thaliana,Zoo_01,BIM2,bHLH,.
10,M01058_2.00,82,160,5605,27655,2.041968866363888e-18,1.3383779736412196,23.675840617713924,2.5053387245003083e-16,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
11,M01703_2.00,76,160,4839,27655,1.5995076649635785e-18,1.440758916282712,25.639765375684288,2.5053387245003083e-16,True,A. thaliana,Zoo_01,PIF1,bHLH,.
12,M09452_2.00,76,160,4856,27655,1.9651795549761665e-18,1.4356994339038285,25.421352384354265,2.5053387245003083e-16,True,A. thaliana,HOMER,PIF5,bHLH,.
13,M01827_2.00,75,160,4746,27655,2.225683335546027e-18,1.4496469320178582,25.589945562067133,2.535689228711366e-16,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
14,1.ABF4-MEME,77,160,5011,27655,2.929825956705531e-18,1.409228344981249,24.70822348104927,3.115381600630214e-16,True,.,.,1.ABF4-MEME,.,.
15,M06752_2.00,69,160,4076,27655,3.19592294063406e-18,1.5489107473282806,27.098818821080254,3.185935681444578e-16,True,A. thaliana,OMalley2016,BZIP68,bZIP,.
16,M01128_2.00,81,160,5544,27655,4.296056066154442e-18,1.336463087463336,23.210260967030255,4.030711426774315e-16,True,C. sativa,TF_Evolution,PK20225.1,bHLH,.
17,M01757_2.00,77,160,5098,27655,8.087407928211061e-18,1.3843955093886247,23.66235198224654,6.789166129208759e-16,True,P. patens,Zoo_01,fgenesh1_pg.scaffold_37000071,bHLH,.
18,M01704_2.00,77,160,5106,27655,8.868078998970081e-18,1.3821333450037079,23.568373379127696,7.07229300167864e-16,True,A. thaliana,Zoo_01,BHLH34,bHLH,.
19,M01832_2.00,82,160,5743,27655,9.320267920726414e-18,1.3032877849479791,22.19573594116272,7.078965396932682e-16,True,P. patens,Zoo_01,estExt_Genewise1.C_2060077,bZIP,.
20,M01710_2.00,84,160,6016,27655,1.0563120871526964e-17,1.2710531978170483,21.577663148261465,7.518082672235478e-16,True,A. thaliana,Zoo_01,BIM1,bHLH,.
21,M01133_2.00,81,160,5628,27655,1.084112234867812e-17,1.3147680163640172,22.304941781708497,7.518082672235478e-16,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
22,M01160_2.00,83,160,5906,27655,1.3245350101393462e-17,1.2803984169288958,21.61048324980435,8.653608324622433e-16,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
23,M06735_2.00,66,160,3858,27655,1.541129319556065e-17,1.564081318025275,26.2955868061425,8.653608324622433e-16,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
24,M01756_2.00,73,160,4674,27655,1.6818925270426046e-17,1.432707166813117,24.032519077796398,8.653608324622433e-16,True,P. patens,Zoo_01,e_gw1.209.40.1,bHLH,.
25,M01700_2.00,84,160,6048,27655,1.4782133935509635e-17,1.2633996252736128,21.26334779949518,8.653608324622433e-16,True,A. thaliana,Zoo_01,BPE,bHLH,.
26,ACGTGKV-ZAT6-DREME,78,160,5282,27655,1.5913371239928658e-17,1.3518582594110806,22.708836520960507,8.653608324622433e-16,True,.,.,ACGTGKV-ZAT6-DREME,.,.
27,M01826_2.00,80,160,5530,27655,1.5050786005104e-17,1.3221889564812181,22.24244547205836,8.653608324622433e-16,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
28,M01267_2.00,56,160,2809,27655,1.6492505520589288e-17,1.784838639647131,29.954435286396166,8.653608324622433e-16,True,A. thaliana,TF_Evolution,MYB124,Myb/SANT,R2R3-MYB
