,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M08407_2.00,32,160,1532,27655,1.6359891263515e-10,1.852124044790968,18.12529260506819,1.1304684863088865e-07,True,A. thaliana,JASPAR,HY5,bZIP,.
1,M01133_2.00,36,160,1869,27655,9.015416202049797e-11,1.7351987744130795,17.430096361798114,1.1304684863088865e-07,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
2,M06778_2.00,37,160,2084,27655,4.48302497105565e-10,1.6176384300663669,15.122377755638391,1.5488851274997272e-07,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
3,M06777_2.00,37,160,2068,27655,3.631889753899033e-10,1.6287575220299402,15.375254941827711,1.5488851274997272e-07,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
4,M06770_2.00,36,160,2009,27655,6.320842371973251e-10,1.6309877794249457,15.003823620248111,1.7470808316134065e-07,True,A. thaliana,OMalley2016,GBF3,bZIP,.
5,M06755_2.00,37,160,2149,27655,1.0305409889919072e-09,1.5733282249170915,14.139398065890195,2.3736794113113596e-07,True,A. thaliana,OMalley2016,ABF2,bZIP,.
6,GBF2-MEME,32,160,1671,27655,1.365500285878216e-09,1.7268286086547373,15.307831735081853,2.695887707262421e-07,True,.,.,GBF2-MEME,.,.
7,1.FD-MEME,36,160,2079,27655,1.5608234263094063e-09,1.5815755852998676,13.928376658250176,2.6963224689495e-07,True,.,.,1.FD-MEME,.,.
8,M06772_2.00,34,160,1886,27655,1.7714095908149795e-09,1.6396735072911681,14.349899493544262,2.720097838340335e-07,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
9,M01161_2.00,34,160,1949,27655,4.012887433351877e-09,1.5922690927083745,13.369555940503599,5.041645848083905e-07,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
10,1.FDP-MEME,34,160,1947,27655,3.912321839427849e-09,1.5937502992459698,13.399559913676876,5.041645848083905e-07,True,.,.,1.FDP-MEME,.,.
11,M06766_2.00,34,160,1958,27655,4.496332416044274e-09,1.5856224183625693,13.235414832209381,5.178276165810989e-07,True,A. thaliana,OMalley2016,ABI5,bZIP,.
12,1.ABF4-MEME,34,160,1968,27655,5.0976373034375994e-09,1.5782729626270249,13.088035403336452,5.419180579500586e-07,True,.,.,1.ABF4-MEME,.,.
13,M01770_2.00,28,160,1401,27655,6.760682684822044e-09,1.7884383083427111,14.61155787518042,6.673759621731475e-07,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
