,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M01709_2.00,97,160,7050,27655,4.312292575641604e-21,1.2498299267295343,25.453151134837267,6.878106658148358e-18,True,A. thaliana,Zoo_01,SPT,bHLH,.
1,GBF2-MEME,86,160,5902,27655,1.7541367890443588e-19,1.332601175986016,24.994183093927383,1.398924089262876e-16,True,.,.,GBF2-MEME,.,.
2,M00722_2.00,99,160,7839,27655,7.145766784967636e-19,1.126227336754358,20.43646624992861,1.4559116948503338e-16,True,A. thaliana,Chang2013,PIF3,bHLH,.
3,M01845_2.00,92,160,6837,27655,7.037286464345248e-19,1.2177388727864846,22.105120293296608,1.4559116948503338e-16,True,O. tauri,Zoo_01,300010311,bZIP,.
4,M01703_2.00,84,160,5727,27655,4.504559308944865e-19,1.3420781613695918,24.622232576450013,1.4559116948503338e-16,True,A. thaliana,Zoo_01,PIF1,bHLH,.
5,M01132_2.00,95,160,7262,27655,7.302378406772834e-19,1.1770290202466658,21.347228805397506,1.4559116948503338e-16,True,A. thaliana,TF_Evolution,HYH,bZIP,.
6,M09452_2.00,84,160,5744,27655,5.456682901418304e-19,1.3378020156716341,24.432373575007087,1.4559116948503338e-16,True,A. thaliana,HOMER,PIF5,bHLH,.
7,1.GBF3-MEME1,84,160,5692,27655,3.0276732559516533e-19,1.350922102968203,25.0175791680802,1.4559116948503338e-16,True,.,.,1.GBF3-MEME1,.,.
8,M01128_2.00,89,160,6511,27655,1.7056607889394019e-18,1.2403946345070265,22.0394650028465,2.720528958358346e-16,True,C. sativa,TF_Evolution,PK20225.1,bHLH,.
9,2.ABF1-MEME,85,160,5998,27655,2.139890187612521e-18,1.2924497559848869,22.83708121058295,3.1028407720381556e-16,True,.,.,2.ABF1-MEME,.,.
10,M01161_2.00,87,160,6278,27655,2.504948676542734e-18,1.2601788089825383,22.180660724413176,3.329494282571384e-16,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
11,M01160_2.00,92,160,6972,27655,2.763136469429666e-18,1.1895297286472528,20.88647391592714,3.3901558990310135e-16,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
12,M01846_2.00,85,160,6067,27655,4.482079926575797e-18,1.2759479668207105,22.13580933579362,5.106369630634568e-16,True,O. tauri,Zoo_01,1500010105,bZIP,.
13,M06752_2.00,75,160,4823,27655,5.639762886045783e-18,1.4264282224499105,24.60408833206041,5.996947868828682e-16,True,A. thaliana,OMalley2016,BZIP68,bZIP,.
14,M01701_2.00,81,160,5588,27655,6.993782623792653e-18,1.3250583241910867,22.731756996403472,6.311798912251206e-16,True,A. thaliana,Zoo_01,BIM2,bHLH,.
15,M01133_2.00,89,160,6640,27655,6.40195706619168e-18,1.2120905314480357,20.840305507574797,6.311798912251206e-16,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
16,1.ABF3-MEME,86,160,6244,27655,7.123033255205122e-18,1.2513345594401142,21.45705292291721,6.311798912251206e-16,True,.,.,1.ABF3-MEME,.,.
