,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M01825_2.00,144,500,1681,27655,1.999877515512806e-58,2.2442894291473454,129.493248146993,3.1958042697894635e-55,True,Oryza sativa,Zoo_01,LOC_Os05g36160,bZIP,.
1,M08407_2.00,132,500,1426,27655,4.3882249215775715e-57,2.3561042898557663,132.78464493735711,3.5061917123404795e-54,True,A. thaliana,JASPAR,HY5,bZIP,.
2,M08431_2.00,157,500,2260,27655,6.28168842158506e-52,1.9419821285302774,99.43322059479934,3.3460460325643087e-49,True,A. thaliana,JASPAR,BZR2,BES1,.
3,M07356_2.00,131,500,1561,27655,1.1163431293567568e-51,2.214636616500742,112.84061289648503,4.4597908017802436e-49,True,A. thaliana,OMalley2016,BMY2,BES1,.
4,M01126_2.00,172,500,2733,27655,1.9110206138272274e-51,1.7994634471200914,91.26650904774719,5.33539660149209e-49,True,C. sativa,TF_Evolution,PK18401.1,bHLH,.
5,M06778_2.00,146,500,1967,27655,2.0032778228380813e-51,2.0375117535426877,103.29829822333447,5.33539660149209e-49,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
6,1.FD-MEME,162,500,2438,27655,3.5093822775201336e-51,1.877836029205613,94.74578367707107,8.011418399253106e-49,True,.,.,1.FD-MEME,.,.
7,M06739_2.00,145,500,1961,27655,7.861005844234234e-51,2.032003706763986,101.81257418752368,1.570235917385788e-48,True,A. thaliana,OMalley2016,BIM1,bHLH,.
8,M01782_2.00,141,500,1854,27655,9.328898959624265e-51,2.072594260714463,103.69224239770593,1.6563978374977308e-48,True,A. thaliana,Zoo_01,ABF3,bZIP,.
9,M06767_2.00,134,500,1677,27655,1.7681940420316434e-50,2.1438906538346267,106.66385560354311,2.825574079166566e-48,True,A. thaliana,OMalley2016,ABI5,bZIP,.
10,M06777_2.00,139,500,1823,27655,4.222971778251466e-50,2.0763106636255735,102.51655548469098,6.134826274223493e-48,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
11,M01125_2.00,152,500,2210,27655,1.5893701963443102e-49,1.9275652961059921,94.06282505733627,2.0692370170417118e-47,True,C. sativa,TF_Evolution,PK15505.1,bHLH,.
12,M01127_2.00,152,500,2211,27655,1.6833592754406917e-49,1.9269126405685602,93.98289642147716,2.0692370170417118e-47,True,C. sativa,TF_Evolution,PK18474.1,bHLH,.
13,M01123_2.00,152,500,2248,27655,1.377682657791539e-48,1.90296963016386,91.0777455622618,1.3759605544692996e-46,True,C. sativa,TF_Evolution,PK07858.1,bHLH,.
14,M01705_2.00,152,500,2248,27655,1.377682657791539e-48,1.90296963016386,91.0777455622618,1.3759605544692996e-46,True,A. thaliana,Zoo_01,UNE10,bHLH,.
15,M01698_2.00,152,500,2248,27655,1.377682657791539e-48,1.90296963016386,91.0777455622618,1.3759605544692996e-46,True,A. thaliana,Zoo_01,BHLH13,bHLH,.
16,M01052_2.00,150,500,2204,27655,3.159192452790117e-48,1.9123786188659238,90.83879508552894,2.9696409056227104e-46,True,A. thaliana,Stam_Arabidopsis,BHLH49,bHLH,.
17,M06755_2.00,136,500,1815,27655,4.812993013339695e-48,2.051177445308427,97.05676264413951,4.2728682418426845e-46,True,A. thaliana,OMalley2016,ABF2,bZIP,.
18,M06772_2.00,162,500,2582,27655,7.443136584750046e-48,1.7950451545186346,84.59732605371605,5.947066131215287e-46,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
19,M01846_2.00,177,500,3065,27655,8.261782833290063e-48,1.675402628446054,78.8828583521995,6.2868233179035815e-46,True,O. tauri,Zoo_01,1500010105,bZIP,.
20,M07357_2.00,123,500,1496,27655,2.422704398222036e-47,2.1850884823928034,101.85942823403877,1.6832528818951363e-45,True,A. thaliana,OMalley2016,BMY2,BES1,.
21,1.FDP-MEME,169,500,2827,27655,2.422040792290581e-47,1.7252917053922094,80.42588507867876,1.6832528818951363e-45,True,.,.,1.FDP-MEME,.,.
22,M01120_2.00,150,500,2249,27655,3.9042281138743056e-47,1.8832191816592645,87.39731113203904,2.495582610388456e-45,True,C. sativa,TF_Evolution,PK05451.1,bHLH,.
23,M06727_2.00,153,500,2338,27655,3.7920637155044265e-47,1.855797065102196,86.1481863722241,2.495582610388456e-45,True,A. thaliana,OMalley2016,BIM2,bHLH,.
24,M08404_2.00,162,500,2625,27655,6.570694245549295e-47,1.771216732384978,81.79901968025156,4.0384497709183745e-45,True,A. thaliana,JASPAR,PIF1,bHLH,.
25,M01758_2.00,156,500,2467,27655,2.776603720523778e-46,1.8063286555033256,82.28998628419495,1.6433380538507396e-44,True,P. patens,Zoo_01,gw1.270.82.1,bHLH,.
26,2.URI.MEME2,132,500,1777,27655,4.361453080074656e-46,2.038634590270976,92.47321685343388,2.489143579271179e-44,True,.,.,2.URI.MEME2,.,.
27,M06752_2.00,153,500,2403,27655,1.1802266572946864e-45,1.816235346503986,81.59988445379446,6.503455856403134e-44,True,A. thaliana,OMalley2016,BZIP68,bZIP,.
28,M06766_2.00,139,500,1993,27655,1.4797754811198365e-45,1.9476835148256502,87.31427056046023,7.882270729431662e-44,True,A. thaliana,OMalley2016,ABI5,bZIP,.
29,M07343_2.00,131,500,1774,27655,2.0060352720953375e-45,2.030101144177587,90.7407736213646,1.034078827357532e-43,True,A. thaliana,OMalley2016,BEH3,BES1,.
30,M06770_2.00,170,500,2961,27655,2.8267127010727415e-45,1.6669905979013486,74.26229460417571,1.4115896550982002e-43,True,A. thaliana,OMalley2016,GBF3,bZIP,.
31,M08046_2.00,150,500,2330,27655,3.0633426797319126e-45,1.8321728878954389,81.55698559225137,1.4834004855186655e-43,True,A. thaliana,JASPAR,PIF4,bHLH,.
32,M06765_2.00,139,500,2017,27655,5.903958898080713e-45,1.9304141410517468,85.38001036725004,2.6955789483237086e-43,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
33,M01056_2.00,171,500,3015,27655,7.290630414854589e-45,1.6493786650396514,72.79901360589241,3.236229834149343e-43,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
34,M01827_2.00,166,500,2855,27655,8.966458600727115e-45,1.6852328380379202,74.23008960855469,3.872540768638359e-43,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
35,M01756_2.00,163,500,2763,27655,1.1462661053932625e-44,1.7061767443597864,74.97062529457979,4.820350622153772e-43,True,P. patens,Zoo_01,e_gw1.209.40.1,bHLH,.
36,M06781_2.00,158,500,2609,27655,1.5011945522687383e-44,1.7439679563008514,76.4268896383006,6.0302439364999396e-43,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
