,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M08407_2.00,242,500,2599,27655,5.431989540400409e-115,2.3645907557435946,270.1900598305718,8.707479233261855e-112,True,A. thaliana,JASPAR,HY5,bZIP,.
1,M06755_2.00,259,500,3208,27655,3.3324608852823746e-110,2.158818298172834,236.34145802056506,2.6709673995538232e-107,True,A. thaliana,OMalley2016,ABF2,bZIP,.
2,M06767_2.00,250,500,2971,27655,1.7728652965366122e-109,2.218519831767873,241.26696960432218,9.473010234493965e-107,True,A. thaliana,OMalley2016,ABI5,bZIP,.
3,M01825_2.00,249,500,2959,27655,6.255182563192424e-109,2.21857638781536,240.05830703214878,2.506764412199364e-106,True,Oryza sativa,Zoo_01,LOC_Os05g36160,bZIP,.
4,M06766_2.00,262,500,3445,27655,1.2725992753340876e-105,2.0726031708869974,217.40634865261805,4.0799532767210847e-103,True,A. thaliana,OMalley2016,ABI5,bZIP,.
5,M06778_2.00,259,500,3385,27655,1.1197130899533639e-104,2.081336606165395,216.35679935370712,2.991500138658737e-102,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
6,M06752_2.00,280,500,4076,27655,5.0467956323592363e-104,1.9258131177203532,198.930687350195,1.1557161998102652e-101,True,A. thaliana,OMalley2016,BZIP68,bZIP,.
7,1.FD-MEME,283,500,4181,27655,6.62420799612427e-104,1.904494351728945,196.50356758988246,1.3273256772234005e-101,True,.,.,1.FD-MEME,.,.
8,M06777_2.00,251,500,3179,27655,1.16878309620866e-103,2.1266546897539964,218.9013863820211,2.081732559136091e-101,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
9,M01782_2.00,254,500,3318,27655,3.9023151687744734e-102,2.082054952757503,211.13843957026458,6.255411215545481e-100,True,A. thaliana,Zoo_01,ABF3,bZIP,.
10,M06765_2.00,258,500,3492,27655,1.3235493824835139e-100,2.0308578487350144,202.83854793488018,1.9287724182918845e-98,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
11,M06772_2.00,284,500,4350,27655,2.0170868039072764e-100,1.8524158708224294,184.67711041888424,2.6944917888861366e-98,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
12,M01827_2.00,295,500,4746,27655,3.0824912258325543e-100,1.781543195996456,177.28331983692388,3.800948796161219e-98,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
13,M06781_2.00,284,500,4384,27655,1.445268845810882e-99,1.8411834734853556,181.98266908038525,1.65483282845346e-97,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
14,M06764_2.00,259,500,3589,27655,1.0001503921624146e-98,1.996910516811677,195.69710023016646,1.0688273857575672e-96,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
15,M07357_2.00,230,500,2745,27655,2.627907433101195e-98,2.2123680539930146,215.8837373920867,2.3402975640340083e-96,True,A. thaliana,OMalley2016,BMY2,BES1,.
16,1.ABF4-MEME,299,500,5011,27655,1.8110448702666308e-97,1.7225872887097278,166.64666142547688,1.5279499615986363e-95,True,.,.,1.ABF4-MEME,.,.
17,M07343_2.00,243,500,3153,27655,3.4516702311218115e-97,2.0917714858636467,201.77639978675973,2.766513690244132e-95,True,A. thaliana,OMalley2016,BEH3,BES1,.
18,1.FDP-MEME,291,500,4773,27655,3.5722756628525675e-96,1.7536631587972804,167.3819840308559,2.7268370893107934e-94,True,.,.,1.FDP-MEME,.,.
19,M07356_2.00,230,500,2817,27655,5.988512313735948e-96,2.1750146395106453,207.1107253039455,4.363447835872148e-94,True,A. thaliana,OMalley2016,BMY2,BES1,.
20,M01125_2.00,263,500,3842,27655,2.5332327582703954e-95,1.9207456225679758,181.69547697146808,1.6919883797947683e-93,True,C. sativa,TF_Evolution,PK15505.1,bHLH,.
21,M01127_2.00,263,500,3842,27655,2.5332327582703954e-95,1.9207456225679758,181.69547697146808,1.6919883797947683e-93,True,C. sativa,TF_Evolution,PK18474.1,bHLH,.
22,M07323_2.00,229,500,2813,27655,3.590598635591086e-95,2.170778387723445,205.01880260915976,2.302291845141004e-93,True,A. thaliana,OMalley2016,BEH4,BES1,.
23,M06739_2.00,251,500,3467,27655,4.071369578051019e-95,2.001539869689139,188.92586764512276,2.5101559360060706e-93,True,A. thaliana,OMalley2016,BIM1,bHLH,.
24,M06737_2.00,240,500,3134,27655,4.40120677507718e-95,2.082569568077139,196.50382597836554,2.6130127631291553e-93,True,A. thaliana,OMalley2016,BHLH104,bHLH,.
25,2.ABF1-MEME,297,500,5062,27655,1.2497740316148804e-94,1.6982957656312823,159.4753534489351,7.15495633099519e-93,True,.,.,2.ABF1-MEME,.,.
26,GBF2-MEME,295,500,4990,27655,1.4338249132683867e-94,1.7092154809657811,160.39876961609016,7.661404453230747e-93,True,.,.,GBF2-MEME,.,.
27,M06771_2.00,253,500,3549,27655,1.41708601745555e-94,1.979265152574566,185.75127109373275,7.661404453230747e-93,True,A. thaliana,OMalley2016,GBF3,bZIP,.
28,M01120_2.00,263,500,3881,27655,2.683619286982871e-94,1.9061747084480547,178.36320564905458,1.387690876462433e-92,True,C. sativa,TF_Evolution,PK05451.1,bHLH,.
29,M01698_2.00,263,500,3885,27655,3.412983888404577e-94,1.9046885429384304,178.02526836101825,1.657882779731072e-92,True,A. thaliana,Zoo_01,BHLH13,bHLH,.
30,M01161_2.00,303,500,5309,27655,3.33701726685629e-94,1.6584179942904202,155.02334438597532,1.657882779731072e-92,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
31,M01705_2.00,263,500,3886,27655,3.624238866339844e-94,1.904317240648158,177.94089440185303,1.6599014007836485e-92,True,A. thaliana,Zoo_01,UNE10,bHLH,.
32,M01123_2.00,263,500,3886,27655,3.624238866339844e-94,1.904317240648158,177.94089440185303,1.6599014007836485e-92,True,C. sativa,TF_Evolution,PK07858.1,bHLH,.
33,M06770_2.00,293,500,4939,27655,4.7842358307894476e-94,1.7142220379850042,159.97152186542445,2.1303138990987456e-92,True,A. thaliana,OMalley2016,GBF3,bZIP,.
34,1.ABF3-MEME,301,500,5281,27655,3.7828754002482482e-93,1.6564926876294641,153.09666197082092,1.638905207188633e-91,True,.,.,1.ABF3-MEME,.,.
35,M01846_2.00,298,500,5175,27655,5.75180045662708e-93,1.6712938101293122,154.16046893587654,2.4263516136771603e-91,True,O. tauri,Zoo_01,1500010105,bZIP,.
36,M01056_2.00,293,500,4998,27655,1.0051756768380318e-92,1.6970901052767446,156.12848485861943,4.1315297691573465e-91,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
37,1.GBF3-MEME1,288,500,4814,27655,1.0376955603458189e-92,1.726373011909016,158.79857435269307,4.158564958085869e-91,True,.,.,1.GBF3-MEME1,.,.
38,M01126_2.00,285,500,4708,27655,1.2234251443707497e-92,1.7433879409548603,160.23900918118792,4.7832939181129555e-91,True,C. sativa,TF_Evolution,PK18401.1,bHLH,.
39,M01052_2.00,259,500,3822,27655,2.043612302459892e-92,1.9061646616502979,174.77547820398615,7.799786954388588e-91,True,A. thaliana,Stam_Arabidopsis,BHLH49,bHLH,.
40,ACGTGKV-ZAT6-DREME,300,500,5282,27655,2.663181140243562e-92,1.6514185412699884,151.2279911824383,9.702453108660069e-91,True,.,.,ACGTGKV-ZAT6-DREME,.,.
41,M08404_2.00,277,500,4442,27655,3.470399637422847e-92,1.7862169254434084,163.36672215085002,1.2362334708419608e-90,True,A. thaliana,JASPAR,PIF1,bHLH,.
42,M08431_2.00,262,500,3946,27655,9.05221192009282e-92,1.8767161977550924,170.86233312703422,3.1544990669366933e-90,True,A. thaliana,JASPAR,BZR2,BES1,.
43,M08046_2.00,264,500,4041,27655,4.6336918067306207e-91,1.8533659201161947,167.4220920549615,1.580384673657273e-89,True,A. thaliana,JASPAR,PIF4,bHLH,.
44,M01058_2.00,306,500,5605,27655,1.99777817298269e-90,1.5943576219410631,143.01300615378943,6.671746690190108e-89,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
45,M01133_2.00,306,500,5628,27655,5.912602373011431e-90,1.5884496663973195,141.73453839954615,1.9342656334565968e-88,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
46,M06734_2.00,265,500,4120,27655,6.078185156895153e-90,1.8308883643211815,163.34495022816822,1.948666161300586e-88,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
47,M01776_2.00,302,500,5485,27655,1.181341481082514e-89,1.6065972709757241,142.8708789102011,3.71311841995151e-88,True,A. thaliana,Zoo_01,ABI5,bZIP,.
48,2.FBH3-MEME,278,500,4622,27655,7.894453817740536e-89,1.7341079651970772,152.77955552157,2.4336172057380924e-87,True,.,.,2.FBH3-MEME,.,.
