,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,1.FD-MEME,132,500,1017,27655,4.080861478015779e-75,2.843758592442154,211.54506360276977,5.623427116705743e-72,True,.,.,1.FD-MEME,.,.
1,1.ABF4-MEME,125,500,952,27655,1.7844217518857355e-71,2.8604349582953437,202.3714897734482,1.2294665870492718e-68,True,.,.,1.ABF4-MEME,.,.
2,M01776_2.00,124,500,961,27655,5.788655210080986e-70,2.8352721265543255,196.30693361145882,2.6589222931638663e-67,True,A. thaliana,Zoo_01,ABI5,bZIP,.
3,M01161_2.00,121,500,954,27655,2.6436187666589353e-67,2.810486218210283,187.1159926377046,9.107266651140032e-65,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
4,1.FDP-MEME,120,500,938,27655,3.8181583975339075e-67,2.8229149200343424,187.49277547018596,1.0522844543603449e-64,True,.,.,1.FDP-MEME,.,.
5,M01158_2.00,110,500,786,27655,2.133582721801052e-65,2.9524426482072537,190.93709525199506,4.900128317736417e-63,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
6,M01771_2.00,105,500,794,27655,8.371262452864353e-60,2.8707187574643656,169.59405213554302,1.647942808578154e-57,True,A. thaliana,Zoo_01,ABF2,bZIP,.
7,M01056_2.00,108,500,870,27655,9.328442998990536e-59,2.7794843483685785,161.2940071666696,1.6068243065761198e-56,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
8,M08407_2.00,96,500,717,27655,5.414657450651842e-55,2.8886016289604517,156.75409524508348,8.290442185553598e-53,True,A. thaliana,JASPAR,HY5,bZIP,.
9,M01133_2.00,101,500,920,27655,9.276447154079451e-50,2.6021898687486202,127.59218264395572,1.2782944178321483e-47,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
10,M01057_2.00,94,500,808,27655,2.181336260698383e-48,2.685845805867043,128.0108419566436,2.7326194247657927e-46,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
11,M06777_2.00,103,500,1013,27655,1.2000598222911228e-47,2.4915505053232807,116.9055357348489,1.3780686959309727e-45,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
12,M01773_2.00,91,500,794,27655,2.9835296163298085e-46,2.664267879996939,121.2915136479751,3.1625413933095973e-44,True,A. thaliana,Zoo_01,ABF1,bZIP,.
13,M01846_2.00,86,500,765,27655,5.483396198082695e-43,2.6364172540632844,111.41749873756513,5.397228543541395e-41,True,O. tauri,Zoo_01,1500010105,bZIP,.
14,M06778_2.00,98,500,1024,27655,6.215057848683319e-43,2.4041782810564087,101.47208242767766,5.709566476990409e-41,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
15,M01772_2.00,78,500,676,27655,9.52532048726833e-40,2.6739912195212643,104.34213333406635,8.203682269659849e-38,True,A. thaliana,Zoo_01,ABF1,bZIP,.
16,M01162_2.00,75,500,650,27655,3.3019474187243855e-38,2.6739912195212643,100.22447950737148,2.6765197311777665e-36,True,C. sativa,TF_Evolution,PK24978.1,bZIP,.
17,M06767_2.00,90,500,990,27655,1.4811426693214367e-37,2.330036818303903,85.81386523444083,1.133896999069411e-35,True,A. thaliana,OMalley2016,ABI5,bZIP,.
18,M06755_2.00,92,500,1062,27655,9.919006860422437e-37,2.2604623421940597,81.38462784104644,7.193890238769536e-35,True,A. thaliana,OMalley2016,ABF2,bZIP,.
19,M06735_2.00,69,500,662,27655,2.2727023044238986e-32,2.527305486912152,79.97268363243028,1.565891887748066e-30,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
20,M01826_2.00,73,500,766,27655,1.041845813341197e-31,2.3980924138962605,74.29817051034937,6.83649300373414e-30,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
21,M06766_2.00,80,500,959,27655,9.6737059597123e-31,2.206009526810432,66.2120680427424,6.059257642037977e-29,True,A. thaliana,OMalley2016,ABI5,bZIP,.
22,M06737_2.00,54,500,433,27655,2.6906003830219603e-29,2.786132724377944,79.60023208517664,1.6120205773062008e-27,True,A. thaliana,OMalley2016,BHLH104,bHLH,.
23,M06765_2.00,78,500,974,27655,8.519497941618493e-29,2.1470926937211066,60.268003011385765,4.891611734812618e-27,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
24,M08404_2.00,63,500,652,27655,9.767503676534344e-28,2.4180202062100395,65.31124906952391,5.38384802650573e-26,True,A. thaliana,JASPAR,PIF1,bHLH,.
25,M06770_2.00,76,500,994,27655,8.839261091884761e-27,2.0802939088224996,54.199112176892086,4.684808378698924e-25,True,A. thaliana,OMalley2016,GBF3,bZIP,.
26,GBF2-MEME,68,500,829,27655,1.0018631938302158e-25,2.1817029866957895,54.540810930900335,5.113212892955694e-24,True,.,.,GBF2-MEME,.,.
27,M08046_2.00,59,500,670,27655,6.083509438517192e-24,2.284094200957907,53.027178793647636,2.794358668758897e-22,True,A. thaliana,JASPAR,PIF4,bHLH,.
28,1.ABF3-MEME,59,500,670,27655,6.083509438517192e-24,2.284094200957907,53.027178793647636,2.794358668758897e-22,True,.,.,1.ABF3-MEME,.,.
29,2.ABF1-MEME,59,500,670,27655,6.083509438517192e-24,2.284094200957907,53.027178793647636,2.794358668758897e-22,True,.,.,2.ABF1-MEME,.,.
30,M06734_2.00,56,500,603,27655,7.021765242779179e-24,2.36080916709872,54.66112181242835,3.1212879046934545e-22,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
31,M02656_2.00,49,500,456,27655,9.435077049882293e-24,2.571288266891667,59.20456686376964,4.0629800546055626e-22,True,A. thaliana,JASPAR,ABF1,bZIP,.
32,M01770_2.00,57,500,680,27655,4.0857978232934895e-22,2.2129675149682404,47.33254946731572,1.7061301213631603e-20,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
33,M06764_2.00,67,500,943,27655,6.69304965210242e-22,1.9744436667238765,41.8076124976054,2.712653653116805e-20,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
34,M06726_2.00,53,500,602,27655,1.3897662097130368e-21,2.2837692147446975,47.63270754562404,5.471708105670185e-20,True,A. thaliana,OMalley2016,BPE,bHLH,.
35,M06752_2.00,66,500,938,27655,2.3360201636632414e-21,1.9604184437842775,40.446419021965134,8.941766070910963e-20,True,A. thaliana,OMalley2016,BZIP68,bZIP,.
36,2.URI.MEME2,48,500,498,27655,2.8467480549929787e-21,2.414429005594276,49.606015634517576,1.060221302643331e-19,True,.,.,2.URI.MEME2,.,.
37,M00854_2.00,50,500,551,27655,5.592389280440916e-21,2.3274161181447677,47.13576825501135,2.0279769548546269e-19,True,A. thaliana,Franco_Zorrilla2014,PIF3,bHLH,.
38,M07357_2.00,48,500,515,27655,1.1608902426226142e-20,2.366002315591776,47.166750275045025,4.1018121905999033e-19,True,A. thaliana,OMalley2016,BMY2,BES1,.
39,M06772_2.00,58,500,916,27655,9.009840482360709e-17,1.8082456439718289,29.01381290671304,3.103890046173264e-15,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
40,M07356_2.00,41,500,481,27655,1.8973318163468876e-16,2.2371273577892423,35.171795762395135,6.3768859583561244e-15,True,A. thaliana,OMalley2016,BMY2,BES1,.
41,M07351_2.00,54,500,824,27655,2.6375189420034654e-16,1.8578554119214508,28.943166089378845,8.653574052573274e-15,True,A. thaliana,OMalley2016,GT-3A,Trihelix,.
42,1.PIF1.MEME1,46,500,613,27655,3.3460556266568814e-16,2.053287129307432,31.775576889504983,1.0722941054728331e-14,True,.,.,1.PIF1.MEME1,.,.
43,M01126_2.00,33,500,329,27655,1.7008377915118524e-15,2.4719187825644124,36.50860179086207,5.3267147197803015e-14,True,C. sativa,TF_Evolution,PK18401.1,bHLH,.
44,M06771_2.00,52,500,883,27655,6.649603340829747e-14,1.7036385274338266,22.44919286165231,2.0166160889647068e-12,True,A. thaliana,OMalley2016,GBF3,bZIP,.
45,1.GBF3-MEME1,50,500,824,27655,6.731809876079572e-14,1.746824099532707,23.008936734498118,2.0166160889647068e-12,True,.,.,1.GBF3-MEME1,.,.
46,M06743_2.00,41,500,574,27655,7.292617369379515e-14,1.9821135148835964,26.039256304945095,2.138133347873398e-12,True,A. thaliana,OMalley2016,BHLH72,bHLH,.
