,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M08407_2.00,146,249,2599,27655,1.9331687944712507e-84,2.641334429943023,221.115957899427,3.09113690235953e-81,True,A. thaliana,JASPAR,HY5,bZIP,.
1,M06765_2.00,157,249,3492,27655,2.1047605693040786e-78,2.3200336947973934,180.21278704213256,1.4663482460656713e-75,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
2,M06755_2.00,152,249,3208,27655,2.7511224128811843e-78,2.395719876523872,185.813207729521,1.4663482460656713e-75,True,A. thaliana,OMalley2016,ABF2,bZIP,.
3,M06777_2.00,151,249,3179,27655,9.374076655180162e-78,2.3992982277223094,184.81331543342537,3.7472871429082697e-75,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
4,M06778_2.00,153,249,3385,27655,4.90053203620606e-76,2.3276985137654993,175.29840889940186,1.567190145178698e-73,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
5,M06767_2.00,145,249,2971,27655,2.59499359402e-75,2.438426989714727,181.87218312142878,6.9156579280633e-73,True,A. thaliana,OMalley2016,ABI5,bZIP,.
6,1.FD-MEME,165,249,4181,27655,3.1146334534692805e-75,2.131940675736885,158.8436363468071,7.114712702996256e-73,True,.,.,1.FD-MEME,.,.
7,M06766_2.00,153,249,3445,27655,6.040877764611373e-75,2.3023503646362045,170.87791136739207,1.2074204432016982e-72,True,A. thaliana,OMalley2016,ABI5,bZIP,.
8,M06752_2.00,163,249,4076,27655,8.359116101065684e-75,2.1510406076004704,159.34444119485684,1.4851362939560032e-72,True,A. thaliana,OMalley2016,BZIP68,bZIP,.
9,M06764_2.00,155,249,3589,27655,1.6150198946671767e-74,2.262008986993367,166.9177648098177,2.5824168115728155e-72,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
10,M01825_2.00,143,249,2959,27655,2.140752461662791e-73,2.4242281451196748,176.16728609674328,3.1118756238170934e-71,True,Oryza sativa,Zoo_01,LOC_Os05g36160,bZIP,.
11,M06771_2.00,153,249,3549,27655,4.185767955186344e-73,2.259441773166914,163.53438469634858,5.1484945848792026e-71,True,A. thaliana,OMalley2016,GBF3,bZIP,.
12,M06781_2.00,166,249,4384,27655,4.020816564341989e-73,2.0722581379216045,150.02254892431807,5.1484945848792026e-71,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
13,M01827_2.00,171,249,4746,27655,5.99512222586781e-73,2.0006069192271565,144.4882369595429,6.8472860279733056e-71,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
14,M06772_2.00,164,249,4350,27655,1.4356227101549132e-71,2.0660031085298374,146.36177491668138,1.5303738090251373e-69,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
