,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,1.FDP-MEME,46,249,478,27655,1.3780356801315608e-33,3.4179459376114707,112.31623120917543,1.2994876463640618e-30,True,.,.,1.FDP-MEME,.,.
1,M01056_2.00,35,249,405,27655,4.532331977731771e-24,3.2627557087081858,76.16471959337261,2.1369945275005298e-21,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
2,M01771_2.00,30,249,306,27655,2.511548573560837e-22,3.4447535424510733,74.40687775300816,7.894634349559564e-20,True,A. thaliana,Zoo_01,ABF2,bZIP,.
3,1.FD-MEME,33,249,437,27655,6.4843694286754414e-21,3.0681554393930615,61.94032777529541,1.5286900928102351e-18,True,.,.,1.FD-MEME,.,.
4,M01826_2.00,29,249,391,27655,2.7981132374071767e-18,3.0422069873554265,53.400269076732805,5.277241565749935e-16,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
5,M08407_2.00,28,249,385,27655,1.8336743974159806e-17,3.013891076010547,50.44252379954624,2.881924927938783e-15,True,A. thaliana,JASPAR,HY5,bZIP,.
6,M01773_2.00,24,249,272,27655,5.148133642183647e-17,3.2927504490060233,53.633472393854724,6.9352714636845414e-15,True,A. thaliana,Zoo_01,ABF1,bZIP,.
7,M01158_2.00,19,249,148,27655,9.712251096988321e-17,3.8337249373498423,61.38821100563443,1.1448315980574983e-14,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
8,M06737_2.00,19,249,167,27655,9.476902215171077e-16,3.65947401050474,54.977498862176546,9.92968754322925e-14,True,A. thaliana,OMalley2016,BHLH104,bHLH,.
9,1.ABF4-MEME,29,249,520,27655,5.0087959531457166e-15,2.6308639716343243,37.622056340849056,4.723294583816411e-13,True,.,.,1.ABF4-MEME,.,.
10,M01057_2.00,24,249,345,27655,1.0618862248754232e-14,2.9497607385908315,41.21972651798347,9.103261000522945e-13,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
11,M06778_2.00,26,249,469,27655,1.5828205983197403e-13,2.6222463951609223,33.56624409799327,1.2438331868462625e-11,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
12,M06777_2.00,25,249,450,27655,4.514565002674562e-13,2.625325788092894,32.41065521390404,3.2747959980939324e-11,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
