,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M08407_2.00,92,249,2180,27655,1.8844226918379935e-38,2.2287003259279308,84.07732236201207,2.983041121179544e-35,True,A. thaliana,JASPAR,HY5,bZIP,.
1,M01056_2.00,96,249,2576,27655,7.287774940574655e-36,2.049296412141746,72.00695809604339,5.76827386546484e-33,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
2,M06735_2.00,100,249,2852,27655,2.4292455847715765e-35,1.9613487128660432,67.89116107280937,1.261224885813601e-32,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
3,M01714_2.00,84,249,1960,27655,3.186923274323691e-35,2.2509302733113965,77.6495051749693,1.261224885813601e-32,True,A. thaliana,Zoo_01,ILR3,bHLH,.
4,1.ABF3-MEME,104,249,3181,27655,2.408636822279177e-34,1.8604258511367855,62.544221703116484,5.929788851032266e-32,True,.,.,1.ABF3-MEME,.,.
5,ACGTGKV-ZAT6-DREME,105,249,3253,27655,2.9967347320441014e-34,1.8419412001601974,61.748042661232084,5.929788851032266e-32,True,.,.,ACGTGKV-ZAT6-DREME,.,.
6,2.ABF1-MEME,105,249,3303,27655,1.134607291154304e-33,1.8199350529158043,59.958041370739,1.9956481576636257e-31,True,.,.,2.ABF1-MEME,.,.
7,M08046_2.00,100,249,2995,27655,1.485067676403273e-33,1.890766691633783,62.07056874360408,2.350862131746381e-31,True,A. thaliana,JASPAR,PIF4,bHLH,.
8,M01057_2.00,107,249,3468,27655,2.732069437755572e-33,1.7768295927145188,57.85980513123986,3.9316962908791554e-31,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
9,M01776_2.00,99,249,2986,27655,6.538787713553657e-33,1.8806089594802748,60.52646425080618,8.538047334154003e-31,True,A. thaliana,Zoo_01,ABI5,bZIP,.
10,1.FD-MEME,105,249,3373,27655,7.011662371699435e-33,1.7896797041832029,57.54568156883404,8.538047334154003e-31,True,.,.,1.FD-MEME,.,.
11,M01846_2.00,99,249,3005,27655,1.102619572979275e-32,1.8714581340162684,59.80726237180099,1.2467477028758516e-30,True,O. tauri,Zoo_01,1500010105,bZIP,.
12,M01126_2.00,90,249,2465,27655,1.2093068054939974e-32,2.0197319545996075,64.46472094694778,1.2762217820646652e-30,True,C. sativa,TF_Evolution,PK18401.1,bHLH,.
13,M06726_2.00,99,249,3029,27655,2.120701795808486e-32,1.8599815468194438,58.91216345910644,2.098169339228021e-30,True,A. thaliana,OMalley2016,BPE,bHLH,.
14,M01156_2.00,100,249,3102,27655,2.7499010191981967e-32,1.8401240082738404,58.075570391770135,2.560643125523968e-30,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
15,M01161_2.00,102,249,3241,27655,3.625910638668321e-32,1.8054528261888616,56.7644892599464,3.142021084026677e-30,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
16,1.ABF4-MEME,109,249,3709,27655,3.771219241725007e-32,1.7066205618091232,53.62802231681395,3.142021084026677e-30,True,.,.,1.ABF4-MEME,.,.
17,M01160_2.00,106,249,3517,27655,4.948219544120216e-32,1.743041624473099,54.566878539272665,3.916515769171151e-30,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
18,M06734_2.00,95,249,2821,27655,6.548616543394933e-32,1.9031154472805831,59.346467476332535,4.936409518187704e-30,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
19,1.FDP-MEME,102,249,3275,27655,8.705420580867493e-32,1.790396940194527,55.6101053793904,6.263945808869655e-30,True,.,.,1.FDP-MEME,.,.
20,M01771_2.00,96,249,2900,27655,1.0550412133614939e-31,1.8783761053540662,58.18595053420524,7.261435829353239e-30,True,A. thaliana,Zoo_01,ABF2,bZIP,.
21,M01825_2.00,95,249,2854,27655,1.6402295334847065e-31,1.8863367783903913,58.07105762757655,1.081868063127621e-29,True,Oryza sativa,Zoo_01,LOC_Os05g36160,bZIP,.
22,M01058_2.00,107,249,3655,27655,2.7164430774790094e-31,1.7010620850965539,51.99466265726561,1.720051756659709e-29,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
23,GBF2-MEME,106,249,3601,27655,3.8040284562991846e-31,1.7089893599081256,51.987039750204474,2.3160680947390805e-29,True,.,.,GBF2-MEME,.,.
24,M01133_2.00,103,249,3450,27655,1.3117190600323192e-30,1.7293706701655311,51.67732963130638,7.69056026678208e-29,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
25,M01772_2.00,94,249,2871,27655,1.4233877665440774e-30,1.8625020260056622,55.58949595567761,8.047224408711694e-29,True,A. thaliana,Zoo_01,ABF1,bZIP,.
26,M01770_2.00,100,249,3264,27655,1.8014173672392417e-30,1.7666816373384355,52.54885994988288,9.711518090071306e-29,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
27,M01059_2.00,103,249,3464,27655,1.8404645780299383e-30,1.7235281019917001,51.24923313169552,9.711518090071306e-29,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
28,M07343_2.00,86,249,2401,27655,2.027441243533535e-30,1.9920958560068882,59.15140528968548,1.0353030608108343e-28,True,A. thaliana,OMalley2016,BEH3,BES1,.
29,M06743_2.00,93,249,2870,27655,7.40426945096241e-30,1.8475745790801876,53.82080413518009,3.6627995440229676e-28,True,A. thaliana,OMalley2016,BHLH72,bHLH,.
30,M08404_2.00,96,249,3074,27655,1.0519227561112953e-29,1.7943118405655916,51.99559749359913,5.046041584618728e-28,True,A. thaliana,JASPAR,PIF1,bHLH,.
31,M01125_2.00,82,249,2237,27655,1.5252049484566272e-29,2.0254532530941716,58.366821629208815,7.101174804137768e-28,True,C. sativa,TF_Evolution,PK15505.1,bHLH,.
32,M01127_2.00,82,249,2247,27655,2.07241759534713e-29,2.019018384973383,57.912559735854344,9.37324872409859e-28,True,C. sativa,TF_Evolution,PK18474.1,bHLH,.
33,M06770_2.00,107,249,3845,27655,2.144314143865509e-29,1.6279498930871645,46.67122596756709,9.429025804830836e-28,True,A. thaliana,OMalley2016,GBF3,bZIP,.
34,M01712_2.00,87,249,2547,27655,2.543992187206436e-29,1.9236110411097402,55.0046655734588,1.0884161168507537e-27,True,A. thaliana,Zoo_01,MYC3,bHLH,.
35,M06764_2.00,106,249,3808,27655,4.488536447672033e-29,1.6283534807904623,46.16039389352357,1.8698297885960075e-27,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
36,M08431_2.00,89,249,2717,27655,9.597981318418189e-29,1.8631853702796295,52.20239251691883,3.8957960069374346e-27,True,A. thaliana,JASPAR,BZR2,BES1,.
37,M06752_2.00,105,249,3780,27655,1.1420485771623665e-28,1.6253257880928944,45.41536583591969,4.519657244120065e-27,True,A. thaliana,OMalley2016,BZIP68,bZIP,.
38,M01783_2.00,99,249,3372,27655,1.2428964045903983e-28,1.705218588672734,47.58508828186963,4.798792703577075e-27,True,A. thaliana,Zoo_01,GBF1,bZIP,.
39,M01826_2.00,97,249,3242,27655,1.3433554582103842e-28,1.7324952562047928,48.28777697093283,5.063170691302471e-27,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
40,M06765_2.00,101,249,3514,27655,1.4517632238253568e-28,1.674563796278625,46.61668146604879,5.344514379803581e-27,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
41,M01773_2.00,98,249,3325,27655,1.9934218959385446e-28,1.7108220083745005,47.390455287889644,7.082819704450102e-27,True,A. thaliana,Zoo_01,ABF1,bZIP,.
42,1.GBF3-MEME1,103,249,3666,27655,2.0134357972220756e-28,1.641760246178539,45.470293919058875,7.082819704450102e-27,True,.,.,1.GBF3-MEME1,.,.
43,M06739_2.00,88,249,2696,27655,2.8619035928135e-28,1.8580776269906454,51.177673117246634,9.848681277008198e-27,True,A. thaliana,OMalley2016,BIM1,bHLH,.
44,M06737_2.00,82,249,2344,27655,3.719024874621934e-28,1.9580459397310424,53.708359962325424,1.252599229048196e-26,True,A. thaliana,OMalley2016,BHLH104,bHLH,.
45,M01832_2.00,98,249,3379,27655,7.0666691240634515e-28,1.6875799984866136,45.81912211889957,2.330528588206759e-26,True,P. patens,Zoo_01,estExt_Genewise1.C_2060077,bZIP,.
46,M01158_2.00,93,249,3062,27655,9.95102429547411e-28,1.75415103314345,47.36581811925984,3.214790093823575e-26,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
47,M06771_2.00,101,249,3615,27655,1.4201245970289062e-27,1.633682340448521,43.8605701613921,4.496114474193517e-26,True,A. thaliana,OMalley2016,GBF3,bZIP,.
48,M06777_2.00,103,249,3760,27655,1.5944443281270782e-27,1.6052343701534253,43.01609248583887,4.9490301400493427e-26,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
49,M00854_2.00,81,249,2369,27655,4.0928953557005565e-27,1.9250383091796,50.79785191743965,1.2459717977065349e-25,True,A. thaliana,Franco_Zorrilla2014,PIF3,bHLH,.
50,M06767_2.00,102,249,3741,27655,4.8298995214151684e-27,1.5984678809558759,42.06537970675712,1.4425907438490965e-25,True,A. thaliana,OMalley2016,ABI5,bZIP,.
51,M06727_2.00,82,249,2446,27655,6.603268943415891e-27,1.8965941056259037,49.65329079113324,1.9357360624865474e-25,True,A. thaliana,OMalley2016,BIM2,bHLH,.
52,M06766_2.00,100,249,3665,27655,1.9296359322854176e-26,1.5995094962887573,41.1306263259947,5.553843056014211e-25,True,A. thaliana,OMalley2016,ABI5,bZIP,.
53,M07344_2.00,79,249,2321,27655,2.9646717446408176e-26,1.9185007303678272,48.975531510377955,8.380491735297168e-25,True,A. thaliana,OMalley2016,BEH3,BES1,.
54,M06778_2.00,102,249,3836,27655,3.589126005027052e-26,1.5622891264885712,39.752464468669224,9.96769555431197e-25,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
55,M01758_2.00,77,249,2213,27655,3.8989911781445954e-26,1.9502495944290965,49.55398506428488,1.028683839167149e-24,True,P. patens,Zoo_01,gw1.270.82.1,bHLH,.
