,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06834_2.00,92,498,4676,27655,0.03016522573984748,0.12775353106056306,0.19424840339971863,0.0898097019637118,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
1,M02676_2.00,100,498,4854,27655,0.015273140379778685,0.1941485861587975,0.3525877444726389,0.0898097019637118,True,Zea mays,JASPAR,Dof3,Dof,.
2,M02293_2.00,68,498,3060,27655,0.010358656044941971,0.303397693205532,0.6021523662897547,0.0898097019637118,True,A. thaliana,Zoo_01,ARR14,Myb/SANT,ARR-B
3,M06711_2.00,41,498,2132,27655,0.05954881315447472,0.09481107139411457,0.11615559302124925,0.0898097019637118,True,A. thaliana,OMalley2016,AT5G25475,B3,.
4,M06659_2.00,28,498,1412,27655,0.06824195314882642,0.13908133832163022,0.16216168499106576,0.0898097019637118,True,A. thaliana,OMalley2016,AIL6,AP2,ANT
5,M01970_2.00,33,498,1477,27655,0.03343149577707355,0.3111907981288708,0.45926913201073677,0.0898097019637118,True,Oryza sativa,Zoo_01,OS09G0490200,EIN3,.
6,M07173_2.00,29,498,1752,27655,0.0684306275101103,-0.12155527493839474,-0.1415814429715066,0.0898097019637118,True,A. thaliana,OMalley2016,anac016,NAC/NAM,.
7,M07251_2.00,61,498,2672,27655,0.009011913182962737,0.34228383462404066,0.7000330800015765,0.0898097019637118,True,A. thaliana,OMalley2016,NLP7,RWP-RK,.
8,M06996_2.00,41,498,2298,27655,0.06536532675210965,-0.013360288492822918,-0.015827300012143424,0.0898097019637118,True,A. thaliana,OMalley2016,AT5G23930,mTERF,.
9,M00843_2.00,70,498,3428,27655,0.027882067176307982,0.1813824123676733,0.2819907075324505,0.0898097019637118,True,A. thaliana,Franco_Zorrilla2014,ERF037,AP2,DREB
10,M00888_2.00,52,498,2667,27655,0.04918063468287425,0.11468839812537239,0.15003603575527766,0.0898097019637118,True,A. thaliana,Franco_Zorrilla2014,SPL7,SBP,.
11,M06913_2.00,37,498,1874,27655,0.05815035248690363,0.13279891750496942,0.16406611033995405,0.0898097019637118,True,A. thaliana,OMalley2016,ATHB-20,Homeodomain,HD-ZIP
12,M01124_2.00,29,498,1289,27655,0.03756227147614412,0.3211952363011279,0.45778291723755893,0.0898097019637118,True,C. sativa,TF_Evolution,PK09702.1,bHLH,.
13,M01602_2.00,37,498,2047,27655,0.06861590259075906,0.0054087681407455615,0.006293508576418143,0.0898097019637118,True,A. thaliana,Zoo_01,ERF094,AP2,ERF
