,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M10630_2.00,52,500,1638,27655,2.9760521471351753e-05,0.812188513441284,3.6762571637515773,0.024286769229339682,True,A. thaliana,Transfac,ATHB-5,Homeodomain,HD-ZIP
1,M06709_2.00,15,500,243,27655,3.0434547906440704e-05,1.771546528943938,8.001425770788293,0.024286769229339682,True,A. thaliana,OMalley2016,AT4G33280,AP2,B3
2,M02040_2.00,32,500,1324,27655,0.019625899510995123,0.4187810301339829,0.7149305909424135,0.09961102879790312,True,A. thaliana,Zoo_01,ATHB-6,Homeodomain,HD-ZIP
3,M02676_2.00,75,500,3914,27655,0.0434586479189682,0.08385908681027741,0.11420968529526539,0.09961102879790312,True,Zea mays,JASPAR,Dof3,Dof,.
4,M02293_2.00,48,500,2380,27655,0.04481571190353423,0.15768507946705101,0.21264932036822506,0.09961102879790312,True,A. thaliana,Zoo_01,ARR14,Myb/SANT,ARR-B
5,M06711_2.00,32,500,1664,27655,0.0688049739670795,0.08902871880010851,0.10348521686028468,0.09961102879790312,True,A. thaliana,OMalley2016,AT5G25475,B3,.
6,M06659_2.00,23,500,990,27655,0.042328106632264856,0.3617456780312416,0.4968110805248037,0.09961102879790312,True,A. thaliana,OMalley2016,AIL6,AP2,ANT
7,M07173_2.00,34,500,1711,27655,0.06084044571568913,0.13630723370212663,0.16572337243876065,0.09961102879790312,True,A. thaliana,OMalley2016,anac016,NAC/NAM,.
8,M07251_2.00,43,500,2037,27655,0.03733104644274853,0.22350292667741023,0.3191464974373681,0.09961102879790312,True,A. thaliana,OMalley2016,NLP7,RWP-RK,.
9,M06996_2.00,31,500,1641,27655,0.07215047159517958,0.06330522381436282,0.07227942462568589,0.09961102879790312,True,A. thaliana,OMalley2016,AT5G23930,mTERF,.
