,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06709_2.00,23,499,516,27655,4.8306602979507255e-05,1.3046914168997856,5.631039677361023,0.01987816712606724,True,A. thaliana,OMalley2016,AT4G33280,AP2,B3
1,M06875_2.00,18,499,337,27655,3.351415788830096e-05,1.565676936526481,7.006046829171402,0.01987816712606724,True,A. thaliana,OMalley2016,E2FD,E2F,.
2,M06876_2.00,14,499,267,27655,0.0002730241298932989,1.5390157066360775,5.484742587482159,0.07489961963406166,True,A. thaliana,OMalley2016,E2FD,E2F,.
3,M01157_2.00,3,499,10,27655,0.0006173939731853022,4.055391122099821,13.015524807907214,0.12702880998287594,True,C. sativa,TF_Evolution,PK16335.1,bZIP,.
4,M06874_2.00,13,499,273,27655,0.0010054178319497038,1.4000392934872665,4.196832571291383,0.16549177513892124,True,A. thaliana,OMalley2016,E2FE,E2F,.
5,M06873_2.00,12,499,260,27655,0.001920532182440872,1.3549514039587285,3.6808317318758057,0.26343299769147294,True,A. thaliana,OMalley2016,E2FE,E2F,.
6,M01998_2.00,1,499,8,27655,0.12710590036717592,2.7923567162660268,2.5014888925675676,0.331250280611707,True,A. thaliana,Zoo_01,GATA1,GATA,.
7,M07383_2.00,4,499,153,27655,0.15469635870948717,0.5349688735733752,0.43360292258611194,0.331250280611707,True,A. thaliana,OMalley2016,WRKY15,WRKY,.
8,M06620_2.00,4,499,355,27655,0.11538740520090233,-0.6793184981260174,-0.6370931423207077,0.331250280611707,True,A. thaliana,OMalley2016,ERF7,AP2,ERF
9,M07353_2.00,6,499,219,27655,0.10224754128591598,0.6025321573860096,0.5967159907129201,0.331250280611707,True,A. thaliana,OMalley2016,ZHD10,Homeodomain,HD-ZF
10,M07009_2.00,8,499,344,27655,0.11141930626196729,0.36609196156392904,0.34890011828813683,0.331250280611707,True,A. thaliana,OMalley2016,RVE7,Myb/SANT,MYB-related
11,M06867_2.00,69,499,4425,27655,0.020609049554301345,-0.21058056681352608,-0.35502662966097837,0.331250280611707,True,A. thaliana,OMalley2016,DOF5.6,Dof,.
12,M06767_2.00,7,499,209,27655,0.0489521712767556,0.8923525062427483,1.1691852754875813,0.331250280611707,True,A. thaliana,OMalley2016,ABI5,bZIP,.
13,M06834_2.00,41,499,2254,27655,0.06540167463341091,0.011636920711889572,0.013782898424832232,0.331250280611707,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
14,M07327_2.00,19,499,766,27655,0.03772827597771711,0.45908364778465555,0.6534289239065684,0.331250280611707,True,A. thaliana,OMalley2016,ZHD6,Homeodomain,HD-ZF
15,M06823_2.00,14,499,484,27655,0.026943951675544024,0.6808484010490368,1.0686179204716373,0.331250280611707,True,A. thaliana,OMalley2016,NUC,C2H2 ZF,.
16,M07197_2.00,2,499,243,27655,0.11846856768253801,-1.132455787339754,-1.0491034880299894,0.331250280611707,True,A. thaliana,OMalley2016,anac046,NAC/NAM,.
17,M06913_2.00,2,499,100,27655,0.2711075444345188,0.1485005264913022,0.08417877034384319,0.331250280611707,True,A. thaliana,OMalley2016,ATHB-20,Homeodomain,HD-ZIP
18,M06996_2.00,6,499,290,27655,0.1545015335763155,0.19741012697224875,0.16011288000643584,0.331250280611707,True,A. thaliana,OMalley2016,AT5G23930,mTERF,.
19,M06659_2.00,1,499,17,27655,0.22933307552410295,1.7048938750156877,1.0903364140591623,0.331250280611707,True,A. thaliana,OMalley2016,AIL6,AP2,ANT
20,M10908_2.00,2,499,148,27655,0.24850310907671858,-0.4170966493629228,-0.252205069077957,0.331250280611707,True,A. thaliana,Transfac,AGL3,MADS box,.
21,M06900_2.00,3,499,201,27655,0.21344718406287203,-0.2737324741917454,-0.18359499014879344,0.331250280611707,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
22,M06576_2.00,3,499,193,27655,0.21849243884407565,-0.21513782028089729,-0.1421122104021101,0.331250280611707,True,A. thaliana,OMalley2016,ERF11,AP2,ERF
23,M07339_2.00,2,499,112,27655,0.2736349854283148,-0.014998205791577355,-0.008441415822912931,0.331250280611707,True,A. thaliana,OMalley2016,AT3G42860,Unknown,.
