,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06772_2.00,133,500,2582,27655,1.252433254875522e-29,1.5104775871351994,43.656193908813286,1.0031990371552931e-26,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
1,M06781_2.00,134,500,2609,27655,9.559165078530482e-30,1.506276398581521,43.71150850864581,1.0031990371552931e-26,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
2,M01827_2.00,140,500,2855,27655,3.861348168893168e-29,1.4394764236359618,40.90021938177124,2.0619599221889515e-26,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
3,1.GBF3-MEME1,139,500,2875,27655,2.716546375300135e-28,1.4190632689456082,39.11787377248734,1.087976823307704e-25,True,.,.,1.GBF3-MEME1,.,.
4,M01058_2.00,154,500,3452,27655,7.217032599916252e-28,1.3030382284571467,35.36659623991259,2.3123372450131675e-25,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
5,M01779_2.00,163,500,3824,27655,1.7419939082106417e-27,1.2373297831915295,33.1096499693372,4.651123734922413e-25,True,A. thaliana,Zoo_01,GBF3,bZIP,.
6,M01059_2.00,168,500,4038,27655,3.003357665591506e-27,1.2023606643884879,31.889482002774272,6.771484889616327e-25,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
7,M06771_2.00,113,500,2059,27655,3.381515550370201e-27,1.6019192847241341,42.4042269498581,6.771484889616327e-25,True,A. thaliana,OMalley2016,GBF3,bZIP,.
8,M06752_2.00,123,500,2403,27655,5.5027921714569716e-27,1.5013620091505742,39.42489089995361,9.79497006519341e-25,True,A. thaliana,OMalley2016,BZIP68,bZIP,.
9,M06770_2.00,138,500,2961,27655,1.68842737636888e-26,1.3661241185418158,35.208457909062595,2.704860656942946e-24,True,A. thaliana,OMalley2016,GBF3,bZIP,.
10,M01783_2.00,161,500,3855,27655,3.9958385843731203e-26,1.2078701702534207,30.67796014629231,5.819394011059762e-24,True,A. thaliana,Zoo_01,GBF1,bZIP,.
11,M01161_2.00,145,500,3249,27655,4.558172200165835e-26,1.3035974986266516,33.03473701905255,6.085159887221389e-24,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
12,M01133_2.00,150,500,3443,27655,5.51694610897288e-26,1.2688366618671658,32.04865865305204,6.365021065091418e-24,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
13,GBF2-MEME,139,500,3034,27655,5.562440381478144e-26,1.3414041394176746,33.87680557361868,6.365021065091418e-24,True,.,.,GBF2-MEME,.,.
14,M01154_2.00,135,500,2952,27655,4.3180579243320705e-25,1.3388070279316353,32.61964703811809,4.323455496737486e-23,True,C. sativa,TF_Evolution,PK05128.1,bZIP,.
15,M01770_2.00,159,500,3866,27655,4.84829847055093e-25,1.1857254700143203,28.83021599848485,4.5688083234250525e-23,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
16,M01832_2.00,151,500,3559,27655,5.425304034348413e-25,1.2306169587564941,29.861629239803666,4.8285205905700875e-23,True,P. patens,Zoo_01,estExt_Genewise1.C_2060077,bZIP,.
17,M06764_2.00,110,500,2091,27655,6.109806677220559e-25,1.540850803876281,37.31011903977064,4.927359836646425e-23,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
18,M01164_2.00,144,500,3297,27655,6.151510407798283e-25,1.2724552667131255,30.807437667991866,4.927359836646425e-23,True,C. sativa,TF_Evolution,PK27149.1,bZIP,.
19,M07160_2.00,179,500,4695,27655,8.257350162714312e-25,1.07637477166432,25.922505090600318,6.299178552699203e-23,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
20,BACGTG-RD26-DREME,154,500,3709,27655,1.4158224050173179e-24,1.199440425133092,28.605444167140693,1.030976133108065e-22,True,.,.,BACGTG-RD26-DREME,.,.
21,M01132_2.00,156,500,3797,27655,1.8557346193999926e-24,1.1842263721843598,28.103449358124433,1.2925595044690383e-22,True,A. thaliana,TF_Evolution,HYH,bZIP,.
22,M01156_2.00,145,500,3374,27655,1.958391501419658e-24,1.2491332686685692,29.61457705172976,1.3072263271976216e-22,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
23,ACGTGB-ANAC102-DREME,156,500,3811,27655,2.7211467844426186e-24,1.1789167629912807,27.78146592758182,1.74371085947083e-22,True,.,.,ACGTGB-ANAC102-DREME,.,.
24,M01845_2.00,149,500,3546,27655,3.364209751859444e-24,1.2166601365046736,28.558805653869122,2.0001487702712696e-22,True,O. tauri,Zoo_01,300010311,bZIP,.
25,M01781_2.00,150,500,3586,27655,3.495890484868636e-24,1.2101273545687063,28.385282323953657,2.0001487702712696e-22,True,A. thaliana,Zoo_01,GBF2,bZIP,.
26,2.ABF1-MEME,136,500,3055,27655,3.425761253126761e-24,1.2999746134854482,30.504220078375525,2.0001487702712696e-22,True,.,.,2.ABF1-MEME,.,.
27,M06767_2.00,95,500,1677,27655,1.0375034226735103e-23,1.647657071707802,37.86976737375079,5.73131201076884e-22,True,A. thaliana,OMalley2016,ABI5,bZIP,.
28,M01776_2.00,142,500,3339,27655,1.9326575406585663e-23,1.2340151783827669,28.02922960596676,1.0320391267116744e-21,True,A. thaliana,Zoo_01,ABI5,bZIP,.
29,M06766_2.00,104,500,1993,27655,2.9008670344474476e-23,1.5291821602432345,34.46390039046606,1.4861987342280776e-21,True,A. thaliana,OMalley2016,ABI5,bZIP,.
30,1.ABF3-MEME,138,500,3203,27655,3.048197392870856e-23,1.2527848109446862,28.207648824124146,1.4861987342280776e-21,True,.,.,1.ABF3-MEME,.,.
31,ACGTGKV-ZAT6-DREME,139,500,3242,27655,3.1542295233305017e-23,1.2457411341471665,28.030554189514532,1.4861987342280776e-21,True,.,.,ACGTGKV-ZAT6-DREME,.,.
32,M01826_2.00,142,500,3361,27655,3.6153210295014806e-23,1.2245407291378807,27.48096319823508,1.6547840826461061e-21,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
33,M06755_2.00,98,500,1815,27655,5.941991561988094e-23,1.5784244481732959,35.08216906943844,2.6441862450847018e-21,True,A. thaliana,OMalley2016,ABF2,bZIP,.
34,M01160_2.00,148,500,3612,27655,6.114005572953014e-23,1.1803396250892921,26.219679841375697,2.647199169694791e-21,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
35,M06765_2.00,104,500,2017,27655,7.167990354625857e-23,1.5119127864693311,33.48070780368571,3.021873828450164e-21,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
36,M01056_2.00,131,500,3015,27655,2.732344021083607e-22,1.2649491516912037,27.276686279676586,1.12236285173742e-20,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
37,M06777_2.00,97,500,1823,27655,2.9243907776492267e-22,1.557282433089194,33.53446477755431,1.1712185064485153e-20,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
38,M01846_2.00,132,500,3065,27655,3.9319898680306868e-22,1.25219119772151,26.803637948971982,1.5363531142890634e-20,True,O. tauri,Zoo_01,1500010105,bZIP,.
39,M01787_2.00,144,500,3532,27655,4.761342384807188e-22,1.1731238107350468,25.01366332523686,1.816112023919313e-20,True,A. thaliana,Zoo_01,BZIP63,bZIP,.
40,M00722_2.00,158,500,4157,27655,2.4692666715556547e-21,1.071922152493931,22.08956287255481,9.199453971702695e-20,True,A. thaliana,Chang2013,PIF3,bHLH,.
41,M06778_2.00,99,500,1967,27655,5.33426275747424e-21,1.47704381474228,29.943999357489233,1.9421565766985755e-19,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
42,M01778_2.00,133,500,3214,27655,8.80758445736237e-21,1.1945966587672963,23.95780703823569,3.135500066821004e-19,True,A. thaliana,Zoo_01,BZIP17,bZIP,.
43,1.FDP-MEME,122,500,2827,27655,2.0229815509518032e-20,1.2551496066729113,24.71892649273927,7.045253140488671e-19,True,.,.,1.FDP-MEME,.,.
44,M07198_2.00,176,500,5009,27655,2.1305548778919945e-20,0.9585931593205961,18.856972307296164,7.262018966772288e-19,True,A. thaliana,OMalley2016,NAC047,NAC/NAM,.
45,M06791_2.00,98,500,1976,27655,2.4397578295122017e-20,1.4558110494717311,28.552317353920913,8.142691755996974e-19,True,A. thaliana,OMalley2016,AtbZIP3,bZIP,.
46,1.ABF4-MEME,126,500,2998,27655,3.601865853633281e-20,1.2169636924932572,23.66200004698666,1.177589611738881e-18,True,.,.,1.ABF4-MEME,.,.
47,M01771_2.00,133,500,3296,27655,7.774799377377104e-20,1.158250345259172,22.133365841941554,2.491045720511624e-18,True,A. thaliana,Zoo_01,ABF2,bZIP,.
48,M00972_2.00,121,500,2839,27655,8.258859392020966e-20,1.2371645404914033,23.608909809956792,2.5942534796112914e-18,True,A. thaliana,Lindemose2014,NAC019,NAC/NAM,.
49,1.FD-MEME,110,500,2438,27655,9.35963479353147e-20,1.3193457398456478,25.10548850069053,2.883487488314887e-18,True,.,.,1.FD-MEME,.,.
50,1.ANAC55.1MEME,97,500,1998,27655,1.6941216318067372e-19,1.42504041133591,26.74951252568618,5.120722366329044e-18,True,.,.,1.ANAC55.1MEME,.,.
51,M07199_2.00,100,500,2130,27655,4.2475082288488493e-19,1.376686911602725,25.29230714877337,1.2600941078918254e-17,True,A. thaliana,OMalley2016,NAC047,NAC/NAM,.
52,1.PIF5,130,500,3255,27655,5.516141441934637e-19,1.1433944219166572,20.87651224428707,1.606701561814416e-17,True,.,.,1.PIF5,.,.
53,M06761_2.00,67,500,1079,27655,8.1721253656044865e-19,1.7800784779109562,32.19746314591147,2.3378115778032832e-17,True,A. thaliana,OMalley2016,AtbZIP48,bZIP,.
54,M01057_2.00,101,500,2210,27655,1.7407793408463987e-18,1.3378492654142013,23.75920796322213,4.892506147431458e-17,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
55,M01709_2.00,139,500,3666,27655,2.013062709819116e-18,1.0684184391248224,18.90688515778882,5.560218036431422e-17,True,A. thaliana,Zoo_01,SPT,bHLH,.
56,M06779_2.00,67,500,1100,27655,2.1930437881719554e-18,1.752269818986951,30.94324984542274,5.954671438392326e-17,True,A. thaliana,OMalley2016,BZIP53,bZIP,.
57,M07176_2.00,107,500,2438,27655,2.433879296025617e-18,1.2794530127221353,22.53590276312228,6.498457720388396e-17,True,A. thaliana,OMalley2016,NAC018,NAC/NAM,.
58,M06762_2.00,87,500,1739,27655,2.7667298435598295e-18,1.4683697154833415,25.781684280896563,7.266067556365323e-17,True,A. thaliana,OMalley2016,BZIP2,bZIP,.
59,M06757_2.00,67,500,1112,27655,3.809581843316325e-18,1.7366165546754655,30.25033683451415,9.687222401575799e-17,True,A. thaliana,OMalley2016,BZIP44,bZIP,.
60,M01773_2.00,137,500,3631,27655,5.884400348628011e-18,1.0613493051015201,18.287364583412504,1.472938962265949e-16,True,A. thaliana,Zoo_01,ABF1,bZIP,.
61,M01158_2.00,128,500,3318,27655,1.834534442395751e-17,1.0933702659853373,18.29916317137882,4.521421810335374e-16,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
62,M01700_2.00,138,500,3732,27655,2.3298404510738527e-17,1.0322596228676109,17.169237603384136,5.655158185788352e-16,True,A. thaliana,Zoo_01,BPE,bHLH,.
63,M06760_2.00,64,500,1081,27655,5.3452876290220515e-17,1.7113176292065504,27.84660995463429,1.2780822062228845e-15,True,A. thaliana,OMalley2016,AtbZIP48,bZIP,.
64,M06756_2.00,68,500,1208,27655,6.618658385773532e-17,1.6385265388664612,26.5100977890188,1.5592780491189999e-15,True,A. thaliana,OMalley2016,BZIP44,bZIP,.
65,M00973_2.00,101,500,2334,27655,6.861467314607986e-17,1.2590910739856473,20.351423080349733,1.5930537156524628e-15,True,A. thaliana,Lindemose2014,NAC029,NAC/NAM,.
66,M01768_2.00,125,500,3268,27655,9.537103196015251e-17,1.081060453457604,17.319219282696125,2.182634188573776e-15,True,C. sativa,Zoo_01,PK18474.1,bHLH,.
67,M01162_2.00,119,500,3033,27655,1.0076596777751421e-16,1.1177564176249732,17.88039857102277,2.2736208504165883e-15,True,C. sativa,TF_Evolution,PK24978.1,bZIP,.
68,M01710_2.00,134,500,3650,27655,1.4369372097658088e-16,1.021876878744231,16.18914802137748,3.1971852917289246e-15,True,A. thaliana,Zoo_01,BIM1,bHLH,.
69,M07181_2.00,103,500,2450,27655,2.1858305957677433e-16,1.217402930234486,19.064996760733177,4.796850156739623e-15,True,A. thaliana,OMalley2016,NAC029,NAC/NAM,.
70,M01848_2.00,134,500,3692,27655,3.5903098355943286e-16,1.005370789753199,15.527819210352002,7.77253561705691e-15,True,O. tauri,Zoo_01,fgenesh1_pg.C_Chr_07.0001000033,bZIP,.
71,M00979_2.00,92,500,2077,27655,5.273339172978688e-16,1.2927448921535658,19.750445667135363,1.1263852473482477e-14,True,A. thaliana,Lindemose2014,NAC92,NAC/NAM,.
72,M01712_2.00,121,500,3190,27655,6.38663037061823e-16,1.0689909655635634,16.24302718936613,1.3462344544382112e-14,True,A. thaliana,Zoo_01,MYC3,bHLH,.
73,M01769_2.00,120,500,3154,27655,6.991990104971841e-16,1.0733920877592087,16.267685582728664,1.4546971620993363e-14,True,O. tauri,Zoo_01,fgenesh1_pg.C_Chr_14.0001000151,bHLH,.
74,M06782_2.00,70,500,1340,27655,9.751163235906545e-16,1.5307341685410323,22.977764229764336,1.977387785306618e-14,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
75,M06790_2.00,76,500,1538,27655,9.695280824861077e-16,1.4505561624229595,21.777837341122428,1.977387785306618e-14,True,A. thaliana,OMalley2016,HY5,bZIP,.
76,M08404_2.00,106,500,2625,27655,1.0924800952897795e-15,1.1592871840635521,17.34477544447584,2.1606828551286752e-14,True,A. thaliana,JASPAR,PIF1,bHLH,.
77,1.PIF1.MEME1,126,500,3415,27655,1.0820064251439248e-15,1.0290784972636642,15.400952266960044,2.1606828551286752e-14,True,.,.,1.PIF1.MEME1,.,.
78,M01782_2.00,85,500,1854,27655,1.1755118770531966e-15,1.3424338444533717,20.042232536374986,2.2965488134624645e-14,True,A. thaliana,Zoo_01,ABF3,bZIP,.
79,2.FBH3-MEME,109,500,2747,27655,1.2835361285784617e-15,1.1340115666422705,16.88723746307604,2.4773793710634886e-14,True,.,.,2.FBH3-MEME,.,.
80,M06763_2.00,81,500,1718,27655,1.3231797630363706e-15,1.3828041186873616,20.57388673351443,2.523492833790792e-14,True,A. thaliana,OMalley2016,BZIP2,bZIP,.
81,M01708_2.00,114,500,2976,27655,2.8418632873311583e-15,1.0831996399979111,15.756651796937094,5.356076454475901e-14,True,A. thaliana,Zoo_01,BEE2,bHLH,.
82,M01703_2.00,111,500,2871,27655,3.887986212269359e-15,1.0965466880841246,15.801539636892068,7.242504548901759e-14,True,A. thaliana,Zoo_01,PIF1,bHLH,.
83,M08431_2.00,95,500,2260,27655,4.0743297718270596e-15,1.2172169879695984,17.515684076784115,7.50238654536431e-14,True,A. thaliana,JASPAR,BZR2,BES1,.
84,M00884_2.00,100,500,2451,27655,4.412414378042442e-15,1.1741698578490858,16.855588398673067,8.032599810936355e-14,True,A. thaliana,Franco_Zorrilla2014,anac046,NAC/NAM,.
85,M01756_2.00,108,500,2763,27655,4.876935828235493e-15,1.1123360922921772,15.919590593774739,8.778484490823888e-14,True,P. patens,Zoo_01,e_gw1.209.40.1,bHLH,.
86,M09452_2.00,110,500,2851,27655,6.129714157563598e-15,1.0935758265279074,15.54251180536694,1.0910891200463205e-13,True,A. thaliana,HOMER,PIF5,bHLH,.
87,M00976_2.00,81,500,1773,27655,7.361011459403563e-15,1.3373416189271368,18.90073269240129,1.2817761258657073e-13,True,A. thaliana,Lindemose2014,NAC055,NAC/NAM,.
88,M00974_2.00,97,500,2357,27655,7.295520047037644e-15,1.1866452358781607,16.77553694467396,1.2817761258657073e-13,True,A. thaliana,Lindemose2014,NAC030,NAC/NAM,.
89,M06780_2.00,68,500,1331,27655,7.603092242860234e-15,1.498636422279648,21.15926224363157,1.3096939540926983e-13,True,A. thaliana,OMalley2016,BZIP53,bZIP,.
