,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M01832_2.00,136,498,3379,27655,2.1876072660573288e-20,1.1603329956217445,22.812182249777507,3.462982302168752e-17,True,P. patens,Zoo_01,estExt_Genewise1.C_2060077,bZIP,.
1,M01826_2.00,125,498,3242,27655,3.697625278829295e-17,1.0983666986797522,18.048446279852417,2.926670408193387e-14,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
2,GBF2-MEME,133,498,3601,27655,8.49870543055738e-17,1.0363513408461158,16.654836798200414,3.3633626741430834e-14,True,.,.,GBF2-MEME,.,.
3,M06770_2.00,139,498,3845,27655,7.88744633183594e-17,1.005423979409525,16.190406268089696,3.3633626741430834e-14,True,A. thaliana,OMalley2016,GBF3,bZIP,.
4,M01156_2.00,119,498,3102,27655,3.8508637108761794e-16,1.0910855818070593,16.818475255865394,7.314783439858957e-14,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
5,M01161_2.00,123,498,3241,27655,2.3726627260142837e-16,1.075541989556606,16.805089750686758,7.314783439858957e-14,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
6,M06752_2.00,136,498,3780,27655,2.84210606952204e-16,0.9985431116771112,15.52371040797508,7.314783439858957e-14,True,A. thaliana,OMalley2016,BZIP68,bZIP,.
7,M06766_2.00,133,498,3665,27655,3.469820507633681e-16,1.010935742015222,15.628756204678963,7.314783439858957e-14,True,A. thaliana,OMalley2016,ABI5,bZIP,.
8,M01057_2.00,128,498,3468,27655,4.1587524294839306e-16,1.0353626063133716,15.924950486146797,7.314783439858957e-14,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
9,M01845_2.00,125,498,3375,27655,7.956575254891901e-16,1.0403632873717383,15.708730153733574,1.1450235116812618e-13,True,O. tauri,Zoo_01,300010311,bZIP,.
10,M06767_2.00,134,498,3741,27655,7.262844996001002e-16,0.9921317294421529,15.019776316637603,1.1450235116812618e-13,True,A. thaliana,OMalley2016,ABI5,bZIP,.
11,M01160_2.00,128,498,3517,27655,1.2163484227207326e-15,1.0151211699098999,15.14047337592369,1.6045662943057664e-13,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
12,M01783_2.00,124,498,3372,27655,1.8310962182204623e-15,1.0300582789799995,15.18026637351047,2.2297117795715323e-13,True,A. thaliana,Zoo_01,GBF1,bZIP,.
13,M01827_2.00,124,498,3380,27655,2.1815820958042045e-15,1.0266395687525351,15.051797242302241,2.3172988006216803e-13,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
14,M06778_2.00,135,498,3836,27655,2.1957979791108787e-15,0.9666793815679064,14.169980411861486,2.3172988006216803e-13,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
