,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06702_2.00,254,498,11262,27655,6.662503205937858e-07,0.32476004075534204,2.0058357596238707,0.0006742453244409113,True,A. thaliana,OMalley2016,REM19,B3,REM
1,M06782_2.00,25,498,515,27655,5.817951946477199e-06,1.4306783572393507,7.489930070383017,0.002943883684917463,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
2,M06771_2.00,20,498,398,27655,2.888564853605859e-05,1.48055426387892,6.720706438340384,0.003788394899044591,True,A. thaliana,OMalley2016,GBF3,bZIP,.
3,M06703_2.00,198,498,8818,27655,3.4504207712554825e-05,0.3183716479990684,1.4206150259794224,0.003788394899044591,True,A. thaliana,OMalley2016,REM19,B3,REM
4,M06764_2.00,20,498,400,27655,3.089758394866122e-05,1.4733226946478444,6.644796557950438,0.003788394899044591,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
5,M06780_2.00,23,498,508,27655,3.7434732203997935e-05,1.3301280588200535,5.888111489420266,0.003788394899044591,True,A. thaliana,OMalley2016,BZIP53,bZIP,.
6,M06761_2.00,23,498,496,27655,2.6367326918160478e-05,1.364616435205344,6.248488450374477,0.003788394899044591,True,A. thaliana,OMalley2016,AtbZIP48,bZIP,.
7,M06765_2.00,20,498,389,27655,2.119297002791421e-05,1.513552539436377,7.074054233731198,0.003788394899044591,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
8,M06705_2.00,270,498,12630,27655,2.1503121988239098e-05,0.24749936791112298,1.155202923848241,0.003788394899044591,True,A. thaliana,OMalley2016,VRN1,B3,REM
9,M06854_2.00,261,498,12124,27655,2.0082352266581358e-05,0.25757864932076197,1.209894675883657,0.003788394899044591,True,A. thaliana,OMalley2016,OBP3,Dof,.
10,M06737_2.00,12,498,167,27655,4.2427684760745325e-05,1.9965089977823105,8.729437447390898,0.00390334699798857,True,A. thaliana,OMalley2016,BHLH104,bHLH,.
