,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06834_2.00,134,499,7769,27655,0.03343605928435634,-0.06506728958460962,-0.096025324325271,0.16583054231516386,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
1,M08424_2.00,62,499,3235,27655,0.0480374552975665,0.08700302977303234,0.11470653509374114,0.16583054231516386,True,A. thaliana,JASPAR,SVP,MADS box,.
2,M06772_2.00,12,499,916,27655,0.056774348413149676,-0.4618845711097609,-0.5754378958851856,0.16583054231516386,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
3,M02371_2.00,19,499,691,27655,0.020024665252721185,0.6077423293213541,1.032210682155168,0.16583054231516386,True,A. thaliana,Zoo_01,NTL9,NAC/NAM,.
4,M02350_2.00,28,499,1659,27655,0.07282355467070921,-0.09638653263223204,-0.10966166914895004,0.16583054231516386,True,C. sativa,Zoo_01,PK08316.1,Myb/SANT,MYB-related
5,M07101_2.00,38,499,2071,27655,0.06741213435438115,0.024172391489100612,0.028312201722712815,0.16583054231516386,True,A. thaliana,OMalley2016,RVE5,Myb/SANT,MYB-related
6,M07384_2.00,28,499,1070,27655,0.012543707702124884,0.5363165570351219,1.019845660649604,0.16583054231516386,True,A. thaliana,OMalley2016,WRKY15,WRKY,.
7,M06858_2.00,17,499,1066,27655,0.08561743111127978,-0.1781721652428094,-0.19018770533453774,0.16583054231516386,True,A. thaliana,OMalley2016,DOF4.3,Dof,.
8,M06623_2.00,2,499,264,27655,0.09523719317828275,-1.2520374030924266,-1.2785723483232352,0.16583054231516386,True,A. thaliana,OMalley2016,PLT1,AP2,ANT
9,M06562_2.00,23,499,915,27655,0.025799709739216203,0.47829073915163484,0.7597099218277787,0.16583054231516386,True,A. thaliana,OMalley2016,ERF10,AP2,ERF
10,M06692_2.00,40,499,2157,27655,0.0651694227520554,0.039474349992935254,0.046814847186723546,0.16583054231516386,True,A. thaliana,OMalley2016,RAV1,AP2,B3
11,M06974_2.00,19,499,835,27655,0.057022325875689894,0.33465184234819817,0.41629185673965863,0.16583054231516386,True,A. thaliana,OMalley2016,GT-4,Trihelix,MADF
12,M07245_2.00,19,499,1207,27655,0.0769213846909715,-0.19692573104540878,-0.21936599045553762,0.16583054231516386,True,A. thaliana,OMalley2016,NAC105,NAC/NAM,.
13,M07308_2.00,20,499,920,27655,0.06490856227536881,0.2687947602090141,0.3192470019021483,0.16583054231516386,True,A. thaliana,OMalley2016,AT1G23810,Unknown,.
14,M00732_2.00,5,499,450,27655,0.0866302551861208,-0.6994963800636478,-0.7430962736390748,0.16583054231516386,True,A. thaliana,Chang2013,WRKY47,WRKY,.
15,M07072_2.00,21,499,1331,27655,0.07231283137264806,-0.19362071686710458,-0.22087953853903805,0.16583054231516386,True,A. thaliana,OMalley2016,AT3G10580,Myb/SANT,MYB-related
16,M06712_2.00,129,499,6408,27655,0.015143314976078442,0.15792553928057082,0.28738958695387373,0.16583054231516386,True,A. thaliana,OMalley2016,AT5G60130,B3,REM
17,M07118_2.00,38,499,2045,27655,0.06661226389077574,0.04239910188050142,0.04988024559050657,0.16583054231516386,True,A. thaliana,OMalley2016,RVE4,Myb/SANT,MYB-related
18,M07033_2.00,63,499,3230,27655,0.043717215144144284,0.11231819018465608,0.15267945227738283,0.16583054231516386,True,A. thaliana,OMalley2016,AT1G72740,Myb/SANT,MYB-related
19,M06653_2.00,10,499,432,27655,0.09502437715216584,0.3593973089899208,0.36736333896766027,0.16583054231516386,True,A. thaliana,OMalley2016,ERF109,AP2,ERF
20,M07174_2.00,13,499,875,27655,0.0852703729896067,-0.2803427723125721,-0.2997430072365233,0.16583054231516386,True,A. thaliana,OMalley2016,NAC017,NAC/NAM,.
21,M06675_2.00,14,499,657,27655,0.08970678669077724,0.23996207800130154,0.2512822169302606,0.16583054231516386,True,A. thaliana,OMalley2016,ERF5,AP2,ERF
22,M06670_2.00,16,499,961,27655,0.09615942155441337,-0.11603590450772346,-0.11800946148502114,0.16583054231516386,True,A. thaliana,OMalley2016,ERF9,AP2,ERF
23,M07039_2.00,16,499,939,27655,0.09889360053205849,-0.08262463138774762,-0.08302385798777986,0.16583054231516386,True,A. thaliana,OMalley2016,ATMYB63,Myb/SANT,R2R3-MYB
24,M06657_2.00,15,499,712,27655,0.08786867371406984,0.2235138809081478,0.2360677456226189,0.16583054231516386,True,A. thaliana,OMalley2016,ERF115,AP2,ERF
25,M06676_2.00,19,499,769,27655,0.03853330327798681,0.45344444174778603,0.6412446964109331,0.16583054231516386,True,A. thaliana,OMalley2016,ERF105,AP2,ERF
26,M07229_2.00,19,499,1241,27655,0.07020336410919609,-0.23700317042074395,-0.2734168295908223,0.16583054231516386,True,A. thaliana,OMalley2016,NAC079,NAC/NAM,.
27,M06818_2.00,118,499,5673,27655,0.009677625940959961,0.2051036169569506,0.41312609799104266,0.16583054231516386,True,A. thaliana,OMalley2016,JKD,C2H2 ZF,.
