,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M01707_2.00,57,498,1903,27655,5.2565071669316256e-05,0.7340809574259262,3.141354651845202,0.020419820876790673,True,A. thaliana,Zoo_01,MYC4,bHLH,.
1,M01699_2.00,57,498,1907,27655,5.539197750555395e-05,0.7310516753871918,3.1117602971852305,0.020419820876790673,True,A. thaliana,Zoo_01,MYC2,bHLH,.
2,M01772_2.00,63,498,2260,27655,0.00014885359476477642,0.630423655732573,2.412783056329723,0.020419820876790673,True,A. thaliana,Zoo_01,ABF1,bZIP,.
3,M01757_2.00,58,498,1966,27655,6.687191018300698e-05,0.7121841783221982,2.973195364618945,0.020419820876790673,True,P. patens,Zoo_01,fgenesh1_pg.scaffold_37000071,bHLH,.
4,M00963_2.00,44,498,1410,27655,0.0001452563778684511,0.7932029608863481,3.044205714641475,0.020419820876790673,True,A. thaliana,LehtiShiu2015,DREB1E,AP2,DREB
5,M00854_2.00,58,498,2042,27655,0.0001672701143026331,0.6574646337849772,2.482968869058886,0.020419820876790673,True,A. thaliana,Franco_Zorrilla2014,PIF3,bHLH,.
6,M00964_2.00,46,498,1493,27655,0.00013819389264276024,0.774814295457678,2.9904044123428966,0.020419820876790673,True,A. lyrata,LehtiShiu2015,DDF1,AP2,DREB
7,M07312_2.00,42,498,1314,27655,0.00012490201145143806,0.8278186519916372,3.231332630604333,0.020419820876790673,True,A. thaliana,OMalley2016,BHLH157,bHLH,.
8,M01064_2.00,34,498,993,27655,0.000154652391047835,0.9270637232571721,3.5327092223224614,0.020419820876790673,True,A. thaliana,Stam_Arabidopsis,KNAT7,Homeodomain,HD-KN
9,M06990_2.00,36,498,1078,27655,0.00016133277082845744,0.8910343282250134,3.3790493520468585,0.020419820876790673,True,A. thaliana,OMalley2016,FLC,MADS box,.
10,M01900_2.00,48,498,1533,27655,7.16332000693778e-05,0.7980713085975852,3.307914312427558,0.020419820876790673,True,A. thaliana,Zoo_01,CMTA3,CG-1,.
11,M06953_2.00,37,498,1109,27655,0.0001357237689191965,0.8896605050024465,3.4406232951643556,0.020419820876790673,True,A. thaliana,OMalley2016,LBD2,LOB,.
12,M01714_2.00,57,498,1918,27655,6.388617650302702e-05,0.7227537986818173,3.031658099116597,0.020419820876790673,True,A. thaliana,Zoo_01,ILR3,bHLH,.
13,M06851_2.00,73,498,2750,27655,0.00019123936419442985,0.5598594451158394,2.081794074485513,0.021678347926897157,True,A. thaliana,OMalley2016,DOF3.4,Dof,.
14,M06589_2.00,20,498,470,27655,0.0002419778874512769,1.2406619378575692,4.486511871499203,0.02424272210529556,True,A. thaliana,OMalley2016,DREB1E,AP2,DREB
15,M01769_2.00,57,498,2030,27655,0.0002444130773060674,0.6408767916274094,2.314767221233029,0.02424272210529556,True,O. tauri,Zoo_01,fgenesh1_pg.C_Chr_14.0001000151,bHLH,.
16,M00962_2.00,44,498,1470,27655,0.00032762348233650594,0.7330819684487772,2.554515738061133,0.03058461567459029,True,A. thaliana,LehtiShiu2015,DREB1F,AP2,DREB
17,M07228_2.00,40,498,1307,27655,0.00038638278707966815,0.7651354586271358,2.6113937231932782,0.03406608239419074,True,A. thaliana,OMalley2016,NAC079,NAC/NAM,.
18,M01701_2.00,49,498,1800,27655,0.0010634528990397045,0.5961794424333777,1.7726094502460996,0.038506130875550465,True,A. thaliana,Zoo_01,BIM2,bHLH,.
19,M06678_2.00,32,498,1026,27655,0.0009630361299541349,0.7924357739281525,2.3902695259804254,0.038506130875550465,True,A. thaliana,OMalley2016,DREB1D,AP2,DREB
20,M06849_2.00,61,498,2375,27655,0.0011430085975342571,0.5122763289924203,1.5070916037011568,0.038506130875550465,True,A. thaliana,OMalley2016,CDF3,Dof,.
21,M07336_2.00,67,498,2632,27655,0.0008749751531746578,0.4993962062577375,1.527155735922389,0.038506130875550465,True,A. thaliana,OMalley2016,MIP1B,Unknown,.
22,M07230_2.00,37,498,1237,27655,0.000869394398288303,0.7320743701877864,2.2407209058933213,0.038506130875550465,True,A. thaliana,OMalley2016,NAC083,NAC/NAM,.
