,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M02557_2.00,56,500,1645,27655,2.2356273802570292e-06,0.9129514903762008,5.158724221137869,0.0014345200801587665,True,A. thaliana,Zoo_01,WRKY22,WRKY,.
1,M00964_2.00,103,500,3804,27655,5.776877055747734e-06,0.5826674332638552,3.052190821546691,0.0014345200801587665,True,A. lyrata,LehtiShiu2015,DDF1,AP2,DREB
2,M00962_2.00,102,500,3765,27655,6.287815003826778e-06,0.5834596293534053,3.034865404633874,0.0014345200801587665,True,A. thaliana,LehtiShiu2015,DREB1F,AP2,DREB
3,M06714_2.00,127,500,4884,27655,3.026122586588427e-06,0.5243056387259631,2.893702319864511,0.0014345200801587665,True,A. thaliana,OMalley2016,ARF2,B3,ARF
4,M07416_2.00,116,500,4423,27655,5.914512042846542e-06,0.5366399051701193,2.8055969347677974,0.0014345200801587665,True,A. thaliana,OMalley2016,WRKY18,WRKY,.
5,M07425_2.00,125,500,4831,27655,4.6276268009783165e-06,0.5171465841712106,2.7587917186422213,0.0014345200801587665,True,A. thaliana,OMalley2016,WRKY50,WRKY,.
6,M02311_2.00,102,500,3712,27655,3.532648177955112e-06,0.603912783785124,3.2924718718952755,0.0014345200801587665,True,A. thaliana,Zoo_01,MYB24,Myb/SANT,R2R3-MYB
7,M00840_2.00,124,500,4839,27655,7.908044232923127e-06,0.5031715234512769,2.56714634861091,0.0015786433299972793,True,A. thaliana,Franco_Zorrilla2014,DREB1F,AP2,DREB
8,M01092_2.00,116,500,4482,27655,1.04871524361259e-05,0.5175224985583794,2.5769217299917626,0.0016747982440493063,True,A. thaliana,TF_Evolution,ERF019,AP2,.
9,M02560_2.00,125,500,4915,27655,1.0181511805468638e-05,0.4922770203753446,2.457539301291125,0.0016747982440493063,True,A. thaliana,Zoo_01,WRKY18,WRKY,.
10,M02566_2.00,96,500,3546,27655,1.2183743597247274e-05,0.5824541167636682,2.8623072323501493,0.0017688580477094452,True,A. thaliana,Zoo_01,WRKY27,WRKY,.
11,M02554_2.00,111,500,4272,27655,1.4029707511963362e-05,0.5231883716037528,2.5390077315158526,0.0018671202413837909,True,A. thaliana,Zoo_01,WRKY33,WRKY,.
