,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06989_2.00,426,500,20664,27655,3.2447949476134585e-09,0.1893461290490384,1.6073238330923456,2.5682552010360527e-06,True,A. thaliana,OMalley2016,AGL13,MADS box,.
1,M10909_2.00,324,500,14402,27655,1.8793392361042756e-09,0.31533688821114814,2.7516280528069395,2.5682552010360527e-06,True,A. thaliana,Transfac,AGL3,MADS box,.
2,M02697_2.00,394,500,18928,27655,5.5578549151884895e-08,0.20328589805778854,1.4748580542091883,2.9326947769144596e-05,True,Antirrhinum majus,JASPAR,squamosa,MADS box,.
3,M06699_2.00,410,500,20088,27655,2.310348072530493e-07,0.17490222317514648,1.1607075738623687,9.143202497039427e-05,True,A. thaliana,OMalley2016,HMGB9,HMGBox,.
4,M07336_2.00,420,500,20760,27655,3.229768285143495e-07,0.16219513136207983,1.052780802997819,0.00010225446390764305,True,A. thaliana,OMalley2016,MIP1B,Unknown,.
5,M07337_2.00,387,500,18771,27655,5.476032156802581e-07,0.18944030366511633,1.186186904307631,0.00010835698630273107,True,A. thaliana,OMalley2016,ZHD9,Homeodomain,HD-ZF
6,M08424_2.00,422,500,20939,27655,5.050096726654248e-07,0.15666270208667563,0.9864580837879607,0.00010835698630273107,True,A. thaliana,JASPAR,SVP,MADS box,.
7,M06986_2.00,422,500,20947,27655,5.412677646490061e-07,0.1561116081427586,0.978287104749846,0.00010835698630273107,True,A. thaliana,OMalley2016,AGL6,MADS box,.
8,M06993_2.00,380,500,18364,27655,6.241083446514809e-07,0.19473132855978226,1.2082572656396475,0.00010977372328703269,True,A. thaliana,OMalley2016,AGL15,MADS box,.
9,M06866_2.00,413,500,20433,27655,8.704577273290603e-07,0.16085299080077403,0.9748097098739302,0.00013779345823619024,True,A. thaliana,OMalley2016,DOF5.4,Dof,.
10,M06709_2.00,400,500,19638,27655,9.729581199829498e-07,0.1719642389500057,1.0338328146681939,0.0001400175185393645,True,A. thaliana,OMalley2016,AT4G33280,AP2,B3
11,M06982_2.00,326,500,15291,27655,1.2391358088258713e-06,0.2378014525457451,1.4046649038117196,0.00014023300909610334,True,A. thaliana,OMalley2016,AGL63,MADS box,.
12,M06992_2.00,378,500,18341,27655,1.3288029920666773e-06,0.18892618097263764,1.1102321466787126,0.00014023300909610334,True,A. thaliana,OMalley2016,AGL15,MADS box,.
13,M06849_2.00,403,500,19850,27655,1.2063720076114485e-06,0.16725307855148533,0.9898904811730924,0.00014023300909610334,True,A. thaliana,OMalley2016,CDF3,Dof,.
14,M08144_2.00,404,500,19919,27655,1.2773685189466186e-06,0.16582231900533959,0.9773043137638103,0.00014023300909610334,True,A. thaliana,JASPAR,AP1,MADS box,.
15,M01902_2.00,390,500,19086,27655,1.558306673464809e-06,0.17657159343014164,1.0254125256559434,0.00015417496650592456,True,A. thaliana,Zoo_01,CSP4,CSD,.
16,M01674_2.00,436,500,21983,27655,1.7086347606561623e-06,0.13355209916705157,0.7702418009709541,0.00015910404859521794,True,Brachypodium distachyon,Zoo_01,BRADI5G22430,AT hook,.
17,M07350_2.00,334,500,15827,27655,2.1802176651530783e-06,0.22307253060611962,1.2629251645548232,0.00019173803132985128,True,A. thaliana,OMalley2016,FRS9,FAR1,.
18,1.WRKY33.1MEME,417,500,20818,27655,2.591248407682879e-06,0.14782815627584112,0.8258406574519931,0.00021589190680852617,True,.,.,1.WRKY33.1MEME,.,.
19,M06900_2.00,370,500,17980,27655,3.157322405483313e-06,0.1867444970557028,1.027221919597226,0.00023957552157232793,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
20,M01672_2.00,385,500,18879,27655,3.2105912418788226e-06,0.17368834423025656,0.9541421526269708,0.00023957552157232793,True,A. thaliana,Zoo_01,AHL13,AT hook,.
21,M08425_2.00,427,500,21482,27655,3.329539781801146e-06,0.136720000795016,0.7488996354001163,0.00023957552157232793,True,A. thaliana,JASPAR,SOC1,MADS box,.
22,M06834_2.00,398,500,19690,27655,3.7892130152170615e-06,0.16091756669593332,0.8724066996059774,0.0002607967044821134,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
23,M06811_2.00,394,500,19468,27655,4.459942096667161e-06,0.16270319711907472,0.8705712425867238,0.00029417034745933817,True,A. thaliana,OMalley2016,SAP11,C2H2 ZF,.
24,M01322_2.00,400,500,19855,27655,5.21733745643954e-06,0.1561098863040947,0.8246584472893458,0.0003282855594575366,True,C. sativa,TF_Evolution,PK27683.1,TCR/CxC,.
25,M06830_2.00,437,500,22187,27655,5.567467548169815e-06,0.12353091919154018,0.6490737347720817,0.0003282855594575366,True,A. thaliana,OMalley2016,DOF1.5,Dof,.
26,M07331_2.00,308,500,14483,27655,5.599311500539158e-06,0.23418212571848826,1.229892996612617,0.0003282855594575366,True,A. thaliana,OMalley2016,WLIN2A,Homeodomain,HD-ZF
27,M08145_2.00,420,500,21112,27655,5.966899326959535e-06,0.13793831928105468,0.720624442372104,0.0003373429155206051,True,A. thaliana,JASPAR,AGL27,MADS box,.
28,M07118_2.00,380,500,18676,27655,6.494827970760911e-06,0.1704261720299593,0.8840742376735924,0.0003545280233694663,True,A. thaliana,OMalley2016,RVE4,Myb/SANT,MYB-related
29,M06867_2.00,356,500,17284,27655,7.790361536922446e-06,0.1880523523178646,0.9606546075593481,0.00038971307410200294,True,A. thaliana,OMalley2016,DOF5.6,Dof,.
30,M06988_2.00,347,500,16760,27655,7.787860726408956e-06,0.19552576093274757,0.9988593483766183,0.00038971307410200294,True,A. thaliana,OMalley2016,AGL16,MADS box,.
31,AYATATA-ATH1-DREME3,328,500,15668,27655,7.877964858663356e-06,0.21148702860853805,1.0793422300947548,0.00038971307410200294,True,.,.,AYATATA-ATH1-DREME3,.,.
32,M01108_2.00,388,500,19201,27655,8.938280037648228e-06,0.16048745022244695,0.8102603792539617,0.0004161558029293278,True,C. sativa,TF_Evolution,PK26376.1,AT hook,.
33,M01107_2.00,388,500,19201,27655,8.938280037648228e-06,0.16048745022244695,0.8102603792539617,0.0004161558029293278,True,C. sativa,TF_Evolution,PK00377.1,AT hook,.
34,M02683_2.00,301,500,14195,27655,1.1298614572638778e-05,0.2299928850891488,1.137769008119348,0.000511020196242491,True,A. thaliana,JASPAR,HAT5,Homeodomain,HD-ZIP
35,M01952_2.00,245,500,11134,27655,1.2782121540153588e-05,0.2834220080779376,1.3868964202836045,0.0005136766662621223,True,P. patens,Zoo_01,e_gw1.170.52.1,Dof,.
36,M10908_2.00,274,500,12717,27655,1.297982732184769e-05,0.25302976812547556,1.236488433371605,0.0005136766662621223,True,A. thaliana,Transfac,AGL3,MADS box,.
37,M06914_2.00,371,500,18236,27655,1.2554587400708314e-05,0.17024211969723876,0.8343902609125755,0.0005136766662621223,True,A. thaliana,OMalley2016,HAT5,Homeodomain,HD-ZIP
38,M06912_2.00,366,500,17939,27655,1.2387770820936453e-05,0.1743564254437742,0.8555681718800029,0.0005136766662621223,True,A. thaliana,OMalley2016,ATHB-20,Homeodomain,HD-ZIP
39,M02693_2.00,274,500,12717,27655,1.297982732184769e-05,0.25302976812547556,1.236488433371605,0.0005136766662621223,True,A. thaliana,JASPAR,AGL3,MADS box,.
40,M07299_2.00,374,500,18433,27655,1.4311030330120152e-05,0.16635962629436465,0.8059007783662491,0.0005454179630455741,True,A. thaliana,OMalley2016,TSO1,TCR/CxC,.
41,M06695_2.00,383,500,18972,27655,1.4637070981275527e-05,0.15908486578663064,0.7691030730870186,0.0005454179630455741,True,A. thaliana,OMalley2016,ARID3,ARID/BRIGHT,.
42,M06864_2.00,396,500,19756,27655,1.4815522685381989e-05,0.1488218036423659,0.7187026096614418,0.0005454179630455741,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
43,M07112_2.00,308,500,14656,27655,1.74942334457952e-05,0.21705118953915783,1.0325353169146863,0.0005967539495218912,True,A. thaliana,OMalley2016,HHO5,Myb/SANT,G2-like
44,M06836_2.00,423,500,21443,27655,1.7717899954219135e-05,0.12576314919612513,0.5975746397415926,0.0005967539495218912,True,A. thaliana,OMalley2016,DOF1.8,Dof,.
45,M06851_2.00,351,500,17114,27655,1.747093481124536e-05,0.18190628200001446,0.8654525813131091,0.0005967539495218912,True,A. thaliana,OMalley2016,DOF3.4,Dof,.
46,M06805_2.00,422,500,21373,27655,1.676979619729921e-05,0.12706582142574363,0.6067992997362525,0.0005967539495218912,True,A. thaliana,OMalley2016,SGR5,C2H2 ZF,.
47,M08146_2.00,397,500,19853,27655,1.9084535719670863e-05,0.14539422408857736,0.6861616371279317,0.0006247694099063635,True,A. thaliana,JASPAR,AP3,MADS box,.
48,M06715_2.00,222,500,9963,27655,1.933904048351978e-05,0.3015197950674419,1.421233176193837,0.0006247694099063635,True,A. thaliana,OMalley2016,BPC1,BBR,.
49,M07057_2.00,386,500,19196,27655,1.980085608260154e-05,0.15340737649308728,0.7215233734056095,0.0006268951035751649,True,A. thaliana,OMalley2016,AT2G40260,Myb/SANT,G2-like
50,M06916_2.00,315,500,15080,27655,2.100819540630461e-05,0.20832764717245283,0.9744757464488748,0.0006452748713430846,True,A. thaliana,OMalley2016,WOX11,Homeodomain,HD-WOX
51,M02050_2.00,319,500,15308,27655,2.119664770046772e-05,0.2048828650375744,0.957567770239808,0.0006452748713430846,True,A. thaliana,Zoo_01,ATHB-16,Homeodomain,HD-ZIP
52,M06713_2.00,361,500,17755,27655,2.5402344842075785e-05,0.16938572392003742,0.778348776643089,0.0007587153185850182,True,A. thaliana,OMalley2016,AT5G60130,B3,REM
53,M06694_2.00,399,500,20026,27655,2.7225489257650904e-05,0.14012670808274624,0.6396818284549999,0.0007866051803169195,True,A. thaliana,OMalley2016,ARID6,ARID/BRIGHT,.
54,M01251_2.00,292,500,13834,27655,2.7826841502051483e-05,0.22336225473681875,1.0175348116270098,0.0007866051803169195,True,C. sativa,TF_Evolution,PK20392.1,Homeodomain,HD-ZIP
55,M06835_2.00,413,500,20884,27655,2.7777361960011157e-05,0.12935596501271793,0.5893857478447939,0.0007866051803169195,True,A. thaliana,OMalley2016,DOF1.8,Dof,.
56,M06901_2.00,354,500,17373,27655,2.9998350186606793e-05,0.17251470481328768,0.7802672120157348,0.0008331120762350624,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
57,M06703_2.00,199,500,8818,27655,3.114025474071847e-05,0.3198572958691017,1.441493786947626,0.0008453968909664085,True,A. thaliana,OMalley2016,REM19,B3,REM
58,M06924_2.00,375,500,18612,27655,3.150879126154018e-05,0.15626975056719677,0.7034589486648924,0.0008453968909664085,True,A. thaliana,OMalley2016,HB-5,Homeodomain,HD-ZIP
59,M00890_2.00,375,500,18622,27655,3.359857664949772e-05,0.15549481632667647,0.6956339131339713,0.0008752555902388279,True,A. thaliana,Franco_Zorrilla2014,YAB1,YABBY,.
