,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06933_2.00,93,499,2090,27655,2.355503075195881e-16,1.3022283004058133,20.35111491405711,1.6589753155705288e-13,True,A. thaliana,OMalley2016,ATHB-5,Homeodomain,HD-ZIP
1,ATNATTG-HB5-DREME,115,499,2929,27655,3.122287294047419e-16,1.1216542893310355,17.391841022985876,1.6589753155705288e-13,True,.,.,ATNATTG-HB5-DREME,.,.
2,M06929_2.00,96,499,2191,27655,1.8790087352045126e-16,1.2799454479969608,20.128513248507367,1.6589753155705288e-13,True,A. thaliana,OMalley2016,HAT2,Homeodomain,HD-ZIP
3,M06900_2.00,103,499,2499,27655,7.014088384918591e-16,1.1917220573625418,18.059390338171173,2.7951142213900587e-13,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
4,M06932_2.00,96,499,2254,27655,1.1087474644822049e-15,1.239047416814962,18.530161485836285,3.534686916769269e-13,True,A. thaliana,OMalley2016,ATHB-5,Homeodomain,HD-ZIP
5,M06913_2.00,84,499,1874,27655,5.5729238969517704e-15,1.3127689013856003,18.712098812932155,1.2707429392235015e-12,True,A. thaliana,OMalley2016,ATHB-20,Homeodomain,HD-ZIP
6,ATVATTGHAT22-DREME2,93,499,2202,27655,5.580426960203582e-15,1.2269167738096893,17.4876528150113,1.2707429392235015e-12,True,.,.,ATVATTGHAT22-DREME2,.,.
7,M06935_2.00,80,499,1746,27655,8.461308472041875e-15,1.3444469675239492,18.919813940346334,1.587742607337791e-12,True,A. thaliana,OMalley2016,ATHB-53,Homeodomain,HD-ZIP
8,M06910_2.00,81,499,1784,27655,9.182139247139302e-15,1.3313068192303468,18.68762854172318,1.587742607337791e-12,True,A. thaliana,OMalley2016,ATHB-6,Homeodomain,HD-ZIP
9,ATBATTG-HB7-DREME,98,499,2412,27655,9.960744086184385e-15,1.1710523684811505,16.396733571184754,1.587742607337791e-12,True,.,.,ATBATTG-HB7-DREME,.,.
