,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M01700_2.00,220,500,7136,27655,2.7492383059235476e-19,0.7699282505455551,14.290474736064796,4.3877843362539823e-16,True,A. thaliana,Zoo_01,BPE,bHLH,.
1,M01128_2.00,205,500,6511,27655,1.1092708105290162e-18,0.8002851132713499,14.36908913001686,8.85198106802155e-16,True,C. sativa,TF_Evolution,PK20225.1,bHLH,.
2,M01118_2.00,198,500,6350,27655,1.9997640946171628e-17,0.7862841804739197,13.13017622534662,1.0638744983363307e-14,True,C. sativa,TF_Evolution,PK01630.1,bHLH,.
3,M01708_2.00,186,500,5882,27655,8.708438873366867e-17,0.8065361791621679,12.953019181288338,3.47466711047338e-14,True,A. thaliana,Zoo_01,BEE2,bHLH,.
4,1-MYC2-1MEME,210,500,7015,27655,1.0938011261330108e-16,0.7274865661000617,11.611457919305897,3.491413194616571e-14,True,.,.,1-MYC2-1MEME,.,.
5,M01703_2.00,182,500,5727,27655,1.4064212406258322e-16,0.8136991890148029,12.898665629740545,3.741080500064714e-14,True,A. thaliana,Zoo_01,PIF1,bHLH,.
6,M01712_2.00,193,500,6271,27655,2.736589590834958e-16,0.7674456699639517,11.943596050776668,6.239424267103705e-14,True,A. thaliana,Zoo_01,MYC3,bHLH,.
7,M00854_2.00,193,500,6312,27655,5.422704764570188e-16,0.7580439841958224,11.572135755391736,1.0048795111093223e-13,True,A. thaliana,Franco_Zorrilla2014,PIF3,bHLH,.
8,M01768_2.00,195,500,6408,27655,5.666613784451065e-16,0.7511403182821011,11.452393353522554,1.0048795111093223e-13,True,C. sativa,Zoo_01,PK18474.1,bHLH,.
9,M00722_2.00,224,500,7839,27655,1.0849817238074462e-15,0.6603694489576278,9.882149848614825,1.7316308311966843e-13,True,A. thaliana,Chang2013,PIF3,bHLH,.
10,1-MYC3-1MEME,194,500,6429,27655,1.7092492295101013e-15,0.7390026437306244,10.912995855203762,2.479965245725565e-13,True,.,.,1-MYC3-1MEME,.,.
11,M01772_2.00,200,500,6729,27655,2.2454802988312725e-15,0.7171482209084966,10.505282510685198,2.756758889949778e-13,True,A. thaliana,Zoo_01,ABF1,bZIP,.
12,M01699_2.00,181,500,5842,27655,2.233075208502379e-15,0.7770676811952271,11.38489370072835,2.756758889949778e-13,True,A. thaliana,Zoo_01,MYC2,bHLH,.
13,M01707_2.00,180,500,5817,27655,3.1669329437099078e-15,0.7752619444429265,11.240802904556206,3.610303555829295e-13,True,A. thaliana,Zoo_01,MYC4,bHLH,.
14,M01158_2.00,193,500,6447,27655,4.82062075082068e-15,0.7275132060603412,10.41573166211824,4.93331901416392e-13,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
15,M01702_2.00,160,500,4940,27655,4.9456832222194686e-15,0.8411012053565229,12.032603506193887,4.93331901416392e-13,True,A. thaliana,Zoo_01,AT2G18300,bHLH,.
