,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06932_2.00,57,500,1354,27655,1.910144737578955e-09,1.2193464275309454,10.631400687834079,2.637909882596537e-06,True,A. thaliana,OMalley2016,ATHB-5,Homeodomain,HD-ZIP
1,M06911_2.00,49,500,1186,27655,4.645579224709514e-08,1.1922899865104053,8.743014933477083,3.207772454661919e-05,True,A. thaliana,OMalley2016,ATHB-7,Homeodomain,HD-ZIP
2,M06933_2.00,33,500,701,27655,4.5354511480511407e-07,1.3805919222890308,8.757618506741592,0.00016489455561980313,True,A. thaliana,OMalley2016,ATHB-5,Homeodomain,HD-ZIP
3,M06796_2.00,96,500,3271,27655,4.776091401008056e-07,0.6989148935795785,4.417790280560811,0.00016489455561980313,True,A. thaliana,OMalley2016,MGP,C2H2 ZF,.
4,M07334_2.00,169,500,6837,27655,1.0243170320564639e-06,0.45120016323693163,2.7024929790985923,0.0002829163642539953,True,A. thaliana,OMalley2016,AtIDD11,C2H2 ZF,.
5,M06795_2.00,115,500,4300,27655,2.744365093359196e-06,0.564837543408753,3.141376822224414,0.0005518677796696497,True,A. thaliana,OMalley2016,MGP,C2H2 ZF,.
6,M06924_2.00,71,500,2294,27655,2.7973022865224824e-06,0.7755658804300576,4.3069194462425,0.0005518677796696497,True,A. thaliana,OMalley2016,HB-5,Homeodomain,HD-ZIP
7,M07034_2.00,36,500,3633,27655,7.210224796129728e-06,-0.8675522120319723,-4.4609978885107795,0.0009052109494050141,True,A. thaliana,OMalley2016,AT1G72740,Myb/SANT,MYB-related
8,M07033_2.00,30,500,3230,27655,5.907005403260255e-06,-0.9609594170315682,-5.024503765807363,0.0009052109494050141,True,A. thaliana,OMalley2016,AT1G72740,Myb/SANT,MYB-related
9,M02043_2.00,28,500,612,27655,5.341585887800706e-06,1.3394355163061529,7.061945766578741,0.0009052109494050141,True,A. thaliana,Zoo_01,ATHB-7,Homeodomain,HD-ZIP
10,M06823_2.00,82,500,2849,27655,6.777206982415001e-06,0.6707805352354331,3.467230544779072,0.0009052109494050141,True,A. thaliana,OMalley2016,NUC,C2H2 ZF,.
11,M06902_2.00,34,500,847,27655,8.763930507137506e-06,1.1507131188593414,5.819502692793661,0.0010085823358630746,True,A. thaliana,OMalley2016,ATHB-X,Homeodomain,HD-ZIP
12,M07335_2.00,88,500,3160,27655,1.0448284251021098e-05,0.6231912125140324,3.1040873988281676,0.0011099292731277027,True,A. thaliana,OMalley2016,AtIDD11,C2H2 ZF,.
13,M06908_2.00,69,500,2309,27655,1.150109562650431e-05,0.7249404359452545,3.5806698671383104,0.0011345009328716036,True,A. thaliana,OMalley2016,ATHB-21,Homeodomain,HD-ZIP
14,M06914_2.00,57,500,1800,27655,1.3825154352670536e-05,0.808577259888905,3.9291437454013076,0.001203431017105556,True,A. thaliana,OMalley2016,HAT5,Homeodomain,HD-ZIP
15,M06925_2.00,54,500,1673,27655,1.3942719966465528e-05,0.8361342090663163,4.059977158543267,0.001203431017105556,True,A. thaliana,OMalley2016,HB-5,Homeodomain,HD-ZIP
16,M06822_2.00,91,500,3331,27655,1.4853275307138603e-05,0.5955234384655457,2.8752930266231265,0.0012066101881857889,True,A. thaliana,OMalley2016,NUC,C2H2 ZF,.
17,M06803_2.00,94,500,3483,27655,1.6820056014824003e-05,0.5779425310321151,2.7591973741997613,0.0012904720753595526,True,A. thaliana,OMalley2016,IDD7,C2H2 ZF,.
18,M06900_2.00,56,500,1795,27655,2.407443151431982e-05,0.787055230288391,3.634970474015123,0.0016623394960637837,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
19,M06910_2.00,41,500,1168,27655,2.4011754311814638e-05,0.957195882679267,4.421839231251642,0.0016623394960637837,True,A. thaliana,OMalley2016,ATHB-6,Homeodomain,HD-ZIP
20,M06922_2.00,48,500,1465,27655,2.8044371210895848e-05,0.8577459883527466,3.9045920831481284,0.0017604216655566895,True,A. thaliana,OMalley2016,HAT1,Homeodomain,HD-ZIP
21,M06816_2.00,91,500,3389,27655,2.7270640184814694e-05,0.5706191556559024,2.604479675109531,0.0017604216655566895,True,A. thaliana,OMalley2016,IDD2,C2H2 ZF,.
22,M01056_2.00,33,500,870,27655,3.3931179067906835e-05,1.0689909655635637,4.777749342731584,0.001972793349580342,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
23,M01773_2.00,31,500,794,27655,3.428460564078799e-05,1.1106695501851178,4.959029409415381,0.001972793349580342,True,A. thaliana,Zoo_01,ABF1,bZIP,.
24,M01826_2.00,30,500,766,27655,4.271764895369598e-05,1.1151584506247618,4.872565146150099,0.002359722928202166,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
25,M06825_2.00,96,500,3715,27655,6.427765532261132e-05,0.5152844422363981,2.160041451145709,0.0028311272453318114,True,A. thaliana,OMalley2016,IDD1,C2H2 ZF,.
26,M06815_2.00,111,500,4450,27655,6.892309137019509e-05,0.46429468255018397,1.932225118036522,0.0028311272453318114,True,A. thaliana,OMalley2016,IDD2,C2H2 ZF,.
