,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06929_2.00,145,500,3613,27655,1.4347940559523757e-21,1.1503959875236913,23.97794564714409,2.2971052835797534e-18,True,A. thaliana,OMalley2016,HAT2,Homeodomain,HD-ZIP
1,M06933_2.00,136,500,3433,27655,1.2775675092464742e-19,1.1316771362342835,21.381473408224032,1.0226927911518027e-16,True,A. thaliana,OMalley2016,ATHB-5,Homeodomain,HD-ZIP
2,M06902_2.00,124,500,3031,27655,6.916381508878566e-19,1.1780866105437466,21.394195465430485,3.6910422652381944e-16,True,A. thaliana,OMalley2016,ATHB-X,Homeodomain,HD-ZIP
3,M06932_2.00,139,500,3699,27655,4.3427829948570925e-18,1.0554899245407126,18.32566080782187,1.7381988936915514e-15,True,A. thaliana,OMalley2016,ATHB-5,Homeodomain,HD-ZIP
4,M06913_2.00,123,500,3107,27655,1.3120043149941695e-17,1.1306764161585996,19.088152453765417,3.500864847176109e-15,True,A. thaliana,OMalley2016,ATHB-20,Homeodomain,HD-ZIP
5,M06911_2.00,109,500,2567,27655,1.1628262682039347e-17,1.2317851811427085,20.859647877875528,3.500864847176109e-15,True,A. thaliana,OMalley2016,ATHB-7,Homeodomain,HD-ZIP
6,M10630_2.00,131,500,3478,27655,4.66451669251742e-17,1.0588492211720637,17.292271357776336,1.0668416035314843e-14,True,A. thaliana,Transfac,ATHB-5,Homeodomain,HD-ZIP
7,M06910_2.00,118,500,3004,27655,1.2923171544017417e-16,1.11944238878877,17.78640691892408,2.586249705246486e-14,True,A. thaliana,OMalley2016,ATHB-6,Homeodomain,HD-ZIP
8,AATVATTG-HB6-DREME,87,500,1886,27655,3.587224543968465e-16,1.3512979721148322,20.871123433467105,5.743146494893512e-14,True,.,.,AATVATTG-HB6-DREME,.,.
9,ATBATTG-HB7-DREME,140,500,3940,27655,3.50108326171766e-16,0.9747715395424286,15.065871583246206,5.743146494893512e-14,True,.,.,ATBATTG-HB7-DREME,.,.
10,M06900_2.00,143,500,4079,27655,4.574325866981392e-16,0.9553399819270669,14.65460283128931,6.657723375488372e-14,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
11,M02683_2.00,98,500,2330,27655,1.324463712485289e-15,1.2180640415147663,18.122308009087018,1.7670553364074565e-13,True,A. thaliana,JASPAR,HAT5,Homeodomain,HD-ZIP
12,M02050_2.00,137,500,3941,27655,4.686151909548757e-15,0.9431544857638936,13.514633824684203,5.771176313221199e-13,True,A. thaliana,Zoo_01,ATHB-16,Homeodomain,HD-ZIP
13,ATNATTG-HB5-DREME,155,500,4721,27655,5.099527838645905e-15,0.8607160746114451,12.301758703333135,5.831674335480068e-13,True,.,.,ATNATTG-HB5-DREME,.,.
14,M06934_2.00,107,500,2739,27655,6.9900673534277474e-15,1.1115018726369694,15.733885476007686,7.460731888558548e-13,True,A. thaliana,OMalley2016,ATHB-53,Homeodomain,HD-ZIP
15,M06912_2.00,108,500,2784,27655,8.044422281750094e-15,1.1014124432559405,15.523863342442919,8.049450045676189e-13,True,A. thaliana,OMalley2016,ATHB-20,Homeodomain,HD-ZIP
16,M06915_2.00,105,500,2688,27655,1.332801303821596e-14,1.111396531828563,15.420887602840313,1.2551852278931618e-12,True,A. thaliana,OMalley2016,HAT5,Homeodomain,HD-ZIP
17,ATVATTGHAT22-DREME2,128,500,3643,27655,2.3258606764947923e-14,0.9585571571984184,13.068408775167939,1.9737209579999654e-12,True,.,.,ATVATTGHAT22-DREME2,.,.
18,M06925_2.00,118,500,3231,27655,2.3423296815739753e-14,1.0143464510376778,13.825899155541922,1.9737209579999654e-12,True,A. thaliana,OMalley2016,HB-5,Homeodomain,HD-ZIP
19,M06901_2.00,115,500,3115,27655,2.6453856341406915e-14,1.0299420399742114,13.98404938662383,2.01679161917107e-12,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
20,M01250_2.00,131,500,3774,27655,2.580751354748706e-14,0.9410127308782055,12.786719850087419,2.01679161917107e-12,True,C. sativa,TF_Evolution,PK20392.1,Homeodomain,HD-ZIP
21,M06903_2.00,94,500,2311,27655,4.112445810864438e-14,1.1697557441512068,15.658233195302204,2.992738974179075e-12,True,A. thaliana,OMalley2016,ATHB-X,Homeodomain,HD-ZIP
22,M06909_2.00,146,500,4461,27655,5.783806683615944e-14,0.8561415630476429,11.33341899528022,4.026032391508316e-12,True,A. thaliana,OMalley2016,ATHB-6,Homeodomain,HD-ZIP
23,M06922_2.00,88,500,2113,27655,8.360151711237316e-14,1.203823003643557,15.743339432565396,5.57691787070456e-12,True,A. thaliana,OMalley2016,HAT1,Homeodomain,HD-ZIP
24,M02043_2.00,116,500,3237,27655,1.4832098320542614e-13,0.9870077818595996,12.662122869938408,9.49847576447549e-12,True,A. thaliana,Zoo_01,ATHB-7,Homeodomain,HD-ZIP
25,M06935_2.00,108,500,2936,27655,2.4818857600533556e-13,1.0247196862614563,12.91681525220859,1.5282688853251622e-11,True,A. thaliana,OMalley2016,ATHB-53,Homeodomain,HD-ZIP
26,M00722_2.00,216,500,7839,27655,2.954738231411305e-13,0.6079020290634921,7.616696915991715,1.6894771101748214e-11,True,A. thaliana,Chang2013,PIF3,bHLH,.
