,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,AATVATTG-HB6-DREME,367,500,14060,27655,1.400276504365289e-25,0.5297957158245158,13.167429449865464,2.216637706410253e-22,True,.,.,AATVATTG-HB6-DREME,.,.
1,M06933_2.00,385,500,15399,27655,6.651155083555934e-24,0.46763402659173847,10.838401965874638,3.832685832267512e-21,True,A. thaliana,OMalley2016,ATHB-5,Homeodomain,HD-ZIP
2,M06932_2.00,405,500,16685,27655,7.263460200127944e-24,0.4249824686435058,9.833608330961006,3.832685832267512e-21,True,A. thaliana,OMalley2016,ATHB-5,Homeodomain,HD-ZIP
3,M02220_2.00,293,500,10270,27655,4.731298900855853e-23,0.6580767301578907,14.691575908577938,1.872411540013704e-20,True,P. patens,Zoo_01,estExt_gwp_gw1.C_70211,Homeodomain,HD-ZIP
4,M06910_2.00,390,500,15857,27655,6.361753267255046e-23,0.44396651904738943,9.854468733851334,2.0141310844129476e-20,True,A. thaliana,OMalley2016,ATHB-6,Homeodomain,HD-ZIP
5,M06903_2.00,363,500,14213,27655,7.792320640476313e-23,0.4983706927197848,11.018145324436391,2.0558739289790004e-20,True,A. thaliana,OMalley2016,ATHB-X,Homeodomain,HD-ZIP
6,M06912_2.00,421,500,17939,27655,1.2246371834054198e-22,0.3763330102261277,8.24620611952003,2.769429516186828e-20,True,A. thaliana,OMalley2016,ATHB-20,Homeodomain,HD-ZIP
7,M06909_2.00,381,500,15415,27655,4.116764210316968e-22,0.45106835543998497,9.646297058464619,8.1460471811647e-20,True,A. thaliana,OMalley2016,ATHB-6,Homeodomain,HD-ZIP
8,M02684_2.00,305,500,11060,27655,5.895277834377598e-22,0.6090701042693798,12.930251173307239,1.0369138679799708e-19,True,A. thaliana,JASPAR,ATHB-5,Homeodomain,HD-ZIP
9,M06902_2.00,388,500,15912,27655,1.0207306076269693e-21,0.43155371829458433,9.05878244956893,1.6158165518734923e-19,True,A. thaliana,OMalley2016,ATHB-X,Homeodomain,HD-ZIP
10,M06900_2.00,419,500,17980,27655,1.886749775513631e-21,0.3661694702387422,7.588600713285494,2.71520444967098e-19,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
