,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06932_2.00,136,499,3086,27655,7.17525328119946e-24,1.2882972109456314,29.816560338591454,1.1509106263043935e-20,True,A. thaliana,OMalley2016,ATHB-5,Homeodomain,HD-ZIP
1,M06933_2.00,127,499,2852,27655,1.4656236683070614e-22,1.3032831365943047,28.45585471990517,1.1754301819822633e-19,True,A. thaliana,OMalley2016,ATHB-5,Homeodomain,HD-ZIP
2,ATNATTG-HB5-DREME,155,499,3953,27655,2.5923993908521875e-22,1.1197488817206507,24.171233145945358,1.3860695409756364e-19,True,.,.,ATNATTG-HB5-DREME,.,.
3,ATVATTGHAT22-DREME2,129,499,3013,27655,1.8803654066569997e-21,1.2465990140948178,25.83670917401018,6.032212224555655e-19,True,.,.,ATVATTGHAT22-DREME2,.,.
4,M06934_2.00,109,499,2281,27655,1.638011834411545e-21,1.405090309730816,29.205761715042033,6.032212224555655e-19,True,A. thaliana,OMalley2016,ATHB-53,Homeodomain,HD-ZIP
5,M06901_2.00,117,499,2581,27655,2.661058791280037e-21,1.3290070097554618,27.34424683522737,7.113897168688632e-19,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
6,M06924_2.00,91,499,1701,27655,4.3750476711255924e-21,1.5679839308013381,31.92261183294529,1.0025109234979216e-18,True,A. thaliana,OMalley2016,HB-5,Homeodomain,HD-ZIP
7,M06935_2.00,113,499,2459,27655,5.329756149355105e-21,1.3486796590851327,27.342177434107672,1.0686161079456986e-18,True,A. thaliana,OMalley2016,ATHB-53,Homeodomain,HD-ZIP
8,M06900_2.00,138,499,3416,27655,9.009020314646463e-21,1.162788913423706,23.308478692002495,1.6056076205214362e-18,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
9,M06909_2.00,144,499,3705,27655,3.3221525670431045e-20,1.1070238905151433,21.5632538858108,5.3287327175371394e-18,True,A. thaliana,OMalley2016,ATHB-6,Homeodomain,HD-ZIP
10,M06910_2.00,111,499,2481,27655,9.803413986682077e-20,1.310066562723702,24.9025609466664,1.4295160031489138e-17,True,A. thaliana,OMalley2016,ATHB-6,Homeodomain,HD-ZIP
11,M06925_2.00,117,499,2707,27655,1.1469497745765826e-19,1.260242263634468,23.86956263913866,1.5330895320173654e-17,True,A. thaliana,OMalley2016,HB-5,Homeodomain,HD-ZIP
12,M06915_2.00,104,499,2238,27655,1.2673161075858407e-19,1.364802113430725,25.7908225514507,1.563673105052068e-17,True,A. thaliana,OMalley2016,HAT5,Homeodomain,HD-ZIP
13,ATBATTG-HB7-DREME,131,499,3281,27655,3.295915565918627e-19,1.1458598392850574,21.177808961496577,3.524432378488985e-17,True,.,.,ATBATTG-HB7-DREME,.,.
14,M06911_2.00,100,499,2126,27655,3.2265540609878665e-19,1.3822870245096472,25.560230221601415,3.524432378488985e-17,True,A. thaliana,OMalley2016,ATHB-7,Homeodomain,HD-ZIP
15,M06912_2.00,103,499,2324,27655,5.361582247678968e-18,1.2964628900447168,22.390830745943333,5.181778874399599e-16,True,A. thaliana,OMalley2016,ATHB-20,Homeodomain,HD-ZIP
16,M01250_2.00,124,499,3118,27655,5.49191027835369e-18,1.1401478139551173,19.67926659552224,5.181778874399599e-16,True,C. sativa,TF_Evolution,PK20392.1,Homeodomain,HD-ZIP
17,M06929_2.00,121,499,3004,27655,5.891330766602955e-18,1.1585508560263496,19.961584006790357,5.249830305350633e-16,True,A. thaliana,OMalley2016,HAT2,Homeodomain,HD-ZIP
18,M01251_2.00,122,499,3048,27655,6.72283561762036e-18,1.1494468663355912,19.738815975038296,5.67548859508582e-16,True,C. sativa,TF_Evolution,PK20392.1,Homeodomain,HD-ZIP
19,1.PIF4.MEME,170,499,5067,27655,1.1431139861144472e-17,0.8948315388811868,15.160155809922871,9.167774168637866e-16,True,.,.,1.PIF4.MEME,.,.
20,M06914_2.00,110,499,2644,27655,2.927072704610455e-17,1.2052099682829949,19.926419145177164,2.2357260086643667e-15,True,A. thaliana,OMalley2016,HAT5,Homeodomain,HD-ZIP
21,M06913_2.00,108,499,2571,27655,3.121653818965035e-17,1.2191303235958397,20.122496073582006,2.2523781939183317e-15,True,A. thaliana,OMalley2016,ATHB-20,Homeodomain,HD-ZIP
22,M02050_2.00,127,499,3309,27655,3.229719355369179e-17,1.0888618267256538,17.956240955132156,2.2523781939183317e-15,True,A. thaliana,Zoo_01,ATHB-16,Homeodomain,HD-ZIP
23,M06902_2.00,106,499,2514,27655,5.100588999906769e-17,1.2245082364087185,19.950153096675674,3.408893648271024e-15,True,A. thaliana,OMalley2016,ATHB-X,Homeodomain,HD-ZIP
24,M10630_2.00,116,499,2897,27655,5.363635244330571e-17,1.1499937421231958,18.711020059728785,3.4413083727624945e-15,True,A. thaliana,Transfac,ATHB-5,Homeodomain,HD-ZIP
25,1-MYC2-1MEME,187,499,5929,27655,7.07269235442571e-17,0.8056780947638608,13.012035774005389,4.36330712942263e-15,True,.,.,1-MYC2-1MEME,.,.
26,1.PIF1.MEME1,181,499,5680,27655,1.0933025778803663e-16,0.8205273889571878,13.096650686930632,6.263061910428956e-15,True,.,.,1.PIF1.MEME1,.,.
27,AATVATTG-HB6-DREME,78,499,1545,27655,1.0723450146493315e-16,1.4843678123365385,23.70485738693518,6.263061910428956e-15,True,.,.,AATVATTG-HB6-DREME,.,.
28,1.HSF1b-NS,254,499,9212,27655,1.225290029488883e-16,0.6117427072453471,9.733903812626723,6.7771214044833384e-15,True,.,.,1.HSF1b-NS,.,.
29,M00722_2.00,200,499,6623,27655,3.2327831164861744e-16,0.7429437631475456,11.50851347635559,1.7284613729479413e-14,True,A. thaliana,Chang2013,PIF3,bHLH,.
30,M02043_2.00,109,499,2710,27655,4.409593428710501e-16,1.1564639048017196,17.75819881495491,2.281608986984401e-14,True,A. thaliana,Zoo_01,ATHB-7,Homeodomain,HD-ZIP
31,M07198_2.00,223,499,7762,27655,5.458550220025311e-16,0.6710438984008836,10.242091142702353,2.7360982977876872e-14,True,A. thaliana,OMalley2016,NAC047,NAC/NAM,.
32,M06903_2.00,86,499,1918,27655,2.4666004616377867e-15,1.3132344659499942,19.183599319942548,1.1989173152930333e-13,True,A. thaliana,OMalley2016,ATHB-X,Homeodomain,HD-ZIP
33,M06930_2.00,116,499,3060,27655,2.7194708459029584e-15,1.071021773813585,15.599984346580941,1.2462946390938128e-13,True,A. thaliana,OMalley2016,HAT2,Homeodomain,HD-ZIP
