,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06946_2.00,322,500,11857,27655,7.275960462279178e-23,0.5869339030770832,12.993607115107716,1.151784541178794e-19,True,A. thaliana,OMalley2016,HSFB2B,HSF,.
1,M06942_2.00,298,500,10840,27655,7.010753882085049e-21,0.6045598211621281,12.184440875848745,5.549011697670317e-18,True,A. thaliana,OMalley2016,HSFA6B,HSF,.
2,M06941_2.00,292,500,10639,27655,4.4662145771236463e-20,0.6022180634440337,11.65295591082375,2.3566725585289107e-17,True,A. thaliana,OMalley2016,HSFA6B,HSF,.
3,M07247_2.00,297,500,10940,27655,7.61638457921763e-20,0.5864624400620473,11.212136210320145,2.4113473577803016e-17,True,A. thaliana,OMalley2016,AT2G01818,PLATZ,.
4,M07308_2.00,312,500,11745,27655,6.817245674730246e-20,0.5551115629038897,10.639485293737268,2.4113473577803016e-17,True,A. thaliana,OMalley2016,AT1G23810,Unknown,.
5,M06945_2.00,310,500,11714,27655,2.2021966948142325e-19,0.5496466631059206,10.254836884156193,5.609757198054342e-17,True,A. thaliana,OMalley2016,HSFB2B,HSF,.
6,M07252_2.00,293,500,10804,27655,2.480625419228073e-19,0.5849473668544813,10.88320244128791,5.609757198054342e-17,True,A. thaliana,OMalley2016,S1FA3,S1FA,.
7,M06939_2.00,293,500,10858,27655,5.589357193700584e-19,0.5777545228341643,10.54554423641473,1.105994054703503e-16,True,A. thaliana,OMalley2016,HSFA1E,HSF,.
8,M06948_2.00,269,500,9863,27655,2.8986888084889255e-17,0.5931199811305841,9.808898678651786,5.098471537597743e-15,True,A. thaliana,OMalley2016,HSFA1B,HSF,.
9,M06951_2.00,303,500,11790,27655,1.4761720529484527e-16,0.5073663225470265,8.032046753731708,2.3367803598174005e-14,True,A. thaliana,OMalley2016,HSFA6A,HSF,.
10,M06936_2.00,315,500,12470,27655,1.887294539056004e-16,0.48250261061144695,7.586948402498891,2.7159884139324132e-14,True,A. thaliana,OMalley2016,HSFB4,HSF,.
11,M06950_2.00,295,500,11392,27655,2.4336041433745525e-16,0.5183061502240063,8.092702686166838,3.210329465801597e-14,True,A. thaliana,OMalley2016,HSFA6A,HSF,.
12,M06944_2.00,308,500,12439,27655,1.8687849867625558e-14,0.4536720895498196,6.228210362089127,2.275605103111635e-12,True,A. thaliana,OMalley2016,HSFC1,HSF,.
13,1.FDP-MEME,190,500,6489,27655,8.121305678278117e-14,0.6955435945890134,9.104925885775877,9.182876349081613e-12,True,.,.,1.FDP-MEME,.,.
14,M07303_2.00,295,500,11883,27655,1.3033442214458178e-13,0.45742809456462835,5.893933950385629,1.375462601699153e-11,True,A. thaliana,OMalley2016,AT1G10720,Unknown,.
