,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M07308_2.00,68,500,994,27655,2.5290419619287283e-21,1.9198292366292538,39.5428071917049,3.1639758365573713e-18,True,A. thaliana,OMalley2016,AT1G23810,Unknown,.
1,M06951_2.00,69,500,1030,27655,3.945107028126398e-21,1.889564271648789,38.5545583115684,3.1639758365573713e-18,True,A. thaliana,OMalley2016,HSFA6A,HSF,.
2,M06945_2.00,88,500,1688,27655,1.2939745610081349e-19,1.5278008668713126,28.857216230446483,6.918450652856828e-17,True,A. thaliana,OMalley2016,HSFB2B,HSF,.
3,M06946_2.00,88,500,1713,27655,3.2730833940103145e-19,1.5065906194944987,27.84939227820468,1.312506440998136e-16,True,A. thaliana,OMalley2016,HSFB2B,HSF,.
4,M06939_2.00,87,500,1693,27655,5.289590772730204e-19,1.507045674894287,27.543637714794762,1.6969007198918494e-16,True,A. thaliana,OMalley2016,HSFA1E,HSF,.
5,M06936_2.00,75,500,1321,27655,8.627289205056873e-19,1.6508723761902537,29.821566024462687,2.3063619808185373e-16,True,A. thaliana,OMalley2016,HSFB4,HSF,.
6,M06941_2.00,78,500,1433,27655,1.7912067436123937e-18,1.5900477615413031,28.218345929270715,3.5913695209428495e-16,True,A. thaliana,OMalley2016,HSFA6B,HSF,.
7,M06947_2.00,85,500,1658,27655,1.6535716512082222e-18,1.5036310815831517,26.73693182947451,3.5913695209428495e-16,True,A. thaliana,OMalley2016,HSFA4A,HSF,.
8,M06944_2.00,53,500,751,27655,2.292636914007531e-17,1.964719793990128,32.69227863926345,4.0859884556311994e-15,True,A. thaliana,OMalley2016,HSFC1,HSF,.
9,M07247_2.00,84,500,1727,27655,6.037133270242493e-17,1.4277334921910367,23.156651135111215,9.369039873761743e-15,True,A. thaliana,OMalley2016,AT2G01818,PLATZ,.
10,M07252_2.00,74,500,1397,27655,6.425152033128377e-17,1.550805497160687,25.11082342079479,9.369039873761743e-15,True,A. thaliana,OMalley2016,S1FA3,S1FA,.
11,M06950_2.00,68,500,1217,27655,9.591483697159392e-17,1.6278178254778115,26.074571836771145,1.282061654186972e-14,True,A. thaliana,OMalley2016,HSFA6A,HSF,.
12,M06940_2.00,83,500,1765,27655,6.480653142202812e-16,1.3790554001295827,20.945619143774522,7.99612895391793e-14,True,A. thaliana,OMalley2016,HSFA1E,HSF,.
13,M06943_2.00,80,500,1688,27655,1.5319718332691928e-15,1.3902973431213779,20.59690647893467,1.7552020146884182e-13,True,A. thaliana,OMalley2016,HSFC1,HSF,.
14,M06942_2.00,99,500,2396,27655,2.8261899870734517e-15,1.1924128642320244,17.348174665333094,3.0221391595105443e-13,True,A. thaliana,OMalley2016,HSFA6B,HSF,.
15,M07324_2.00,106,500,2668,27655,3.1996384050035916e-15,1.1358459403198145,16.46397229700169,3.2076375010161006e-13,True,A. thaliana,OMalley2016,AGL95,MADS box,.
16,M06938_2.00,100,500,2461,27655,5.697440545079762e-15,1.1682956842577656,16.64157781268329,5.375702726063493e-13,True,A. thaliana,OMalley2016,HSFB3,HSF,.
17,M07303_2.00,56,500,956,27655,8.545826518466593e-15,1.695956551018056,23.859133842366898,7.615280964233564e-13,True,A. thaliana,OMalley2016,AT1G10720,Unknown,.
18,M06948_2.00,100,500,2531,27655,3.245969275477113e-14,1.1278328346052413,15.212948675036332,2.740281430455416e-12,True,A. thaliana,OMalley2016,HSFA1B,HSF,.
19,M06952_2.00,108,500,2881,27655,7.455274686478106e-14,1.0520019939447987,13.81019441632737,5.979130298555441e-12,True,A. thaliana,OMalley2016,HSFB2A,HSF,.
20,M06937_2.00,90,500,2297,27655,1.238854248213391e-12,1.1157863918929516,13.285646013282491,9.462486733972758e-11,True,A. thaliana,OMalley2016,HSFB3,HSF,.
21,1.HSF1b-HS,112,500,3344,27655,2.921225539058534e-11,0.8894642269179218,9.370003004270467,2.1298389839317675e-09,True,.,.,1.HSF1b-HS,.,.
22,1.FD-MEME,143,500,4905,27655,5.322650992173643e-10,0.6893023526129888,6.392501794127236,3.711970518020227e-08,True,.,.,1.FD-MEME,.,.
23,M01782_2.00,120,500,3898,27655,8.807086802383526e-10,0.767840657291829,6.952925936502119,5.88606967959299e-08,True,A. thaliana,Zoo_01,ABF3,bZIP,.
24,M06772_2.00,146,500,5151,27655,2.20238890658485e-09,0.6486561710979274,5.61548522370904,1.4130527224648398e-07,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
25,M06949_2.00,155,500,5649,27655,5.434813367556088e-09,0.6018130568800536,4.973873799402178,3.228681719096284e-07,True,A. thaliana,OMalley2016,HSFA1B,HSF,.
26,M06770_2.00,158,500,5831,27655,8.559529526716932e-09,0.5837215776951518,4.7092030757750765,4.903387628876414e-07,True,A. thaliana,OMalley2016,GBF3,bZIP,.
27,M06781_2.00,144,500,5191,27655,1.1801196070360452e-08,0.6175966659916844,4.89635205408593,6.309706165619388e-07,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
28,M01056_2.00,159,500,5906,27655,1.1683526348522481e-08,0.5743857510916016,4.556272499124263,6.309706165619388e-07,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
29,1.FDP-MEME,153,500,5624,27655,1.2550291082357106e-08,0.589475400561317,4.657649217017155,6.493763514871226e-07,True,.,.,1.FDP-MEME,.,.
30,M07356_2.00,103,500,3348,27655,1.8151827409681448e-08,0.7668851515740749,5.936519038007941,9.098603489102826e-07,True,A. thaliana,OMalley2016,BMY2,BES1,.
31,M01133_2.00,173,500,6640,27655,2.0758165262740372e-08,0.527129138343638,4.049833560834416,9.248915855954321e-07,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
32,M01771_2.00,169,500,6443,27655,2.0632079739101896e-08,0.5368309938019538,4.125791515052539,9.248915855954321e-07,True,A. thaliana,Zoo_01,ABF2,bZIP,.
33,M01162_2.00,162,500,6100,27655,2.0284012109833385e-08,0.5547249124882143,4.267413401155716,9.248915855954321e-07,True,C. sativa,TF_Evolution,PK24978.1,bZIP,.
34,GBF2-MEME,158,500,5902,27655,1.9338205852635852e-08,0.5662609796862962,4.367901531412748,9.248915855954321e-07,True,.,.,GBF2-MEME,.,.
35,M08407_2.00,96,500,3053,27655,2.1578868770252096e-08,0.7984190634555768,6.120657646654316,9.354731218239016e-07,True,A. thaliana,JASPAR,HY5,bZIP,.
36,M06764_2.00,123,500,4264,27655,2.245555144720564e-08,0.6739912195212646,5.155140650566901,9.478606452978382e-07,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
37,2.HSF6A-MEME,98,500,3151,27655,2.542519888356355e-08,0.7825842420388691,5.943520435261668,1.0195504752308984e-06,True,.,.,2.HSF6A-MEME,.,.
38,M06755_2.00,112,500,3772,27655,2.5120793177253583e-08,0.7157093983237082,5.43936755983608,1.0195504752308984e-06,True,A. thaliana,OMalley2016,ABF2,bZIP,.
39,M06778_2.00,117,500,4016,27655,3.177867162639796e-08,0.6882896025738333,5.160702012082282,1.2136426021129125e-06,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
40,M07357_2.00,100,500,3253,27655,3.140229683289996e-08,0.7657695196747933,5.745598253730199,1.2136426021129125e-06,True,A. thaliana,OMalley2016,BMY2,BES1,.
41,1.ABF4-MEME,157,500,5904,27655,3.394165951888494e-08,0.5566121797724314,4.157484945773261,1.2661028341463126e-06,True,.,.,1.ABF4-MEME,.,.
42,M06771_2.00,121,500,4208,27655,3.5723172752771796e-08,0.6694126849234925,4.9851497193381995,1.3022720248964992e-06,True,A. thaliana,OMalley2016,GBF3,bZIP,.
