,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06950_2.00,40,500,337,27655,3.7338405380214154e-21,2.7147917506467047,55.45734300861329,1.6674763880311732e-18,True,A. thaliana,OMalley2016,HSFA6A,HSF,.
1,M06945_2.00,47,500,473,27655,2.1374372139790436e-21,2.458360915279443,50.81458226262579,1.6674763880311732e-18,True,A. thaliana,OMalley2016,HSFB2B,HSF,.
2,M06944_2.00,32,500,200,27655,4.1843824040932826e-21,3.145612247166476,64.10244594873754,1.6674763880311732e-18,True,A. thaliana,OMalley2016,HSFC1,HSF,.
3,M06941_2.00,43,500,394,27655,3.14482554999375e-21,2.593681372186922,53.1767018893801,1.6674763880311732e-18,True,A. thaliana,OMalley2016,HSFA6B,HSF,.
4,M06946_2.00,46,500,476,27655,1.7875324889588003e-20,2.4182126296902697,47.754248920578696,5.006950040354786e-18,True,A. thaliana,OMalley2016,HSFB2B,HSF,.
5,M06936_2.00,41,500,372,27655,1.8846737918524917e-20,2.6078616304512527,51.439454706349444,5.006950040354786e-18,True,A. thaliana,OMalley2016,HSFB4,HSF,.
6,M06939_2.00,46,500,481,27655,2.722153640141332e-20,2.4031373092281716,47.01759140892468,6.198732717693262e-18,True,A. thaliana,OMalley2016,HSFA1E,HSF,.
7,M07303_2.00,34,500,256,27655,1.0510415343316973e-19,2.87693127819154,54.59949538090583,1.8615113396941394e-17,True,A. thaliana,OMalley2016,AT1G10720,Unknown,.
8,M06951_2.00,36,500,292,27655,1.0509782786651319e-19,2.7695688795034954,52.5620033596054,1.8615113396941394e-17,True,A. thaliana,OMalley2016,HSFA6A,HSF,.
9,M07308_2.00,34,500,270,27655,5.721273788629994e-19,2.800115681140709,51.0811306666813,9.11971041907621e-17,True,A. thaliana,OMalley2016,AT1G23810,Unknown,.
10,M06948_2.00,54,500,734,27655,1.8442251979330326e-18,2.0247196862614563,35.906755612101115,2.67244996864114e-16,True,A. thaliana,OMalley2016,HSFA1B,HSF,.
11,M07252_2.00,39,500,386,27655,3.410671032826238e-18,2.4824136185353685,43.36071627641431,4.182007404865403e-16,True,A. thaliana,OMalley2016,S1FA3,S1FA,.
12,M06940_2.00,44,500,496,27655,3.24793950530424e-18,2.2947037451916223,40.13067877658537,4.182007404865403e-16,True,A. thaliana,OMalley2016,HSFA1E,HSF,.
13,M06943_2.00,43,500,475,27655,3.760842848034063e-18,2.3239494884249883,40.49415707745349,4.2819882141187835e-16,True,A. thaliana,OMalley2016,HSFC1,HSF,.
14,M07324_2.00,53,500,760,27655,3.792634128154299e-17,1.9475332831734518,31.98055904727876,4.030305866851969e-15,True,A. thaliana,OMalley2016,AGL95,MADS box,.
15,M06947_2.00,40,500,457,27655,1.8196831109149227e-16,2.275346176770493,35.813958460122244,1.812859299248992e-14,True,A. thaliana,OMalley2016,HSFA4A,HSF,.
