,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06951_2.00,103,500,1835,27655,1.8897190396160728e-25,1.6344046163938437,40.40837048684416,2.647496374502118e-22,True,A. thaliana,OMalley2016,HSFA6A,HSF,.
1,1.HSF1b-HS,117,500,2499,27655,2.3311483547270724e-22,1.3726979704379014,29.694792876086723,1.0886462816575427e-19,True,.,.,1.HSF1b-HS,.,.
2,M06945_2.00,105,500,2078,27655,1.9681249515091185e-22,1.4827340157031113,32.18414645328354,1.0886462816575427e-19,True,A. thaliana,OMalley2016,HSFB2B,HSF,.
3,M07308_2.00,102,500,2006,27655,5.661059925781417e-22,1.4917878883005153,31.69616979477812,1.9827862390049413e-19,True,A. thaliana,OMalley2016,AT1G23810,Unknown,.
4,M06946_2.00,100,500,2024,27655,1.2083959202888154e-20,1.450331052021615,28.887390411863528,3.3589090151041866e-18,True,A. thaliana,OMalley2016,HSFB2B,HSF,.
5,M07303_2.00,100,500,2029,27655,1.4385049315221356e-20,1.4467714769592663,28.706967894754325,3.3589090151041866e-18,True,A. thaliana,OMalley2016,AT1G10720,Unknown,.
6,M07247_2.00,96,500,1925,27655,4.4079373391410463e-20,1.4637882071927308,28.332739944832642,8.822171731623723e-18,True,A. thaliana,OMalley2016,AT2G01818,PLATZ,.
7,M06944_2.00,102,500,2146,27655,7.296668756191721e-20,1.394459418156174,26.68559609208191,1.2778291159280752e-17,True,A. thaliana,OMalley2016,HSFC1,HSF,.
8,M07324_2.00,105,500,2274,27655,1.499486664419484e-19,1.3526974157150753,25.463253787775724,2.3342009076129966e-17,True,A. thaliana,OMalley2016,AGL95,MADS box,.
9,M06942_2.00,96,500,1971,27655,2.1736027014057e-19,1.4297188766188709,26.68258580880526,3.045217384669385e-17,True,A. thaliana,OMalley2016,HSFA6B,HSF,.
10,M07252_2.00,93,500,1891,27655,4.698517113692228e-19,1.4436936000994705,26.460072876570244,5.984202251166192e-17,True,A. thaliana,OMalley2016,S1FA3,S1FA,.
11,M06940_2.00,104,500,2279,27655,5.346144539570029e-19,1.3357229458169955,24.406275307036047,6.241623749948009e-17,True,A. thaliana,OMalley2016,HSFA1E,HSF,.
12,M06950_2.00,92,500,1893,27655,1.615364252710148e-18,1.4265716972945082,25.381177796400422,1.7408656292668595e-16,True,A. thaliana,OMalley2016,HSFA6A,HSF,.
13,M06936_2.00,101,500,2296,27655,2.3029959607483253e-17,1.2827729930173077,21.342400979245365,2.3046409578631455e-15,True,A. thaliana,OMalley2016,HSFB4,HSF,.
14,M06941_2.00,86,500,1774,27655,2.95613284639221e-17,1.4229428973422344,23.520215957783435,2.7610280785303247e-15,True,A. thaliana,OMalley2016,HSFA6B,HSF,.
15,M06939_2.00,85,500,1815,27655,3.4778143151094764e-16,1.3731055401957895,21.22641783904245,3.045261159667735e-14,True,A. thaliana,OMalley2016,HSFA1E,HSF,.
16,2.HSF6A-MEME,100,500,2371,27655,5.345489068876779e-16,1.2220446792339175,18.66308168307344,4.405311873821392e-14,True,.,.,2.HSF6A-MEME,.,.
17,M06948_2.00,80,500,1766,27655,1.7320052291685393e-14,1.325126904180097,18.235668697115234,1.3480774033695131e-12,True,A. thaliana,OMalley2016,HSFA1B,HSF,.
18,M06937_2.00,74,500,1884,27655,1.4161482015619678e-10,1.1193385529573672,11.024243730204594,1.044222963362272e-08,True,A. thaliana,OMalley2016,HSFB3,HSF,.
19,M06947_2.00,75,500,1992,27655,6.743114233304144e-10,1.0582851953690002,9.705681139516415,4.723551520429553e-08,True,A. thaliana,OMalley2016,HSFA4A,HSF,.
20,M06952_2.00,73,500,1969,27655,2.2078022147721306e-09,1.036045599919664,8.96805198411999,1.472919477569407e-07,True,A. thaliana,OMalley2016,HSFB2A,HSF,.
21,M01133_2.00,69,500,1869,27655,7.382878942030568e-09,1.0299420399742114,8.375256162434491,4.7015515444476484e-07,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
22,M01057_2.00,61,500,1649,27655,5.2862524936765906e-08,1.0328300910666197,7.515751813997898,3.220017279843871e-06,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
23,M01162_2.00,55,500,1431,27655,7.305900671715784e-08,1.0880201937391925,7.764467054519413,4.264819517114088e-06,True,C. sativa,TF_Evolution,PK24978.1,bZIP,.
24,M01776_2.00,68,500,1973,27655,1.2113893206783636e-07,0.9307560374679815,6.437775417790135,6.527524762578413e-06,True,A. thaliana,Zoo_01,ABI5,bZIP,.
25,M08407_2.00,57,500,1532,27655,1.2077999209296226e-07,1.041157869180985,7.2027353480728555,6.527524762578413e-06,True,A. thaliana,JASPAR,HY5,bZIP,.
26,1.FDP-MEME,67,500,1947,27655,1.5874379108647536e-07,0.9285204586786782,6.313292174405235,8.237038937487111e-06,True,.,.,1.FDP-MEME,.,.
27,1.FD-MEME,69,500,2079,27655,3.731864977182013e-07,0.8763188508609997,5.633042489172377,1.8672652975114287e-05,True,.,.,1.FD-MEME,.,.
28,M08114_2.00,29,500,574,27655,5.544995914600511e-07,1.4825425053930852,9.274932343707569,2.6788066470190742e-05,True,A. thaliana,JASPAR,FHY3,FAR1,.
29,M01161_2.00,64,500,1949,27655,1.3870032082040318e-06,0.8609500616833105,5.043378767312127,6.477304982312829e-05,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
30,M06805_2.00,233,500,10291,27655,3.1405279115929226e-06,0.3245590230266249,1.786047441177081,0.00014193160013360273,True,A. thaliana,OMalley2016,SGR5,C2H2 ZF,.
31,1.ABF4-MEME,63,500,1968,27655,3.6562442275167357e-06,0.8242338551018772,4.481330459001768,0.00016007494258596708,True,.,.,1.ABF4-MEME,.,.
32,M06755_2.00,67,500,2149,27655,4.210373729270356e-06,0.7861078599711895,4.225863791899963,0.0001787495028699324,True,A. thaliana,OMalley2016,ABF2,bZIP,.
33,M08404_2.00,48,500,1392,27655,8.232539741775481e-06,0.9314874418136283,4.736116380182778,0.0003392290640655132,True,A. thaliana,JASPAR,PIF1,bHLH,.
34,M06943_2.00,49,500,1451,27655,1.1255602732091128e-05,0.9013464769896643,4.460431337502955,0.0004505456979331335,True,A. thaliana,OMalley2016,HSFC1,HSF,.
35,M01783_2.00,42,500,1179,27655,1.4000687355110996e-05,0.9784378567401982,4.7491912194659704,0.0005407808832277572,True,A. thaliana,Zoo_01,GBF1,bZIP,.
36,1.PIF1.MEME1,45,500,1301,27655,1.4281864867542482e-05,0.9359162865530797,4.534715705653906,0.0005407808832277572,True,.,.,1.PIF1.MEME1,.,.
37,M01771_2.00,53,500,1644,27655,1.7122766244845836e-05,0.8343943078227168,3.9770787832562062,0.0006312893555007635,True,A. thaliana,Zoo_01,ABF2,bZIP,.
38,M01770_2.00,47,500,1401,27655,1.9476289275282105e-05,0.8918160481880197,4.2008939511374175,0.0006996482378120571,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
39,M08046_2.00,46,500,1379,27655,2.6878676664413018e-05,0.8836236514842329,4.038683295866887,0.0008965958573057771,True,A. thaliana,JASPAR,PIF4,bHLH,.
40,2.ABF1-MEME,46,500,1379,27655,2.6878676664413018e-05,0.8836236514842329,4.038683295866887,0.0008965958573057771,True,.,.,2.ABF1-MEME,.,.
41,1.ABF3-MEME,46,500,1379,27655,2.6878676664413018e-05,0.8836236514842329,4.038683295866887,0.0008965958573057771,True,.,.,1.ABF3-MEME,.,.
42,M01056_2.00,55,500,1762,27655,2.78262472005176e-05,0.7878299415454464,3.5889950354953633,0.0009066179611145385,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
43,M01773_2.00,52,500,1640,27655,3.0658342629948255e-05,0.8104280555768465,3.657827582495704,0.0009761895005581251,True,A. thaliana,Zoo_01,ABF1,bZIP,.
44,M00889_2.00,62,500,2078,27655,3.211299946873025e-05,0.722684808423864,3.247253473122678,0.0009997847167931351,True,A. thaliana,Franco_Zorrilla2014,YAB5,YABBY,.
45,M00854_2.00,40,500,1156,27655,4.002966190713928e-05,0.9364708493278839,4.118241136483061,0.0012191642680848289,True,A. thaliana,Franco_Zorrilla2014,PIF3,bHLH,.
46,M06901_2.00,93,500,3556,27655,5.557315829710998e-05,0.5325876392194621,2.266232262122609,0.0016565530803032144,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
47,M07215_2.00,323,500,15708,27655,6.0555316574890284e-05,0.18564690896872826,0.7830303919222817,0.00176745830252961,True,A. thaliana,OMalley2016,NAC68,NAC/NAM,.
48,M06726_2.00,43,500,1306,27655,6.236294998710323e-05,0.8647940100968676,3.63652224452653,0.0017830712843251353,True,A. thaliana,OMalley2016,BPE,bHLH,.
49,M06915_2.00,110,500,4399,27655,6.773339459961272e-05,0.4678682645557364,1.9506350390347567,0.0018978897166811483,True,A. thaliana,OMalley2016,HAT5,Homeodomain,HD-ZIP
50,M01846_2.00,50,500,1611,27655,6.978206941134553e-05,0.7795838480093564,3.2401501670517443,0.0019169544950057862,True,O. tauri,Zoo_01,1500010105,bZIP,.
51,M06854_2.00,294,500,14141,27655,8.831343490279946e-05,0.20154425633620557,0.8170550184886535,0.0022534970521820813,True,A. thaliana,OMalley2016,OBP3,Dof,.
52,M06764_2.00,56,500,1890,27655,8.691261092028402e-05,0.7126528398903698,2.8940241775251216,0.0022534970521820813,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
53,M06777_2.00,60,500,2068,27655,8.656808112714874e-05,0.6823385622347843,2.7720974437439008,0.0022534970521820813,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
54,M07097_2.00,59,500,2025,27655,8.846705058530654e-05,0.6884052936436921,2.790257038298851,0.0022534970521820813,True,A. thaliana,OMalley2016,MYB27,Myb/SANT,R2R3-MYB
55,M01158_2.00,50,500,1643,27655,0.00010840271768677231,0.751207861765851,2.9785089957133217,0.002712003704985143,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
56,M06938_2.00,62,500,2181,27655,0.00011327046243639697,0.6528906926873252,2.5762304982635955,0.002784068734620915,True,A. thaliana,OMalley2016,HSFB3,HSF,.
57,M07354_2.00,240,500,11265,27655,0.00014909232565470023,0.2367993394269287,0.9061232597930922,0.0036013508317626728,True,A. thaliana,OMalley2016,ZHD10,Homeodomain,HD-ZF
58,M08144_2.00,240,500,11275,27655,0.0001575687355159404,0.2355192195196132,0.8955688860641231,0.0037415898043700424,True,A. thaliana,JASPAR,AP1,MADS box,.
59,M06778_2.00,59,500,2084,27655,0.0001770226853075812,0.6469719240245335,2.4274199456658927,0.004133479701932021,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
