,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06942_2.00,79,499,1470,27655,1.940995989039367e-18,1.5745370247194033,27.888160988475324,1.5508557952424541e-15,True,A. thaliana,OMalley2016,HSFA6B,HSF,.
1,M07247_2.00,65,499,1029,27655,1.0875452365996093e-18,1.8076972624005132,32.47266498356403,1.5508557952424541e-15,True,A. thaliana,OMalley2016,AT2G01818,PLATZ,.
2,M06945_2.00,62,499,989,27655,1.0518871865321727e-17,1.7967263158937916,30.50487479361758,5.603052413594706e-15,True,A. thaliana,OMalley2016,HSFB2B,HSF,.
3,M06939_2.00,61,499,1013,27655,1.2778080851051475e-16,1.738675595027775,27.633700324852313,5.104843299995064e-14,True,A. thaliana,OMalley2016,HSFA1E,HSF,.
4,M06946_2.00,61,499,1022,27655,1.9194947895067642e-16,1.725914572891292,27.12587670387845,6.134705347263618e-14,True,A. thaliana,OMalley2016,HSFB2B,HSF,.
5,M07252_2.00,54,499,826,27655,2.68094636629251e-16,1.85724624701005,28.920503437906035,7.140253822225718e-14,True,A. thaliana,OMalley2016,S1FA3,S1FA,.
6,1.HSF1b-HS,91,499,2033,27655,3.6683588800871353e-16,1.3107568566199905,20.23222440188652,8.374339271970346e-14,True,.,.,1.HSF1b-HS,.,.
7,M07308_2.00,44,499,574,27655,6.542979031915616e-16,2.0868814082276366,31.687675747865068,1.3069600616251442e-13,True,A. thaliana,OMalley2016,AT1G23810,Unknown,.
8,M07324_2.00,78,499,1621,27655,1.4474154756134608e-15,1.4150905596107337,20.999104456282225,2.569966588922567e-13,True,A. thaliana,OMalley2016,AGL95,MADS box,.
9,M06941_2.00,53,499,839,27655,2.0941414003497556e-15,1.8077501703894028,26.53595389974646,3.3464379577589093e-13,True,A. thaliana,OMalley2016,HSFA6B,HSF,.
10,M06943_2.00,59,499,1023,27655,2.8114699546150007e-15,1.6764093358825396,24.393543817020728,4.084299079522519e-13,True,A. thaliana,OMalley2016,HSFC1,HSF,.
11,M06951_2.00,43,499,600,27655,1.4690755012911285e-14,1.989802780472244,27.52485407936996,1.9563188758860195e-12,True,A. thaliana,OMalley2016,HSFA6A,HSF,.
12,M06952_2.00,79,499,1746,27655,2.4644071521732577e-14,1.3262996208136897,18.04866660352603,2.5160571582412506e-12,True,A. thaliana,OMalley2016,HSFB2A,HSF,.
13,M06950_2.00,47,499,719,27655,2.5192061659486864e-14,1.8570976075043666,25.254180628130214,2.5160571582412506e-12,True,A. thaliana,OMalley2016,HSFA6A,HSF,.
14,M06936_2.00,49,499,774,27655,2.3214469848609823e-14,1.810876804236825,24.6899311866228,2.5160571582412506e-12,True,A. thaliana,OMalley2016,HSFB4,HSF,.
15,M06948_2.00,73,499,1535,27655,2.343045552334807e-14,1.3981583348885025,19.05720467588699,2.5160571582412506e-12,True,A. thaliana,OMalley2016,HSFA1B,HSF,.
16,M06947_2.00,56,499,987,27655,2.9402451412410606e-14,1.6528053638672335,22.36512826527334,2.763830432766597e-12,True,A. thaliana,OMalley2016,HSFA4A,HSF,.
17,M06940_2.00,58,499,1054,27655,3.609617444017639e-14,1.6086785597563844,21.62472399363013,3.204538153077882e-12,True,A. thaliana,OMalley2016,HSFA1E,HSF,.
18,M06937_2.00,68,499,1407,27655,9.417429789700613e-14,1.4214129442798338,18.51542111240156,7.920554107337674e-12,True,A. thaliana,OMalley2016,HSFB3,HSF,.
19,M07303_2.00,38,499,553,27655,1.831978274213064e-12,1.9291485594749056,22.642570359082733,1.463750641096238e-10,True,A. thaliana,OMalley2016,AT1G10720,Unknown,.
20,M06938_2.00,67,499,1473,27655,2.2126782427754542e-12,1.3339041916879502,15.546762380161685,1.6837427771215124e-10,True,A. thaliana,OMalley2016,HSFB3,HSF,.
21,M01059_2.00,150,499,4935,27655,6.6061977309545915e-12,0.752341037418148,8.41120923535943,4.798501806393381e-10,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
22,M01058_2.00,135,499,4294,27655,1.1124657916901129e-11,0.8010658374580846,8.774645545730731,7.729218848351306e-10,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
23,M00722_2.00,152,499,5074,27655,1.3604871479967055e-11,0.7313764256456735,7.9473597178714845,9.058576927078064e-10,True,A. thaliana,Chang2013,PIF3,bHLH,.
24,M01779_2.00,144,499,4714,27655,1.4512947025614551e-11,0.759545674458172,8.232141645125257,9.27667573877282e-10,True,A. thaliana,Zoo_01,GBF3,bZIP,.
25,M06944_2.00,32,499,435,27655,1.848078347065685e-11,2.0274851255299366,21.761564780403805,1.1290004256092295e-09,True,A. thaliana,OMalley2016,HSFC1,HSF,.
26,M01133_2.00,134,499,4283,27655,1.9075726840706633e-11,0.7940399448327571,8.511726200098197,1.1290004256092295e-09,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
27,1.ABF4-MEME,122,499,3784,27655,3.0654521657505834e-11,0.8373976804895182,8.803985082959096,1.7494973431676544e-09,True,.,.,1.ABF4-MEME,.,.
28,M01156_2.00,132,499,4230,27655,3.385605993613816e-11,0.7903088876171683,8.274821397918538,1.865585647515475e-09,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
29,2.HSF6A-MEME,77,499,1956,27655,4.7250785647889414e-11,1.1254526020086946,11.620963219958691,2.5168918488442427e-09,True,.,.,2.HSF6A-MEME,.,.
30,M01781_2.00,136,499,4453,27655,6.720652449184742e-11,0.759257661073463,7.723615799450366,3.4643879399345863e-09,True,A. thaliana,Zoo_01,GBF2,bZIP,.
31,M01770_2.00,143,499,4780,27655,7.766506362415377e-11,0.7294331501763055,7.374404513497759,3.878399114731179e-09,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
32,1.PIF1.MEME1,132,499,4290,27655,8.664553045398099e-11,0.7699889032375724,7.747823794612875,4.195744171680655e-09,True,.,.,1.PIF1.MEME1,.,.
33,M01776_2.00,129,499,4167,27655,1.0272121565370906e-10,0.7787905869867322,7.778825054484348,4.827897135724326e-09,True,A. thaliana,Zoo_01,ABI5,bZIP,.
34,M07160_2.00,161,499,5646,27655,1.1981402078137905e-10,0.660260180930951,6.5507663389413695,5.318411255795659e-09,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
35,M01783_2.00,141,499,4743,27655,1.7135737717341903e-10,0.7203239155852936,7.034753370660691,7.400786181706043e-09,True,A. thaliana,Zoo_01,GBF1,bZIP,.
36,M02287_2.00,82,499,2210,27655,1.7794588979424064e-10,1.0400780666053169,10.140461647384486,7.483092944505172e-09,True,A. thaliana,Zoo_01,AT1G19000,Myb/SANT,MYB-related
37,M07198_2.00,168,499,6025,27655,2.217760547153335e-10,0.6279286130401008,6.062076421907594,8.92708807439738e-09,True,A. thaliana,OMalley2016,NAC047,NAC/NAM,.
38,M01846_2.00,122,499,3906,27655,2.2345652251307585e-10,0.7916178199421214,7.639750769617327,8.92708807439738e-09,True,O. tauri,Zoo_01,1500010105,bZIP,.
39,M01158_2.00,127,499,4140,27655,2.677719076518085e-10,0.7656263506515052,7.328755340991466,1.0188083533990238e-08,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
40,1.ABF3-MEME,124,499,4006,27655,2.6670240840959344e-10,0.7786063208401947,7.45435594199432,1.0188083533990238e-08,True,.,.,1.ABF3-MEME,.,.
41,M01773_2.00,134,499,4487,27655,4.262125782926633e-10,0.726910438047454,6.811422478288,1.5839248839806416e-08,True,A. thaliana,Zoo_01,ABF1,bZIP,.
42,M01771_2.00,126,499,4132,27655,4.664102948921741e-10,0.7570121009008837,7.06385544351507,1.693917389176578e-08,True,A. thaliana,Zoo_01,ABF2,bZIP,.
43,CCACSK-bZIP60-1DREME,136,499,4610,27655,6.702471549958585e-10,0.7092685221996661,6.5066627593061686,2.380122119296404e-08,True,.,.,CCACSK-bZIP60-1DREME,.,.
44,M01712_2.00,122,499,3981,27655,7.090267278044296e-10,0.7641788977375639,6.991730564118539,2.4630971978945185e-08,True,A. thaliana,Zoo_01,MYC3,bHLH,.
45,M01709_2.00,134,499,4548,27655,1.013946970194414e-09,0.7074293678315515,6.362608951760575,3.447419698661008e-08,True,A. thaliana,Zoo_01,SPT,bHLH,.
46,M01118_2.00,123,499,4055,27655,1.0965214562868422e-09,0.7493850225006314,6.714476961496662,3.650502681554946e-08,True,C. sativa,TF_Evolution,PK01630.1,bHLH,.
47,M01700_2.00,135,499,4605,27655,1.184570672780622e-09,0.70018687233816,6.2501754211112655,3.863150887966192e-08,True,A. thaliana,Zoo_01,BPE,bHLH,.
48,M01132_2.00,136,499,4677,27655,1.6921898980164675e-09,0.6884518440974255,6.038790394018359,5.40823891406063e-08,True,A. thaliana,TF_Evolution,HYH,bZIP,.
49,M01703_2.00,113,499,3646,27655,1.888441830515631e-09,0.7804368326420803,6.808450065473126,5.9171177356156444e-08,True,A. thaliana,Zoo_01,PIF1,bHLH,.
50,M06949_2.00,111,499,3564,27655,2.0768849477878075e-09,0.7874909610942109,6.837459223357459,6.382427204932532e-08,True,A. thaliana,OMalley2016,HSFA1B,HSF,.
51,M01126_2.00,110,499,3537,27655,2.698091899478399e-09,0.7854059260897677,6.73009881825845,7.902332161430545e-08,True,C. sativa,TF_Evolution,PK18401.1,bHLH,.
52,ACGTGKV-ZAT6-DREME,121,499,4030,27655,2.8187292440647128e-09,0.7346558301252918,6.281268145401585,7.902332161430545e-08,True,.,.,ACGTGKV-ZAT6-DREME,.,.
53,M01772_2.00,128,499,4345,27655,2.727458436098137e-09,0.7072162545642643,6.056771050654061,7.902332161430545e-08,True,A. thaliana,Zoo_01,ABF1,bZIP,.
54,1.PIF5,123,499,4116,27655,2.653043515575037e-09,0.7278439547112986,6.2421758118817525,7.902332161430545e-08,True,.,.,1.PIF5,.,.
55,M01160_2.00,131,499,4489,27655,2.991823732179377e-09,0.6936013368879322,5.9123021841555214,8.242990213832145e-08,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
56,M01787_2.00,129,499,4405,27655,3.321194413631252e-09,0.6986576678815049,5.923712751886952,8.995370632174137e-08,True,A. thaliana,Zoo_01,BZIP63,bZIP,.
57,ACGTGB-ANAC102-DREME,134,499,4649,27655,4.010254130143249e-09,0.675741196204835,5.674082668154319,1.0680643499948185e-07,True,.,.,ACGTGB-ANAC102-DREME,.,.
58,M01768_2.00,122,499,4102,27655,4.126619834833272e-09,0.7209822773490614,6.045007799504242,1.0810390977153391e-07,True,C. sativa,Zoo_01,PK18474.1,bHLH,.
59,M01162_2.00,117,499,3879,27655,4.266551288915367e-09,0.7412523753180211,6.204225326678735,1.0996691870462511e-07,True,C. sativa,TF_Evolution,PK24978.1,bZIP,.
60,BACGTG-RD26-DREME,133,499,4609,27655,4.354037651560076e-09,0.6774010994305676,5.663823629532599,1.104405105903651e-07,True,.,.,BACGTG-RD26-DREME,.,.
61,M01128_2.00,123,499,4162,27655,5.062422894219727e-09,0.7118099718699322,5.904920398612082,1.2640237164004882e-07,True,C. sativa,TF_Evolution,PK20225.1,bHLH,.
62,M00854_2.00,120,499,4033,27655,5.58062786357349e-09,0.7216096214686692,5.955672910656073,1.3719758963062212e-07,True,A. thaliana,Franco_Zorrilla2014,PIF3,bHLH,.
63,M01161_2.00,120,499,4038,27655,5.985494423497639e-09,0.7198221165430724,5.9190252601531546,1.4492151649620042e-07,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
64,M01057_2.00,92,499,2812,27655,6.474071256568696e-09,0.8585377932505046,7.030413619817468,1.544114308656235e-07,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
65,M01699_2.00,113,499,3737,27655,7.292942983289902e-09,0.7448708303004703,6.061086334018167,1.7138416010731271e-07,True,A. thaliana,Zoo_01,MYC2,bHLH,.
66,1.GBF3-MEME1,111,499,3651,27655,7.648061858807074e-09,0.7526966291812485,6.109223508217983,1.7459432643391007e-07,True,.,.,1.GBF3-MEME1,.,.
67,M01056_2.00,114,499,3785,27655,7.63911689265097e-09,0.7391691455576748,5.99980405521161,1.7459432643391007e-07,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
68,M01702_2.00,99,499,3125,27655,7.87556196490455e-09,0.8120728619088249,6.58080983145558,1.7725560591433057e-07,True,A. thaliana,Zoo_01,AT2G18300,bHLH,.
69,M01832_2.00,127,499,4381,27655,8.27909413166673e-09,0.6839969037152421,5.528074726576327,1.8374989475560326e-07,True,P. patens,Zoo_01,estExt_Genewise1.C_2060077,bZIP,.
70,M08045_2.00,101,499,3217,27655,8.507740390522281e-09,0.7990679783650834,6.448627028942015,1.8623793348020008e-07,True,A. thaliana,JASPAR,PIF3,bHLH,.
71,M01757_2.00,115,499,3843,27655,9.201851442422164e-09,0.7298295061475993,5.865000981280244,1.9871025141879212e-07,True,P. patens,Zoo_01,fgenesh1_pg.scaffold_37000071,bHLH,.
72,M09452_2.00,110,499,3627,27655,1.0311593352902148e-08,0.7491553998204068,5.983260120104903,2.1970568237250178e-07,True,A. thaliana,HOMER,PIF5,bHLH,.
73,M01707_2.00,112,499,3718,27655,1.0555207563012059e-08,0.7394005834041497,5.897853317950785,2.2193712744333249e-07,True,A. thaliana,Zoo_01,MYC4,bHLH,.
74,M07338_2.00,76,499,2174,27655,1.0909959318071044e-08,0.9541480046823035,7.597095172331889,2.235142947471478e-07,True,A. thaliana,OMalley2016,ZHD9,Homeodomain,HD-ZF
75,GBF2-MEME,114,499,3810,27655,1.0896623714584674e-08,0.7296714480500842,5.810160710345867,2.235142947471478e-07,True,.,.,GBF2-MEME,.,.
76,M08046_2.00,96,499,3019,27655,1.1503735928010758e-08,0.8174641754735581,6.4899797794711525,2.3269582294887585e-07,True,A. thaliana,JASPAR,PIF4,bHLH,.
77,M06727_2.00,97,499,3069,27655,1.2772831418172206e-08,0.8087166279866698,6.383776813931124,2.5132862049722103e-07,True,A. thaliana,OMalley2016,BIM2,bHLH,.
78,M08404_2.00,103,499,3332,27655,1.289671269134676e-08,0.7766845580836979,6.127669112055334,2.5132862049722103e-07,True,A. thaliana,JASPAR,PIF1,bHLH,.
79,M01701_2.00,108,499,3552,27655,1.2647645058950771e-08,0.7528283520793896,5.945831045520769,2.5132862049722103e-07,True,A. thaliana,Zoo_01,BIM2,bHLH,.
80,M01710_2.00,131,499,4607,27655,1.4155732202065141e-08,0.6561678351992662,5.1503057360634505,2.7254048263735056e-07,True,A. thaliana,Zoo_01,BIM1,bHLH,.
81,M01711_2.00,108,499,3564,27655,1.5044387004258653e-08,0.7479625969075734,5.851031286041826,2.8620155277149203e-07,True,A. thaliana,Zoo_01,BIM3,bHLH,.
82,M06770_2.00,112,499,3745,27655,1.5471362852772747e-08,0.7289616349775178,5.693534022219833,2.908616216321276e-07,True,A. thaliana,OMalley2016,GBF3,bZIP,.
83,M01845_2.00,126,499,4400,27655,1.940566323103466e-08,0.6663488313539213,5.138929837810061,3.6058430050224866e-07,True,O. tauri,Zoo_01,300010311,bZIP,.
84,1.PIF3.MEME,120,499,4130,27655,2.0938561175201247e-08,0.6873212455677378,5.27797638603317,3.845956408962252e-07,True,.,.,1.PIF3.MEME,.,.
85,M01079_2.00,69,499,1932,27655,2.4239318404896894e-08,0.9850017942084229,7.5012610662456645,4.4016398648892314e-07,True,A. thaliana,Stam_Arabidopsis,RVE5,Myb/SANT,MYB-related
86,M07354_2.00,62,499,1659,27655,2.6748132402272786e-08,1.050454855697039,7.954786351221119,4.802642199868754e-07,True,A. thaliana,OMalley2016,ZHD10,Homeodomain,HD-ZF
87,M06861_2.00,136,499,4900,27655,2.9468043092637022e-08,0.6212535236264336,4.6784420423823025,5.232214762448217e-07,True,A. thaliana,OMalley2016,DOF4.7,Dof,.
88,M01704_2.00,113,499,3838,27655,2.993799378406994e-08,0.7063966824858345,5.314771328805789,5.257243304059754e-07,True,A. thaliana,Zoo_01,BHLH34,bHLH,.
89,M02049_2.00,79,499,2357,27655,3.173483620165707e-08,0.8934014211929623,6.699138161134077,5.512203070679131e-07,True,A. thaliana,Zoo_01,WOX13,Homeodomain,HD-WOX
